"书名地下餐馆和玫瑰（欧·亨利经典短篇小说）短简介细心的准备、缜密的布局、精湛的表演，这些反倒成为了他计划失败的原因？小说《地下餐馆和玫瑰》中，男主人公海尔密斯为了参演一部喜剧，决心通过演技来打动女主角同意他担任男主角。最终女主角被海尔密斯勾起了对家乡的眷恋而取消了戏剧表演，他也因此失掉了喜剧表演的机会，令人啼笑皆非。长简介在小说《地下餐馆和玫瑰》中女主人公卡林顿小姐在演艺事业上崭露头角，海史密斯为了得到卡林顿小姐主演的喜剧《迷醉华灯下》里男主角的角色，决心用一场表演来打动她。当海史密斯得知卡林顿小姐要求男主角必须具备浓郁的乡土气息时，他为此奔赴卡林顿小姐的家乡克兰伯里角镇进行了详细的体验和调查。在一家地下餐馆里，海史密斯费尽心机的表演成功地骗过了卡林顿小姐，在他以为他可以万无一失地得到这个角色的时候，卡林顿小姐居然取消了所有的演出合约。当然，卡林顿小姐的这个决定全都是因为海史密斯对于酸果蔓角近几年的描述，勾起了她对家乡的回忆和向往。这种荒诞的结局，赋予了小说浓厚的艺术感染力，也让读者忍俊不禁。关键字地下餐馆和玫瑰；欧·亨利；外研社编译组；短篇；喜剧；荒诞；出人意料；作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家、世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评当我轻松地对待可笑的事物时，我也是严肃地对待它。——马克思是什么让胜利转瞬即逝？细心的准备，缜密的布局，精湛的表演，这些反倒成为了计划失败的原因。"
"The Rathskeller and the Rose","地下餐馆和玫瑰花"
"He took from his coat pocket a rose—a drooping, yellow, velvet, odorous rose, that hung its head in the foul atmosphere of that tainted rathskeller like a virgin bowing before the hot breath of the lions in a Roman arena.","他从上衣口袋里掏出一朵黄玫瑰——芬芳柔美，有着天鹅绒般的光泽。它在地下餐馆污浊的空气中低垂着花蕾，宛如一个少女在古罗马竞技场上狮群热乎乎的呼吸面前，含胸垂首一样。"
"Miss Carrington’s penetrating but musical laugh rose above the orchestra’s rendering of “Bluebells.”","卡林顿小姐悦耳的笑声穿透了乐队演奏的《风信子》的旋律。"
"“Oh, say!” she cried, with glee, “ain’t those poky places the limit?","“哎呀！”她高兴地喊了起来，“还有比那儿更无聊的地方吗？"
"I just know that two hours at Cranberry Corners would give me the horrors now.","我就知道让我在克兰伯里角呆上两个钟头，就够受的了。"
"Well, I’m awful glad to have seen you, Mr. Summers.","嗯，非常高兴能见到你，萨默斯先生。"
"Guess I’ll bustle around to the hotel now and get my beauty sleep.”","我想，我现在要赶回旅馆睡个美容觉了。”"
"She thrust the yellow rose into the bosom of her wonderful, dainty, silken garments, stood up and nodded imperiously at Herr Goldstein.","她把那朵黄玫瑰戳在她华美绸衣的前襟里，站起身，高傲地朝戈尔茨坦先生点点头。"
"Her three companions and “Bill Summers” attended her to her cab.","刚才陪同她的三个人和“比尔·萨默斯”一起送她上了马车。"
"When her flounces and streamers were all safely tucked inside she dazzled them with au revoirs from her shining eyes and teeth.","等到她的裙边和饰带都妥当地塞进车厢后，她才向他们道别，那明眸皓齿令他们心神荡漾。"
"“Come around to the hotel and see me, Bill, before you leave the city,” she called as the glittering cab rolled away.","当那辆闪亮的马车疾驰而去的时候，她喊道：“你出城之前要到旅馆来看看我啊，比尔。”"
"Highsmith, still in his make-up, went with Herr Goldstein to a café booth.","海史密斯装扮依旧，同戈尔茨坦走进一家小咖啡馆。"
"“Bright idea, eh?” asked the smiling actor.","“不错的主意，是吧？”演员笑呵呵地问道,"
"“Ought to land ‘Sol Haytosser’ for me, don’t you think?","“我应该能拿到‘索尔·海托塞’的角色了吧，你觉得呢？"
"The little lady never once tumbled.”","这位小姐始终没识破我。”"
"“I didn’t hear your conversation,” said Goldstein, “but your make-up and acting was O. K.","“我没有听到你们的谈话，”戈尔茨坦说，“不过你的化妆和表演还不赖。"
"Here’s to your success.","来，敬你一杯，祝你成功。"
"You’d better call on Miss Carrington early to-morrow and strike her for the part.","你最好明天一早就去找卡林顿小姐，把这个角色搞定。"
"I don’t see how she can keep from being satisfied with your exhibition of ability.”","我看不出她对你的表演才华有任何不满意之处。”"
"At 11.45 a. m. on the next day Highsmith, handsome, dressed in the latest mode, confident, with a fuchsia in his button-hole, sent up his card to Miss Carrington in her select apartment hotel.","第二天上午11点45分，英俊的海史密斯身穿时下的流行新款服饰，扣眼上别着一朵倒挂金钟，信心满满地来到了卡林顿小姐下榻的豪华宾馆，递上了他的名片。"
"He was shown up and received by the actress’s French maid.","他被请了进去，接待他的是女星的法国女仆。"
"“I am sorree,” said Mlle. Hortense, “but I am to say this to all.","“不好意思，”霍滕丝小姐说，“我对谁都得这样说。"
"It is with great regret.","真是非常遗憾。"
"Mees Carrington have cancelled all engagements on the stage and have returned to live in that—how you call that town?","卡林顿小姐已经取消了所有的演出合约，回到了那个——那个叫什么来着的小镇？"
"Cranberry Cornaire!”","对，克兰伯里角镇！”"

