书名《法西诺·卡内》（巴尔扎克短篇小说）短简介《法西诺·卡内》这篇文章通过一位与众不同的盲人老人的回忆讲述了一个由无尽贪欲引发的故事。对于金钱的狂热和痴迷，放荡不羁生活，情人之间的种种欺骗，即便是曾经享受过炫目的豪奢也终究敌不过繁华终归散场的命运。长简介法国现实主义作家巴尔扎克在他的中篇小说《法西诺·卡内》中，通过一位与众不同的盲人老人的回忆讲述了一个由无尽贪欲引发的故事。对于金钱的狂热和痴迷，放荡不羁生活，情人之间的种种欺骗，即便是曾经享受过炫目的豪奢也终究敌不过繁华终归散场的命运。巴尔扎克对现实主义文学最大的贡献在于他对典型人物形象和社会风俗的细致刻画，并表达人物性格在社会环境中的变化和发展。他以编年史的方式描绘了上升中的资产阶级对贵族社会日甚一日的冲击。这篇文章对精神现象有具体、显豁的说明：“在我身上，观察已经变成直觉的了，它深入灵魂却不忽视形体，或更可以说，它一下子抓住外部细节，随即超越之；它赋予我一种能力，使我亲历它所及的个人的生活，使我代替了他，就像《一千零一夜》中的苦行僧，他向那些人说几句话，就得到了他们的灵魂和肉体。”其观察力和批判力都显得鞭辟入里，内容深刻。关键字法西诺·卡内；巴尔扎克；外研社编译组；黄金；情人；逃犯；盲人；婚礼；单簧管；威尼斯；贪欲作者（法）巴尔扎克作者简介巴尔扎克（1799年5月20日—1850年8月18日），法国19世纪著名作家，法国现实主义文学成就最高者之一。他创作的《人间喜剧》共91部小说，写了两千四百多个人物，是人类文学史上罕见的文学丰碑，被称为法国社会的“百科全书”。
书评一个能思考的人，才真是一个力量无边的人。
——巴尔扎克贪婪的欲望，执着的欲念，是一位年迈老人纵然双目失明也无法摆脱的命运桎梏。
Facino Cane	法西诺·卡内
If I met a working man and his wife in the streets between eleven o’clock and midnight on their way home from the Ambigu Comique, I used to amuse myself by following them from the Boulevard du Pont aux Choux to the Boulevard Beaumarchais.	如果我在十一点至午夜之间，碰到一个工人和他的妻子一起从昂比居喜剧院回来，我会兴味盎然地尾随他们，从卷心菜桥大街一直到博马舍大街。
The good folk would begin by talking about the play; then from one thing to another they would come to their own affairs, and the mother would walk on and on, heedless of complaints or question from the little one that dragged at her hand, while she and her husband reckoned up the wages to be paid on the morrow, and spent the money in a score of different ways.	起初，这些人会聊刚看过的那出戏；逐渐地，他们会谈到自家这样那样的事情；做母亲会牵着孩子一直走路，既不听孩子的埋怨，也不听他的要求。这对夫妇在计算第二天会拿到多少工钱，他们有各种各样的花销。
Then came domestic details, lamentations over the excessive dearness of potatoes, or the length of the winter and the high price of block fuel, together with forcible representations of amounts owing to the baker, ending in an acrimonious dispute, in the course of which such couples reveal their characters in picturesque language.	然后他们会谈到家务琐事，抱怨土豆价格太贵了，冬天太漫长了，煤块涨价了；提醒切记还欠着面包店的钱。末了，讨论激烈起来，他们用生动的言语互相揭短。
As I listened, I could make their lives mine, I felt their rags on my back, I walked with their gaping shoes on my feet; their cravings, their needs, had all passed into my soul, or my soul had passed into theirs.	听着这些人说话，我能体会他们的生活，感到自己身上穿着他们的褴褛衣服，脚上穿着他们有洞的鞋子。他们的愿望、需要全都进入我的心灵，或者我的心灵融入他们的心灵之中。
It was the dream of a waking man.	这就像一个醒着的人在做梦。
I waxed hot with them over the foreman’s tyranny, or the bad customers that made them call again and again for payment.	对于那些虐待他们的工头，或者去催了好几次也不付钱的恶劣主顾，我也同他们一样气愤难平。
To come out of my own ways of life, to be another than myself through a kind of intoxication of the intellectual faculties, and to play this game at will, such was my recreation.	摆脱自己的习惯，由于心理官能的兴奋变成另外一个人，随心所欲地进行这种游戏，这就是我的娱乐。
Whence comes the gift?	我这种天赋是哪里来的？
Is it a kind of second sight?	这是一种预见力吗？
Is it one of those powers which when abused end in madness?	这种能力滥用之后会导致疯狂吗？
I have never tried to discover its source; I possess it, I use it, that is all.	我从来没有研究过这种能耐的来龙去脉。我具有这种能耐，并加以运用，如此而已。
But this it behooves you to know, that in those days I began to resolve the heterogeneous mass known as the People into its elements, and to evaluate its good and bad qualities.	不过要知道，从那时起，我把所谓人民这一异质并存的整体分解成各个部分，并加以剖析，以便能估量它的好品质和坏品质。
Even then I realized the possibilities of my suburb, that hotbed of revolution in which heroes, inventors, and practical men of science, rogues and scoundrels, virtues and vices, were all packed together by poverty, stifled by necessity, drowned in drink, and consumed by ardent spirits.	我深刻了解这个城区的所有可能性。在这个城区、这个革命的策源地里，英雄、发明家、注重实际的科学家、无赖、坏蛋、德行和恶习鱼龙混杂，这一切都受到贫困的压制，因各种需要而喘不过气来，他们狂饮滥喝，烈酒耗尽了他们的精力。
You would not imagine how many adventures, how many tragedies, lie buried away out of sight in that Dolorous City; how much horror and beauty lurks there.	你不能想象，在这个痛苦之城，有多少奇遇被埋没了，有多少惨剧被遗忘了！有多少可怕的和美好的事物潜伏于此啊！
No imagination can reach the Truth, no one can go down into that city to make discoveries; for one must needs descend too low into its depths to see the wonderful scenes of tragedy or comedy enacted there, the masterpieces brought forth by chance.	想象力绝不能触及隐藏在这些事物当中的真实画面，也没有人能够发现它们；必须深入到底层，才能看到这些悲剧性或喜剧性的精彩场面，而这些场面都是偶然产生的杰作。
I do not know how it is that I have kept the following story so long untold.	下文即将叙述的故事，我不知道我怎么会保密这么久。
It is one of the curious things that stop in the bag from which Memory draws out stories at haphazard, like numbers in a lottery.	这个故事属于我脑袋里保存的奇异故事之一，如同摸彩票一样，我从回忆中随意把它摸了出来。
There are plenty of tales just as strange and just as well hidden still left; but some day, you may be sure, their turn will come.	我还有许多别的故事，跟这个一样古怪，同样我都深藏于心。但请相信，到时候一个个都会讲出来的。
One day my charwoman, a working man’s wife, came to beg me to honor her sister’s wedding with my presence.	有一天，我家的小时工、一个工人的妻子，来请我屈驾光临她妹妹的婚礼。
If you are to realize what this wedding was like you must know that I paid my charwoman, poor creature, four francs a month; for which sum she came every morning to make my bed, clean my shoes, brush my clothes, sweep the room, and make ready my breakfast, before going to her day’s work of turning the handle of a machine, at which hard drudgery she earned five-pence.	为了让您明白这个婚礼会办成什么排场，必须告诉您，我每月给这个可怜的女人四个法郎，她每天上午来给我收拾床铺、擦鞋、刷洗衣服、打扫房间、做早餐。她用余下的时间去操作一台机器干活。她这样辛苦劳作，每天也就挣五个便士。
Her husband, a cabinetmaker, made four francs a day at his trade; but as they had three children, it was all that they could do to gain an honest living.	她的丈夫是个细工木匠，一天挣四个法郎。但这对夫妇有三个孩子，所以他们仅能维持温饱生活。
Yet I have never met with more sterling honesty than in this man and wife.	我从未见过比这对夫妇更忠厚耿直的人。
For five years after I left the quarter, Mere Vaillant used to come on my birthday with a bunch of flowers and some oranges for me—she that had never a sixpence to put by!	后来，我离开了这一区。在离开后的五年中，瓦扬大妈总是来向我祝贺生日，给我带来一束鲜花和橘子——而她从未有过六个便士的积蓄！
Want had drawn us together.	贫穷使我们亲近起来。
I never could give her more than a ten-franc piece, and often I had to borrow the money for the occasion.	我只能给她十个法郎，而且往往要为此借债。
This will perhaps explain my promise to go to the wedding; I hoped to efface myself in these poor people’s merry-making.	这就能解释我为什么答应参加婚礼了。我打算领略一下这些穷人的欢乐。
The banquet and the ball were given on a first floor above a wineshop in the Rue de Charenton.	婚宴和舞会都是在沙朗通街一家酒店二楼的大房间里举行的。
It was a large room, lighted by oil lamps with tin reflectors.	房间很大，马口铁罩子里的油灯把房间照得通亮。
A row of wooden benches ran round the walls, which were black with grime to the height of the tables.	齐桌高的墙纸脏兮兮的，沿墙放着一排木头长凳。
Here some eighty persons, all in their Sunday best, tricked out with ribbons and bunches of flowers, all of them on pleasure bent, were dancing away with heated visages as if the world were about to come to an end.	这个房间里大约有八十个人，都穿着节日盛装，捧着鲜花，系着丝带。大家都尽情欢乐，面孔红彤彤的，仿佛世界就要完结一样地疯狂跳舞。
Bride and bridegroom exchanged salutes to the general satisfaction, amid a chorus of facetious “Oh, ohs!” and “Ah, ahs!” less really indecent than the furtive glances of young girls that have been well brought up.	新婚夫妇互相致敬，直到大家满意为止。大家乐不可支，一片嘻嘻哈哈的笑声，但比大家闺秀羞答答的眉来眼去委实要得体。
There was something indescribably infectious about the rough, homely enjoyment in all countenances.	这些人表达的是粗犷的快活，有一种难以形容的感染力。
But neither the faces, nor the wedding, nor the wedding-guests have anything to do with my story.	但是，无论这个宴会的情景，还是婚礼和这些人，都与我的故事无关。
Simply bear them in mind as the odd setting to it.	只要记住环境的怪异就行了。
Try to realize the scene, the shabby red-painted wineshop, the smell of wine, the yells of merriment; try to feel that you are really in the faubourg, among old people, working men and poor women giving themselves up to a night’s enjoyment.	请好好设想一间漆成红色的肮脏酒店，酒气氤氲，四周都是喧闹声，而您就身处其中，置身于沉醉在一夜狂欢的工人、老人和可怜的妇女中间。
The band consisted of a fiddle, a clarionet, and a flageolet from the Blind Asylum.	乐队由盲人院的三个瞎子组成：第一个是提琴手，第二个是吹单簧管的，第三个吹竖笛。
The three were paid seven francs in a lump sum for the night.	三个人吹一夜，统共得到七个法郎。
For the money, they gave us, not Beethoven certainly, nor yet Rossini; they played as they had the will and the skill; and every one in the room (with charming delicacy of feeling) refrained from finding fault.	当然，这样的价钱，他们既不演奏罗西尼的作品，也不演奏贝多芬的曲子，他们拣会的曲子随意吹奏。房间里的人都不会去责备他们，这种温文尔雅多么迷人啊！
The music made such a brutal assault on the drum of my ear, that after a first glance round the room my eyes fell at once upon the blind trio, and the sight of their uniform inclined me from the first to indulgence.	音乐十分刺耳，所以我第一次扫视全场，一下子就看到了这盲人三重奏。认出了他们的制服以后，我立刻原谅了他们。
As the artists stood in a window recess, it was difficult to distinguish their faces except at close quarters, and I kept away at first; but when I came nearer (I hardly know why) I thought of nothing else; the wedding party and the music ceased to exist, my curiosity was roused to the highest pitch, for my soul passed into the body of the clarionet player.	这些艺人是呆在窗洞下的。要看清他们的面容，非得在他们旁边才行。我没有马上走过去，但当我走近时（我也不知道为什么），我没有想别的事；这时，婚礼和音乐都消失了，我的好奇心激发到顶点，因为我的灵魂已潜入单簧管吹奏者的躯体。
The fiddle and the flageolet were neither of them interesting; their faces were of the ordinary type among the blind—earnest, attentive, and grave.	提琴手和竖笛手的面孔都平淡无奇，就是那种众所周知的盲人的脸孔——肌肉紧张、全神贯注、神情肃穆。
Not so the clarionet player; any artist or philosopher must have come to a stop at the sight of him.	但是单簧管乐手的脸却是那种能一下子吸引住艺术家和哲学家的脸。
Picture to yourself a plaster mask of Dante in the red lamplight, with a forest of silver-white hair above the brows.	请您想象一个有着一头浓密的银发的但丁的石膏面具，被油罐灯的红光照亮了。
Blindness intensified the expression of bitterness and sorrow in that grand face of his; the dead eyes were lighted up, as it were, by a thought within that broke forth like a burning flame, lit by one sole insatiable desire, written large in vigorous characters upon an arching brow scored across with as many lines as an old stone wall.	失明加深了他这张宽阔的脸盘上凄凉痛苦的神情；死气沉沉的双眼被像火焰一样喷薄而出的思想点亮了，它来源于独特的、持续不断的欲望，这欲望有力地镌刻在隆起的额角上，一道道皱纹有如一层层的古老墙壁，横穿额头。
The old man was playing at random, without the slightest regard for time or tune.	这个老人随意吹奏，丝毫不注意节奏和曲调。
His fingers traveled mechanically over the worn keys of his instrument; he did not trouble himself over a false note now and again (a canard, in the language of the orchestra), neither did the dancers, nor, for that matter, did my old Italian’s acolytes; for I had made up my mind that he must be Italian, and an Italian he was.	他的手指时起时落，出于机械的习惯，按着老旧的单簧片。即使时不时吹出一些乐队所谓的走音，他也不在乎，跳舞的人也不在乎，连这个意大利老人的两个同伴也没有发觉。我期望他是个意大利人，而他确实是意大利人。
There was something great, something too of the despot about this old Homer bearing within him an Odyssey doomed to oblivion.	这是位大人物，是位隐忍的君王，是位年迈的荷马，他内心保存着一部注定要被人遗忘的《奥德赛》。
The greatness was so real that it triumphed over his abject position; the despotism so much a part of him, that it rose above his poverty.	在他身上，可以看到某种崇高而专横的东西。这种崇高确实存在，连贫贱也被它战胜了。
There are violent passions which drive a man to good or evil, making of him a hero or a convict; of these there was not one that had failed to leave its traces on the grandly-hewn, lividly Italian face.	强烈的激情可以使人为善，也可以使人作恶，可以使人成为苦役犯，也可以使人成为英雄。他轮廓高贵、颜色苍白的意大利人的脸，就流露出这种激情。
You trembled lest a flash of thought should suddenly light up the deep sightless hollows under the grizzled brows, as you might fear to see brigands with torches and poniards in the mouth of a cavern.	灰白的浓眉在深陷的眼窝投下阴影，看到从中闪现出思想的光芒，你就会发抖，就像看到手持火把和匕首的强盗来到洞口一样令人恐惧。
You felt that there was a lion in that cage of flesh, a lion spent with useless raging against iron bars.	你会感到有一只狮子呆在这个血肉之躯的牢笼里，对着铁栅咆哮，直到精疲力竭，还是毫无用处。
The fires of despair had burned themselves out into ashes, the lava had cooled; but the tracks of the flames, the wreckage, and a little smoke remained to bear witness to the violence of the eruption, the ravages of the fire.	绝望生成的大火已经灰飞烟灭，喷出的熔岩也已冷却；但这些灰烬、残骸和这一缕轻烟，却表明了火山爆发的猛烈和大火的蹂躏达到何种程度。
These images crowded up at the sight of the clarionet player, till the thoughts now grown cold in his face burned hot within my soul.	看到这个单簧管演奏者，我心中涌现出无数画面，我的灵魂剧烈地燃烧直到冷却，正如思想早已在他的脸上冷却那样。
The fiddle and the flageolet took a deep interest in bottles and glasses; at the end of a country-dance, they hung their instruments from a button on their reddish-colored coats, and stretched out their hands to a little table set in the window recess to hold their liquor supply.	提琴手和竖笛手很爱喝酒。演奏完土风舞曲，他们将乐器挂在淡红色的礼服纽扣上，向用作餐室的窗洞的那张小桌子伸出手去取酒。
Each time they did so they held out a full glass to the Italian, who could not reach it for himself because he sat in front of the table, and each time the Italian thanked them with a friendly nod.	每次，他们都将一杯斟满的酒递给意大利人，因为他正好背朝桌子坐着，他无法亲自去拿酒杯。那个意大利人每次都友好地点点头，感谢他们。
All their movements were made with the precision which always amazes you so much at the Blind Asylum.	他们的动作完成得非常准确，总是会让人对这些盲人院的瞎子们感到惊讶。
You could almost think that they can see.	你几乎都会以为他们看得见东西。
I came nearer to listen; but when I stood beside them, they evidently guessed I was not a working man, and kept themselves to themselves.	我挨近这三个盲人，想听他们讲话。但当我来到他们身边时，很明显他们猜测出我不是工人，于是闷声不响了。
“What part of the world do you come from, you that are playing the clarionet?”	“吹单簧管的那位，您是什么地方人？” 
“From Venice,” he said, with a trace of Italian accent.	“威尼斯人。”盲人带着轻微的意大利口音回答。
“Have you always been blind, or did it come on afterwards—”	“您是生来就瞎了，还是后来有什么事——” 
“Afterwards,” he answered quickly.	“后来的事，”他很快回答，
“A cursed gutta serena.”	“得了该死的青光眼。”
“Venice is a fine city; I have always had a fancy to go there.”	“威尼斯是一座美丽的城市，我总是想去那里逛逛。” 
The old man’s face lighted up, the wrinkles began to work, he was violently excited.	老人的表情亢奋起来，皱纹颤动不已，他异常激动。
“If I went with you, you would not lose your time,” he said.	“如果我同您一起去，您就不会浪费时间了。”他对我说。
“Don’t talk about Venice to our Doge,” put in the fiddle, “or you will start him off, and he has stowed away a couple of bottles as it is—has the prince!”	“别跟他谈威尼斯，”提琴手对我说，“否则我们的总督又要旧调重弹了，况且他已经两瓶酒下肚了呢——已经成了亲王了！”
“Come, strike up, Daddy Canard!” added the flageolet, and the three began to play.	“得了，开始吧，走音老爹。”吹笛子的说。三个人又开始演奏。 
But while they executed the four figures of a square dance, the Venetian was scenting my thoughts; he guessed the great interest I felt in him.	但他们为方块舞演奏舞曲时，威尼斯人觉察出我在旁边，猜出我对他怀有浓厚的兴趣。
The dreary, dispirited look died out of his face, some mysterious hope brightened his features and slid like a blue flame over his wrinkles.	他的脸摆脱了愁苦冰冷的表情。说不准是什么希望使他的脸豁然开朗，似乎有一股蓝色的火焰注入他的皱纹中。
He smiled and wiped his brow, that fearless, terrible brow of his, and at length grew gay like a man mounted on his hobby.	他微笑着擦拭那无惧而可怕的额头。他终于像一个拣起自己喜爱的话题的人那样，喜笑颜开。
“How old are you?”	“您多大岁数了？”
I asked.	我问他。
“Eighty-two.”	“82岁！”
“How long have you been blind?”	“您失明有多久了？”
“For very nearly fifty years,” he said, and there was that in his tone which told me that his regret was for something more than his lost sight, for great power of which he had been robbed.	“快五十年了。”他回答，那种语调表明他不仅惋惜失去了视力，而且惋惜被剥夺了巨大的权力。
“Then why do they call you ‘the Doge’?”	“那为什么他们管您叫‘总督’？”
I asked.	我问道。
“Oh, it is a joke.	“啊！这是开玩笑，
I am a Venetian noble, and I might have been a doge like any one else.”	我是威尼斯的贵族，本来我像别人一样会成为总督。”
“What is your name?”	“您究竟叫什么名字？”
“Here, in Paris, I am Pere Canet,” he said.	“在巴黎这儿，我是卡内老爹，”他说，
“It was the only way of spelling my name on the register.	“这是我户口本上唯一的名字。
But in Italy I am Marco Facino Cane, Prince of Varese.”	但是在意大利，我就是马尔科·法西诺·卡内，瓦雷泽领主。” 
“What, are you descended from the great condottiere Facino Cane, whose lands won by the sword were taken by the Dukes of Milan?”	“怎么！您是大名鼎鼎的雇佣兵队长法西诺·卡内的后裔吗？他征服的地方后来转到了米兰几位公爵的手里。”
“E vero,” returned he.	“是的，”他对我说，
“His son’s life was not safe under the Visconti; he fled to Venice, and his name was inscribed on the Golden Book.	“那时，由于维斯孔蒂家族的追杀，卡纳的后人很不安全。卡内的儿子避居在威尼斯，在名人录上登记了名字。
And now neither Cane or Golden Book are in existence.”	可是现在这本名人录没有了，卡内家族也一样烟消云散了。”
His gesture startled me; it told of patriotism extinguished and weariness of life.	他做了一个令人惊愕的手势，显示了他的爱国精神已经熄灭，对人间事物也已厌恶。
“But if you were once a Venetian senator, you must have been a wealthy man.	“但是既然您曾经当过威尼斯的上议院议员，那么您一定富有过。
How did you lose your fortune?”	您怎么会失去财产的？”
“In evil days.”	“在不幸中失去的！”
He waved away the glass of wine handed to him by the flageolet, and bowed his head.	这时，竖笛手递给他一杯酒。他推开了酒，垂下了头。
He had no heart to drink.	他没心情喝酒了。
These details were not calculated to extinguish my curiosity.	这些细节并未消除我的好奇。
As the three ground out the music of the square dance, I gazed at the old Venetian noble, thinking thoughts that set a young man’s mind afire at the age of twenty.	在那三件乐器机械地演奏着方块舞曲时，我怀着在二十岁的青年心中激荡不已的情感，注视着这个年迈的威尼斯贵族。
I saw Venice and the Adriatic; I saw her ruin in the ruin of the face before me.	我看到了威尼斯和亚得里亚海，我在这张衰颓的脸上看到了威尼斯的废墟。
I walked to and fro in that city, so beloved of her citizens; I went from the Rialto Bridge, along the Grand Canal, and from the Riva degli Schiavoni to the Lido, returning to St. Mark’s, that cathedral so unlike all others in its sublimity.	我来往漫步在当地居民如此珍视的城市里，从里亚尔托走到大运河，从斯拉夫人沿河大街走到利多半岛，再回到壮丽崇高、富有独创性的大教堂。
I looked up at the windows of the Casa Doro, each with its different sculptured ornaments; I saw old palaces rich in marbles, saw all the wonders which a student beholds with the more sympathetic eyes because visible things take their color of his fancy, and the sight of realities cannot rob him of the glory of his dreams.	我看到卡萨多罗的窗户，每扇窗都有不同的装饰；我观赏着这些富丽堂皇的、古老的大理石大厦。我看到了所有的奇迹，一个学者会看得更有共鸣，因为看得见的东西会被他的想象蒙上色彩；他也会对这些奇迹更感兴趣；即使看到实际的景物，也不会使他的梦想失去诗意。
Then I traced back a course of life for this latest scion of a race of condottieri, tracking down his misfortunes, looking for the reasons of the deep moral and physical degradation out of which the lately revived sparks of greatness and nobility shone so much the more brightly.	然后，我对这位最伟大的雇佣兵队长的后裔的生活历程追根溯源，寻找他的不幸的痕迹和他心力交瘁的原因，但这种憔悴使他此刻迸发的庄严崇高的火花显得更加美丽。
My ideas, no doubt, were passing through his mind, for all processes of thought-communications are far more swift, I think, in blind people, because their blindness compels them to concentrate their attention.	我的想法无疑也传达给了他，因为我相信，失明使人的注意力不再分散到外界事物上去，所以使精神交流更加迅速。
I had not long to wait for proof that we were in sympathy in this way.	我们俩的心灵感应很快得到了证实。
Facino Cane left off playing, and came up to me.	法西诺·卡内不再吹奏，他站起身，向我走来。
“Let us go out!” he said; his tones thrilled through me like an electric shock.	“咱们出去吧！”他说，这说话的口气对我产生的效果就像电击一样。
I gave him my arm, and we went.	我让他挽住我的手臂，我们俩走了出去。
Outside in the street he said, “Will you take me back to Venice?	我们来到了街上，他对我说：“你愿意带我回威尼斯吗？
Will you be my guide?	你愿意当我的向导吗？
Will you put faith in me?	你信任我吗？
You shall be richer than ten of the richest houses in Amsterdam or London, richer than Rothschild; in short, you shall have the fabulous wealth of the Arabian Nights.”	你将会比阿姆斯特丹或伦敦的十大富豪更有钱，比罗斯柴尔德家族更有钱，总之，你会像《一千零一夜》所描写的那样富有。” 
The man was mad, I thought; but in his voice there was a potent something which I obeyed.	我心想，这个人疯了。但他的嗓音里有一种威慑力，令我不得不服从。
I allowed him to lead, and he went in the direction of the Fosses de la Bastille, as if he could see; walking till he reached a lonely spot down by the river, just where the bridge has since been built at the junction of the Canal Saint-Martin and the Seine.	我让他带我向前走去，他就像真能看得见似的，带我向巴士底监狱的方向走，一直到了河边一个僻静的位置。后来那里建了一座桥，圣马丹运河跟塞纳河之间才通行无阻。
Here he sat down on a stone, and I, sitting opposite to him, saw the old man’s hair gleaming like threads of silver in the moonlight.	他找了块石头坐下，我坐在老人对面。月光下，老人的白发宛若银丝一般闪烁。
The stillness was scarcely troubled by the sound of the far-off thunder of traffic along the boulevards; the clear night air and everything about us combined to make a strangely unreal scene.	林荫大道的嘈杂声很难传到我们这里，几乎一点儿都没有扰乱周围的静寂，再加上夜晚天清气朗，一切都促使这个场面显得超乎寻常的神奇。
“You talk of millions to a young man,” I began, “and do you think that he will shrink from enduring any number of hardships to gain them?	我先开口了：“您对一个年轻人谈到百万财富，您以为他会踟蹰不前，不敢历尽千难万险去获得这笔财富吗？
Are you not laughing at me?”	您这不是在嘲弄我吗？”
“May I die unshriven,” he cried vehemently, “if all that I am about to tell you is not true.	他气鼓鼓地对我说：“如果我要告诉您的话是假的，就让我死时得不到忏悔。
I was one-and-twenty years old, like you at this moment.	我那时就像您眼下这样，只有二十一岁。
I was rich, I was handsome, and a noble by birth.	我富有、英俊，生来就是个贵族。
I began with the first madness of all—with Love.	我做的第一件疯狂的事就是——恋爱。
I loved as no one can love nowadays.	我爱得那么深，如今没人能比得上我。
I have hidden myself in a chest, at the risk of a dagger thrust, for nothing more than the promise of a kiss.	我甚至躲在一只箱子里，甘愿被人捅一刀，仅仅只为了得到一吻的许诺。
To die for Her—it seemed to me to be a whole life in itself.	为她而死——在我看来这辈子也值了。
In 1760 I fell in love with a lady of the Vendramin family; she was eighteen years old, and married to a Sagredo, one of the richest senators, a man of thirty, madly in love with his wife.	1760年，我爱上了旺德拉米尼家的一个女子。她年方十八，嫁给萨格雷多家，她的丈夫是最富有的议员之一，三十来岁，发狂地爱着他的妻子。
My mistress and I were guiltless as cherubs when the sposo caught us together talking of love.	我的情妇和我，我们俩就像两个小天使一样纯洁无疵。这时，她丈夫发现我们在谈情说爱。
He was armed, I was not, but he missed me; I sprang upon him and killed him with my two hands, wringing his neck as if he had been a chicken.	他拿着剑，我手无寸铁，可是他没有刺中我。我向他扑去，像扭小鸡脖子一样，用双手把他掐死了。
I wanted Bianca to fly with me; but she would not.	我想让毕昂卡和我一起逃走，但她不愿意。
That is the way with women!	女人们就是这样！
So I went alone.	我只能独自离开。
I was condemned to death, and my property was confiscated and made over to my next-of-kin; but I had carried off my diamonds, five of Titian’s pictures taken down from their frames and rolled up, and all my gold.	我被判了刑，他们没收了我的财产，转给了我的近亲。但是我已带走了我的钻石、五幅卷起来的提香的画和我所有的金子。
“I went to Milan, no one molested me, my affair in nowise interested the State.—One small observation before I go further,” he continued, after a pause, “whether it is true or no that the mother’s fancies at the time of conception or in the months before birth can influence her child, this much is certain, my mother during her pregnancy had a passion for gold, and I am the victim of a monomania, of a craving for gold which must be gratified.	“在讲下去以前，先说两句——我来到米兰，用不着惴惴不安，因为我的事丝毫牵涉不到当局。”他停了片刻，又说，“不管一个女人在受孕或怀胎时，她的怪念头对孩子有无影响，但可以确定的是，我的母亲怀上我时对金子很狂热，所以弄得我对黄金有一种癖好，而且这种癖好必须得到满足。
