"咖啡馆里的世界公民","A Cosmopolite in a Cafe"
"“从来没有这样一个地方。”E. 拉什莫尔·科格兰轻蔑地打断了我的话。“这个被称为地球的、有着陆地且两极略扁的球状大行星体，就是我的住所。在国外，我遇到过许许多多被各种东西束缚住的地球公民。月夜之下，我见过一些芝加哥人坐在威尼斯的凤尾船上，大赞自己的排水渠道。我还见过一位南方人，在他被引荐给英格兰国王时，曾不假思索地把他母亲方的一位姑婆与查尔斯顿的珀金斯家联姻的消息报告给了国王。我知道有一个纽约人，曾遭到几名想索取赎金的阿富汗绑匪的劫持。在他的人把赎金送过去之后，他才与中间人一道返回喀布尔。‘阿富汗？’当地人通过翻译向他说道。‘哦，不是很慢，你觉得呢？’‘嗨，我哪里知道。’他说，然后他就开始给他们讲述起第六大道和百老汇的一位出租车司机的事情来。我对这些毫无兴趣。我不会把自己局限在任何直径不足八千英里的地方。只需记下我的名字，E. 拉什莫尔·科格兰，一个世界公民。”","“Nary a spot,” interrupted E. R. Coglan, flippantly.“The terrestrial, globular, planetary hunk of matter, slightly flattened at the poles, and known as the Earth, is my abode.I’ve met a good many object-bound citizens of this country abroad.I’ve seen men from Chicago sit in a gondola in Venice on a moonlight night and brag about their drainage canal.I’ve seen a Southerner on being introduced to the King of England hand that monarch, without batting his eyes, the information that his grandaunt on his mother’s side was related by marriage to the Perkinses, of Charleston.I knew a New Yorker who was kidnapped for ransom by some Afghanistan bandits.His people sent over the money and he came back to Kabul with the agent.‘Afghanistan?’ the natives said to him through an interpreter.‘Well, not so slow, do you think?’‘Oh, I don’t know,’ says he, and he begins to tell them about a cab driver at Sixth avenue and Broadway.Those ideas don’t suit me.I’m not tied down to anything that isn’t 8,000 miles in diameter.Just put me down as E. Rushmore Coglan, citizen of the terrestrial sphere.”"
"说完，他向我郑重道别，然后离去，原因是他认为透过闲谈声，他在烟雾中看到了什么熟人。于是，就剩下我和那位渴望成为长春花的人了，不过他已俯首于维尔茨堡酒樽前，再也无力放言他在谷顶吟唱曲调的豪情壮志了。","My cosmopolite made a large adieu and left me, for he thought he saw some one through the chatter and smoke whom he knew.So I was left with the would-be periwinkle, who was reduced to Wurzburger without further ability to voice his aspirations to perch, melodious, upon the summit of a valley."
"我静坐着，回想着这位真真切切的世界公民，疑惑着那位诗人为何就把他给遗漏了。他是我发现的，我相信他。这是什么缘故呢？“城市孕育的这些人，他们熙熙攘攘地穿梭，却只能依附于各自城市的边缘，犹如孩子偎依在母亲的长袍上一样。”","I sat reflecting upon my evident cosmopolite and wondering how the poet had managed to miss him.He was my discovery and I believed in him.How was it?“The men that breed from them they traffic up and down, but cling to their cities’ hem as a child to the mother’s gown.”"
"但Ｅ. 拉什莫尔·科格兰并非如此。整个世界都是他的——","Not so E. Rushmore Coglan.With the whole world for his—"
"咖啡馆的另一边起了争执，传来巨大的喧闹声，切断了我的思绪。我从就座的客人们的头顶望去，远远看到E. 拉什莫尔·科格兰和一个陌生人激烈地扭打在一起。他们就像泰坦一样在桌子之间来回打斗，酒杯纷纷被砸碎，其他人刚抓起他们的帽子便又被撞倒在地，一位黑发女郎惊声尖叫，而另一位金发女郎开始哼唱起《取笑》。","My meditations were interrupted by a tremendous noise and conflict in another part of the cafe.I saw above the heads of the seated patrons E. Rushmore Coglan and a stranger to me engaged in terrific battle.They fought between the tables like Titans, and glasses crashed, and men caught their hats up and were knocked down, and a brunette screamed, and a blonde began to sing “Teasing.”"
"我认识的这位世界公民依然保持着地球带给他的荣耀和名誉，就在此时，侍者们摆开了有名的楔形推进队形，插入他们二人之间，并将其推出了咖啡馆，尽管他俩仍在反抗。","My cosmopolite was sustaining the pride and reputation of the Earth when the waiters closed in on both combatants with their famous flying wedge formation and bore them outside, still resisting."
"我叫住一位名叫麦卡锡的法国侍者，询问冲突的缘由。","I called McCarthy, one of the French garcons, and asked him the cause of the conflict."
"“那位打着红色领带的人”(就是我认识的那位世界公民)，他说，“他恼怒的原因是另一个人说到了他家乡那糟糕的人行道和供水状况。”","“The man with the red tie” (that was my cosmopolite), said he, “got hot on account of things said about the bum sidewalks and water supply of the place he come from by the other guy.”"
"“可是，”我诧异地问，“他是一位四海为家的人——一位世界公民。他——”","“Why,” said I, bewildered, “that man is a citizen of the world—a cosmopolite.He—”"
"“他说他本是缅因州马特沃姆凯格人，”麦卡锡继续解释道，“而他不能忍受不去说这个地方的坏话。”","“Originally from Mattawamkeag, Maine, he said,” continued McCarthy, “and he wouldn’t stand for no knockin’ the place.”"
