"远在他乡","In a Far Country"
"在小皮尔河上游，他们丢弃了小河船，夏天剩下的时间，他们都在马更些河流域把大量货物运往西拉特河。这条小河汇入波丘派恩河，而波丘派恩河又汇入育空河。在育空河那儿，那条浩瀚的北方交通要道掉头朝北极圈反方向行进。但是他们在与冬天的赛跑中失败了。有一天，他们把木筏拴在厚厚的漩涡冰上，然后匆忙地把他们的货物运上岸。那天晚上，河流多次冻住又裂开；第二天早晨，那条河永远地冻住了。　","Abandoning their river craft at the head-waters of the Little Peel, they consumed the rest of the summer in the great portage over the Mackenzie watershed to the West Rat.This little stream fed the Porcupine, which in turn joined the Yukon where that mighty highway of the North countermarches on the Arctic Circle.But they had lost in the race with winter, and one day they tied their rafts to the thick eddy-ice and hurried their goods ashore.That night the river jammed and broke several times; the following morning it had fallen asleep for good."
"“我们距离育空河不可能超过四百英里。”斯洛珀推断道，他用两个拇指指甲的长度乘以地图的比例尺。委员会快要解体了，在这个委员会中，那两个无用之人一直抱怨，已经使自己处于非常不利的地位。　　　“哈得孙湾标志杆存在于很长时间以前。现在已经不用了。”雅克·巴普蒂斯特的父亲从前为毛皮公司做事时到过这里，附带着用一对冰冻的脚趾留下了痕迹。　　","“We can’t be more ’n four hundred miles from the Yukon,” concluded Sloper, multiplying his thumb nails by the scale of the map.The council, in which the two Incapables had whined to excellent disadvantage, was drawing to a close.“Hudson Bay Post, long time ago.No use um now.”Jacques Baptiste’s father had made the trip for the Fur Company in the old days, incidentally marking the trail with a couple of frozen toes."
"“受够疯子了！”人群中有人喊道，“没有白人吗？”","“Sufferin’ cracky!” cried another of the party.“No whites?”"
"“没有白人，”斯洛珀很简洁地肯定道，“但是到了育空河，只要再往上走五百英里就能到道森了。距离这里大概是一千英里。”","“Nary white,” Sloper sententiously affirmed; “but it’s only five hundred more up the Yukon to Dawson.Call it a rough thousand from here.”"
"韦瑟比和卡斯费特异口同声地抱怨道：","Weatherbee and Cuthfert groaned in chorus."
"“那要花多长时间啊，巴普蒂斯特？”","“How long’ll that take, Baptiste?”"
"这个混血男人计算了一会儿。“极其辛苦地劳作，没有人倒下，也许十天、二十天、四十天、五十天。嗯，孩子们来”（指这两个无用之人），“没人能知道。或许要等到该死的冰全结上的时候，或许不是那时候。”","The half-breed figured for a moment.“Workum like hell, no man play out, ten—twenty—forty—fifty days.Um babies come” (designating the Incapables), “no can tell.Mebbe when hell freeze over; mebbe not then.”"
"雪地鞋和软帮鞋的生产停止了。有人叫了一个不在场的人的名字，被叫到的这个人从营火边的古老木屋里走出来，加入了他们的行列。　这个小木屋是个谜团，它是北方广阔、隐秘的土地上隐藏着的许多谜团中的一个。没有人知道是谁在什么时候建造了它。野外有两个坟墓，用石头堆得很高，或许这其中包含了那些早期流浪者的秘密。但是谁用手垒起了这些石头呢？","The manufacture of snowshoes and moccasins ceased.Somebody called the name of an absent member, who came out of an ancient cabin at the edge of the camp-fire and joined them.The cabin was one of the many mysteries which lurk in the vast recesses of the North.Built when and by whom, no man could tell.Two graves in the open, piled high with stones, perhaps contained the secret of those early wanderers.But whose hand had piled the stones?"
"这一时刻已经到来了。雅克·巴普蒂斯特停下来，装配好挽具，把奋力挣扎的狗按在雪地里。那个厨师为拖延时间做着无声的抗争，他将几块熏肉扔到一个装着豆子噼啪作响的锅里，然后站起来。斯洛珀站起身来。他的身体和那两个无用之人的健壮体格形成了滑稽可笑的对比。他面黄肌瘦，是从南美一个炽热的地方逃出来的，他不间断地跨越了多个地带，但还能和他们一起辛苦劳作。他的体重可能有九十磅，还得算上沉重的猎刀，那灰白的头发说明他的壮年时期已经过了。韦瑟比和卡斯费特年轻力壮，抵得上他十倍的努力，但是他却能在一天的行程里把他们两个走得累趴下。这一整天，他都在鞭打着比他强壮的两个同伴，让他们冒险去走人类所能想象出的最艰难的一千英里道路。他既有他那个民族的不安分，又有古日耳曼人的倔强，还掺杂着美国北方佬一流的理解力和行动力，这些把他的肉体束缚在了精神里。","The moment had come.Jacques Baptiste paused in the fitting of a harness and pinned the struggling dog in the snow.The cook made mute protest for delay, threw a handful of bacon into a noisy pot of beans, then came to attention.Sloper rose to his feet.His body was a ludicrous contrast to the healthy physiques of the Incapables.Yellow and weak, fleeing from a South American fever-hole, he had not broken his flight across the zones, and was still able to toil with men.His weight was probably ninety pounds, with the heavy hunting-knife thrown in, and his grizzled hair told of a prime which had ceased to be.The fresh young muscles of either Weatherbee or Cuthfert were equal to ten times the endeavor of his; yet he could walk them into the earth in a day’s journey.And all this day he had whipped his stronger comrades into venturing a thousand miles of the stiffest hardship man can conceive.He was the incarnation of the unrest of his race, and the old Teutonic stubbornness, dashed with the quick grasp and action of the Yankee, held the flesh in the bondage of the spirit."
"“赞成一结冰就带着狗继续前进的，说一声‘行’。”","“All those in favor of going on with the dogs as soon as the ice sets, say ay.”"
"“行！”八个人的声音响起，这声音注定串起他们在几百英里充满痛苦的道路上的誓言。","“Ay!” rang out eight voices,—voices destined to string a trail of oaths along many a hundred miles of pain."
"“有相反的意见吗？”","“Contrary minded?”"
"“没有！”这是那两个无用之人第一次在不放弃个人利益的情况下和大家达成一致意见。","“No!”For the first time the Incapables were united without some compromise of personal interests."
"“那你们打算怎么做？”韦瑟比用好斗的口吻加了一句。","“And what are you going to do about it?” Weatherbee added belligerently."
"“少数服从多数！少数服从多数！”其他人大声喊道。","“Majority rule!Majority rule!” clamored the rest of the party."
"“我知道如果你不来，这次探险很可能会成为泡影，”斯洛珀温和地答道，“但是我想，如果我们真正努力尝试，少了你我们也能做到。　　你们说呢，伙计们？”","“I know the expedition is liable to fall through if you don’t come,” Sloper replied sweetly; “but I guess, if we try real hard, we can manage to do without you.What do you say, boys?”"
"大家都为他的观点大声喝彩。","The sentiment was cheered to the echo."
"“但是我说，你知道的，”卡斯费特带着焦虑大胆问道，“像我这样的人能做什么呢？”","“But I say, you know,” Cuthfert ventured apprehensively; “what’s a chap like me to do?”"
"“你不和我们一起吗？”","“Ain’t you coming with us?”"
"“是的。”","“No-o.”"
"“那你就爱干什么干什么吧。我们不会什么都不说。”","“Then do as you damn well please.We won’t have nothing to say.”"
"“我看你可以和你那亲爱的伙伴一起解决这件事情。”一个来自达科他州的、非常难缠的西部人建议道，同时指出了韦瑟比。“到了做饭和捡柴火的时候，他一定会问你打算怎么做的。”","“Kind o’ calkilate yuh might settle it with that canoodlin’ pardner of yourn,” suggested a heavy-going Westerner from the Dakotas, at the same time pointing out Weatherbee.“He’ll be shore to ask yuh what yur a-goin’ to do when it comes to cookin’ an’ gatherin’ the wood.”"
"“那么我们就认为一切都安排好了。”斯洛珀总结道，“如果在五英里以内宿营，我们就明天出发——只是让一切准备就绪，再想想我们有没有落下什么东西。”","“Then we’ll consider it all arranged,” concluded Sloper.“We’ll pull out to-morrow, if we camp within five miles,—just to get everything in running order and remember if we ’ve forgotten anything.”"
"雪橇的钢铁滑板一路上吱嘎作响，狗低着身子用力拉雪橇，它们生来就是要死在挽具里的。雅克·巴普蒂斯特停在斯洛珀的旁边，想看木屋最后一眼。薄薄的烟雾从育空河边的火炉管里袅袅升起。那两个无用之人正在门口看着他们。","The sleds groaned by on their steel-shod runners, and the dogs strained low in the harnesses in which they were born to die.Jacques Baptiste paused by the side of Sloper to get a last glimpse of the cabin.The smoke curled up pathetically from the Yukon stove-pipe.The two Incapables were watching them from the doorway."
"斯洛珀把手放在巴普蒂斯特的肩上。","Sloper laid his hand on the other’s shoulder."
"“雅克·巴普蒂斯特，你听说过基尔肯尼猫吗？”","“Jacques Baptiste, did you ever hear of the Kilkenny cats?”"
"那个混血儿摇了摇头。","The half-breed shook his head."
"“我的朋友，我的好伙伴，基尔肯尼猫打起架来时，直到兽皮、毛发，以及号叫声都没有了，才会住手。你明白吗？直到一无所有。非常好。好吧，这两个人不喜欢工作。他们不会工作的。我们知道这一点。整个冬天——一个非常漫长、黑暗的冬天，他们都会独自呆在那个木屋里。打起架来不顾死活的动物，是吧？”","“Well, my friend and good comrade, the Kilkenny cats fought till neither hide, nor hair, nor yowl, was left.You understand?—till nothing was left.Very good.Now, these two men don’t like work.They won’t work.We know that.They’ll be all alone in that cabin all winter,—a mighty long, dark winter.Kilkenny cats,—well?”"
"巴普蒂斯特身上像法国人的那一面让他耸了耸肩，但是像印第安人的那一面却令他沉默不语。然而，他这次耸肩却是意味深长，预示着什么事情。","The Frenchman in Baptiste shrugged his shoulders, but the Indian in him was silent.Nevertheless, it was an eloquent shrug, pregnant with prophecy."
"一开始，小木屋里一切进展顺利。同伴们刺耳的玩笑话让韦瑟比和卡斯费特意识到了他们共同承担的责任，而且，毕竟没有那么多的活供两个强健的男人做。没有了那个残忍的“鞭子手”，或者换句话说，没有了那个胁迫他们做事的混血儿，他们变得高兴起来。刚开始，他们都努力胜过对方，琐碎的事情也做得津津有味。他们那些现在正长途跋涉、身心俱疲的同伴们若是知道了，一定会瞠目结舌的。","Things prospered in the little cabin at first.The rough badinage of their comrades had made Weatherbee and Cuthfert conscious of the mutual responsibility which had devolved upon them; besides, there was not so much work after all for two healthy men.And the removal of the cruel whip-hand, or in other words the bulldozing half-breed, had brought with it a joyous reaction.At first, each strove to outdo the other, and they performed petty tasks with an unction which would have opened the eyes of their comrades who were now wearing out bodies and souls on the Long Trail."
"所有的忧虑都消除了。森林从三面围绕着他们，那是个用之不竭的堆木场。离他们的门几码远的地方，波丘派恩河静静地流淌着，在它冬天的长袍上钻个洞就能带来一股冒着泡的泉水，那水如水晶般清澈，但带着刺骨的寒意。但他们很快就连那个洞都要埋怨。那个洞会不断结起冰来，这样他们就得痛苦地花很多个小时去凿冰。这个木屋无名的建造者们把旁木延长，以支撑起屋后的储藏室。其中储藏着这群人的大量食物。食物供应没有限制，那些食物的数量是注定要以它为生的人们所需数量的三倍。但是大部分食物是用来积蓄体力和精力的，唤不醒人的味觉。诚然，这里有充足的糖可供两个普通人吃，但是这两个人吃的糖不比孩子少。他们早就发现了热水与糖巧妙融合带来的好处，浪费地把烙饼和面包皮浸泡在白色的浓糖浆里。而咖啡和茶，尤其是果干，则大大增加了糖的消耗。他们之间的第一次口角就是关于糖的问题。一对完全依赖对方的伙伴开始争吵，这真的是一件严重的事。","All care was banished.The forest, which shouldered in upon them from three sides, was an inexhaustible woodyard.A few yards from their door slept the Porcupine, and a hole through its winter robe formed a bubbling spring of water, crystal clear and painfully cold.But they soon grew to find fault with even that.The hole would persist in freezing up, and thus gave them many a miserable hour of ice-chopping.The unknown builders of the cabin had extended the side-logs so as to support a cache at the rear.In this was stored the bulk of the party’s provisions.Food there was, without stint, for three times the men who were fated to live upon it.But the most of it was of the kind which built up brawn and sinew, but did not tickle the palate.True, there was sugar in plenty for two ordinary men; but these two were little else than children.They early discovered the virtues of hot water judiciously saturated with sugar, and they prodigally swam their flapjacks and soaked their crusts in the rich, white syrup.Then coffee and tea, and especially the dried fruits, made disastrous inroads upon it.The first words they had were over the sugar question.And it is a really serious thing when two men, wholly dependent upon each other for company, begin to quarrel."
"韦瑟比喜欢公然讨论政治，而卡斯费特要么忽略这个话题，要么就说些令人吃惊的警句。他常常会剪他的息票，让国家尽量平稳运行下去。但是这个职员太愚钝，无法理解巧妙的思维方式，白白浪费了攻击别人的炮弹，这激怒了卡斯费特。他已经习惯了用他的才智去蒙蔽人们，因此失去了一个听众，这对他来说是一件很艰难的事。他自己感到愤愤不平，而且不自觉地把这些归咎到他那笨蛋同伴身上。","Weatherbee loved to discourse blatantly on politics, while Cuthfert, who had been prone to clip his coupons and let the commonwealth jog on as best it might, either ignored the subject or delivered himself of startling epigrams.But the clerk was too obtuse to appreciate the clever shaping of thought, and this waste of ammunition irritated Cuthfert.He had been used to blinding people by his brilliancy, and it worked him quite a hardship, this loss of an audience.He felt personally aggrieved and unconsciously held his mutton-head companion responsible for it."
"除了都活着，他们没有任何共同点——没有任何一点促使他们交往。韦瑟比是个职员，一生中除了当职员以外什么也不懂；卡斯费特是一个艺术家，一个业余的油画家，而且写过不少东西。一个是把自己当成绅士的下等人，而另一个是知道自己身份的绅士。从这一点来看，我们可以说，一个对真正的友好情谊没有初始直觉的人也能成为绅士。职员易受感官影响，正如另一个具有审美情趣一样。职员详细地讲述他的爱情奇遇，而那大部分都是他想象出来的。这个过度敏感的艺术家感觉这些故事就如同阴沟里袭来的阵阵臭气一样。他认为这个职员是个肮脏、没有教养的笨蛋，该和猪一起呆在粪堆中，他就这样和职员说了；而他得到的回复是，他是个软弱无能、女里女气的无赖。韦瑟比不能把自己的一生定义为“无赖”，但是生命的意义实现了，毕竟那似乎是生活的主旋律。","Save existence, they had nothing in common,—came in touch on no single point.Weatherbee was a clerk who had known naught but clerking all his life; Cuthfert was a master of arts, a dabbler in oils, and had written not a little.The one was a lower-class man who considered himself a gentleman, and the other was a gentleman who knew himself to be such.From this it may be remarked that a man can be a gentleman without possessing the first instinct of true comradeship.The clerk was as sensuous as the other was aesthetic, and his love adventures, told at great length and chiefly coined from his imagination, affected the supersensitive master of arts in the same way as so many whiffs of sewer gas.He deemed the clerk a filthy, uncultured brute, whose place was in the muck with the swine, and told him so; and he was reciprocally informed that he was a milk-and-water sissy and a cad.Weatherbee could not have defined “cad” for his life; but it satisfied its purpose, which after all seems the main point in life."
"韦瑟比每唱两个音就降一个调，他唱的是诸如《波士顿的小偷》和《帅气的木屋男孩》之类的歌曲，一唱就是几个小时，而卡斯费特气得掉泪，直到他再也忍受不了，逃到寒冷的屋外。但是他逃也逃不掉。人在严寒中呆不了多久，而小小的木屋中塞满了东西——床、炉子、桌子等等——一切都挤到了这十乘十二的空间内。一个人的存在成为了对另一个人的冒犯，他们陷入了死气沉沉的沉默中，而且随着日子一天天过去，沉默的长度和强度都在增加。尽管他们尽力在这些沉默的时刻完全忽略对方，但占上风的那个偶尔也会瞥一眼对方或者撇撇嘴。他们两个心里都生出一个很大的疑惑，就是上帝怎么就创造了对方。","Weatherbee flatted every third note and sang such songs as “The Boston Burglar” and “The Handsome Cabin Boy,” for hours at a time, while Cuthfert wept with rage, till he could stand it no longer and fled into the outer cold.But there was no escape.The intense frost could not be endured for long at a time, and the little cabin crowded them—beds, stove, table, and all—into a space of ten by twelve.The very presence of either became a personal affront to the other, and they lapsed into sullen silences which increased in length and strength as the days went by.Occasionally, the flash of an eye or the curl of a lip got the better of them, though they strove to wholly ignore each other during these mute periods.And a great wonder sprang up in the breast of each, as to how God had ever come to create the other."
"由于没有什么事做，时间对他们来说成了难以忍受的负担。这很自然地使他们变得更懒了。他们不可避免地陷入了身体乏力的状态，而这使得他们连最小的事都不愿意做。一天早晨，轮到韦瑟比给两个人做早餐时，他爬出毛毯，和着同伴的呼噜声，先点着那盏粗劣的灯，然后生了火。水壶冻得很结实，而木屋里又没有水可以拿来洗。但是他对此并不介意。在等着它融化的时候，他切了熏肉片，然后开始做面包，这是他非常讨厌干的活。卡斯费特一直半睁着眼睛，偷偷地注视着这些。结果出现了这样的场景，他们热诚地祝福彼此，而且同意从此以后各做各的饭。一周以后，卡斯费特不再洗晨浴，但是他还是很满足地吃着自己做的饭。韦瑟比咧着嘴笑。从那以后，洗浴这个愚蠢的习惯从他们的生活中消失了。","With little to do, time became an intolerable burden to them.This naturally made them still lazier.They sank into a physical lethargy which there was no escaping, and which made them rebel at the performance of the smallest chore.One morning when it was his turn to cook the common breakfast, Weatherbee rolled out of his blankets, and to the snoring of his companion, lighted first the slush-lamp and then the fire.The kettles were frozen hard, and there was no water in the cabin with which to wash.But he did not mind that.Waiting for it to thaw, he sliced the bacon and plunged into the hateful task of bread-making.Cuthfert had been slyly watching through his half-closed lids.Consequently there was a scene, in which they fervently blessed each other, and agreed, thenceforth, that each do his own cooking.A week later, Cuthfert neglected his morning ablutions, but none the less complacently ate the meal which he had cooked.Weatherbee grinned.After that the foolish custom of washing passed out of their lives."
"随着糖和其他为数不多的奢侈品的减少，他们开始担心得不到自己应有的那一份，为了避免东西被抢，他们开始拼命地吃。这些奢侈品在这两个贪食者的争夺战中遭了秧，而这两个人也吃了苦头。在缺少新鲜蔬菜、缺乏锻炼的情况下，他们的血液质量下降，他们的身上生出一种令人厌恶的紫色皮疹。但他们却对这样的警告毫不在意。接下来，他们的肌肉和关节开始肿胀，肉开始变黑，而他们的嘴、牙龈和嘴唇呈现出浓浓的奶油的颜色。他们没有因为遭受痛苦而联合起来，相反，他们幸灾乐祸地看着对方身上坏血病的各种症状。","As the sugar-pile and other little luxuries dwindled, they began to be afraid they were not getting their proper shares, and in order that they might not be robbed, they fell to gorging themselves.The luxuries suffered in this gluttonous contest, as did also the men.In the absence of fresh vegetables and exercise, their blood became impoverished, and a loathsome, purplish rash crept over their bodies.Yet they refused to heed the warning.Next, their muscles and joints began to swell, the flesh turning black, while their mouths, gums, and lips took on the color of rich cream.Instead of being drawn together by their misery, each gloated over the other’s symptoms as the scurvy took its course."
"他们失去了对个人形象的全部关注，而且也没有了基本的体面。木屋变成了猪圈，他们从来没有整理过床铺，也从来没有把新鲜松树枝放到下面去。然而他们却不能如愿以偿一直躺在毛毯里，因为严寒不可阻挡，而火膛要烧很多燃料。他们头上和脸上的毛发长长了，并且蓬乱不堪，身上的衣服连拾荒的人见了都会感到恶心。但是他们不介意。他们病了，但是这里没有人看病；况且，走来走去也很痛苦。","They lost all regard for personal appearance, and for that matter, common decency.The cabin became a pigpen, and never once were the beds made or fresh pine boughs laid underneath.Yet they could not keep to their blankets, as they would have wished; for the frost was inexorable, and the fire box consumed much fuel.The hair of their heads and faces grew long and shaggy, while their garments would have disgusted a ragpicker.But they did not care.They were sick, and there was no one to see; besides, it was very painful to move about."
