"作者：弗吉尼亚·伍尔夫","by Virginia Woolf "
"（六月里树木枝繁叶茂。皮姆利科的慈母们在给小孩喂奶。时不时有讯息从舰队街传到海军部。繁华的阿灵顿街和皮卡迪利大街仿佛使公园里热气蒸腾，绚烂的树叶翻飞在活力充沛的气浪上，克拉丽莎深爱这神圣的生命力。跳舞啊，骑马啊，她都喜欢。）","(June had drawn out every leaf on the trees.The mothers of Pimlico gave suck to their young.Messages were passing from the Fleet to the Admiralty.Arlington Street and Piccadilly seemed to chafe the very air in the Park and lift its leaves hotly, brilliantly, on waves of that divine vitality which Clarissa loved.To dance, to ride, she had adored all that.)"
"他俩素未谋面也许好几百年了，彼得与她；她从未给他写信，而他的来信也写得干瘪枯燥；但是她冷不防会想起，若此时他在她身边他会说些什么呢？——某些日子、某些情景会让她静静地想起他，昔日的怨尤不复存在，这大概是对关心照顾别人的回报；她又想起一个明媚的早晨，他俩回到圣詹姆斯公园中央的情景——事实也如此。然而彼得——不论日子多么美好，树丛和草地、以及身穿粉红衣衫的小姑娘多么赏心悦目——彼得全都视若无睹。他会戴上眼镜的，要是她吩咐的话；他会瞅瞅。他关注的是世界形势，瓦格纳的音乐，蒲伯的诗，人类永恒的特性，以及她自身灵魂的缺陷。他是那样地斥责她！他俩是那样地争辩！他说她将嫁给首相并伫立在楼梯顶层；他称呼她为完美女主人（她曾在卧室为此哭泣），他说她天生就具有成为完美女主人的潜质。","For they might be parted for hundreds of years, she and Peter; she never wrote a letter and his were dry sticks; but suddenly it would come over her. If he were with me now what would he say?—some days, some sights bringing him back to her calmly, without the old bitterness; which perhaps was the reward of having cared for people; they came back in the middle of St. James’s Park on a fine morning—indeed they did.But Peter—however beautiful the day might be, and the trees and the grass, and the little girl in pink—Peter never saw a thing of all that.He would put on his spectacles, if she told him to; he would look.It was the state of the world that interested him; Wagner, Pope’s poetry, people’s characters eternally, and the defects of her own soul.How he scolded her!How they argued!She would marry a Prime Minister and stand at the top of a staircase; the perfect hostess he called her (she had cried over it in her bedroom), she had the makings of the perfect hostess, he said."
"于是她觉得自己还是在圣詹姆斯公园争辩着，还是声称她一直都没错——她也的确没错——没有嫁给他。因为在婚姻这张小小的证书里，同一个屋子天天相伴的夫妇一定要有小小的自主权；理查德给了她这种权利，她也满足了他。（例如他今儿早上去哪了？去某个委员会吧，她从来不问。）可彼得却要分享她的每件事情，而且都要知根知底。真让人无法容忍，而出现了那小巧的花园喷泉旁的场面后，她不得不与他断绝关系，不然他俩都要毁灭，双方都会崩溃，她毫不怀疑；尽管如此，她蒙受了多年如箭穿心的悲戚与苦痛；继而是那恐怖的一刻，有人在一次音乐会上向她透露，彼得已同在去往印度船上结识的一个女人结婚了！这一切她永不会忘却！冷漠、没心没肺、假正经，他如此责怪她。她永远不能明白他百般的关怀。不过那些印度女人可能明白——那傻傻的、俊俏的、娇弱的蠢货们。而她是在浪费自己的同情。因为他要她相信他过得很幸福——非常幸福，即使没做过一件他俩讨论过的事；他整个人生是个失败。这令她更加愤怒。","So she would still find herself arguing in St. James’s Park, still making out that she had been right—and she had too—not to marry him.For in marriage a little licence, a little independence there must be between people living together day in day out in the same house; which Richard gave her, and she him.(Where was he this morning for instance?Some committee, she never asked what.) But with Peter everything had to be shared; everything gone into.And it was intolerable, and when it came to that scene in the little garden by the fountain, she had to break with him or they would have been destroyed, both of them ruined, she was convinced; though she had borne about with her for years like an arrow sticking in her heart the grief, the anguish; and then the horror of the moment when some one told her at a concert that he had married a woman met on the boat going to India!Never should she forget all that!Cold, heartless, a prude, he called her.Never could she understand how he cared.But those Indian women did presumably—silly, pretty, flimsy nincompoops.And she wasted her pity.For he was quite happy, he assured her—perfectly happy, though he had never done a thing that they talked of; his whole life had been a failure.It made her angry still."
"她已走到公园门口了。她站了一会儿，注视着皮卡迪利大街上穿梭的公共汽车。","She had reached the Park gates.She stood for a moment, looking at the omnibuses in Piccadilly."
"如今她不想谈论世上任何人这样那样的是非。她觉得她十分青春，然而又无法形容地衰老。她就像刀一样切入每件事物，却又置身事外、袖手旁观。她观察着来往的出租马车，内心总有一种自己是远远地、远远地独自在海边的感觉；她总觉得即使活上一天也非常、非常危险。倒不是她认为自己聪敏或是不同凡响。她想不明白她是怎样用丹尼尔斯小姐传授的这点浅薄的学识生活下来的。她一无所知，不懂语言，不晓历史。除了在床上看看自传，她现在几乎不看书。可是对她来说有致命吸引力的是眼下的事物，这一切，穿梭的出租马车。她不想谈论彼得，她也不愿意谈论自己，说自己这样或者那样。","She would not say of any one in the world now that they were this or were that.She felt very young; at the same time unspeakably aged.She sliced like a knife through everything; at the same time was outside, looking on.She had a perpetual sense, as she watched the taxi cabs, of being out, out, far out to sea and alone; she always had the feeling that it was very, very dangerous to live even one day.Not that she thought herself clever, or much out of the ordinary.How she had got through life on the few twigs of knowledge Fraulein Daniels gave them she could not think.She knew nothing; no language, no history; she scarcely read a book now, except memoirs in bed; and yet to her it was absolutely absorbing; all this; the cabs passing; and she would not say of Peter, she would not say of herself, I am this, I am that."
"她仅有的天赋则是几乎能靠直觉识透别人，她沉思着，继续走着。要是让她和谁同处一室，她会如猫一般立即警惕地弓着背；要么她就猫一般得意地传出呜呜的声音。德文郡府邸、巴斯伯爵府、陈列着瓷凤头鹦鹉的宅第，她曾见过它们都灯火辉煌的时候；还记着西尔维娅、弗雷德、萨莉·西顿——如此一大群人，跳了一整夜的舞；四轮马车沉重缓慢地经过，赶往市场；她开车横穿公园回家。她记得曾往公园的瑟彭泰恩湖里投过一先令钱币。但是每个人都记得这样的事；她喜爱的是这一切、此地、此时、就在她面前；坐在出租马车里的丰满女人。那这要紧吗，她问自己，一面走向邦德街，要紧吗，她的生命难免会彻底终结；没有她一切仍会继续；她是否觉得怨恨？或者认为一死了之不也会给人带来一丝慰藉？但是不知何故在伦敦的大街上，在这里、在那里，经历了人世盛衰，她幸存下来了，彼得幸存下来了，活在彼此的心中。她坚信自己是故乡树林的一部分，是那栋丑陋的、破败不堪的房屋的一部分，是那些素未谋面的人们的一部分。她如薄雾一般在最熟悉的人们中间铺散开来，这些人把她擎在他们的枝蔓上，正如她曾见过的树木托着薄雾，而她却蔓延得如此遥远，她的生活、她自身。可她透过哈查德书店陈列窗时在幻想什么？她试图回想什么？当她读到翻开的书上的两行诗时，会构想出白色拂晓的乡村何等的场景？","Her only gift was knowing people almost by instinct, she thought, walking on.If you put her in a room with some one, up went her back like a cat’s; or she purred.Devonshire House, Bath House, the house with the china cockatoo, she had seen them all lit up once; and remembered Sylvia, Fred, Sally Seton—such hosts of people; and dancing all night; and the waggons plodding past to market; and driving home across the Park.She remembered once throwing a shilling into the Serpentine.But every one remembered; what she loved was this, here, now, in front of her; the fat lady in the cab.Did it matter then, she asked herself, walking towards Bond Street, did it matter that she must inevitably cease completely; all this must go on without her; did she resent it; or did it not become consoling to believe that death ended absolutely?but that somehow in the streets of London, on the ebb and flow of things, here, there, she survived, Peter survived, lived in each other, she being part, she was positive, of the trees at home; of the house there, ugly, rambling all to bits and pieces as it was; part of people she had never met; being laid out like a mist between the people she knew best, who lifted her on their branches as she had seen the trees lift the mist, but it spread ever so far, her life, herself.But what was she dreaming as she looked into Hatchards’ shop window?What was she trying to recover?What image of white dawn in the country, as she read in the book spread open:"
"不要再怕炎炎骄阳，不要再怕寒冬肆虐。","Fear no more the heat o’ the sun Nor the furious winter’s rages."
"最近世界遭受的一切已使他们全部人的内心，所有男女都泪泉奔涌。泪与悲、勇与忍、刚正不阿与坚韧不拔。譬如，想到她最崇拜的那位女士——贝克斯伯勒女士——她主持义卖开幕式的情景吧。","This late age of the world’s experience had bred in them all, all men and women, a well of tears.Tears and sorrows; courage and endurance; a perfectly upright and stoical bearing.Think, for example, of the woman she admired most, Lady Bexborough, opening the bazaar."
"陈列窗里有耶罗克斯的《旅游与欢宴》，还有《浸透肥皂的海绵》以及阿斯奎思夫人的《回忆录》和《尼日利亚射杀大猎物纪行》，都翻开着。那里向来就有很多书，但是看上去没有一本书十分适合给护理院的伊夫琳·惠特布雷德捎去。那个女人枯瘦娇小得无法形容，没有哪一本书能逗她开心，就连克拉丽莎到来时也不能让她显出片刻的热诚；接着他们坐下来开始喋喋不休地谈论妇科病。她多期望如此——人们在她到来时脸上会显露出愉悦的神情，克拉丽莎思索着，转身重新向邦德街走去，颇为不悦，因为为了其他什么原因做事情是很愚蠢的。她更愿自己像理查德一样，做事情只考虑自己。而她呢，她在等待过街时心里想半数时间她做事情并不是为了这些事情本身，而是为了使人这样想或那样想。她知道这是极端愚蠢的（此时警察在举手示意），因为没人受会上当，哪怕一秒钟。哎！要是她的人生可以重来就好了！她一边踏上人行道，一边思索，甚至连长相都不一样呢！","There were Jorrocks’ Jaunts and Jollities; there were Soapy Sponge and Mrs. Asquith’s Memoirs and Big Game Shooting in Nigeria, all spread open.Ever so many books there were; but none that seemed exactly right to take to Evelyn Whitbread in her nursing home.Nothing that would serve to amuse her and make that indescribably dried-up little woman look, as Clarissa came in, just for a moment cordial; before they settled down for the usual interminable talk of women’s ailments.How much she wanted it—that people should look pleased as she came in, Clarissa thought and turned and walked back towards Bond Street, annoyed, because it was silly to have other reasons for doing things.Much rather would she have been one of those people like Richard who did things for themselves, whereas, she thought, waiting to cross, half the time she did things not simply, not for themselves; but to make people think this or that; perfect idiocy she knew (and now the policeman held up his hand) for no one was ever for a second taken in.Oh if she could have had her life over again!she thought, stepping on to the pavement, could have looked even differently!"
"首先，她会像贝克斯伯勒女士一般黑，长着褶皱皮革似的皮肤和漂亮的双眸。像贝克斯伯勒女士一样，她从容高贵、身材硕大，像男人一般爱好政治，在乡下有一处住宅，十分庄重，十分诚挚。而她自己的身材却像豌豆杆般瘦小，一张小脸令人发笑，嘴尖如喙。事实上她仪态优雅，手脚秀美，花钱很少却穿着得体。然而如今时不时她披着的这副躯体（她停下来凝视一幅荷兰画作），就是这副躯体，以及它拥有的种种功能好像都不存在了——完全不存在了。她有一种最怪异的感觉，以为自己无影无形、无人能见、无人所知；如今再也不用结婚，再也不用生养孩子，要做的只是这样惊奇又极庄重地与其他人一起往前走，沿邦德街上行。这是达洛维夫人，甚至再不是克拉丽莎，这是理查德·达洛维夫人。","She would have been, in the first place, dark like Lady Bexborough, with a skin of crumpled leather and beautiful eyes.She would have been, like Lady Bexborough, slow and stately; rather large; interested in politics like a man; with a country house; very dignified, very sincere.Instead of which she had a narrow pea-stick figure; a ridiculous little face, beaked like a bird’s.That she held herself well was true; and had nice hands and feet; and dressed well, considering that she spent little.But often now this body she wore (she stopped to look at a Dutch picture), this body, with all its capacities, seemed nothing—nothing at all.She had the oddest sense of being herself invisible; unseen; unknown; there being no more marrying, no more having of children now, but only this astonishing and rather solemn progress with the rest of them, up Bond Street, this being Mrs. Dalloway; not even Clarissa any more; this being Mrs. Richard Dalloway."
"邦德街让她着迷。旺季中清早的邦德街，街上旗儿飘飘，店铺，看不见大肆铺张，看不见庸俗炫耀；一卷斜纹软呢陈放在她父亲买衣服达五十年之久的一家店里，几粒珍珠，冰块上放着的大马哈鱼。","Bond Street fascinated her; Bond Street early in the morning in the season; its flags flying; its shops; no splash; no glitter; one roll of tweed in the shop where her father had bought his suits for fifty years; a few pearls; salmon on an iceblock."
"“就是这些。”她说着，一边望着鱼贩的店。“就是这些。”她又说道，在一家手套商店的橱窗前停留片刻。战前，人们在那里能买到上好的手套。她年迈的威廉叔叔过去经常说从穿戴的鞋子和手套就能了解一个女人。战事期间的一个早晨，他在自己的床上逝去。他以前说过：“我经历的已经足够。”说到手套和鞋，她酷爱手套，可她的亲生女儿——她的伊丽莎白——对二者都毫无兴致。","“That is all,” she said, looking at the fishmonger’s.“That is all,” she repeated, pausing for a moment at the window of a glove shop where, before the War, you could buy almost perfect gloves.And her old Uncle William used to say a lady is known by her shoes and her gloves.He had turned on his bed one morning in the middle of the War.He had said, “I have had enough.”Gloves and shoes; she had a passion for gloves; but her own daughter, her Elizabeth, cared not a straw for either of them."
"毫无兴致，她想着，持续沿邦德街上行，走向她每次举行宴会时为她预留鲜花的一个商店。伊丽莎白最在乎的实际上是她的狗。今儿早晨，房屋四处满是焦油味。虽然如此，不幸的小狗格丽泽尔仍胜过基尔曼小姐；犬疫和焦油味以及诸如此类的事情仍好过关在令人窒息的寝室里读一本祈祷书！任何事情都比这强，她几乎要这样说。不过这也许仅仅是一段时期，像理查德所言，诸如每个姑娘都会经历的那样。也许是坠入爱河。可是为何喜爱基尔曼小姐？她确实遭受过虐待，人们须体谅那点。理查德还说她非常有才干，具备真正的历史思维。不管怎么说，她俩是如影随形，伊丽莎白——她亲生的女儿——去参领圣餐了；至于她的着装怎样，她怎样对待前来享用午餐的宾客，她都毫不关心。因为她的经验就是对宗教的痴迷会让人麻木（笃信事业也会这样），让人情感冷漠。因为基尔曼小姐愿为俄国人做一切事情，愿替奥地利人食不果腹。可是私人的事情却给人以极度的折磨，她是如此无情，总披着一件绿色的防水外套。年复一年，她总穿着那件外套；她汗津津的，哪怕是呆在房里五分钟，她准让你感受到她的优越，你的卑微；她那么贫困，你那么殷富；她是怎样住在一个连垫子、床、小块地毯诸如此类都稀缺的贫民窟里啊。她整个灵魂都随根深蒂固的怨恨锈蚀了。战时她遭学校勒令退学——如此可怜的、满腹辛酸的、不幸的人！其实为人所憎的不是她本人，而是她的观点。毋庸置疑，她的想法在很大程度上有悖于她作为基尔曼小姐的本性；她化为了人们夜里与之争斗的幽灵中的一员，那种骑在我们身上吸干我们一半鲜血的幽灵之一，变为主宰者和专制者的一员；因为毫无疑问，若重新投骰，要是黑色而不是白色占上风，她也许会爱上基尔曼小姐！不过在此世不会。绝不。然而，这激怒了她，任这个暴戾的怪物扰乱她的内心！她在她的灵魂——这片枝叶繁茂的森林深处听见了树枝的断裂声、马蹄的踩踏声，永远感觉不到十分地满足或完全地可靠。因为这个暴徒随时都会捣乱，尤其从她生病以来，这仇恨使她有被擦伤、脊骨疼痛之感，使她的肉体感到痛苦，还让她在漂亮、友情、健康、关爱以及打造快乐之家中享受的所有愉悦出现动摇、颤抖和扭曲，好像确实有个怪物在挖掘根基，就像披在心满意足之上的全副铠甲仅仅是自我陶醉一般！这样的仇恨！","Not a straw, she thought, going on up Bond Street to a shop where they kept flowers for her when she gave a party.Elizabeth really cared for her dog most of all.The whole house this morning smelt of tar.Still, better poor Grizzle than Miss Kilman; better distemper and tar and all the rest of it than sitting mewed in a stuffy bedroom with a prayer book!Better anything, she was inclined to say.But it might be only a phase, as Richard said, such as all girls go through.It might be falling in love.But why with Miss Kilman?who had been badly treated of course; one must make allowances for that, and Richard said she was very able, had a really historical mind.Anyhow they were inseparable, and Elizabeth, her own daughter, went to Communion; and how she dressed, how she treated people who came to lunch she did not care a bit, it being her experience that the religious ecstasy made people callous (so did causes); dulled their feelings, for Miss Kilman would do anything for the Russians, starved herself for the Austrians, but in private inflicted positive torture, so insensitive was she, dressed in a green mackintosh coat.Year in year out she wore that coat; she perspired; she was never in the room five minutes without making you feel her superiority, your inferiority; how poor she was; how rich you were; how she lived in a slum without a cushion or a bed or a rug or whatever it might be, all her soul rusted with that grievance sticking in it, her dismissal from school during the War—poor embittered unfortunate creature!For it was not her one hated but the idea of her, which undoubtedly had gathered into itself a great deal that was not Miss Kilman; had become one of those spectres with which one battles in the night; one of those spectres who stand astride us and suck up half our life-blood, dominators and tyrants; for no doubt with another throw of the dice, had the black been uppermost and not the white, she would have loved Miss Kilman!But not in this world. No.It rasped her, though, to have stirring about in her this brutal monster!to hear twigs cracking and feel hooves planted down in the depths of that leaf-encumbered forest, the soul; never to be content quite, or quite secure, for at any moment the brute would be stirring, this hatred, which, especially since her illness, had power to make her feel scraped, hurt in her spine; gave her physical pain, and made all pleasure in beauty, in friendship, in being well, in being loved and making her home delightful rock, quiver, and bend as if indeed there were a monster grubbing at the roots, as if the whole panoply of content were nothing but self love! this hatred!"
"荒唐、无聊！她朝自己叫喊，同时推动花商马尔伯里店里的旋转门。","Nonsense, nonsense!she cried to herself, pushing through the swing doors of Mulberry’s the florists."
"她向前走去，体态轻盈、身材颀长、腰板笔直，长着一张纽扣般圆脸的皮姆小姐立即前来迎接。她的手永远显出明亮的红色，像是一直擎着花插在冰冷的水中一般。","She advanced, light, tall, very upright, to be greeted at once by button-faced Miss Pym, whose hands were always bright red, as if they had been stood in cold water with the flowers."
