"魔鬼和汤姆·沃克","The Devil and Tom Walker"
"“你在我的地盘上干什么？”这个黑汉用嘶哑的声音咆哮道。","“What are you doing in my grounds?” said the black man, with a hoarse growling voice."
"“你的地盘？”汤姆冷笑道，“这块地既不是我的也不是你的，这块地是教堂执事皮博迪的。”","“Your grounds?” said Tom, with a sneer; “no more your grounds than mine: they belong to Deacon Peabody.”"
"“教堂执事皮博迪该进地狱了，”陌生人说道，“当我是自夸吧，如果他不多想想自己的罪孽，少想想邻居的罪孽，他总会有那一天的。看看那边，看看教堂执事皮博迪的情况吧。”","“Deacon Peabody be d—d,” said the stranger, “as I flatter myself he will be, if he does not look more to his own sins and less to his neighbor’s.Look yonder, and see how Deacon Peabody is faring.”"
"汤姆朝陌生人指的方向望去，看到一棵大树，虽然美丽茂盛，树心却腐烂了，看得出它已经几乎被砍断了，所以一阵大风就能把它吹倒。树皮上刻着教堂执事皮博迪的名字。他又向四周瞧了瞧，发现大多数的大树上都刻着殖民时期一些大人物的名字，而且多多少少都被斧子砍过。他坐的这一棵，明显是刚刚被砍倒的，树上刻着克劳宁希尔德的名字，汤姆想到了一个很有钱有势的人，也叫这个名字，他常常庸俗地炫耀他的财富，人们都说他的财产是海上打劫而来的。","Tom looked in the direction that the stranger pointed, and beheld one of the great trees, fair and flourishing without, but rotten at the core, and saw that it had been nearly hewn through, so that the first high wind was likely to blow it down.On the bark of the tree was scored the name of Deacon Peabody.He now looked round and found most of the tall trees marked with the names of some great men of the colony, and all more or less scored by the axe.The one on which he had been seated, and which had evidently just been hewn down, bore the name of Crowninshield; and he recollected a mighty rich man of that name, who made a vulgar display of wealth, which it was whispered he had acquired by buccaneering."
"“它就要当柴烧了！”这黑汉一边说，一边得意地哼了一声，“你看见了，我今年冬天的柴火会很充足。”","“He’s just ready for burning!” said the black man, with a growl of triumph.“You see I am likely to have a good stock of firewood for winter.”"
"“但是你有什么权利，”汤姆说，“砍掉教堂执事皮博迪的木材？”","“But what right have you,” said Tom, “to cut down Deacon Peabody’s timber?”"
"“优先权，”他说道，“这片树林早在你们这些白人踏上这片土地之前就已经属于我了。”","“The right of prior claim,” said the other.“This woodland belonged to me long before one of your white-faced race put foot upon the soil.”"
"“朋友，我斗胆问问，你是谁啊？”汤姆说。","“And pray, who are you, if I may be so bold?” said Tom."
"“哦，我有很多名字。有些国家叫我野猎人；其他国家则叫我黑矿工。在附近这一带，大家叫我黑樵夫。红种人把这片土地献给了我，不时烤一个白人，献给我当美味的祭品。自从红种人被你们野蛮的白人赶尽杀绝后，我就主持迫害贵格会教徒和再洗礼派教徒的仪式，当作消遣；我是奴隶贩子的重要赞助人和保护者，塞勒姆巫师的大总管。”","“Oh, I go by various names.I am the Wild Huntsman in some countries; the Black Miner in others.In this neighborhood I am known by the name of the Black Woodsman.I am he to whom the red men devoted this spot, and now and then roasted a white man by way of sweet-smelling sacrifice.Since the red men have been exterminated by you white savages, I amuse myself by presiding at the persecutions of quakers and anabaptists; I am the great patron and prompter of slave dealers, and the grand master of the Salem witches.”"
"“总的来说，如果我没弄错，”汤姆坚定地说，“你就是大家所说的魔鬼了。”","“The upshot of all which is, that, if I mistake not,” said Tom, sturdily, “you are he commonly called Old Scratch.”"
"“我随时为您服务！”黑汉一面回答，一面又比较礼貌地点头。","“The same at your service!” replied the black man, with a half civil nod."
"按照古老的传说，这就是他们会面时的开场白。不过，他们的语气太过亲近了，令人难以置信。有人一定会想，在这个荒凉孤寂的野外，遇到这个怪家伙，无论是谁都会吓得魂不附体；但汤姆是个胆大的人，不容易被吓到，因为和泼妇一样的老婆住久了，他连魔鬼都不怕。","Such was the opening of this interview, according to the old story, though it has almost too familiar an air to be credited.One would think that to meet with such a singular personage in this wild, lonely place, would have shaken any man’s nerves; but Tom was a hard-minded fellow, not easily daunted, and he had lived so long with a termagant wife, that he did not even fear the devil."
"据说，这样开了头以后，他们在汤姆回家的路上又严肃地谈了很久。黑汉告诉他海盗基德曾经埋过很多笔财产，就在离沼泽不远的高岗上的橡树下。所有的宝藏都是由他支配，并由他负责保护。所以，除了他偏爱的人，没人能找到。他愿意把这些财物给汤姆·沃克，因为他对汤姆有特别的好感，但是只有在汤姆答应某些条件的情况下才会给他。那些条件是什么是很容易猜出来的，但是汤姆从没公开它们。这些条件一定很苛刻，因为汤姆要求考虑一段时间，汤姆并不是一个在金钱面前为小事犹豫不决的人。他们走到沼泽边缘时，那个陌生人停了下来。","It is said that after this commencement they had a long and earnest Conversation together, as Tom returned homewards.The black man told him of great sums of money which had been buried by Kidd the pirate, under the oak trees on the high ridge not far from the morass.All these were under his command and protected by his power, so that none could find them but such as propitiated his favor.These he offered to place within Tom Walker’s reach, having conceived an especial kindness for him: but they were to be had only on certain conditions.What these conditions were, may easily be surmised, though Tom never disclosed them publicly.They must have been very hard, for he required time to think of them, and he was not a man to stick at trifles where money was in view.When they had reached the edge of the swamp the stranger paused."
"“有什么证据证明你告诉我的都是真的？”汤姆问道。","“What proof have I that all you have been telling me is true?” said Tom."
"“我在这里留个记号。”黑汉边说边用手指在汤姆的额头上按了一下。说着，他一转身就回到了沼泽的树丛中去了。据汤姆说，仿佛向地里一点一点地沉下去，直到只能看到头和肩膀，接着，就完全不见踪影了。","“There is my signature,” said the black man, pressing his finger on Tom’s forehead.So saying, he turned off among the thickets of the swamp, and seemed, as Tom said, to go down, down, down, into the earth, until nothing but his head and shoulders could be seen, and so on until he totally disappeared."
"汤姆到家后发现，那个黑色指印看起来像是烙在额头上似的，无论用什么都擦不掉。","When Tom reached home he found the black print of a finger burnt, as it were, into his forehead, which nothing could obliterate."
"妻子告诉他的第一个消息就是：富有的海盗阿布沙洛姆·克劳宁希尔德突然死了。报纸用惯用的华丽词藻宣布：“上帝的一个伟大选民已经逝去。”","The first news his wife had to tell him was the sudden death of Absalom Crowninshield, the rich buccaneer.It was announced in the papers with the usual flourish, that “a great man had fallen in Israel.”"
"汤姆想起了他的黑朋友刚刚砍倒准备去烧的那棵树。“烧死那个海盗吧，”汤姆说，“谁管他！”他现在深信，自己之前的所见所闻并不是幻觉。","Tom recollected the tree which his black friend had just hewn down, and which was ready for burning.“Let the freebooter roast,” said Tom, “who cares!”He now felt convinced that all he had heard and seen was no illusion."
"他本来不会轻易让妻子知道他的秘密，但这个秘密让他心神不宁，他心甘情愿地告诉了妻子。一听到埋藏的宝藏，他老婆所有的贪欲都被激起来了，她催促丈夫答应黑汉的条件，以确保一辈子都能阔气地生活。汤姆虽然本来愿意把自己出卖给恶魔，但他不愿意为老婆尽力，就为了跟她作对，他下定决心，断然拒绝了。为了这件事，他们吵了很多架，每次都很激烈，但是妻子越是多说，汤姆越坚决，不会为了取悦她而受诅咒。最后，她决定亲自去谈这笔交易，如果成功，她会独吞得来的东西。","He was not prone to let his wife into his confidence; but as this was an uneasy secret, he willingly shared it with her.All her avarice was awakened at the mention of hidden gold, and she urged her husband to comply with the black man’s terms and secure what would make them wealthy for life.However Tom might have felt disposed to sell himself to the devil, he was determined not to do so to oblige his wife; so he flatly refused out of the mere spirit of contradiction.Many and bitter were the quarrels they had on the subject, but the more she talked the more resolute was Tom not to be damned to please her.At length she determined to drive the bargain on her own account, and if she succeeded, to keep all the gain to herself."
"她和丈夫一样，胆子很大，在一个夏天的傍晚，她向印第安古堡出发了。她去了好几个钟头。回来后，她保持沉默，不乐意回答别人的话。她只讲到在黄昏遇到了一个黑汉子，他正在砍着一棵大树的树根。但是，他很生气，不肯商谈；她还要带着礼物再去讨好他，但却不肯说是什么礼物。","Being of the same fearless temper as her husband, she sat off for the old Indian fort towards the close of a summer’s day.She was many hour’s absent.When she came back she was reserved and sullen in her replies.She spoke something of a black man whom she had met about twilight, hewing at the root of a tall tree.He was sulky, however, and would not come to terms; she was to go again with a propitiatory offering, but what it was she forebore to say."
"第二天傍晚，她又向着沼泽出发了，临走时围裙里包着很沉重的东西。汤姆一等再等，但却是徒劳的：半夜了，还没有她的踪影；到第二天早晨，中午，晚上，她还是没回来。汤姆越来越担心她的安全；尤其是发现她用围裙兜走了银茶壶、银调羹和所有轻便的值钱细软后，就更加不安了。又过了一夜，到了早晨，妻子还没回来。总之，再也没有听到她的消息。","The next evening she sat off again for the swamp, with her apron heavily laden.Tom waited and waited for her, but in vain: midnight came, but she did not make her appearance; morning, noon, night returned, but still she did not come.Tom now grew uneasy for her safety; especially as he found she had carried off in her apron the silver tea pot and spoons and every portable article of value.Another night elapsed, another morning came; but no wife.In a word, she was ever heard of more."
"装作知道她情况的人太多了，所以她的真实情况其实无人知晓。这件事到了各种各样的史学家手里变得扑朔迷离。一些人说她是在沼泽错综复杂的迷津里迷了路，陷进水坑或泥沼里了；有些说得更加无情，认为她包裹着家里的细软，逃到别的州了；其他人猜测是魔鬼把她骗到了一个可怕的沼泽里，因为他们发现她的帽子漂在沼泽上面。和这个说法相符的是，据说，当天晚上有一个黑汉，身材巨大，扛着斧子，得意洋洋地拿着一个用格子画布围裙包的包袱，从沼泽里走出来。","What was her real fate nobody knows, in consequence of so many pretending to know.It is one of those facts that have become confounded by a variety of historians.Some asserted that she lost her way among the tangled mazes of the swamp and sunk into some pit or slough; others, more uncharitable, hinted that she had eloped with the household booty, and made off to some other province; while others assert that the tempter had decoyed her into a dismal quagmire, on top of which her hat was found lying.In confirmation of this, it was said a great black man with an axe on his shoulder was seen late that very evening coming out of the swamp, carrying a bundle tied in a check apron, with an air of surly triumph."
"但是，最近最可靠的说法是：汤姆·沃克因为越来越担心妻子的命运和他的财产，最终去印第安古堡寻找妻子和财物了。一个漫长夏日的下午，他搜寻了那个幽暗的地方，但却没找到他妻子。他不停地呼喊老婆的名字，但却没听到她的声音。只有鹭鸶飞过的尖叫声回应着他的呼喊；附近池塘里大青蛙发出悲惨的呱呱声。据说，直到暮色降临，猫头鹰开始鸣叫，蝙蝠飞来飞去时，他的注意力被吃腐肉的乌鸦吸引了，它们正在一株柏树周围盘旋。他抬头看见一个格子花布包袱，正吊在树枝上面，旁边停着一只大秃鹫，好像在看守似的。他高兴得笑了起来，认出这是他老婆的围裙，觉得那里面肯定装着家里的财物。","The most current and probable story, however, observes that Tom Walker grew so anxious about the fate of his wife and his property that he sat out at length to seek them both at the Indian fort.During a long summer’s afternoon he searched about the gloomy place, but no wife was to be seen.He called her name repeatedly, but she was no where to be heard.The bittern alone responded to his voice, as he flew screaming by; or the bull-frog croaked dolefully from a neighboring pool.At length, it is said, just in the brown hour of twilight, when the owls began to hoot and the bats to flit about, his attention was attracted by the clamor of carrion crows that were hovering about a cypress tree.He looked and beheld a bundle tied in a check apron and hanging in the branches of a tree; with a great vulture perched hard by, as if keeping watch upon it.He leaped with joy, for he recognized his wife’s apron, and supposed it to contain the household valuables."
"“先让我把财物拿下来，”他自我安慰道，“没有那个女人我也能应付得来。”","“Let us get hold of the property,” said he consolingly to himself, “and we will endeavor to do without the woman.”"
"他爬上树的时候，秃鹫张开宽大的翅膀，一路尖叫着飞向树林深处。汤姆拿到格子围裙，可是一瞧，简直惨透了！除了一颗心和一个肝什么也没找到。","As he scrambled up the tree the vulture spread its wide wings, and sailed off screaming into the deep shadows of the forest.Tom seized the check apron, but, woful sight! found nothing but a heart and liver tied up in it."
"根据最可靠的传说，这就是汤姆妻子留下的所有东西。她可能尝试用经常对付丈夫的办法来对付那个黑汉；但是，虽然通常人们都把女人的咒骂当作魔鬼一样，但是在这个事件中，她似乎倒霉了。不过，她一定是垂死挣扎过，从遗留的争斗的痕迹可见。确实是这样，据说汤姆注意到树周围有许多很深的偶蹄印，还有几缕头发，好像是从樵夫那又粗又黑的乱发中扯下来的。汤姆知道，这正是他老婆惯用的本领。他望着这种狠抓狠打的战迹，耸了耸肩。“天哪，”他自言自语，“魔鬼肯定被她打得很惨！”","Such, according to the most authentic old story, was all that was to be found of Tom’s wife.She had probably attempted to deal with the black man as she had been accustomed to deal with her husband; but though a female scold is generally considered a match for the devil, yet in this instance she appears to have had the worst of it.She must have died game, however: from the part that remained unconquered.Indeed, it is said Tom noticed many prints of cloven feet deeply stamped about the tree, and several handfuls of hair that looked as if they had been plucked from the coarse black shock of the woodsman.Tom knew his wife’s prowess by experience.He shrugged his shoulders as he looked at the signs of a fierce clapper-clawing.“Egad,” said he to himself, “Old Scratch must have had a tough time of it!”"
"汤姆是个豁达的人，他用失去妻子来安慰自己失去财物的损失。他甚至对黑樵夫心存感激，认为他为自己做了件好事。因此，他继续寻找，想把交情扯得更深一点，但是没有找到。那个老黑怪行事谨慎，不管大家怎样想，他都不是召之即来的人，当有把握的时候，他知道该怎样出牌。","Tom consoled himself for the loss of his property by the loss of his wife; for he was a little of a philosopher.He even felt something like gratitude towards the black woodsman, who he considered had done him a kindness.He sought, therefore, to cultivate a farther acquaintance with him, but for some time without success; the old black legs played shy, for whatever people may think, he is not always to be had for calling for; he knows how to play his cards when pretty sure of his game."
"据说，最后耽搁到让汤姆亟不可待，都准备做任何事情来得到那笔允诺的财宝。于是，一天晚上他遇到那个黑汉，如往常的樵夫装扮，肩上扛着斧子，沿着沼泽边闲逛着，还哼着曲子。他假装漫不经心地接受汤姆的拉拢，简短地回答了他，又继续哼着小调。","At length, it is said, when delay had whetted Tom’s eagerness to the quick, and prepared him to agree to any thing rather than not gain the promised treasure, he met the black man one evening in his usual woodman dress, with his axe on his shoulder, sauntering along the edge of the swamp, and humming a tune.He affected to receive Tom’s advance with great indifference, made brief replies, and went on humming his tune."
"但是汤姆逐渐引他谈起了正事，在转交海盗藏金的条件上，他们开始讨价还价。有个条件是无需说的：大家都明白，凡是恶魔给人好处时都会有这一条。但是还有其他的条件，虽然无关紧要，他却坚决不让步。他坚持，这笔通过他才得到的钱，必须为他服务。因此，他提出汤姆应该把钱用在黑人交易上，也就是说他应该准备一条贩卖奴隶的船只。但是，在这一点上，汤姆坚决拒绝。凭良心说，他虽然已经够道德败坏了，但是魔鬼也没能诱惑他进行奴隶交易。","By degrees, however, Tom brought him to business, and they began to haggle about the terms on which the former was to have the pirate’s treasure.There was one condition which need not be mentioned, being generally understood in all cases where the devil grants favors; but there were others about which, though of less importance, he was inflexibly obstinate.He insisted that the money found through his means should be employed in his service.He proposed, therefore, that Tom should employ it in the black traffic; that is to say, that he should fit out a slave ship.This, however, Tom resolutely refused; he was bad enough, in all conscience; but the devil himself could not tempt him to turn slave dealer."
"他发现汤姆在这一点上很难通融，就不再坚持。但他提出了另一个要求，让他放高利贷，因为魔鬼迫切希望放高利贷的人越多越好，把他们看作自己特有的臣民。","Finding Tom so squeamish on this point, he did not insist upon it, but proposed instead that he should turn usurer; the devil being extremely anxious for the increase of usurers, looking upon them as his peculiar people."
"对于这一点，汤姆没反对，因为这正合他的胃口。","To this no objections were made, for it was just to Tom’s taste."
"“你下个月就在波士顿开一家钱铺。”黑汉说。","“You shall open a broker’s shop in Boston next month,” said the black man."
"“如果你愿意，我明天就开。”汤姆·沃克说道。","“I’ll do it to-morrow, if you wish,” said Tom Walker."
"“你放款利息应该是月息二分。”","“You shall lend money at two per cent a month.”"
"“哎呀，我要收四分！”汤姆·沃克说。","“Egad, I’ll charge four!” replied Tom Walker."
"“你要敲诈证券，取消他们赎回抵押品的权利，逼迫商人破产——”","“You shall extort bonds, foreclose mortgages, drive the merchant to bankruptcy—”"
"“我会逼得他们去死，”汤姆·沃克热切地叫道。","“I’ll drive him to the d—l,” cried Tom Walker, eagerly."
"“你真该为我放高利贷！”老黑怪很高兴地说，“你什么时候要那些钱？”","“You are the usurer for my money!” said the black legs, with delight.“When will you want the rhino?”"
"“就在今晚。”","“This very night.”"
"“成交！”恶魔说。","“Done!” said the devil."
"“一言为定！”汤姆·沃克说道。于是他们握了握手，达成了一笔交易。","“Done!” said Tom Walker.—So they shook hands and struck a bargain."
"几天之后，汤姆·沃克就坐在了波士顿钱铺的办公椅上。他的名气迅速传开，人们都知道他有现款，愿意把钱借给任何肯出大利息的人。人人都记得总督贝尔彻当权的时代，现款极度缺乏。那是一个证券时代。政府债券已经在全国泛滥；知名的土地银行已成立；投机行为肆虐；人们疯狂地谋划新领地，在荒凉的地方建造城市；地皮投机商拿着租地、小镇和埃尔多拉多的地图，到处兜售，但是人们都要把这个谁也不知道在哪儿的地方买下来。总之，在这个国家里，不时爆发的巨大投机热潮已经发展到了令人震惊的地步，人人都想不付出代价就有飞来横财。照例，热潮消退了，美梦破灭了，幻想中的横财也没了，患发财病的人陷入困境。随之而来，全国到处都是“艰难时代”的呼声。","A few days’ time saw Tom Walker seated behind his desk in a counting house in Boston.His reputation for a ready-moneyed man, who would lend money out for a good consideration, soon spread abroad.Every body remembers the days of Governor Belcher, when money was particularly scarce.It was a time of paper credit.The country had been deluged with government bills; the famous Land Bank had been established; there had been a rage for speculating; the people had run mad with schemes for new settlements; for building cities in the wilderness; land jobbers went about with maps of grants, and townships, and Eldorados, lying nobody knew where, but which every body was ready to purchase.In a word, the great speculating fever which breaks out every now and then in the country, had raged to an alarming degree, and body was dreaming of making sudden fortunes from nothing.As usual, the fever had subsided; the dream had gone off, and the imaginary fortunes with it; the patients were left in doleful plight, and the whole country resounded with the consequent cry of “hard times.”"
"就在全社会陷入困境的大好时机下，汤姆·沃克作为一个高利贷者在波士顿开业了。他的店门迅速被蜂拥而至的顾客挤满了。有急需用钱，不惜冒险的人；有孤注一掷的投机商；有做土地梦的地皮投机商；有不知节俭的小商贩；有信用破产的商人。总之，每个人都用尽各种手段，不惜一切代价集资，纷纷涌向汤姆·沃克。","At this propitious time of public distress did Tom Walker set up as a usurer in Boston.His door was soon thronged by customers.The needy and the adventurous; the gambling speculator; the dreaming land jobber; the thriftless tradesman; the merchant with cracked credit; in short, every one driven to raise money by desperate means and desperate sacrifices, hurried to Tom Walker."
"于是，汤姆成了穷人们公认的朋友，他也表现得像一个“患难之交”，也就是说，他一直向他们勒索高息和上好的抵押品。申请人的情况越困难，他的条件就越苛刻。他积累了大量的证券和抵押品，一点一点压榨客户，最后，被压榨成干瘪的海绵一样的客户被他赶出了大门。","Thus Tom was the universal friend of the needy, and he acted like a “friend in need;” that is to say, he always exacted good pay and good security.In proportion to the distress of the applicant was the hardness of his terms.He accumulated bonds and mortgages; gradually squeezed his customers closer and closer; and sent them, at length, dry as a sponge from his door."
