"第一部","PART I "
"第一章","Chapter 1"
"四月十六日早晨，伯纳德·里厄医生离开他的诊所时，感觉脚下踩上了个软软的东西。那是只躺在台阶中间的死老鼠。他当即就把老鼠一脚踢到一边，并未多想，然后继续下楼。当他来到大街上，他才突然想到死老鼠不该躺在台阶上，于是回头叫看门人把老鼠弄走。直到他看到看门人米歇尔老先生的反应，他才意识到这个发现有些不寻常。他自己只是觉得出现这只死老鼠有些奇怪，仅此而已，而看门人却感到很震惊。这一点他很肯定：“这里根本没有老鼠。”医生告诉米歇尔，确实有只老鼠，可能是死的，躺在二楼楼梯口，但根本没用，米歇尔的看法是不会动摇的。他坚持自己“这幢楼里根本没有老鼠”的说法，因此这只老鼠一定是有人从外面带进来的。很可能是某个年轻人搞的恶作剧。","When leaving his surgery on the morning of April 16, Dr. Bernard Rieux felt something soft under his foot.It was a dead rat lying in the middle of the landing.On the spur of the moment he kicked it to one side and, without giving it a further thought, continued on his way downstairs.Only when he was stepping out into the street did it occur to him that a dead rat had no business to be on his landing, and he turned back to ask the concierge of the building to see to its removal.It was not until he noticed old M. Michel’s reaction to the news that he realized the peculiar nature of his discovery.Personally, he had thought the presence of the dead rat rather odd, no more than that; the concierge, however, was genuinely outraged.On one point he was categorical: “There weren’t no rats here.”In vain the doctor assured him that there was a rat, presumably dead, on the second-floor landing; M. Michel’s conviction wasn’t to be shaken.There “weren’t no rats in the building,” he repeated, so someone must have brought this one from outside.Some youngster trying to be funny, most likely."
"当天晚上，当里厄医生站在大门口，从口袋里摸钥匙，准备上楼回家的时候，他看见一只大老鼠从阴暗的过道尽头朝他走了过来。它步伐迟疑，全身湿淋淋的。这个家伙停了一会儿，像是想稳住身子，然后它朝着医生挪过来，又停了一会儿，接着轻轻地叫着，在原地打了几个转，最后身体歪向一边倒在了地上。它的嘴微微张着，鲜血涌了出来。注视了这只老鼠一会儿，医生上楼去了。","That evening, when Dr. Rieux was standing in the entrance, feeling for the latch-key in his pocket before starting up the stairs to his apartment, he saw a big rat coming toward him from the dark end of the passage.It moved uncertainly, and its fur was sopping wet.The animal stopped and seemed to be trying to get its balance, moved forward again toward the doctor, halted again, then spun round on itself with a little squeal and fell on its side.Its mouth was slightly open and blood was spurting from it.After gazing at it for a moment, the doctor went upstairs."
"他想的并不是老鼠。看到那喷涌的鲜血，他想起了整天萦绕在他心头的事情。他那病了一年的妻子明天就要去往山区疗养院了。在卧室里，他看见妻子按他的吩咐正在躺着休息，为明天的旅途劳顿养精神。妻子朝着他微笑。","He wasn’t thinking about the rat.That glimpse of spurting blood had switched his thoughts back to something that had been on his mind all day.His wife, who had been ill for a year now, was due to leave next day for a sanatorium in the mountains.He found her lying down in the bedroom, resting, as he had asked her to do, in view of the exhausting journey before her.She gave him a smile."
"“你知道吗？我感觉好多了！”她说。","“Do you know, I’m feeling ever so much better!” she said."
"医生低头凝视着在床头灯的亮光中那张转向他的脸。他的妻子三十岁了，长时间的生病让她满脸病容。但里厄在凝视她时，心里只有一个念头：“她多么年轻呀，简直就像个少女！”但也许正是因为这微笑弥补了一切。","The doctor gazed down at the face that turned toward him in the glow of the bedside lamp.His wife was thirty, and the long illness had left its mark on her face.Yet the thought that came to Rieux’s mind as he gazed at her was: “How young she looks, almost like a little girl!”But perhaps that was because of the smile, which effaced all else."
"“现在好好睡吧。”他劝道，“护士十一点来，你看，你们得赶十二点的火车。”","“Now try to sleep,” he counseled.“The nurse is coming at eleven, you know, and you have to catch the midday train.”"
"他吻了吻她那有点湿润的前额。她微笑着目送他走到门口。","He kissed the slightly moist forehead.The smile escorted him to the door."
"第二天，即四月十七日，八点钟，医生正要出去的时候，看门人拦住了他。看门人告诉他那些年轻的坏家伙又在大厅里扔了三只死老鼠。这些老鼠很显然是用带有硬弹簧的补鼠器捕来的，因为它们浑身是血。看门人拎着老鼠的爪子，盯着来往行人，在门口呆了好一会儿，想在那些坏家伙咧嘴一笑，或是说些玩笑话的时候将他们逮个正着。然而这只是徒劳而已。","Next day, April 17, at eight o’clock the concierge buttonholed the doctor as he was going out.Some young scallywags, he said, had dumped three dead rats in the hall.They’d obviously been caught in traps with very strong springs, as they were bleeding profusely.The concierge had lingered in the doorway for quite a while, holding the rats by their legs and keeping a sharp eye on the passers-by, on the off chance that the miscreants would give themselves away by grinning or by some facetious remark.His watch had been in vain."
"“但我一定会逮住他们的。”米歇尔乐观地说。","“But I’ll nab ’em all right,” said M. Michel hopefully."
"怀着满腹疑惑，里厄决定开始去郊区巡诊，那里居住着他最贫穷的病人。那些地区的垃圾要到上午晚些时候才清理，他开车沿着尘土飞扬的、笔直的街道行驶时，瞥了几眼排在人行道旁的垃圾桶。仅仅在一条街上，他算了一下，竟有十二只老鼠被丢在烂菜及其他垃圾堆中。","Much puzzled, Rieux decided to begin his round in the outskirts of the town, where his poorer patients lived.The scavenging in these districts was done late in the morning and, as he drove his car along the straight, dusty streets, he cast glances at the garbage cans aligned along the edge of the sidewalk.In one street alone the doctor counted as many as a dozen rats deposited on the vegetable and other refuse in the cans."
"医生看的第一个病人是位慢性哮喘病患者。他住在临街的一间屋子里，吃饭睡觉都在这里，这时正呆在床上。他是位表情严肃、满脸皱纹的西班牙老人。他身体前面的被子上放着两个装着干豆的锅子。医生进来时，这位老人正坐起来，仰着脖子，呼哧呼哧喘着粗气。他的妻子端来一碗水。","He found his first patient, an asthma case of long standing, in bed, in a room that served as both diningroom and bedroom and overlooked the street.The invalid was an old Spaniard with a hard, rugged face.Placed on the coverlet in front of him were two pots containing dried peas.When the doctor entered, the old man was sitting up, bending his neck back, gasping and wheezing in his efforts to recover his breath.His wife brought a bowl of water."
"医生给他打针时，他说：“医生，它们出来了，你注意到了吗？”","“Well, doctor,” he said, while the injection was being made, “they’re coming out, have you noticed?”"
"“他说的是老鼠。”他妻子解释说，“隔壁的人发现了三只。”","“The rats, he means,” his wife explained.“The man next door found three.”"
"“它们出来了，垃圾桶里到处都是。它们是饿坏了呀！”","“They’re coming out, you can see them in all the trash cans.It’s hunger!”"
"里厄很快就发现那个地区的居民都在热烈谈论着老鼠的事情。巡诊结束后，他就开车回家了。","Rieux soon discovered that the rats were the great topic of conversation in that part of the town.After his round of visits he drove home."
"米歇尔先生告诉他：“先生，楼上有份你的电报。”","“There’s a telegram for you, sir, upstairs,” M. Michel informed him."
"医生问他有没有再发现老鼠。","The doctor asked him if he’d seen any more rats."
"“没有，”看门人回答说，“再也不会有了。你看，我一直守在这里。那些年轻人也不敢再来了。”","“No,” the concierge replied, “there ain’t been any more.I’m keeping a sharp lookout, you know.Those youngsters wouldn’t dare when I’m around.”"
"里厄从电报中得知，他母亲明天要过来。儿媳不在家这段时间，她要帮儿子照料家务。医生回到家，发现护士已经来了。他看了看妻子。她穿着量身定做的一套衣裳，还搽了胭脂。他朝妻子微笑。","The telegram informed Rieux that his mother would be arriving next day.She was going to keep house for her son during his wife’s absence.When the doctor entered his apartment he found the nurse already there.He looked at his wife.She was in a tailor-made suit, and he noticed that she had used rouge.He smiled to her."
"“真好看，”他说，“你美极了。”","“That’s splendid,” he said.“You’re looking very nice.”"
"不久后，他把她送上卧铺车厢。她环视了一下车厢。","A few minutes later he was seeing her into the sleeping-car.She glanced round the compartment."
"“对我们来说，这太奢侈了，不是吗？”","“It’s too expensive for us really, isn’t it?”"
"“应该这样的，”里厄说。","“It had to be done,” Rieux replied."
"“那些四处流窜的老鼠，到底是怎么回事？”","“What’s this story about rats that’s going round?”"
"“我说不清楚。这确实很奇怪，不过都会过去的。”","“I can’t explain it.It certainly is queer, but it’ll pass.”"
"接着，他仓促地请她原谅自己，他觉得本该更好地照顾她，而自己太不称职了。她摇摇头，像是要他别再说了，但他又说：“不管怎样，你回来后，一切都会好起来。我们会有一个新的开始。”","Then hurriedly he begged her to forgive him; he felt he should have looked after her better, he’d been most remiss.When she shook her head, as if to make him stop, he added: “Anyhow, once you’re back everything will be better.We’ll make a fresh start.”"
"“一定会的！”她的眼睛闪着亮光，“让我们有个新的开始。”","“That’s it!”Her eyes were sparkling.“Let’s make a fresh start.”"
"然后，她转过脸去，像是透过车窗注视着外面月台上行色匆匆、你推我挤的人群。他们听到了火车的汽笛声。他轻轻地叫了一下妻子的名字，她回过身来，脸上布满了泪水。","But then she turned her head and seemed to be gazing through the car window at the people on the platform, jostling one another in their haste.The hissing of the locomotive reached their ears.Gently he called his wife’s first name; when she looked round he saw her face wet with tears."
"“不要这样。”他轻声说。","“Don’t,” he murmured."
"她含着泪，又露出了笑容，带着一丝紧张。她深吸了一口气。","Behind the tears the smile returned, a little tense.She drew a deep breath."
"“你走吧！一切都会很好的。”","“Now off you go!Everything will be all right.”"
"他把她抱在怀里，然后下到月台上。透过车窗，他看到的只有她的微笑。","He took her in his arms, then stepped back on the platform.Now he could only see her smile through the window."
"“亲爱的，”他说，“照顾好自己。”","“Please, dear,” he said, “take great care of yourself.”"
"但她听不见他说的话。","But she could not hear him."
"离开月台，接近出口时，他遇到了警局地方治安官奥顿先生，一手拉着他的小儿子。医生问他是否要出门。","As he was leaving the platform, near the exit he met M. Othon, the police magistrate, holding his small boy by the hand.The doctor asked him if he was going away."
"奥顿先生个子很高，皮肤黝黑，有点儿过去所谓上流人物的架势，又有点像丧仪人的助手。","Tall and dark, M. Othon had something of the air of what used to be called a man of the world, and something of an undertaker’s assistant."
"“不，”治安官回答说，“我是来接我太太的，她去探望了我的家人。”","“No,” the magistrate replied, “I’ve come to meet Madame Othon, who’s been to present her respects to my family.”"
"火车鸣笛了。","The engine whistled."
"“现在这些老鼠——”治安官开口问道。","“These rats, now—” the magistrate began."
"里厄很快地转身看了一下火车，又回过身来朝着出口处。","Rieux made a brief movement in the direction of the train, then turned back toward the exit."
"“老鼠吗？”他说，“没什么大不了的。”","“The rats?” he said.“It’s nothing.”"
"后来他回想起来，那一刻给他留下的唯一印象是，一个铁路工人胳膊下夹着一个装满死老鼠的盒子走了过去。","The only impression of that moment which, afterwards, he could recall was the passing of a railroadman with a box full of dead rats under his arm."
"那天中午刚过，里厄正要开始接诊，一个年轻人来访。医生了解到，这人是个新闻记者，早上已经来过了。他叫雷蒙·朗贝尔。他个子不高，宽肩膀，神色坚毅，目光锐利，给人一种任何情况下都能达到目的的印象。他穿着一身运动服。他开门见山地表明了来意。他来自巴黎一家著名日报，报社派他来报道一下阿拉伯人目前的生活状况，特别是卫生状况。","Early in the afternoon of that day, when his consultations were beginning, a young man called on Rieux.The doctor gathered that he had called before, in the morning, and was a journalist by profession.His name was Raymond Rambert.Short, square-shouldered, with a determined-looking face and keen, intelligent eyes, he gave the impression of someone who could keep his end up in any circumstances.He wore a sports type of clothes.He came straight to the point.His newspaper, one of the leading Paris dailies, had commissioned him to make a report on the living-conditions prevailing among the Arab population, and especially on the sanitary conditions."
"里厄回答说状况并不好。但是，在进一步交谈之前，他想知道这位记者是否能如实报道。","Rieux replied that these conditions were not good.But, before he said any more, he wanted to know if the journalist would be allowed to tell the truth."
"“当然。”朗贝尔说。","“Certainly,” Rambert replied."
"“我的意思是，”里厄解释说，“你是否能毫无保留地报道对于现状的谴责之声？”","“I mean,” Rieux explained, “would you be allowed to publish an unqualified condemnation of the present state of things?”"
"“毫无保留？噢，不，我做不到。但事情没有这么糟吧？”","“Unqualified?Well, no, I couldn’t go that far.But surely things aren’t quite so bad as that?”"
"“没有，”里厄平静地说，事情并没有这么糟。他提出这个问题，只是想知道朗贝尔是否能据实报道而不是搪塞了事。“既然要有所保留，我无话可说，”他接着说，“因此我不会提供你所需的信息。”","“No,” Rieux said quietly, they weren’t so bad as that.He had put the question solely to find out if Rambert could or couldn’t state the facts without paltering with the truth.“I’ve no use for statements in which something is kept back,” he added.“That is why I shall not furnish information in support of yours.”"
"记者笑着说，“你说的话如同出自圣茹斯特之口。”","The journalist smiled.“You talk the language of Saint-Just.”"
"里厄继续平静地说，他对圣茹斯特一无所知。他的语气像一个厌倦了自己所生活的世界的人所用的语气——尽管他很爱他的同胞——但他本人绝不做不公正的事情，也决不向真相妥协。","Without raising his voice Rieux said he knew nothing about that.The language he used was that of a man who was sick and tired of the world he lived in—though he had much liking for his fellow men—and had resolved, for his part, to have no truck with injustice and compromises with the truth."
"朗贝尔耸耸肩，盯着医生，好一会儿说不出话来。之后，他边起身边说：“我想我能理解你。”","His shoulders hunched, Rambert gazed at the doctor for some moments without speaking.Then, “I think I understand you,” he said, getting up from his chair."
"医生送他出门。","The doctor accompanied him to the door."
"“你能这样看问题，这很好。”医生说。","“It’s good of you to take it like that,” he said."
"“是的，是的，我能理解，”朗贝尔带着一丝不耐烦的语气说，“很抱歉打扰你了。”","“Yes, yes, I understand,” Rambert repeated, with what seemed a hint of impatience in his voice.“Sorry to have troubled you.”"
"握手道别时，里厄提出若是朗贝尔想在报纸上登些稀奇古怪的故事，他倒是可以谈谈此时市里出现的大量死老鼠。","When shaking hands with him, Rieux suggested that if he was out for curious stories for his paper, he might say something about the extraordinary number of dead rats that were being found in the town just now."
"“啊！”朗贝尔叫了起来，“这的确让我很感兴趣。”","“Ah!” Rambert exclaimed.“That certainly interests me.”"
"下午五点，医生又要出门去巡诊，在楼梯上他与一个又矮又壮、还算年轻的人擦肩而过。这人大脸盘，皱纹很深，眉毛很浓。在这幢楼的最高层，那个住着几个西班牙男舞蹈演员的家里，他见过这人几次。他叫让·塔鲁。此时他正抽着烟，眼睛盯着面前楼梯上一只老鼠在作垂死时的最后抽搐。他抬起头，用灰色的眼睛看了看医生；打过招呼后，他说道，这些老鼠爬到洞穴外死掉，真是件非常奇怪的事情。","On his way out at five for another round of visits, the doctor passed on the stairway a stocky, youngish man, with a big, deeply furrowed face and bushy eyebrows.He had met him once or twice in the top-floor apartment, which was occupied by some male Spanish dancers.Puffing a cigarette, Jean Tarrou was gazing down at the convulsions of a rat dying on the step in front of him.He looked up, and his gray eyes remained fixed on the doctor for some moments; then, after wishing him good day, he remarked that it was rather odd, the way all these rats were coming out of their holes to die."
"“非常奇怪，”里厄应和道，“而且这到底会令人心烦的。”","“Very odd,” Rieux agreed, “and it ends by getting on one’s nerves.”"
"“在某种程度上是这样的，医生，只是在某种程度上罢了。我们以前从未见过此类事情，仅此而已。我个人觉得这事有趣，是的，非常有趣。”","“In a way, doctor, only in a way.We’ve not seen anything of the sort before, that’s all.Personally I find it interesting, yes, definitely interesting.”"
"塔鲁用手捋了捋头发，又看了看老鼠，发现它已不动了，于是他朝里厄笑了笑。","Tarrou ran his fingers through his hair to brush it off his forehead, looked again at the rat, which had now stopped moving, then smiled toward Rieux."
"“不过，医生，这的确令看门人头疼，不是吗？”","“But really, doctor, it’s the concierge’s headache, isn’t it?”"
"情况果真如此，里厄下一个遇见的人就是看门人。他倚靠在临街大门口旁边的墙上，面容憔悴，脸上失去了平日里的红润。","As it so happened, the concierge was the next person Rieux encountered.He was leaning against the wall beside the street door; he was looking tired and his normally rubicund face had lost its color."
"里厄告诉他最近又发现了死老鼠，这老头说：“是的，我知道。我看到它们三三两两地出现。不过这条街上其他房子里的情况也是如此。”","“Yes, I know,” the old man told Rieux, who had informed him of the latest casualty among the rats.“I keep finding ’em by twos and threes.But it’s the same thing in the other houses in the street.”"
"他神情沮丧，看起来忧心忡忡，茫然地搓着脖子。里厄问他是不是不舒服。看门人是不会连自己感到身体不适都说出来的。不过，他的健康状况确实欠佳。但在他看来，这只是内心担忧引起的，他会说这些该死的老鼠令他“大吃一惊”之类的话。要是不再到处出现死老鼠，他也就放心了。","He seemed depressed and worried, and was scratching his neck absentmindedly.Rieux asked him how he felt.The concierge wouldn’t go so far as to say he was feeling ill.Still he wasn’t quite up to the mark.In his opinion it was just due to worry; these damned rats had given him “a shock, like.”It would be a relief when they stopped coming out and dying all over the place."
"第二天早上——那天是四月十八日——当医生从车站将母亲接回家时，他发现米歇尔先生看起来身体状况更加不好了。地窖到楼顶的楼梯上零零散散躺着十几只死老鼠。街坊邻居的垃圾桶里也装满了老鼠。","Next morning—it was April 18—when the doctor was bringing back his mother from the station, he found M. Michel looking still more out of sorts.The stairway from the cellar to the attics was strewn with dead rats, ten or a dozen of them.The garbage cans of all the houses in the street were full of rats."
"医生的母亲对此反应很平静。","The doctor’s mother took it quite calmly."
"“有时会这样的。”她低声说。她身材矮小，满头银发，黑眼睛透着温柔。“伯纳德，很高兴又见到你了，”她又说，“无论怎样，这些老鼠是不会影响我的心情的。”","“It’s like that sometimes,” she said vaguely.She was a small woman with silver hair and dark, gentle eyes.“I’m so glad to be with you again, Bernard,” she added.“The rats can’t change that, anyhow.”"
"他点点头。确实，有母亲在，什么事情看起来都好办。","He nodded.It was a fact that everything seemed easy when she was there."
"但是，里厄还是给市政府办公室打了个电话。他认识那里灭鼠除害工作相关部门的负责人，问他是否听说了许多老鼠死在外面的事情。是的，负责人默西埃知道整件事情。实际上，在离码头不远的他的那些办公室里就发现了五十只老鼠。老实说，他很焦虑，他问医生是否认为情况严重。","However, he rang up the Municipal Office.He knew the man in charge of the department concerned with the extermination of vermin and he asked him if he’d heard about all the rats that were coming out to die in the open.Yes, Mercier knew all about it; in fact, fifty rats had been found in his offices, which were near the wharves.To tell the truth, he was rather perturbed; did the doctor think it meant anything serious?"
"里厄没有明确表态，但他认为卫生部门应该采取一些行动。默西埃表示赞同。“那么，如果你觉得这值得一做，我会下令的。”","Rieux couldn’t give a definite opinion, but he thought the sanitary service should take action of some kind.Mercier agreed.“And, if you think it’s really worth the trouble, I’ll get an order issued as well.”"
"“当然值得一做。”里厄回答说。","“It certainly is worth the trouble,” Rieux replied."
"他的女佣刚刚告诉他，在她丈夫工作的大工厂里已经捡到了几百只死老鼠了。","His charwoman had just told him that several hundred dead rats had been collected in the big factory where her husband worked."
