"第一章 两位风情女子的定论","CHAPTER I THE LAST WORD OF TWO GREAT COQUETTES"
"王妃住在米罗梅尼尔大街的一所小房子里，她以适中的价格租了这所房子的底层。她用自己曾经富丽堂皇的生活遗留下的东西布置了房间。因此在她的住所里，仍然可以感受到贵族夫人的华贵。房子里陈设特别漂亮，这会使她想起从前的豪华生活。在她家的壁炉上，有一幅弥尔贝尔夫人画的查理十世的微型画像，非常精美，下面刻着这样的文字：国王赠送；作为垂饰的是一幅皇后的画像，皇后过去一直对王妃很好。桌子上放着一本价值连城的相册，这是在我们这个吹毛求疵的工业社会里任何一个自命不凡的资产阶级妇女都不敢公开摆出来的东西。这个相册里面有大约三十张画像，都是她非常亲密的朋友，老天完全把他们作为情人馈赠给她。这个数目本身就是一种诽谤；像她的朋友德埃斯巴侯爵夫人所说，如果只有十张的话，则可算作巧妙的流言。画册里面有马克西姆·德特拉伊、德马尔赛、拉斯蒂涅、埃斯格里尼侯爵、蒙特里沃将军、德龙克罗尔侯爵以及阿瞿达-潘托侯爵、加拉蒂奥讷亲王和年轻的德葛朗利厄公爵、德雷托雷公爵、德塞里齐子爵、英俊的吕西安·德吕邦泼雷等人的画像，都是由著名的艺术家用最美艳的线条和笔墨勾勒而成的。现在王妃仅仅接见过他们中的两三个人物，因此，她开玩笑似地称这本书为《过错汇编》。","The princess lived in the rue de Miromesnil, in a small house, of which she occupied the ground-floor at a moderate rent.There she made the most of the relics of her past magnificence.The elegance of the great lady was still redolent about her.She was still surrounded by beautiful things which recalled her former existence.On her chimney-piece was a fine miniature portrait of Charles X., by Madame Mirbel, beneath which were engraved the words, “Given by the King”; and, as a pendant, the portrait of “Madame”, who was always her kind friend.On a table lay an album of costliest price, such as none of the bourgeoises who now lord it in our industrial and fault-finding society would have dared to exhibit.This album contained portraits, about thirty in number, of her intimate friends, whom the world, first and last, had given her as lovers.The number was a calumny; but had rumor said ten, it might have been, as her friend Madame d’Espard remarked, good, sound gossip.The portraits of Maxime de Trailles, de Marsay, Rastignac, the Marquis d’Esgrignon, General Montriveau, the Marquis de Ronquerolles and d’Ajuda-Pinto, Prince Galathionne, the young Ducs de Grandlieu and de Rhetore, the Vicomte de Serizy, and the handsome Lucien de Rubempre, had all been treated with the utmost coquetry of brush and pencil by celebrated artists.As the princess now received only two or three of these personages, she called the book, jokingly, the collection of her errors."
"她所遭遇的不幸倒使她成为了一位好母亲。在王朝复辟的十五年中，她沉浸在自己的快乐中，很少能想到儿子；但是在默默无闻的隐居生活中，这位傲慢且地位显赫的母亲认识到，如果她能把母爱发展到极致，可能那些理智的人会宽恕她从前的过错，因为他们愿意宽恕一位好母亲所有的过错。她更加疼爱自己的儿子，因为她没有其他值得爱的东西了。","Misfortune had made this woman a good mother.During the fifteen years of the Restoration she had amused herself far too much to think of her son; but on taking refuge in obscurity, this illustrious egoist bethought her that the maternal sentiment, developed to its extreme, might be an absolution for her past follies in the eyes of sensible persons, who pardon everything to a good mother.She loved her son all the more because she had nothing else to love."
"何况乔治·德摩弗里纽斯是一个可以使母亲的虚荣心得到满足的孩子，相应地，王妃愿意为他做出各种牺牲。她为儿子租了一个马厩和马车房，楼上小小一层里有三间装饰华丽，面向大街的屋子是他的住所；她甚至节约下钱为儿子买下一匹乘马，一匹拉马，还雇了一个小仆人。至于她自己，仅有一个贴身女仆，做饭的也只留了一个原来的厨娘。因此，公爵的马夫总是有相当繁重的差事。这个名叫托比的马夫，曾经是已故的博德诺的小老虎（这是上流社会对这个落魄青年的一种嘲笑说法）——这个年轻人已经二十五岁了，但人们总认为他只有十四岁。他一个人要照料马匹、擦洗双轮马车或者英国式轻便双轮车、清洗马具、跟随主人出入、照看房子，如果正巧碰到有人来访，他还要站在前厅向王妃通报。","Georges de Maufrigneuse was, moreover, one of those children who flatter the vanities of a mother; and the princess had, accordingly, made all sorts of sacrifices for him.She hired a stable and coach-house, above which he lived in a little entresol with three rooms looking on the street, and charmingly furnished; she had even borne several privations to keep a saddle-horse, a cab-horse, and a little groom for his use.For herself, she had only her own maid, and as cook, a former kitchen—maid.The duke’s groom had, therefore, rather a hard place.Toby, formerly tiger to the “late” Beaudenord (such was the jesting term applied by the gay world to that ruined gentleman),—Toby, who at twenty-five years of age was still considered only fourteen, was expected to groom the horses, clean the cabriolet, or the tilbury, and the harnesses, accompany his master, take care of the apartments, and be in the princess’s antechamber to announce a visitor, if, by chance, she happened to receive one."
"人们时常想起复辟年代漂亮的德摩弗里纽斯公爵夫人——巴黎一位光彩夺目的王后，她奢华的生活可以和伦敦最富有的时髦夫人相提并论——现在她居住在离从前的豪宅仅有几步之遥的米罗梅尼尔街上的简陋房子里，每当人们看到她总是感慨万分。她没有资产把那所豪宅留住，何况投机者已经将它捣毁了。当时这位贵妇有三十个仆人侍候才算勉强满意，拥有巴黎最豪华的接待厅，最漂亮的小套间，在这所豪宅里举行令人愉快的聚会，现在却住在仅仅拥有五个房间的寓所里——一间前厅，一间餐厅、一间客厅、一间卧室、一间更衣室，身边的佣人只剩两个妇女了。","When one thinks of what the beautiful Duchesse de Maufrigneuse had been under the Restoration,—one of the queens of Paris, a dazzling queen, whose luxurious existence equalled that of the richest women of fashion in London,—there was something touching in the sight of her in that humble little abode in the rue de Miromesnil, a few steps away from her splendid mansion, which no amount of fortune had enabled her to keep, and which the hammer of speculators has since demolished.The woman who thought she was scarcely well served by thirty servants, who possessed the most beautiful reception-rooms in all Paris, and the loveliest little private apartments, and who made them the scene of such delightful fetes, now lived in a small apartment of five rooms,—an antechamber, dining-room, salon, one bed-chamber, and a dressing—room, with two women-servants only."
"“啊！她为儿子付出得太多了，”聪明的德埃斯巴侯爵夫人这么说道，“她从没有炫耀过自己的付出；她是幸福的。有谁会相信这么一位轻浮的贵妇会有如此坚持不懈的决心呢！因此，我们善良的大主教鼓励她；他对她非常友好，并且说服德五天鹅老伯爵夫人去拜访她。”","“Ah!she is devoted to her son,” said that clever creature, Madame d’Espard, “and devoted without ostentation; she is happy.Who would ever have believed so frivolous a woman was capable of such persistent resolution!Our good archbishop has, consequently, greatly encouraged her; he is most kind to her, and has just induced the old Comtesse de Cinq-Cygne to pay her a visit.”"
"我们必须承认事实！只有王后才懂得如何退位，如何保持尊严地从一个并非完全丧失的崇高地位上下台。只有那些意识到自己一文不值的人，才会对自己的落魄感到悔恨，奋力挣扎，怨天尤人，希望回到已经一去不复返的过去——这一点他们自己很清楚。她习惯了被奇花异草环绕的生活，美丽的花草更衬托出她本人的妩媚（不把她比作一朵奇葩是不可能的）。如今她被迫放弃了这种生活，明智地选择了一楼的住房，在那里她拥有一个属于自己的漂亮小花园——长满了灌木，草地总是碧绿的，这给她隐退后的安静生活带来了愉悦。她每年大约有一万二千法郎的收入；但是这笔微小的收入还是由两部分拼凑而成。一部分来自年轻公爵的姑母德纳瓦兰老公爵夫人给的补助金，还有一部分是她的母亲德于克赛尔公爵夫人给的，她在国内自己的封地生活，就像其他老公爵夫人那样善于精打细算；和她们比起来，阿巴贡只能算是一个初学者。王妃仍然和她被流放的王族亲戚往来；当夫人策划在“旺代”地区发动政变时，那位曾经替我们征服非洲的元帅就是在王妃家里和一些正统派的主要领导举行会议——因为王妃已经默默无闻，身处困境，行动几乎不会引起政府的注意。","Let us admit a truth!One must be a queen to know how to abdicate, and to descend with dignity from a lofty position which is never wholly lost.Those only who have an inner consciousness of being nothing in themselves, show regrets in falling, or struggle, murmuring, to return to a past which can never return,—a fact of which they themselves are well aware.Compelled to do without the choice exotics in the midst of which she had lived, and which set off so charmingly her whole being (for it is impossible not to compare her to a flower), the princess had wisely chosen a ground-floor apartment; there she enjoyed a pretty little garden which belonged to it,—a garden full of shrubs, and an always verdant turf, which brightened her peaceful retreat.She had about twelve thousand francs a year; but that modest income was partly made up of an annual stipend sent her by the old Duchesse de Navarreins, paternal aunt of the young duke, and another stipend given by her mother, the Duchesse d’Uxelles, who was living on her estate in the country, where she economized as old duchesses alone know how to economize; for Harpagon is a mere novice compared to them.The princess still retained some of her past relations with the exiled royal family; and it was in her house that the marshal to whom we owe the conquest of Africa had conferences, at the time of “Madame’s” attempt in La Vendee, with the principal leaders of legitimist opinion,—so great was the obscurity in which the princess lived, and so little distrust did the government feel for her in her present distress."
"眼看自己就要四十岁了，这是很可怕的时刻，将会面临爱情破产，对于一个女人来说，过了四十，就没有什么大作为了，王妃因此沉浸在了哲学的国度里。她开始读书，十六年来对于严肃的事情她总是充满热情而又心怀畏惧。今天，文学和政治在女性心目中取代了曾经的宗教信仰，成为了女性虚荣心最后的避难所。在她以后的社交圈子中，人们纷纷传说迪亚娜正在写书。自从她由一位美丽的王后变为智慧女性以来，王妃竟设法使在她的小房子中受到接见成为了一项崇高的荣誉，使受到她接见的人显赫一时。正是在这些活动的遮掩下，她蒙骗了一位她早期的追求者，德马尔赛，他是在一八三零年七月建立的资产阶级政权中最有影响力的人物。她有时候在晚上接见他，占据着他的注意力，这时候元帅和几个正统派人物正在她的卧室里密谈恢复政权的事情。恢复政权的事只能通过集思广益才能成功——这是所有阴谋家往往忽视的一个成功因素。她这样诱骗首相，并且把他作为屏风来掩盖反抗他自己政府的阴谋，这是一位貌美女性的精明复仇手段。","Beholding the approach of that terrible fortieth year, the bankruptcy of love, beyond which there is so little for a woman as woman, the princess had flung herself into the kingdom of philosophy.She took to reading, she who for sixteen years had felt a cordial horror for serious things.Literature and politics are today what piety and devotion once were to her sex,—the last refuge of their feminine pretensions.In her late social circle it was said that Diane was writing a book.Since her transformation from a queen and beauty to a woman of intellect, the princess had contrived to make a reception in her little house a great honor which distinguished the favored person.Sheltered by her supposed occupation, she was able to deceive one of her former adorers, de Marsay, the most influential personage of the political bourgeoisie brought to the fore in July 1830.She received him sometimes in the evenings, and, occupied his attention while the marshal and a few legitimists were talking, in a low voice, in her bedroom, about the recovery of power, which could be attained only by a general cooperation of ideas,—the one element of success which all conspirators overlook.It was the clever vengeance of the pretty woman, who thus inveigled the prime minister, and made him act as screen for a conspiracy against his own government."
"王妃写了一封言辞巧妙的信，向夫人汇报了协商的事情，这次冒险可与投石党运动相媲美。德摩弗里纽斯公爵去了旺代，成功地秘密返回而未受牵连，但是他与夫人的危险事业脱不了干系；然而当夫人发现事业垮掉的时候，就将其打发回家了。如果他留下来的话，这个年轻人的高度警惕性也许会挫败那次背叛。不管在资产阶级眼中德摩弗里纽斯公爵夫人的过错多么大，可是由于她儿子的这次表现，在贵族眼里，那些过错一定被抹杀了。拿自己的独子，同时又是一个有光荣历史的贵族家庭的继承人去冒险，这一行为是非常高尚和伟大的。据说有人故意用对社会的贡献来掩饰私生活中的过错，反之亦然；但是德卡迪央王妃并没有如此想过。也许在许多这样做的人当中，像她这样的并不多见。生活中总是有这样的事情。","This adventure, worthy of the finest days of the Fronde, was the text of a very witty letter, in which the princess rendered to “Madame” an account of the negotiations.The Duc de Maufrigneuse went to La Vendee, and was able to return secretly without being compromised, but not without taking part in “Madame’s” perils; the latter, however, sent him home the moment she saw that her cause was lost.Perhaps, had he remained, the eager vigilance of the young man might have foiled that treachery.However great the faults of the Duchesse de Maufrigneuse may have seemed in the eyes of the bourgeoisie, the behavior of her son on this occasion certainly effaced them in the eyes of the aristocracy.There was great nobility and grandeur in thus risking her only son, and the heir of an historic name.Some persons are said to intentionally cover the faults of their private life by public services, and vice versa; but the Princesse de Cadignan made no such calculation.Possibly those who apparently so conduct themselves make none.Events count for much in such cases."
"一八三三年五月，在最初那些好天气中的某一天下午两点半左右，德埃斯巴侯爵夫人和王妃来回散步——不能说是散步——她们在园子里草坪边的唯一小道上兜着圈子，太阳即将落下。从墙上反射过来的光线，给充盈着花香的小小空间带来了温暖的气氛，鲜花是侯爵夫人送来的礼物。","On one of the first fine days in the month of May, 1833, the Marquise d’Espard and the princess were turning about—one could hardly call it walking—in the single path which wound round the grass-plat in the garden, about half-past two in the afternoon, just as the sun was leaving it.The rays reflected on the walls gave a warm atmosphere to the little space, which was fragrant with flowers, the gift of the marquise."
"“我们不久会失去德马尔赛。”侯爵夫人说道，“你为儿子积累财富的希望也会随之破灭。自从你巧妙地玩弄了这位精明的政治家，他又萌生了对你的爱恋。”","“We shall soon lose de Marsay,” said the marquise; “and with him will disappear your last hope of fortune for your son.Ever since you played him that clever trick, he has returned to his affection for you.”"
"“我儿子绝不会向幼支投降，”王妃回应道，“哪怕他要被饿死，哪怕我得出去工作养活他。况且，贝尔特·德五天鹅并不讨厌他。”","“My son will never capitulate to the younger branch,” returned the princess, “if he has to die of hunger, or I have to work with my hands to feed him.Besides, Berthe de Cinq-Cygne has no aversion to him.”"
"“孩子们是不会受他们父母所受的束缚的。”德埃斯巴夫人说。","“Children don’t bind themselves to their parents’ principles,” said Madame d’Espard."
"“咱们别谈论这件事情了。”王妃说道，“如果我讨好不了德五天鹅侯爵夫人，我就让乔治和一个铁匠的女儿结婚，就像小德埃斯格里尼做的那样。”","“Don’t let us talk about it,” said the princess.“If I can’t coax over the Marquise de Cinq-Cygne, I shall marry Georges to the daughter of some iron-founderer, as that little d’Esgrignon did.”"
"“你爱过他吗？”侯爵夫人问道。","“Did you love Victurnien?” asked the marquise."
"“没有。”王妃坚定地说道，“德埃斯格里尼的天真单纯简直和乡下人的愚蠢一样，这一点我发现得太晚了——也可以说太早了。”","“No,” replied the princess, gravely, “d’Esgrignon’s simplicity was really only a sort of provincial silliness, which I perceived rather too late—or, if you choose, too soon.”"
"“那德马尔赛呢？”","“And de Marsay?”"
"“德马尔赛把我当成了一个玩偶。那时候我是多么年轻啊！我们从来不爱那种摆出说教架势的人；他们会伤害我们所有小小的虚荣心。”","“De Marsay played with me as if I were a doll.I was so young at the time!We never love men who pretend to teach us; they rub up all our little vanities.”"
"“那位上吊自尽的可怜男孩呢？”","“And that wretched boy who hanged himself?”"
"“吕西安？他像安提弩斯一样英俊潇洒，并且还是一位诗人。我从心底里崇拜他，我本来可以幸福的。但是他爱上了一个妓女；所以我把他让给了德塞里奇夫人。","“Lucien?An Antinous and a great poet.I worshiped him in all conscience, and I might have been happy.But he was in love with a girl of the town; and I gave him up to Madame de Serizy."
"如果他真的爱我，我会那么放弃他吗？”","If he had cared to love me, should I have given him up?”"
"“太奇怪了，你竟然遇上一位以斯贴！”","“What an odd thing, that you should come into collision with an Esther!”"
"“她比我漂亮。”王妃说道，“我已经在孤独中生活了快三年。”停了一会儿她接着说：“但这段宁静的生活没有让我感到一丝痛苦。只有对你，我才敢说，我生活得很幸福。对于别人对我的爱慕我已经麻木了，对于享乐也感到厌倦了，表面上情感丰富，实则清醒地意识到真正的情感从来没有抵达过内心深处。我发现我所认识的那些男人都是小气的、卑鄙的、肤浅的家伙；没有一个人使我产生过一点惊喜；他们缺乏纯真的品质，丧失了伟大的情操，也没有细腻的情感。我希望能够碰上一个让我尊重的男人。”","“She was handsomer than I,” said the Princess.—“Very soon it shall be three years that I have lived in solitude,” she resumed, after a pause, “and this tranquillity has nothing painful to me about it.To you alone can I dare to say that I feel I am happy.I was surfeited with adoration, weary of pleasure, emotional on the surface of things, but conscious that emotion itself never reached my heart.I have found all the men whom I have known petty, paltry, superficial; none of them ever caused me a surprise; they had no innocence, no grandeur, no delicacy.I wish I could have met with one man able to inspire me with respect.”"
"“亲爱的，难道你和我一样吗？”侯爵夫人问道，“当你打算去爱一个人的时候，你没有感受到爱情吗？”","“Then are you like me, my dear?” asked the marquise; “have you never felt the emotion of love while trying to love?”"
"“从来没有过。”王妃把手放在朋友的胳臂上，回答道。","“Never,” replied the princess, laying her hand on the arm of her friend."
"她们转过身，坐在竞相开放的茉莉花下一张粗糙的长椅上。她们互相倾诉了一些对这个年纪的女人来说很庄严的话。","They turned and seated themselves on a rustic bench beneath a jasmine then coming into flower.Each had uttered one of those sayings that are solemn to women who have reached their age."
"“就像你一样，”王妃说道，“与其他的女人相比，我得到更多的爱，但是在我所有的风流韵事中，我没有感到过幸福。我做过很多愚蠢的事情，可是那时我总有一个目标，我越是要接近它，它却离我越来越远。今天，在我已经衰老的内心，涌动着一种从来未被触及的纯洁。是的，在无数的经历下面保存着一种完整无缺的、最初的爱——就像我自己一样，尽管我失去了很多，疲惫不堪，但还是感觉自己年轻漂亮。我们可能爱过但是不幸福；我们也可能幸福着却从没有爱过；可是爱与幸福，如果把这两个伟大的经历结合起来，将是一个奇迹。那个奇迹没有发生在我身上。”","“Like you,” resumed the princess, “I have received more love than most women; but through all my many adventures, I have never found happiness.I committed great follies, but they had an object, and that object retreated as fast as I approached it.I feel today in my heart, old as it is, an innocence which has never been touched.Yes, under all my experience, lies a first love intact,—just as I myself, in spite of all my losses and fatigues, feel young and beautiful.We may love and not be happy; we may be happy and never love; but to love and be happy, to unite those two immense human experiences, is a miracle.That miracle has not taken place for me.”"
"“也没有发生在我身上。”德埃斯巴侯爵夫人说道。","“Nor for me,” said Madame d’Espard."
"“隐退后，我被一种难堪的悔恨折磨着：我一生都在玩乐，可是我从来没有爱过。”","“I own I am pursued in this retreat by dreadful regret: I have amused myself all through life, but I have never loved.”"
"“这是一个多么难以置信的秘密啊！”侯爵夫人惊叹道。","“What an incredible secret!” cried the marquise."
"“啊！亲爱的，”王妃回答道，“这样的秘密也就是在我俩之间说说，在巴黎没有人会信以为真。”","“Ah!my dear,” replied the princess, “such secrets we can tell to ourselves, you and I, but nobody in Paris would believe us.”"
"侯爵夫人说：“再说，要不是我们都过了三十六岁的年纪，可能还不会相互诉说秘密。”","“And,” said the marquise, “if we were not both over thirty-six years of age, perhaps we would not tell them to each other.”"
"“是的，当女人年轻的时候，总是怀着愚蠢的虚荣心。”王妃回答道。“我们像那些可怜的年轻人，手里玩弄着牙签，假装已经吃过一顿丰盛的晚餐。”","“Yes; when women are young they have so many stupid conceits,” replied the princess.“We are like those poor young men who play with a toothpick to pretend they have dined.”"
"“无论如何，我们走到了现在！”德埃斯巴侯爵夫人妩媚地说道，同时做了一个迷人姿态，仿佛什么都懂，但又显得很无辜，“在我看来，我们似乎还有足够的活力，在情场上进行报复。”","“Well, at any rate, here we are!” said Madame d’Espard, with coquettish grace, and a charming gesture of well-informed innocence; “and, it seems to me, sufficiently alive to think of taking our revenge.”"
"“前几天当你告诉我贝娅特丽克斯和孔蒂一起私奔了，我想了一整夜。”王妃停了一会儿说道，“我想，她放弃自己的地位、未来，永远离开社交界，必定是觉得幸福才这么做的。”","“When you told me, the other day, that Beatrix had gone off with Conti, I thought of it all night long,” said the princess, after a pause.“I suppose there was happiness in sacrificing her position, her future, and renouncing society forever.”"
