"第一章","CHAPTER I"
"此时，一个头戴大草帽，肩上抵着粉色太阳伞的少女出现在他们视野里，走在他们所在的小径上。","A young girl in a large straw hat, with a pink parasol on her shoulder, came into sight at that instant, in the little path along which the friends were walking."
"“瞧，我看到什么了？即便在这里，也有美女——她朝我们这边走过来了！美丽的卓娅小姐，一个谦卑的艺术家向你致敬！”舒宾立刻叫了起来，滑稽地挥了挥他的帽子。","‘But what do I see?Even here, there is beauty—coming to meet us!A humble artist’s compliments to the enchanting Zoya!’Shubin cried at once, with a theatrical flourish of his hat."
"那个女孩停了下来，用手指指着大喊的舒宾，等到他俩走近时，她用银铃般的声音说道：","The young girl to whom this exclamation referred, stopped, threatening him with her finger, and, waiting for the two friends to come up to her, she said in a ringing voice:"
"“怎么回事，先生们，你们怎么不去吃饭？饭都已经准备好了。”","‘Why is it, gentlemen, you don’t come in to dinner?It is on the table.’"
"“我听到了什么？”舒宾举起了他的胳膊，说，“难道你，迷人的卓娅，顶着大太阳出门就是来找我们吗？我可以这样理解你的意思吗？告诉我，可以吗？或者，等一下，请你不要告诉我真是这样的，不然我就要后悔死了。”","‘What do I hear?’ said Shubin, throwing his arms up.‘Can it be that you, bewitching Zoya, faced such heat to come and look for us?Dare I think that is the meaning of your words?Tell me, can it be so?Or no, do not utter that word; I shall die of regret on the spot.’"
"“哦，不要这样，帕维尔·雅克夫利奇，”那个少女有些懊恼地说，“你为什么就不能正经些和我说话呢？我可要生气啦。”她有点儿轻佻地做着鬼脸，还撅着嘴巴。","‘Oh, do leave off, Pavel Yakovlitch,’ replied the young girl with some annoyance.‘Why will you never talk to me seriously?I shall be angry,’ she added with a little coquettish grimace, and she pouted."
"“你可别生我气呀，完美的卓娅·尼基季什娜，你千万别让我陷入到绝望的深渊里。我本来就是个放荡不羁的人，所以才常与你开玩笑。”","‘You will not be angry with me, ideal Zoya Nikitishna; you would not drive me to the dark depths of hopeless despair.And I can’t talk to you seriously, because I’m not a serious person.’"
"少女耸了耸肩，转向别尔谢涅夫。","The young girl shrugged her shoulders, and turned to Bersenyev."
"“你看，他一直都是那样，他总是把我当成小孩子，可我都十八岁了。现在我已经是大人了。”","‘There, he’s always like that; he treats me like a child; and I am eighteen.I am grown-up now.’"
"“哦，上帝！”舒宾叹了口气，翻了个白眼，而别尔谢涅夫则轻轻地笑了。","‘O Lord!’ groaned Shubin, rolling his eyes upwards; and Bersenyev smiled quietly."
"少女使劲地跺了跺她的小脚。","The girl stamped with her little foot."
"“帕维尔·雅克夫利奇，我可真要生气啦！埃琳娜本来要和我一起的，”她说，“但后来她却去花园了。她很怕热，但我却不怕。走吧。”","‘Pavel Yakovlitch, I shall be angry!Helene was coming with me,’ she went on, ‘but she stopped in the garden.The heat frightened her, but I am not afraid of the heat.Come along.’"
"她沿着小径向前走去，每挪一步，那纤细的身体都会轻轻地摇摆一下，还不时用戴着黑色手套的小手把挡在脸上、柔顺卷曲的长发拨到后面去。","She moved forward along the path, slightly swaying her slender figure at each step, and with a pretty black-mittened little hand pushing her long soft curls back from her face."
"两个年轻人跟在她的后面（舒宾先是一言不发地把双手用力地按在胸前，接着又把它们举过头顶），没过多久他们就来到了一幢别墅前，这座房子位于孔佐沃周边的别墅区里。在花园中间，坐落着一幢带有顶楼的木制小房子，墙被刷成了粉色，看上去它就像躲在绿树林后面无辜地窥探着外面的世界。卓娅第一个打开了大门，她跑到花园里，大声叫道：“我把那两个出去闲逛的人带回来了！”一个面色苍白却表情丰富的少女从小路旁边的一个长椅上站了起来，在房门口，一个身穿紫色丝绸连衣裙的夫人站在那里，用一条麻布绣花手绢放在额头上挡太阳，面色疲倦地笑着。","The friends walked after her (Shubin first pressed his hands, without speaking, to his heart, and then flung them higher than his head), and in a few instants they came out in front of one of the numerous country villas with which Kuntsovo is surrounded.A small wooden house with a gable, painted a pink colour, stood in the middle of the garden, and seemed to be peeping out innocently from behind the green trees.Zoya was the first to open the gate; she ran into the garden, crying: ‘I have brought the wanderers!’A young girl, with a pale and expressive face, rose from a garden bench near the little path, and in the doorway of the house appeared a lady in a lilac silk dress, holding an embroidered cambric handkerchief over her head to screen it from the sun, and smiling with a weary and listless air."
"第三章","CHAPTER III"
"安娜·瓦西里耶夫娜·斯塔霍夫——没出嫁前姓舒宾——七岁时就成了一个孤儿，继承了一笔相当丰厚的遗产。她既有些富亲戚，也有些穷亲戚。父亲那边的亲戚都很穷，母亲那边的则很富有——包括参议员沃尔金和齐库拉索夫公爵一家。阿尔达里翁·齐库拉索夫公爵被指定为她的法定监护人，他把她送到了莫斯科最好的寄宿学校，在她毕业后，带她回自己家生活。他经常在冬天里广邀宾客，频繁地举办各种舞会。尼古拉·阿尔捷米耶维奇·斯塔霍夫，也就是安娜·瓦西里耶夫娜后来的丈夫，就是在一次这样的舞会上获得了她的芳心。那次她穿了件迷人的玫瑰色长礼服，头上还带着由小玫瑰花编成的花环。她一生都十分喜欢那种花环。尼古拉·阿尔捷米耶维奇·斯塔霍夫的父亲是一个已经退役的上校，他在1812年的卫国战争中受了伤，然后被安排在彼得堡一个待遇很好的职位工作。尼古拉·阿尔捷米耶维奇在十六岁的时候进入军校，毕业后加入了禁卫军。他英俊潇洒，体格健壮，在他经常出现的中产阶级的舞会上，几乎被公认为最耀眼的美男子。当时，他还没能进入上流社会。从小他就有两个愿望：成为一名皇家警卫员，娶一个富有的老婆，前一个愿望他很快就放弃了；但对后一个愿望，他倒是越来越努力，正因为如此，他每年冬天都要来莫斯科。尼古拉·阿尔捷米耶维奇法语说得很流利，还获得了哲学家的头衔，因为他不放纵自己。当他还是个少尉时，他就很喜欢固执地和别人讨论一些问题，比如说一个人在一生中有没有可能环游世界，或是人们有没有可能知道海底世界到底是什么样子。他总认为这些事情都是不可能做到的。","Anna Vassilyevna Stahov—her maiden name was Shubin—had been left, at seven years old, an orphan and heiress of a pretty considerable property.She had very rich and also very poor relations; the poor relations were on her father’s, the rich on her mother’s side; the latter including the senator Volgin and the Princes Tchikurasov.Prince Ardalion Tchikurasov, who had been appointed her guardian, placed her in the best Moscow boarding-school, and when she left school, took her into his own home.He kept open house, and gave balls in the winter.Anna Vassilyevna’s future husband, Nikolai Artemyevitch Stahov, captured her heart at one of these balls when she was arrayed in a charming rose-coloured gown, with a wreath of tiny roses.She had treasured that wreath all her life.Nikolai Artemyevitch Stahov was the son of a retired captain, who had been wounded in 1812, and had received a lucrative post in Petersburg.Nikolai Artemyevitch entered the School of Cadets at sixteen, and left to go into the Guards.He was a handsome, well-made fellow, and reckoned almost the most dashing beau at evening parties of the middling sort, which were those he frequented for the most part; he had not gained a footing in the best society.From his youth he had been absorbed by two ideals: to get into the Imperial adjutants, and to make a good marriage; the first ideal he soon discarded, but he clung all the more closely to the second, and it was with that object that he went every winter to Moscow.Nikolai Artemyevitch spoke French fairly, and passed for being a philosopher, because he was not a rake.Even while he was no more than an ensign, he was given to discussing, persistently, such questions as whether it is possible for a man to visit the whole of the globe in the course of his whole lifetime, whether it is possible for a man to know what is happening at the bottom of the sea; and he always maintained the view that these things were impossible."
"尼古拉·阿尔捷米耶维奇“钓”上安娜·瓦西里耶夫娜的时候二十五岁，之后他就退役，到乡下来打理产业。他很快就厌倦了乡村生活，由于当时乡下已改为只收农民的代役租了，所以他很轻松地离开了庄园，住在了他妻子莫斯科的房子里。年轻时他从不打牌，但现在却迷上了罗托，当不能玩罗托的时候，他又迷上了惠斯特。他在家里觉得很无聊，所以就勾搭上了一个带有德国血统的寡妇，而且几乎所有时间都和她在一起。1853年他没有和其他人一起搬去孔佐沃，他留在了莫斯科，表面上说是想利用这里的矿泉水，事实上，他是不想离开他的那个寡妇。然而，他却跟她没多少话说，谈论的也多是像“人能否预知天气”这样的问题。有次有人说他是个反对党，他还很喜欢那个称呼。“是的，”他琢磨着，得意地翘了翘嘴巴，并晃了晃脑袋，“我可不好惹，你别想骗我。”不过，尼古拉·阿尔捷米耶维奇的这种反叛也只是在嘴上说说而已，比如，当他听到神经这个词语的时候，他会问：“你说的这个词是什么意思？”或者是当有人跟他提及天文学发现时，他就会问：“你相信天文学吗？”当他想要完全压倒对方观点时，他就会说：“其实那只不过是些毫无意义的话而已。”确实，对不少人来说，这些话语是很难被反驳的（似乎到现在还是这样）。但是，尼古拉·阿尔捷米耶维奇怎么也不会想到，奥古斯丁娜·克里斯蒂安诺夫娜会在写给堂妹西奥多琳娜·彼得济柳斯的信中竟然称他为“我的小傻瓜”。","Nikolai Artemyevitch was twenty-five years old when he ‘hooked’ Anna Vassilyevna; he retired from the service and went into the country to manage the property.He was soon tired of country life, and as the peasants’ labour was all commuted for rent he could easily leave the estate; he settled in Moscow in his wife’s house.In his youth he had played no games of any kind, but now he developed a passion for loto, and, when loto was prohibited, for whist.At home he was bored; he formed a connection with a widow of German extraction, and spent almost all his time with her.In the year 1853 he had not moved to Kuntsovo; he stopped at Moscow, ostensibly to take advantage of the mineral waters; in reality, he did not want to part from his widow.He did not, however, have much conversation with her, but argued more than ever as to whether one can foretell the weather and such questions.Some one had once called him a frondeur; he was greatly delighted with that name.‘Yes,’ he thought, letting the corners of his mouth drop complacently and shaking his head, ‘I am not easily satisfied; you won’t take me in.’Nikolai Artemyevitch’s frondeurism consisted in saying, for instance, when he heard the word nerves: ‘And what do you mean by nerves?’ or if some one alluded in his presence to the discoveries of astronomy, asking: ‘And do you believe in astronomy?’When he wanted to overwhelm his opponent completely, he said: ‘All that is nothing but words.’It must be admitted that to many persons remarks of that kind seemed (and still seem) irrefutable arguments.But Nikolai Artemyevitch never suspected that Augustina Christianovna, in letters to her cousin, Theodolina Peterzelius, called him Mein Pinselchen."
"安娜·瓦西里耶夫娜，尼古拉·阿尔捷米耶维奇的妻子，是一个身型瘦小，五官精致，有点儿情绪化，又有点儿忧郁的女人。在上学的时候，她很喜欢听音乐和看小说，毕业后就把这些爱好全部抛弃了。接着她又喜欢上了漂亮的衣服，不过后来也放弃了这个爱好。曾经有段时间她自己负责女儿的教育，不过后来她又厌倦了，之后请来一个女家庭教师接替这一工作。此后，她整天伤春悲秋，敏感忧郁。生完埃琳娜·尼古拉耶夫娜以后，她的身体就越来越差，以至于以后都不可能再有孩子了。尼古拉·阿尔捷米耶维奇也总是不断地向别人暗示这件事情，以便为他和奥古斯丁娜·克里斯蒂安诺夫娜的亲密交往找一个正当的理由。丈夫的不忠让安娜·瓦西里耶夫娜心里很受伤，而更让她难过的是有一次他竟偷偷摸摸地把她（安娜·瓦西里耶夫娜）马场里的两匹灰马送给了他的那个德国女人。她并没有当面指责他，但私底下却不断地给家里的人甚至她的女儿抱怨这件事情。安娜·瓦西里耶夫娜不喜欢到外面去，她只喜欢客人们到家里来坐着陪她聊天，当她一个人的时候，她的情绪就会立刻崩溃。她非常温柔而且善良，生活很快耗尽了她的精力。","Nikolai Artemyevitch’s wife, Anna Vassilyevna, was a thin, little woman with delicate features, and a tendency to be emotional and melancholy.At school, she had devoted herself to music and reading novels; afterwards she abandoned all that.She began to be absorbed in dress, and that, too, she gave up.She did, for a time, undertake her daughter’s education, but she got tired of that too, and handed her over to a governess.She ended by spending her whole time in sentimental brooding and tender melancholy.The birth of Elena Nikolaevna had ruined her health, and she could never have another child.Nikolai Artemyevitch used to hint at this fact in justification of his intimacy with Augustina Christianovna.Her husband’s infidelity wounded Anna Vassilyevna deeply; she had been specially hurt by his once giving his German woman, on the sly, a pair of grey horses out of her (Anna Vassilyevna’s) own stable.She had never reproached him to his face, but she complained of him secretly to every one in the house in turn, even to her daughter.Anna Vassilyevna did not care for going out, she liked visitors to come and sit with her and talk to her; she collapsed at once when she was left alone.She had a very tender and loving heart; life had soon crushed her."
"帕维尔·雅克夫利奇·舒宾恰巧是她的一个远房亲戚。他的父亲曾在莫斯科的一个政府机构上班。他的哥哥们都进了军校，他年龄最小，母亲又十分疼爱他，再加上他身体虚弱，所以就一直呆在家里。家里人打算供他读完大学，千方百计地让他锻炼身体。从小他就显示出对雕塑的喜爱。有一天，那个肥胖的沃尔金参议员在他姑姑的房间里发现了他做的一个小雕像——他那时才十六岁——然后他就宣布他打算担保这个年轻的天才以后的发展。但是舒宾的父亲去世了，这几乎完全改变了这个年轻人的未来。那个参议员，天才的担保人，只给了舒宾一尊荷马的半身塑像做礼物，之后就再无消息。但安娜·瓦西里耶夫娜却资助了他，十九岁那年，他的分数擦边进了大学的医学院。帕维尔不是很喜欢学医，但碍于学校制定的名额限制，他不可能再转到其他的院系。此外，他也很想学习解剖学。但是，他却没有学完解剖学的课程，第一学年期末，他没参加考试就离开了学校，投入到他喜欢的塑造雕塑的工作中了。他工作努力，但却三天打渔，两天晒网。他经常到莫斯科郊外闲逛，为一些乡下姑娘画些素描，并认识了各种各样的人，有年纪轻轻的，也有白发苍苍的，有上流社会的，也有下层阶级的，有意大利模特，也有俄国艺术家。他不愿去学院里学习，也没有拜谁为师。他拥有无与伦比的才华，他的名声开始在莫斯科传播开来。他的母亲来自于巴黎的一个富有家庭，是位善良聪明的女人，她认真地教他法语，日日夜夜为他着想，为他操劳。她为他感到骄傲，但在她还很年轻的时候，她就患肺病去世了，死前她恳求安娜·瓦西里耶夫娜照料帮她照顾舒宾。那时他已经二十一岁了。安娜·瓦西里耶夫娜兑现了她之前的承诺，把乡间别墅门房的一个小房间给他住。","Pavel Yakovlitch Shubin happened to be a distant cousin of hers.His father had been a government official in Moscow.His brothers had entered cadets’ corps; he was the youngest, his mother’s darling, and of delicate constitution; he stopped at home.They intended him for the university, and strained every effort to keep him at the gymnasium.From his early years he began to show an inclination for sculpture.The ponderous senator, Volgin, saw a statuette of his one day at his aunt’s—he was then sixteen—and declared that he intended to protect this youthful genius.The sudden death of Shubin’s father very nearly effected a complete transformation in the young man’s future.The senator, the patron of genius, made him a present of a bust of Homer in plaster, and did nothing more.But Anna Vassilyevna helped him with money, and at nineteen he scraped through into the university in the faculty of medicine.Pavel felt no inclination for medical science, but, as the university was then constituted, it was impossible for him to enter in any other faculty.Besides, he looked forward to studying anatomy.But he did not complete his anatomical studies; at the end of the first year, and before the examination, he left the university to devote himself exclusively to his vocation.He worked zealously, but by fits and starts; he used to stroll about the country round Moscow sketching and modelling portraits of peasant girls, and striking up acquaintance with all sorts of people, young and old, of high and low degree, Italian models and Russian artists.He would not hear of the Academy, and recognised no one as a teacher.He was possessed of unmistakeable talent; it began to be talked about in Moscow.His mother, who came of a good Parisian family, a kind-hearted and clever woman, had taught him French thoroughly and had toiled and thought for him day and night.She was proud of him, and when, while still young in years, she died of consumption, she entreated Anna Vassilyevna to take him under her care.He was at that time twenty-one.Anna Vassilyevna carried out her last wish; a small room in the lodge of the country villa was given up to him."
"第四章","CHAPTER IV"
"“过来吃饭吧，大家都过来。”女主人说道，声音中透着悲伤。大家都跟着她走进餐厅，“和我坐在一起，卓娅，”安娜·瓦西里耶夫娜说，“埃琳娜，你招呼客人；而你，保罗，别再淘气去捉弄卓娅了。我今天头疼。”","‘Come to dinner, come along,’ said the lady of the house in a plaintive voice, and they all went into the dining-room.‘Sit beside me, Zoe,’ added Anna Vassilyevna, ‘and you, Helene, take our guest; and you, Paul, please don’t be naughty and tease Zoe.My head aches today.’"
"舒宾又翻了翻白眼。卓娅浅笑了一下。说到卓娅，或者更准确地说，卓娅·尼基季什娜·米勒，是一个满头金发、俄德混血的漂亮女孩。她的小嘴红红的，鼻子也小，鼻头却很宽。她的俄罗斯民歌唱得很好，还能用钢琴弹上几曲，无论是快乐还是悲伤的曲调，她都能弹奏得很好。她穿衣服很讲究，然而却总选择一些小孩子喜欢的款式，更准确地说，有时甚至会是一些特别幼稚的款式。安娜·瓦西里耶夫娜本来是打算让她来给女儿做伴的，但后来却总是让她呆在自己身边。埃琳娜对此毫无怨言，因为当她和卓娅偶尔被单独留在一起时，她根本不知道能跟卓娅聊些什么。","Shubin again turned his eyes up to the ceiling; Zoe responded with a half-smile.This Zoe, or, to speak more precisely, Zoya Nikitishna Mueller, was a pretty, fair-haired, half-Russian German girl, with a little nose rather wide at the end, and tiny red lips.She sang Russian ballads fairly well and could play various pieces, both lively and sentimental, very correctly on the piano.She dressed with taste, but in a rather childish style, and even over precisely.Anna Vassilyevna had taken her as a companion for her daughter, and she kept her almost constantly at her side.Elena did not complain of that; she was absolutely at a loss what to say to Zoya when she happened to be left alone with her."
"这顿饭真是花了很长时间，别尔谢涅夫跟埃琳娜谈论着他的大学生活，他自己的计划和梦想。舒宾则只是听着，没有说话，吃饭的时候总是故意做出一副夸张的馋鬼样，并不时用透着失望的滑稽眼神瞥向卓娅，而卓娅总是那样淡淡地笑着回应他。饭后，埃琳娜、别尔谢涅夫和舒宾去了花园，卓娅看着他们的背影，微微地耸了耸肩，坐下来弹钢琴。安娜·瓦西里耶夫娜说：“你怎么不和他们一起出去走走？”然而，不等卓娅回答，她就继续说道：“给我弹个悲伤一些的曲子吧。”","The dinner lasted rather a long time; Bersenyev talked with Elena about university life, and his own plans and hopes; Shubin listened without speaking, ate with an exaggerated show of greediness, and now and then threw comic glances of despair at Zoya, who responded always with the same phlegmatic smile.After dinner, Elena with Bersenyev and Shubin went into the garden; Zoya looked after them, and, with a slight shrug of her shoulders, sat down to the piano.Anna Vassilyevna began: ‘Why don’t you go for a walk, too?’ but, without waiting for a reply, she added: ‘Play me something melancholy.’"
"“那我弹韦伯的《最后的思索》怎么样？”卓娅建议道。","‘La derniere pensee de Weber?’ suggested Zoya."
"“好的，就韦伯的曲子吧。”安娜·瓦西里耶夫娜回答说。她陷进一把安乐椅里听着，睫毛上开始挂上了泪珠。","‘Ah, yes, Weber,’ replied Anna Vassilyevna.She sank into an easy chair, and the tears started on to her eyelashes."
"与此同时，埃琳娜带着那两个年轻人来到了金合欢树下的一个凉亭里，凉亭中间摆着一个小木桌子，周围放着几个凳子。舒宾朝四周看了看，随后低声说：“稍等一下！”然后就跑开了，他悄悄地跑进自己的房间，拿了一块黏土回来，开始做起卓娅的半身塑像来，边做边摇着脑袋，喃喃自语，面带笑意。","Meanwhile, Elena led the two friends to an arbour of acacias, with a little wooden table in the middle, and seats round.Shubin looked round, and, whispering ‘Wait a minute!’ he ran off, skipping and hopping to his own room, brought back a piece of clay, and began modelling a bust of Zoya, shaking his head and muttering and laughing to himself."
"“还是以前的那些把戏。”埃琳娜看了一眼他的作品，说道。接着，她转向了别尔谢涅夫，继续谈论他们在餐桌上交流过的话题。","‘At his old tricks again,’ observed Elena, glancing at his work.She turned to Bersenyev, with whom she was continuing the conversation begun at dinner."
"“还是以前的那些把戏！”舒宾重复道，“雕塑真是令人百用不厌啊！尤其是今天，她令我失去了所有的耐心。”","‘My old tricks!’ repeated Shubin.‘It’s a subject that’s simply inexhaustible!Today, particularly, she drove me out of all patience.’"
"“此话怎讲？”埃琳娜问，“别人还会以为你是在说某个心怀怨恨、让人讨厌的老太婆呢。她可是个年轻漂亮的姑娘啊。”","‘Why so?’ inquired Elena.‘One would think you were speaking of some spiteful, disagreeable old woman.She is a pretty young girl.’"
"“当然，”舒宾插嘴说，“她很漂亮，非常漂亮。我十分肯定只要是见过她的人都会这样想：我绝对应该邀请她跳一曲波尔卡舞。我也十分肯定她自己知道这些而且还很高兴……但是，她那些故作谦虚的假笑和谨慎小心的举止又是为了什么呢？算了，你肯定知道我是什么意思，”他含含糊糊地说，“但现在你的心思已经飘到别的地方去了。”","‘Of course,’ Shubin broke in, ‘she is pretty, very pretty; I am sure that no one who meets her could fail to think: that’s some one I should like to—dance a polka with; I’m sure, too, that she knows that, and is pleased….Else, what’s the meaning of those modest simpers, that discreet air?There, you know what I mean,’ he muttered between his teeth.‘But now you’re absorbed in something else.’"
"弄坏了卓娅的塑像，舒宾急忙又有点儿焦躁地重新和泥塑模。","And breaking up the bust of Zoya, Shubin set hastily to modelling and kneading the clay again with an air of vexation."
"“那么，你以后希望去当老师？”埃琳娜问别尔谢涅夫。","‘So it is your wish to be a professor?’ said Elena to Bersenyev."
"“是的，”他一边说着一边把双手夹在两膝之间，“那是我一直梦寐以求的。当然，我很清楚梦想和现实之间还有着很大的差距——若是想要成为一位好老师——我的意思是指我的各个方面都还有待完善，但是目前我希望能够出国进修或游学，如果需要的话，我准备那样在国外呆个三四年，到那时——”","‘Yes,’ he answered, squeezing his red hands between his knees.‘That’s my cherished dream.Of course I know very well how far I fall short of being—to be worthy of such a high—I mean that I am too little prepared, but I hope to get permission for a course of travel abroad; I shall pass three or four years in that way, if necessary, and then—’"
"他停了下来，闭上双眼，然后又猛地睁开，他不好意思地笑了，理了理头发。当别尔谢涅夫跟女人说话的时候，他说得就更慢了，而且更加咬字不清。","He stopped, dropped his eyes, then quickly raising them again, he gave an embarrassed smile and smoothed his hair.When Bersenyev was talking to a woman, his words came out more slowly, and he lisped more than ever."
"“你想成为一位历史老师吗？”埃琳娜问。","‘You want to be a professor of history?’ inquired Elena."
"“是的，或者是哲学老师，”他低声说，“如果可能的话。”","‘Yes, or of philosophy,’ he added, in a lower voice—‘if that is possible.’"
"“他已经在哲学方面很有研究了，”舒宾边看着塑像边说，用指甲在黏土上划了几道深深的线条，“他还要出国去干嘛呢？”","‘He’s a perfect devil at philosophy already,’ observed Shubin, making deep lines in the clay with his nail.‘What does he want to go abroad for?’"
"“那你以后会完全满足于当老师的生活吗？”埃琳娜把下巴支在胳膊肘上，盯着他的脸问。","‘And will you be perfectly contented with such a position?’ asked Elena, leaning on her elbow and looking him straight in the face."
"“我会完全满足的，埃琳娜·尼古拉耶夫娜，完全满足。有什么职业能比得过当老师呢？也许，我可以追随季莫费·尼古拉耶维奇的脚步前进……一想到能当老师，我的内心就充满了快乐和困惑……是的，困惑……那是由于我自身的不足引起的。我父亲很支持我做这项事业……我永远都不会忘记他临终前所说的话。”","‘Perfectly, Elena Nikolaevna, perfectly.What could be a finer vocation?To follow, perhaps, in the steps of Timofay Nikolaevitch … The very thought of such work fills me with delight and confusion … yes, confusion… which comes from a sense of my own deficiency.My dear father consecrated me to this work… I shall never forget his last words.’…"
"“你父亲是上个冬天去世的吗？”","‘Your father died last winter?’"
"“是的，埃琳娜·尼古拉耶夫娜，他是二月份去世的。”","‘Yes, Elena Nikolaevna, in February.’"
"“他们都说，”埃琳娜继续说道，“你父亲生前留下了一部优秀著作的原稿，这是真的吗？”","‘They say,’ Elena went on, ‘that he left a remarkable work in manuscript; is it true?’"
"“是的。他是个令人钦佩的人。你应该会很喜欢他的，埃琳娜·尼古拉耶夫娜。”","‘Yes.He was a wonderful man.You would have loved him, Elena Nikolaevna.’"
"“我想我会的。那本著作是写什么的？”","‘I am sure I should.And what was the subject of the work?’"
"“关于那本书的内容，埃琳娜·尼古拉耶夫娜，如果要我用几句话就把它讲清楚，可能会有点儿困难。我父亲是个很有学问的人，追随谢林学派，他经常会用一些令人难以理解的词汇——”","‘To give you an idea of the subject of the work in few words, Elena Nikolaevna, would be somewhat difficult.My father was a learned man, a Schellingist; he used terms which were not always very clear—’"
"“安德烈·彼得罗维奇，”埃琳娜打断他的话说，“不好意思，请原谅我的无知，什么是谢林学派？”","‘Andrei Petrovitch,’ interrupted Elena, ‘excuse my ignorance, what does that mean, a Schellingist?’"
"别尔谢涅夫轻轻笑了笑。","Bersenyev smiled slightly."
"“谢林学派，是指追随德国哲学家谢林的学者组织，谢林的哲学思想是——”","‘A Schellingist means a follower of Schelling, a German philosopher; and what the philosophy of Schelling consists in—’"
"“安德烈·彼得罗维奇！”舒宾突然叫了起来，“看在上帝的份上，别说了！你肯定不是要给埃琳娜·尼古拉耶夫娜上一堂介绍谢林学派的课吧？可怜可怜她吧！”","‘Andrei Petrovitch!’ cried Shubin suddenly, ‘for mercy’s sake!Surely you don’t mean to give Elena Nikolaevna a lecture on Schelling?Have pity on her!’"
"“哪里是上什么课，”别尔谢涅夫脸色通红地嘀咕道，“我是想说——”","‘Not a lecture at all,’ murmured Bersenyev, turning crimson.‘I meant—’"
"“为什么不是上课呢？”埃琳娜说，“你和我都应该好好听听的，帕维尔·雅克夫利奇。”","‘And why not a lecture?’ put in Elena.‘You and I are in need of lectures, Pavel Yakovlitch.’"
"舒宾盯着她看了一会儿，然后突然哈哈大笑起来。","Shubin stared at her, and suddenly burst out laughing."
"“你在笑什么？”她用冷冰冰且几近严厉的语气说道。","‘What are you laughing at?’ she said coldly, and almost sharply."
"舒宾没有回答她。","Shubin did not answer."
"“好了，不要生气了，”他停了一会儿说，“对不起。但依我之见，在这样的天气里，在这样的树下，谈论一些哲学问题实在是有点儿怪怪的。我们应该聊聊夜莺和玫瑰，或是年轻的眼睛和笑容。”","‘Come, don’t be angry,’ he said, after a short pause.‘I am sorry.But really it’s a strange taste, upon my word, to discuss philosophy in weather like this under these trees.Let us rather talk of nightingales and roses, youthful eyes and smiles.’"
"“没错，还有法国小说，女人的穿着打扮。”埃琳娜说道。","‘Yes; and of French novels, and of feminine frills and fal-lals,’ Elena went on."
