"唷！唷！唷！","Yah! Yah! Yah!"
"那男孩离开了，回来的是首相，他心绪不宁，不太自然，喋喋不休地道歉说明。简言之，国王睡着了，不能被打扰。","The boy departed, and back came the prime minister, perturbed, ill at ease, and garrulous with apologetic explanation.In short, the king slept, and was not to be disturbed."
"“国王睡得很香。”是他说的最后一句。","“King he plenty strong fella sleep,” was his final sentence."
"麦卡利斯特非常生气，结果首相不加思考拔腿就跑了回去，和国王一起回来了。他们两个都很高大，尤其是国王，他一定足有六英尺三英寸高。他的相貌有鹰的特性，这种特点通常可以在北美印第安人身上找到。他经过塑造，生来就是统治者。倾听时他眼睛里闪着光，但却完全温顺地遵从麦卡利斯特的命令，从村子里叫来两百个最好的舞者，有男有女。在太阳的炙烤下，他们跳了两个小时，几乎丧命。他们因此不喜欢他，而他不以为意，最后带着辱骂和嘲笑将他们解散。","McAllister was in such a rage that the prime minister incontinently fled, to return with the king himself.They were a magnificent pair, the king especially, who must have been all of six feet three inches in height.His features had the eagle-like quality that is so frequently found in those of the North American Indian.He had been molded and born to rule.His eyes flashed as he listened, but right meekly he obeyed McAllister’s command to fetch a couple of hundred of the best dancers, male and female, in the village.And dance they did, for two mortal hours, under that broiling sun.They did not love him for it, and little he cared, in the end dismissing them with abuse and sneers."
"那些高大野人的卑贱奴性真是令人惊讶。怎么能够这样？他的统治秘诀是什么？随着时间的推移，我越来越来困惑，尽管我不断看到无人对他的统治持有疑议的实例，但却看不到任何线索说明这是如何做到的。","The abject servility of those magnificent savages was terrifying.How could it be?What was the secret of his rule?More and more I puzzled as the days went by, and though I observed perpetual examples of his undisputed sovereignty, never a clew was there as to how it was."
"一天我碰巧提到对没能换得一对漂亮的橘色宝贝螺感到失望。如果这一对在这里值一美分，那在悉尼就得值五磅。我向物主出价两百支香烟，而他坚持要三百支。当我偶然提到这个情况，麦卡利斯特立即派人去找那个物主，从他那里拿走贝壳，转交给我。他允许我只付五十支香烟来买它们。那人接过烟草，似乎为能够如此轻易逃脱惩罚而狂喜。至于我，我决定将来说话不能口无遮拦。我还在仔细思考着麦卡利斯特权力的秘密。","One day I happened to speak of my disappointment in failing to trade for a beautiful pair of orange cowries.The pair was worth five pounds in Sydney if it was worth a cent.I had offered two hundred sticks of tobacco to the owner, who had held out for three hundred.When I casually mentioned the situation, McAllister immediately sent for the man, took the shells from him, and turned them over to me.Fifty sticks were all he permitted me to pay for them.The man accepted the tobacco and seemed overjoyed at getting off so easily.As for me, I resolved to keep a bridle on my tongue in the future.And still I mulled over the secret of McAllister’s power."
"我甚至到了直接问他的程度，但是他所做的一切就只是使个眼色，让自己看上去很有智慧，然后再喝一杯。","I even went to the extent of asking him directly, but all he did was to cock one eye, look wise, and take another drink."
"一天晚上，我和奥蒂外出到环礁湖钓鱼，奥蒂就是宝贝螺遭强取的人。我私下里多给他一百五十支香烟来补偿他，他开始尊重我，几乎到了崇拜的程度，令人稀奇的是，他是一位老人，年龄至少是我的两倍。","One night I was out fishing in the lagoon with Oti, the man who had been mulcted of the cowries.Privily, I had made up to him an additional hundred and fifty sticks, and he had come to regard me with a respect that was almost veneration, which was curious, seeing that he was an old man, twice my age at least."
"“是什么使你们南太平洋岛上的土人都跟黑人小孩似的？”我开始问他。“这个商人就他一个人。你们有足够多的人。你们岛上的土人就像狗一样——都很怕那个商人。他不会吃掉你，伙计。他也没多少牙齿。你们为什么这么害怕？”","“What name you fella kanaka all the same pickaninny?”I began on him.“This fella trader he one fella.You fella kanaka plenty fella too much.You fella kanaka just like ’m dog—plenty fright along that fella trader.He no eat you, fella.He no get ’m teeth along him.What name you too much fright?”"
"“你是不是认为很多岛上土人会杀他？”他问。","“S’pose plenty fella kanaka kill m?” he asked."
"“他就死了，”我反驳道，“很久以前，你们岛上土人杀了很多白人。为什么怕这个白人呢？”","“He die,” I retorted.“You fella kanaka kill ’m plenty fella white man long time before.What name you fright this fella white man?”"
"“是的，我们杀了很多，”他答道，“啊呀！相当多！很久以前。那时，我还太小，有一艘大船停在了外面。没有风。我们很多岛上土人上了独木舟，独木舟也很多，赶上了那艘船。啊呀——我们大打了一仗。两、三个白人拼命射击。而我们无所畏惧。我们并排靠拢，从边上登上船，我们人很多，可能有五十十（五百）个人。一个白人玛丽（女人）是那艘船上的。以前我从来没看到过白人玛丽。不久以后，很多白人都被杀了。有个船长没死。五、六个白人也没死。船长引吭高歌。有个白人还在战斗。有个白人放下小艇。那之后，他们上船离开了。船长将玛丽吊着放下来。之后，他们使劲划船。祖先保佑我，那时他很强壮。他投下一个鱼叉。他将那个鱼叉投向了白人玛丽的一侧。他没有停止。啊呀，他投向玛丽的另一侧。她死了。我没有害怕。很多岛上土人没有畏惧。”","“Yes, we kill ’m plenty,” was his answer.“My word!Any amount!Long time before.One time, me young fella too much, one big fella ship he stop outside.Wind he no blow.Plenty fella kanaka we get ’m canoe, plenty fella canoe, we go catch ’m that fella ship.My word—we catch ’m big fella fight.Two, three white men shoot like hell.We no fright.We come alongside, we go up side, plenty fella, maybe I think fifty-ten (five hundred).One fella white Mary (woman) belong that fella ship.Never before I see ’m white Mary.Bime by plenty white man finish.One fella skipper he no die.Five fella, six fella white man no die.Skipper he sing out.Some fella white man he fight.Some fella white man he lower away boat.After that, all together over the side they go.Skipper he sling white Mary down.After that they washee (row) strong fella plenty too much.Father belong me, that time he strong fella.He throw ’m one fella spear.That fella spear he go in one side that white Mary.He no stop.My word, he go out other side that fella Mary.She finish.Me no fright.Plenty kanaka too much no fright.”"
"老奥蒂的自尊心多少受到了伤害，因为他突然脱去了他的印花短围裙，给我看他身上明显的子弹伤疤。我还没来得及说话，他的鱼线突然跑出来了。他检查一下，努力收线，却发现那条鱼绕着一个珊瑚枝跑来跑去。我让他分心了，因而他向我投来责备的目光，接着他下了船，脚先入水，下去后他就翻倒了，随着鱼线沉到了底。水有十英寻深。随着他的脚把暗淡的磷光搅入朦胧的火光中，我弯下身子看着他的脚的表演，他的脚越来越看不清了。与一个鱼钩和鱼线的价值相比，十英寻，也就是六十英尺，对一个老人来说不算什么。大约五分钟后，尽管不可能再多一分钟，我看到他出来了，泛着白光。他浮出水面，把一条十磅的石斑鱼丢到独木舟里，鱼线和鱼钩完好无损，鱼钩仍然牢牢地被鱼嘴咬着。","Old Oti’s pride had been touched, for he suddenly stripped down his lava-lava and showed me the unmistakable scar of a bullet.Before I could speak, his line ran out suddenly.He checked it and attempted to haul in, but found that the fish had run around a coral branch.Casting a look of reproach at me for having beguiled him from his watchfulness, he went over the side, feet first, turning over after he got under and following his line down to bottom.The water was ten fathoms.I leaned over and watched the play of his feet, growing dim and dimmer, as they stirred the wan phosphorescence into ghostly fires.Ten fathoms—sixty feet—it was nothing to him, an old man, compared with the value of a hook and line.After what seemed five minutes, though it could not have been more than a minute, I saw him flaming whitely upward.He broke surface and dropped a ten pound rock cod into the canoe, the line and hook intact, the latter still fast in the fish’s mouth."
"“那可能，”我说道，没有一点儿自责。“很久以前，你们不害怕。现在，你们非常怕那个商人。”","“It may be,” I said remorselessly.“You no fright long ago.You plenty fright now along that fella trader.”"
"“是的，非常怕。”他承认了，透露出不再考虑这个话题的神情。半个小时里，我们拉出鱼线，又默默地将它们扔出去。小鲨鱼开始咬钩了，每有一个鱼钩不见，我们就收回鱼线，等待鲨鱼们离开。","“Yes, plenty fright,” he confessed, with an air of dismissing the subject.For half an hour we pulled up our lines and flung them out in silence.Then small fish-sharks began to bite, and after losing a hook apiece, we hauled in and waited for the sharks to go their way."
"“我认为你是对的,”奥蒂突然开口说话，“那么你知道我们现在害怕了。”","“I speak you true,” Oti broke into speech, “then you savve we fright now.”"
"我点燃烟斗等着，奥蒂用糟糕且并不标准的外国话给我讲的这个故事，我在这里改成了标准的英语。另外，从讲述的精神和顺序方面来看，这个传说正像从奥蒂的嘴里说出的。","I lighted up my pipe and waited, and the story that Oti told me in atrocious bech-de-mer I here turn into proper English.Otherwise, in spirit and order of narrative, the tale is as it fell from Oti’s lips."
"“那是在我们做了一件让我们非常自豪的事情之后。我们和靠海为生的陌生白人打了很多次仗，我们总是能战胜他们。我们当中有几个人被杀死了，但是和我们在船上找到的成千上万种储存的财富相比，算得了什么呢？然后有一天，可能是二十年或者二十五年前，一艘纵帆船正好通过这个通道，来到了环礁湖。那是有三个桅杆的大纵帆船。船上载有五个白人和大概四十名船员，黑人船员来自新几内亚和新不列颠岛；这艘船是来捕海参的。船从这里穿过环礁湖，在保卢抛锚了，附带的小艇分散到四处，在海滩上扎营熏制海参。他们分开后，力量就变弱了，因为一些人在这里捕海参，一些人在五十英里外保卢的纵帆船上，还有一些人在更远的地方。","“It was after that that we were very proud.We had fought many times with the strange white men who live upon the sea, and always we had beaten them.A few of us were killed, but what was that compared with the stores of wealth of a thousand thousand kinds that we found on the ships?And then one day, maybe twenty years ago, or twenty-five, there came a schooner right through the passage and into the lagoon.It was a large schooner with three masts.She had five white men and maybe forty boat’s crew, black fellows from New Guinea and New Britain; and she had come to fish bêche-de-mer.She lay at anchor across the lagoon from here, at Pauloo, and her boats scattered out everywhere, making camps on the beaches where they cured the bêche-de-mer.This made them weak by dividing them, for those who fished here and those on the schooner at Pauloo were fifty miles apart, and there were others farther away still."
"“我们的国王和首领召开会议，我整个下午和晚上都在围绕环礁湖划船，带话给保卢的居民，我们会在早上袭击捕鱼的营地，他们负责袭击纵帆船。我们这些带话的人，虽然划桨很疲惫，但我们还是参加了进攻。纵帆船上有两个白人，船长和二副，还有六个黑人男孩。我们在岸上抓住了船长和三个男孩，并将他们杀死，但船长用他的两个左轮手枪先杀死了我们的八个人。你知道，我们一起奋战，在附近扭打。","“Our king and headmen held council, and I was one in the canoe that paddled all afternoon and all night across the lagoon, bringing word to the people of Pauloo that in the morning we would attack the fishing camps at the one time and that it was for them to take the schooner.We who brought the word were tired with the paddling, but we took part in the attack.On the schooner were two white men, the skipper and the second mate, with half a dozen black boys.The skipper with three boys we caught on shore and killed, but first eight of us the skipper killed with his two revolvers.We fought close together, you see, at hand grapples."
"我们打斗的声音使二副洞悉了正在发生的事情，他把食物、水和一个帆放到一艘小艇上，小艇很小还不足十二英尺长。我们突然袭击了那艘纵帆船，一千人划着各自的艇分散在环礁湖各个地方。同时，我们吹响海螺壳，唱着战胜的歌曲，用船桨拍打划艇的两侧。一个白人和三个黑人男孩怎么可能跟我们对抗？根本不可能，二副知道这一点。","“The noise of our fighting told the mate what was happening, and he put food and water and a sail in the small dingy, which was so small that it was no more than twelve feet long.We came down upon the schooner, a thousand men, covering the lagoon with our canoes.Also, we were blowing conch shells, singing war songs, and striking the sides of the canoes with our paddles.What chance had one white man and three black boys against us?No chance at all, and the mate knew it."
"“白人是畜牲。我观察他们很久，现在我老了，终于明白了为什么白人把海洋里的所有岛屿都据为己有了。因为他们是畜牲。现在你和我在这个独木舟里。你还只是个小男孩。你还不算知情，虽然每天我告诉你很多你不知道的事。当我是一个黑人小孩时，关于鱼和它们的生活方式，我知道的比你现在知道的要多。我是一个老人，但我游到了环礁湖底，你追不上我。总之，你有什么长处？除了打仗，我什么都不知道了。我从来没看到过你打仗，但我知道你会像你的兄弟们一样勇敢抗争。并且，跟你的兄弟们一样，你是个傻瓜。你不知道什么时候被打败。你会斗争到死，等你被打败时再知道就晚了。","“White men are hell.I have watched them much, and I am an old man now, and I understand at last why the white men have taken to themselves all the islands in the sea.It is because they are hell.Here are you in the canoe with me.You are hardly more than a boy.You are not wise, for each day I tell you many things you do not know.When I was a little pickaninny, I knew more about fish and the ways of fish than you know now.I am an old man, but I swim down to the bottom of the lagoon, and you cannot follow me.What are you good for, anyway?I do not know, except to fight.I have never seen you fight, yet I know that you are like your brothers and that you will fight like hell.Also, you are a fool, like your brothers.You do not know when you are beaten.You will fight until you die, and then it will be too late to know that you are beaten."
"“现在看看这个二副做了什么。追赶他时，船只布满海面，我们吹着海螺，他带着三个黑人男孩，乘着小艇驶离了纵帆船，划向那个通道。瞧，他又犯傻了，因为没有哪个聪明人会乘着那么小的船驶向海面。船的舷侧距水面不足四英寸。二十个划艇在追他，船上载着二百个年轻人。他的黑男孩划出一英寻，我们就划出五英寻。他没任何机会，但他是傻瓜。他拿着步枪在船上站了起来，射击很多次。他不是个好射手，但当我们靠近时，我们当中还是有很多人受伤死掉了。但他仍没有任何机会。","“Now behold what this mate did.As we came down upon him, covering the sea and blowing our conches, he put off from the schooner in the small boat, along with the three black boys, and rowed for the passage.There again he was a fool, for no wise man would put out to sea in so small a boat.The sides of it were not four inches above the water.Twenty canoes went after him, filled with two hundred young men.We paddled five fathoms while his black boys were rowing one fathom.He had no chance, but he was a fool.He stood up in the boat with a rifle, and he shot many times.He was not a good shot, but as we drew close many of us were wounded and killed.But still he had no chance."
"“我记得他一直在吸烟。当我们距他四十英尺远，快速前进时，他扔掉步枪，用雪茄点燃一串炸弹，投向了我们。他点燃一个又一个炸药，快速地将它们投向我们。现在我知道他必须劈开导火线的两端，插入火柴头，因为它们燃烧的太快了。并且，导火线非常短。有时炸药在空中就爆炸了，但大部分都落到了划艇里。每次它们在一个划艇上爆炸，那个划艇就完了。二十个划艇中，有一半被炸得粉碎。我所在的划艇破得厉害，坐在我旁边的两个人也伤得厉害。炸药在他们中间落下。其余的划艇掉头逃跑了。然后那个二副朝我们喊叫着：‘唷！唷！唷！’他再次用步枪射击我们，结果他们逃跑时，很多人都是后背中弹身亡。那几个黑人男孩一直在小艇上，继续划着船。你看，我告诉你实话，那个二副是个畜牲。","“I remember that all the time he was smoking a cigar.When we were forty feet away and coming fast, he dropped the rifle, lighted a stick of dynamite with the cigar, and threw it at us.He lighted another and another, and threw them at us very rapidly, many of them.I know now that he must have split the ends of the fuses and stuck in match heads, because they lighted so quickly.Also, the fuses were very short.Sometimes the dynamite sticks went off in the air, but most of them went off in the canoes.And each time they went off in a canoe, that canoe was finished.Of the twenty canoes, the half were smashed to pieces.The canoe I was in was so smashed, and likewise the two men who sat next to me.The dynamite fell between them.The other canoes turned and ran away.Then that mate yelled, Yah! Yah! Yah!’ at us.Also he went at us again with his rifle, so that many were killed through the back as they fled away.And all the time the black boys in the boat went on rowing.You see, I told you true, that mate was hell."
"“那还不是全部。离开纵帆船前，他放火烧了船，整理好所有的火药和炸药，那样它就会同时爆炸。当纵帆船爆炸时，我们有好几百人在船上，从舷边提水，试着扑灭大火。结果我们失去了为之战斗的一切，而且更多的人都死了。有时，甚至现在，我年纪大了，会做恶梦，梦中仍会听到那个二副的呼叫声：‘唷！唷！唷！’他声大如雷，‘唷！唷！唷！’但那个捕鱼营地里的所有人都被杀死了。","“Nor was that all.Before he left the schooner, he set her on fire, and fixed up all the powder and dynamite so that it would go off at one time.There were hundreds of us on board, trying to put out the fire, heaving up water from overside, when the schooner blew up.So that all we had fought for was lost to us, besides many more of us being killed.Sometimes, even now, in my old age, I have bad dreams in which I hear that mate yell, Yah! Yah! Yah!’ In a voice of thunder he yells, Yah! Yah! Yah!’But all those in the fishing camps were killed."
"“那个二副乘着小艇离开了那个通道，我们确定那是他的末路，因为那么小的船载着四个人，怎么可能在海洋里存活？一个月后的一天早上，在两阵暴风雨的间隙，一艘纵帆船驶入我们的通道，在村子前抛锚了。国王和首领们召开了重要会议，同意我们在两三天内袭击那个纵帆船。在此期间，因为友善待人是我们的习俗，所以我们乘着划艇靠近她，带着许多椰子、家禽和猪去交易。但当我们众多划艇停靠旁边，船上的人开始用步枪对我们射击，当我划着离开时，看到了那个乘小艇驶向海洋的二副，他出现在桅杆上，跳着舞呼喊着：‘唷！唷！唷！’","“The mate went out of the passage in his little boat, and that was the end of him we made sure, for how could so small a boat, with four men in it, live on the ocean?A month went by, and then, one morning, between two rain squalls, a schooner sailed in through our passage and dropped anchor before the village.The king and the headmen made big talk, and it was agreed that we would take the schooner in two or three days.In the meantime, as it was our custom always to appear friendly, we went off to her in canoes, bringing strings of cocoanuts, fowls, and pigs, to trade.But when we were alongside, many canoes of us, the men on board began to shoot us with rifles, and as we paddled away I saw the mate who had gone to sea in the little boat spring upon the rail and dance and yell, Yah! Yah! Yah!’"
"“那天下午他们乘着纵帆船的三个小艇登陆，小船上都是白人。他们正穿过村庄，向他们看到的每一个人射击。而且他们也射杀家禽和猪。我们这些没死的人，乘着划艇逃开了，划到了环礁湖里。回头望，我们能看到所有的房子都着火了。傍晚，我们看到很多来自尼黑的划艇，尼黑是东北部靠近尼黑通道的一个村子。他们是所有活下来的人，跟我们一样，他们的村子被穿过尼黑通道的第二艘纵帆船烧光了。","“That afternoon they landed from the schooner in three small boats filled with white men.They went right through the village, shooting every man they saw.Also they shot the fowls and pigs.We who were not killed got away in canoes and paddled out into the lagoon.Looking back, we could see all the houses on fire.Late in the afternoon we saw many canoes coming from Nihi, which is the village near the Nihi Passage in the northeast.They were all that were left, and like us their village had been burned by a second schooner that had come through Nihi Passage."
"“我们在黑暗中继续向西航行到保卢，但是在半夜，我们听到女人们哭号声，然后我们偶然遇到了一大队划艇。他们是保卢所有留下来的人，同样保卢也化为了灰烬，因为第三艘纵帆船穿越了保卢通道。你看，那个二副和他的黑人男孩，没有被淹死。他成功到达了所罗门群岛，在那儿他告诉他的兄弟们我们在乌龙岛的所作所为。他的所有兄弟说他们会来惩罚我们，于是他们就乘着三艘纵帆船来了，我们的三个村子被彻底摧毁了。","“We stood on in the darkness to the westward for Pauloo, but in the middle of the night we heard women wailing and then we ran into a big fleet of canoes.They were all that were left of Pauloo, which likewise was in ashes, for a third schooner had come in through the Pauloo Passage.You see, that mate, with his black boys, had not been drowned.He had made the Solomon Islands, and there told his brothers of what we had done in Oolong.And all his brothers had said they would come and punish us, and there they were in the three schooners, and our three villages were wiped out."
"“我们还能做什么？早上那两艘纵帆船迎着风驶向环礁湖中央的我们。信风才开始吹，他们乘着大量划艇搜索我们。步枪从来没有停过火。我们就像博尼塔前的飞鱼一样分散开了，我们有好多人，大批人通过各种方式逃到了环礁岛边缘的小岛上。","“And what was there for us to do?In the morning the two schooners from windward sailed down upon us in the middle of the lagoon.The trade wind was blowing fresh, and by scores of canoes they ran us down.And the rifles never ceased talking.We scattered like flying fish before the bonita, and there were so many of us that we escaped by thousands, this way and that, to the islands on the rim of the atoll."
