"狼与小羊羔","The Wolf and the Lamb "
"一只狼，喉咙里卡了根骨头，于是他出高价雇了一只鹤，要她将头伸进他的嘴里，以取出骨头。鹤取出骨头后，便向狼索要之前答应给她的报酬。狼磨了磨牙，大声说道：“哎呀，我允许你把头安全地从一只狼嘴里拿出来，就已经是对你最大的补偿了。”","A wolf who had a bone stuck in his throat hired a Crane, for a large sum, to put her head into his mouth and draw out the bone.When the Crane had extracted the bone and demanded the promised  payment, the Wolf, grinning and grinding his teeth, exclaimed: “Why, you have surely already had a sufficient recompense, in having been permitted to draw out your head in safety from the mouth and jaws of a wolf.”"
"为邪恶之徒服务，就不能奢望会有回报。要是你的辛苦能让你免于受伤，你就该谢天谢地了。","In serving the wicked, expect no reward, and be thankful if you escape injury for your pains."
"吹笛子的渔夫","The Fisherman Piping "
"一个精通音乐的渔夫，带着他的笛子和渔网来到了海边。他站在一块突出的岩石上，吹了几支曲子，希望鱼能被他吹的旋律所吸引，自愿跳进他挂在岩石下面的网里。结果，他等了好久都一无所获，于是他只好把笛子放在一边，把网撒进海里，结果捕到了满满一网鱼。看着网里的鱼在岩石上活蹦乱跳，他说道：“噢，你们这些不识好歹的东西，我给你们吹笛子的时候你们不跳，现在我不吹，你们倒跳得欢了。”","A fisherman skilled in music took his flute and his nets to the seashore.Standing on a projecting rock, he played several tunes in the hope that the fish, attracted by his melody, would of their own accord dance into his net, which he had placed below.At last, having long waited in vain, he laid aside his flute, and casting his net into the sea, made an excellent haul of fish.When he saw them leaping about in the net upon the rock he said: “O you most perverse creatures, when I piped you would not dance, but now that I have ceased you do so merrily.”"
"大力神与车夫","Hercules and the Wagoner "
"一个车夫驾着一辆货车在乡间的小路上前行。突然，车轮陷进了一条车辙道里。这个乡下车夫先是目瞪口呆地站在那儿看着货车，接着便只是大叫着要大力神现身帮忙。据说，大力神出现了，并对他说：“兄弟，用你的肩膀把车轮扛起来。赶好你的牛。等你自己尽了最大努力之后再向我求助，不然，只一味祈求是无济于事的。”","A carter was driving a wagon along a country lane, when the wheels sank down deep into a rut.The rustic driver, stupefied and aghast, stood looking at the wagon, and did nothing but utter loud cries to Hercules to come and help him.Hercules, it is said, appeared and thus addressed him: “Put your shoulders to the wheels, my man.Goad on your bullocks, and never more pray to me for help, until you have done your best to help yourself, or depend upon it you will henceforth pray in vain.”"
"自助才是最好的帮助。","Self-help is the best help."
"蚂蚁与蚱蜢","The Ants and the Grasshopper "
"冬日里的一个晴天，蚂蚁们正在晾晒夏天收集的粮食。一只饿得奄奄一息的蚱蜢路过，恳切地乞求分得一点食物。蚂蚁们问他：“你为什么不在夏天储存食物呢？”他回答道：“我没有足够的闲暇时间。我那些天要唱歌。”于是他们嘲弄说：“如果你整个夏天只知道傻乎乎地唱歌，那么冬天时必然要饿着肚子跳舞，饿着肚子睡觉啦。”","The ants were spending a fine winter’s day drying grain collected in the summertime.A Grasshopper, perishing with famine, passed by and earnestly begged for a little food.The Ants inquired of him, “Why did you not treasure up food during the summer?” He replied, “I had not leisure enough.I passed the days in singing.”They then said in derision: “If you were foolish enough to sing all the summer, you must dance supperless to bed in the winter.”"
"旅行者和他的狗","The Traveler and His Dog "
"一个旅行者正准备动身去旅行，看见他的狗站在门口伸懒腰。他严厉地问他：“你为什么还站在那里打哈欠呢？一切准备妥当，就等你了，赶快跟我走吧。”狗摇了摇自己的尾巴，回答道：“噢，主人！我早就准备好了，是我在等你啊。”","A traveler about to set out on a journey saw his Dog stand at the door stretching himself.He asked him sharply: “Why do you stand there gaping?Everything is ready but you, so come with me instantly.”The Dog, wagging his tail, replied: “O, master!I am quite ready; it is you for whom I am waiting.”"
"闲散的人经常把耽搁的责任归咎到比他积极勤快的朋友身上。","The loiterer often blames delay on his more active friend."
"狗和影子","The Dog and the Shadow "
"一只狗，嘴里叼着块肉，正在过桥，桥下面是一条小溪。狗看见自己在水中的影子，以为那是另一只狗，那只狗嘴里叼的肉比他自己的还要大一倍。他立马把自己的那块肉扔掉，狠狠地扑向另一只狗，想从那儿抢到那块较大的肉。结果他两块肉都没有得到。因为他想要在水里抓到的那块肉，只是个倒影而已；而他自己的那块，也被水冲走了。","A dog, crossing a bridge over a stream with a piece of flesh in his mouth, saw his own shadow in the water and took it for that of another Dog, with a piece of meat double his own in size.He immediately let go of his own, and fiercely attacked the other Dog to get his larger piece from him.He thus lost both: that which he grasped at in the water, because it was a shadow; and his own, because the stream swept it away."
"鼹鼠和他的妈妈","The Mole and His Mother "
"一只鼹鼠，生下来眼睛就看不见，有一次他对妈妈说：“妈妈，我确信我能看见！”为了证明鼹鼠的错误，他妈妈在他面前放了几粒乳香，然后问他：“这是什么？”小鼹鼠说：“是一颗鹅卵石。”他妈妈大叫道：“我的儿啊，恐怕你不光是看不见，连嗅觉也已经失去了。”","A mole, a creature blind from birth, once said to his Mother: “I am sure than I can see, Mother!” In the desire to prove to him his mistake, his Mother placed before him a few grains of frankincense, and asked,“What is it?” The young Mole said, “It is a pebble.”His Mother exclaimed: “My son, I am afraid that you are not only blind, but that you have lost your sense of smell.”"
"牧人和丢失的公牛"," The Herdsman and the Lost Bull "
"一个牧人在森林里放牧，结果一头小公牛犊从牧群里走失了。他找了很长时间，却一无所获。于是他发誓，只要能够找到偷小公牛犊的贼，他就供奉一只羊给赫米斯、潘以及森林的诸位守护神。过了一会儿，他走上一个小山丘，看见山脚下有只狮子正在吃他丢的那只小牛犊。看到这一幕，他吓得举起双手，仰望着天空，说道：“我刚发誓，如果捉到偷牛犊的贼，我愿供奉一只羊给森林的诸位守护神。但是，既然我已经发现了那个贼，我愿意放弃那头丢失的小公牛，此外再添上一头大公牛，只要我自己能安全地逃脱这狮子。”","A herdsman tending his flock in a forest lost a Bull-calf from the fold.After a long and fruitless search, he made a vow that, if he could only discover the thief who had stolen the Calf, he would offer a lamb in sacrifice to Hermes, Pan, and the Guardian Deities of the forest.Not long afterwards, as he ascended a small hillock, he saw at its foot a Lion feeding on the Calf.Terrified at the sight, he lifted his eyes and his hands to heaven, and said: “Just now I vowed to offer a lamb to the Guardian Deities of the forest if I could only find out who had robbed me; but now that I have discovered the thief, I would willingly add a full-grown Bull to the Calf I have lost, if I may only secure my own escape from him in safety.”"
"兔子和乌龟","The Hare and the Tortoise "
"一天，兔子嘲笑乌龟腿短，行动缓慢。乌龟笑着回答说：“虽然你像风一样快，但是赛跑的话,我会赢你。”兔子认为乌龟说的话根本不可能，就答应了这个提议；他们一致同意由狐狸选择路线，并指定终点。在约定比赛的那天，两位一起出发了。乌龟一刻也不停歇，用缓慢而稳健的步伐，径直朝路线的终点前进。而兔子，却躺在路边，酣睡过去了。最后，兔子醒了，拼命地往前跑，但他看到乌龟已经到达了终点。乌龟经过一番劳累之后，正在舒服地小憩。","A Hare one day ridiculed the short feet and slow pace of the Tortoise, who replied, laughing: “Though you be swift as the wind, I will beat you in a race.”The Hare, believing her assertion to be simply impossible, assented to the proposal; and they agreed that the Fox should choose the course and fix the goal.On the day appointed for the race the two started together.The Tortoise never for a moment stopped, but went on with a slow but steady pace straight to the end of the course.The Hare, lying down by the wayside, fell fast asleep. At last waking up, and moving as fast as he could, he saw the Tortoise had reached the goal, and was comfortably dozing after her fatigue."
"速度慢没关系，只要脚步稳，就能赢得比赛。","Slow but steady wins the race."
"石榴树、苹果树和荆棘","The Pomegranate, Apple-Tree, and Bramble "
"石榴树和苹果树争论谁最美丽。当它们吵得不可开交时，旁边树篱上的荆棘提高了自己的嗓门，自负地说：“拜托，我亲爱的朋友们，至少当着我的面，就停止这种徒劳无益的争论吧。”","The Pomegranate and Apple-Tree disputed as to which was the most beautiful.When their strife was at its height, a Bramble from the neighboring hedge lifted up its voice, and said in a boastful tone: “Pray, my dear friends, in my presence at least cease from such vain disputings.”"
"农夫和鹳","The Farmer and the Stork "
"一个农夫在刚刚播种的田里撒了很多网，许多来吃种子的鹤都被捉住了。其中还有一只鹳被捉住了。这只鹳在网里折断了腿，他诚恳地乞求农夫饶他一命。“求你饶了我，主人，”他说道，“这次就放了我吧。你就可怜可怜我折断的腿吧。还有，我不是鹤，我是一只鹳，是一种品性极好的鸟。你瞧，我多爱我的父母，我愿意为他们拼命干活。再看看我的羽毛——和鹤的羽毛完全不同。”农夫大笑着说：“你说的话也许都是真的，但我只知道，你和这些偷吃种子的鹤一起被捉到，那你就得和他们一起死。”","A Farmer placed nets on his newly sown plowlands and caught a number of Cranes, which came to pickup his seed.With them he trapped a Stork that had fractured his leg in the net and was earnestly beseeching the Farmer to spare his life.“Pray save me, Master,” he said, “and let me go free this once.My broken limb should excite your pity.Besides, I am no Crane, I am a Stork, a bird of excellent character; and see how I love and slave for my father and mother.Look too, at my feathers—they are not the least like those of a Crane.”The Farmer laughed aloud and said, “It may be all as you say, I only know this: I have taken you with these robbers, the Cranes, and you must die in their company.”"
"鸟以群分，物以类聚。","Birds of a feather flock together."
"农夫与蛇","The Farmer and the Snake"
"一个冬天，有位农夫发现一条蛇冻僵了。他觉得蛇很可怜，便把它拿起来，放进了自己的怀里。蛇很快便被暖醒过来，恢复了它的本性，咬了它的恩人一口，让他受了致命伤。“哎，”农夫用最后一口气叹道，“我怜悯卑鄙之徒，活该遭恶报啊。”","One winter a Farmer found a Snake stiff and frozen with cold.He had compassion on it, and taking it up, placed it in his bosom.The Snake was quickly revived by the warmth, and resuming its natural instincts, bit its benefactor, inflicting on him a mortal wound.“Oh,” cried the Farmer with his last breath, “I am rightly served for pitying a scoundrel.”"
"再大的仁慈也无法约束忘恩负义之徒。","The greatest kindness will not bind the ungrateful."
"小鹿和他的妈妈","The Fawn and His Mother "
"有一次，一只小鹿问他的妈妈：“你比狗高大、敏捷,也更习惯于奔跑，你还有一对鹿角可以防御。那么，噢，妈妈！你为什么那么害怕猎犬呢？”鹿妈妈笑了笑，说道：“我的儿子，我非常清楚你说的都是真的。我确实拥有你刚说的那些优势，可是每当我听到即使一只狗在叫，我就感觉快要晕倒了，于是就尽全力飞快逃跑。”","A young fawn once said to his Mother, “You are larger than a dog, and swifter, and more used to running, and you have your horns as a defense; why, then, O Mother! do the hounds frighten you so?”She smiled, and said: “I know full well, my son, that all you say is true.I have the advantages you mention, but when I hear even the bark of a single dog I feel ready to faint, and fly away as fast as I can.”"
"任何理由都不能给懦夫以勇气。","No arguments will give courage to the coward."
"熊和狐狸","The Bear and the Fox "
"一只熊大力吹嘘自己仁慈，说在所有动物中，它对人类最心软，因为它非常尊重人类，甚至连人的尸体都不碰一下。一只狐狸听到这些话，笑着对它说：“噢！那么说你是愿意吃死人，而不是活人喽。”","A bear boasted very much of his philanthropy, saying that of all animals he was the most tender in his regard for man, for he had such respect for him that he would not even touch his dead body.A Fox hearing these words said with a smile to the Bear, “Oh! that you would eat the dead and not the living.”"
"燕子和乌鸦","The Swallow and the Crow "
"燕子和乌鸦因为各自羽毛的事发生了争执。乌鸦说了这样一句话结束了这场争论：“你的羽毛在春天确实都很不错，但我的羽毛却能护我过冬。”","The Swallow and the Crow had a contention about their plumage.The Crow put an end to the dispute by saying, “Your feathers are all very well in the spring, but mine protect me against the winter.”"
"只能同甘不能共苦的朋友不值得交。","Fair weather friends are not worth much."
"山震","The Mountain in Labor "
"一次，有座大山剧烈摇动。它发出巨大的吱嘎声和各种噪音，许多人从四面八方赶来观看到底发生了什么事。当他们焦急地聚集在那里，担心会发生什么可怕的灾难时，一只老鼠跑了出来。","A mountain was once greatly agitated.Loud groans and noises were heard, and crowds of people came from all parts to see what was the matter.While they were assembled in anxious expectation of some terrible calamity, out came a Mouse."
"不要小题大做。","Don’t make much ado about nothing."
"驴子、狐狸和狮子","The Ass, the Fox, and the Lion "
"驴子和狐狸结成联盟共同防御敌人，到森林里捕猎。没走多远，他们就遇到了一头狮子。狐狸看到危险在即，便靠近狮子，许诺如果狮子保证不伤害自己，就帮他设计捕获驴子。接着，狐狸先是向驴子保证不会伤害他，然后把他带到了一个深坑前，安排让他掉了进去。狮子见驴子已然到手了，便立刻捉住了狐狸，然后在有空时开始大吃驴子。","The ass and the Fox, having entered into partnership together for their mutual protection, went out into the forest to hunt.They had not proceeded far when they met a Lion.The Fox, seeing imminent danger, approached the Lion and promised to contrive for him the capture of the Ass if the Lion would pledge his word not to harm the Fox.Then, upon assuring the Ass that he would not be injured, the Fox led him to a deep pit and arranged that he should fall into it.The Lion, seeing that the Ass was secured, immediately clutched the Fox, and attacked the Ass at his leisure."
"乌龟和鹰","The Tortoise and the Eagle "
"一只乌龟懒洋洋地晒着太阳，她向海鸟们抱怨自己命苦，竟没有谁愿意教她飞翔。一只在附近盘旋的老鹰，听到了她的哀叹，问她如果能带她在空中飞翔，他会得到什么回报。“我会给你，”她说，“红海里的所有财富。”“那么我来教你飞翔。”老鹰说着，就用爪子抓着乌龟，带她几乎飞到了云端。突然，他放开了乌龟。乌龟落在一座高山上，壳被摔得粉碎。乌龟在临死时大喊道：“我活该落得这样的下场。要是我都能在云端展翅飞翔，那谁还会费力在地面上移动呢？”","A tortoise, lazily basking in the sun, complained to the seabirds of her hard fate, that no one would teach her to fly.An Eagle, hovering near, heard her lamentation and demanded what reward she would give him if he would take her aloft and float her in the air.“I will give you,” she said, “all the riches of the Red Sea.”“I will teach you to fly then,” said the Eagle; and taking her up in his talons, he carried her almost to the clouds. Suddenly he let her go, and she fell on a lofty mountain, dashing her shell to pieces.The Tortoise exclaimed in the moment of death: “I have deserved my present fate; for what had I to do with wings and clouds, who can with difficulty move about on the earth?”"
"如果人们事事都如愿，那他们也将常常遭遇毁灭。","If men had all they wished, they would be often ruined."
"苍蝇和蜜罐","The Flies and the Honey-Pot "
"一群苍蝇被主妇房间里一罐打翻的蜂蜜所吸引。它们将脚浸在蜂蜜里，贪婪地吸吮着。然而，它们的脚却被蜂蜜粘住了，翅膀打不开，身体也解脱不了，最后窒息而死。在快断气的时候，它们喊道：“噢，我们是多么愚蠢啊，就为了这一点点的愉悦，竟毁了我们自己。”","A number of Flies were attracted to a jar of honey which had been overturned in a housekeeper’s room, and placing their feet in it, ate greedily.Their feet, however, became so smeared with the honey that they could not use their wings, nor release themselves, and were suffocated.Just as they were expiring, they exclaimed, “O foolish creatures that we are, for the sake of a little pleasure we have destroyed ourselves.”"
"愉悦是用痛苦和创伤换来的。","Pleasure bought with pains, hurts."
"人与狮子","The Man and the Lion "
"一个人和一头狮子一路同行，穿越森林。很快，他们就开始各自吹嘘自己的力量和英勇远在对方之上。就在争辩之时，他们路过一座石雕像，刻的是“一头狮子被一个人勒死了”。旅行者便指着雕像说：“看那儿！我们人类多强大啊，我们甚至连万兽之王都征服了。”狮子回答道：“这个雕像是你们人类刻的。如果我们狮子也知道如何建造雕像的话，你看到的将是人类倒在狮子脚下的画面了。”","A man and a Lion traveled together through the forest.They soon began to boast of their respective superiority to each other in strength and prowess.As they were disputing, they passed a statue carved in stone, which represented “a Lion strangled by a Man.”The traveler pointed to it and said: “See there!How strong we are, and how we prevail over even the king of beasts.”The Lion replied: “This statue was made by one of you men.If we Lions knew how to erect statues, you would see the Man placed under the paw of the Lion.”"
"新故事一讲，旧故事减色。","One story is good, till another is told."
"农夫与鹤群","The Farmer and the Cranes "
"几只鹤在刚刚播种过小麦的田地上觅食。有好长一段时间，农夫只是挥舞着空弹弓，恫吓着把它们赶跑；但是当这些鹤发现，弹弓不过是在空中晃晃而已时，它们就不理不睬，也不飞走了。看到这一情景，农夫便把他的弹弓装上了石头，杀死了一大群鹤。其余的鸟立即离开了农夫的田地，并互相大叫道：“我们是时候该离开这里去小人国了。因为这个农夫已经不再满足于仅仅吓吓我们，而是开始认真地向我们施展他的本事了。”","Some cranes made their feeding grounds on some plowlands newly sown with wheat.For a long time the Farmer, brandishing an empty sling, chased them away by the terror he inspired; but when the birds found that the sling was only swung in the air, they ceased to take any notice of it and would not move.The Farmer, on seeing this, charged his sling with stones, and killed a great number.The remaining birds at once forsook his fields, crying to each other, “It is time for us to be off to Liliput: for this man is no longer content to scare us, but begins to show us in earnest what he can do.”"
"如果语言不够有力，拳头必将接踵而至。","If words suffice not, blows must follow."
"驴和哈巴狗","The Ass and the Lapdog "
"一个人养了一头驴和一条长得非常漂亮的马耳他哈巴狗。驴被丢在栏舍里，有充足的燕麦和干草可以吃，就像其他驴一样。哈巴狗会耍很多把戏，深得主人喜爱。主人经常爱抚它，几乎每次出去吃饭都会给它捎回一些好吃的。然而，驴要干很多活，要拉磨磨玉米面，要从森林驮木材或是从农场驮重物回来。它经常哀叹自己命苦，老拿自己的命运和哈巴狗的奢侈、懒惰进行对比。终于有一天，它挣断了缰绳，飞奔到主人的房子里，肆无忌惮地乱踢蹄子，活蹦乱跳地尽力讨好主人。然后，驴效仿之前看到的哈巴狗的做法，在主人身边跳来跳去。但它却弄坏了餐桌，把餐桌上所有的盘子都打得粉碎。接着，驴试图舔它的主人，跳到他的背上。仆人们听到奇怪的吵闹声，发现主人有危险，连忙赶过去救他，并对驴棍棒相加，把它赶回了栏舍。当驴回到栏舍时，已经快被打死了，便哀叹道：“我这都是自讨苦吃啊！为什么我不满足于和其他伙伴们一起干活，却想要像那条没用的小哈巴狗一样整天无所事事啊！”","A man had an Ass, and a Maltese Lapdog, a very great beauty.The Ass was left in a stable and had plenty of oats and hay to eat, just as any other Ass would.The Lapdog knew many tricks and was a great favorite with his master, who often fondled him and seldom went out to dine without bringing him home some tidbit to eat.The Ass, on the contrary, had much work to do, in grinding the corn-mill, and in carrying wood from the forest, or burdens from the farm.He often lamented his own hard fate and contrasted it with the luxury and idleness of the Lapdog, till at last one day he broke his cords and halter, and galloped into his master’s house, kicking up his heels without measure, and frisking and fawning as well as he could.He next tried to jump about his master as he had seen the Lapdog do, but he broke the table and smashed all the dishes upon it to atoms.He then attempted to lick his master, and jumped upon his back.The servants, hearing the strange hubbub and perceiving the danger of their master, quickly relieved him, and drove out the Ass to his stable with kicks and clubs and cuffs.The Ass, as he returned to his stall beaten nearly to death, thus lamented: “I have brought it all on myself!Why could I not have been contented to labor with my companions, and not wish to be idle all the day like that useless little Lapdog!”"
"一个人满足于自己的命运好过去追求一些并不适合自己的东西。","To be satisfied with one’s lot is better than to desire something which one is not fitted to receive."
"母狮子","The Lioness "
"田野里的野兽们大肆争论着哪种动物最配得到一胎生的幼崽数目最多这个赞誉。野兽们吵吵嚷嚷地冲到母狮子面前，请她来解决纷争。“你呢，”野兽们问道，“一胎能生几头小公狮子？”母狮子嘲笑他们道：“哎呀！我一胎只生一头，但这绝对是一只纯种的狮子。”","A controversy prevailed among the beasts of the field as to which of the animals deserved the most credit for producing the greatest number of whelps at a birth.They rushed clamorously into the presence of the Lioness and demanded of her the settlement of the dispute.“And you,” they said, “how many sons have you at a birth?’ The Lioness laughed at them, and said: “Why!I have only one; but that one is altogether a thoroughbred lion.”"
"事物的价值在于品质，而不在于数量。","The value is in the worth, not in the number."
"吹牛的旅行者","The Boasting Traveler "
"一个曾在外国旅行过的人返回自己的国家后，大肆吹嘘自己在各地旅行时的各种精彩英勇事迹。其中一件是说他在罗得岛时跳得相当远，当时无人能及。罗得岛的许多人都看见他跳了，他们都算是见证人。一个旁观者打断他说：“喂，我的好伙计，如果你所说的全部属实，就不需要什么见证人了。姑且把这里当作罗得岛，你跳给我们看看吧。”","A man who had traveled in foreign lands boasted very much, on returning to his own country, of the many wonderful and heroic feats he had performed in the different places he had visited.Among other things, he said that when he was at Rhodes he had leaped to such a distance that no man of his day could leap anywhere near him as to that, there were in Rhodes many persons who saw him do it and whom he could call as witnesses.One of the bystanders interrupted him, saying: “Now, my good man, if this be all true there is no need of witnesses.Suppose this to be Rhodes, and leap for us.”"
"真正能干的人不需要自夸。","He who does a thing well does not need to boast."
"猫和公鸡","The Cat and the Cock "
