"一块牛排","A Piece of Steak"
"“一个子儿也不肯赊。勃克说——”她支支吾吾地没敢说下去。“说！他说什么？”","“Not a ha’penny. Burke said—” She faltered.“G’wan!Wot’d he say?”"
"“他说他觉得今天晚上桑德尔一定会打败你，还有他给你赊的账已经够多了。”","“As how ’e was thinkin’ Sandel ud do ye to-night, an’ as how yer score was comfortable big as it was.”"
"汤姆·金哼了一声，但是没有回话。他正满心想着年轻时他给自己养的那条猎犬喂过多少牛排，数也数不清。那时候，要伯克给他赊一千块牛排也没问题。可惜时过境迁。汤姆·金年纪越来越大，一个在二流俱乐部打拳的老家伙，可不能指望商人们会赊给他多少账。","Tom King grunted, but did not reply.He was busy thinking of the bull terrier he had kept in his younger days to which he had fed steaks without end.Burke would have given him credit for a thousand steaks—then.But times had changed.Tom King was getting old; and old men, fighting before second-rate clubs, couldn’t expect to run bills of any size with the tradesmen."
"今天一早他起床的时候就想吃块牛排，现在这愿望还是一样强烈。他没有为这次比赛好好训练。这一年澳大利亚大旱，日子不好过，想找个打零工的活儿都难。他没有练拳的伙伴，吃不上什么好东西，而且还总吃不饱。有机会他会干上几天苦力。每天一大早，他都会绕着多曼公园跑上几圈，练练腿脚。不过这可难为他了，训练找不到伙伴，还要养活一个婆娘、两个孩子。他被选中和桑德尔比赛的时候，商人们才肯给他稍微多赊一点儿账。快活俱乐部的秘书已经提前付了他三英镑——就是输家的那份钱——除此之外，就不再借给他了。有时候他能想法子从老朋友那儿借到几个先令，他们本来可以多借点儿的，可惜今年大旱，他们自己过得都很艰难。没用的——再怎么掩饰，事实也不会改变——他的训练不达标。他应该吃得好一点儿，心里不该有牵挂。再说，一个人到了40岁，要进入状态可比他20岁的时候难多了。","He had got up in the morning with a longing for a piece of steak, and the longing had not abated.He had not had a fair training for this fight.It was a drought year in Australia, times were hard, and even the most irregular work was difficult to find.He had had no sparring partner, and his food had not been of the best nor always sufficient.He had done a few days’ navvy work when he could get it, and he had run around the Domain in the early mornings to get his legs in shape.But it was hard, training without a partner and with a wife and two kiddies that must be fed.Credit with the tradesmen had undergone very slight expansion when he was matched with Sandel.The secretary of the Gayety Club had advanced him three pounds—the loser’s end of the purse—and beyond that had refused to go.Now and again he had managed to borrow a few shillings from old pals, who would have lent more only that it was a drought year and they were hard put themselves.No—and there was no use in disguising the fact—his training had not been satisfactory.He should have had better food and no worries.Besides, when a man is forty, it is harder to get into condition than when he is twenty."
"“现在几点了，利齐？”他问道。","“What time is it, Lizzie?” he asked."
"他妻子穿过厅堂去看了看时间，回来说道：","His wife went across the hall to inquire, and came back."
"“差一刻八点。”","“Quarter before eight.”"
"“再过几分钟他们就要开始第一轮比赛了，”他说，“只是一场热身赛。然后是迪勒·韦尔斯和格里德利四个回合的比赛，之后是斯塔赖特和一个水手的十个回合。还得过一个多小时才轮到我上场呢。”","“They’ll be startin’ the first bout in a few minutes,” he said.“Only a try-out.Then there’s a four-round spar ’tween Dealer Wells an’ Gridley, an’ a ten-round go ’tween Starlight an’ some sailor bloke. don’t come on for over an hour.”"
"他又静静坐了10分钟，然后站起身来。","At the end of another silent ten minutes, he rose to his feet."
"“老实说，利齐，我还没有好好训练过。”","“Truth is, Lizzie, I ain’t had proper trainin’.”"
"他伸手拿起帽子，向门口走去。他并没有主动去吻她——他出门的时候从不这么做——但这天晚上她却壮着胆去吻了他，两手抱住他，让他不得不弯下腰来和她亲吻。在这男人庞大的身躯旁，她看起来显得十分娇小。","He reached for his hat and started for the door.He did not offer to kiss her—he never did on going out—but on this night she dared to kiss him, throwing her arms around him and compelling him to bend down to her face.She looked quite small against the massive bulk of the man."
"“祝你好运，汤姆，”她说，“你一定得打赢他。”","“Good luck, Tom,” she said.“You gotter do ’im.”"
"“是啊，我一定得打赢他，”他重复着她的话，“只能这么着了。我一定得打赢他。”","“Ay, I gotter do ’im,” he repeated.“That’s all there is to it.I jus’ gotter do ’im.”"
"他大笑起来，故作轻松，而她却将他抱得更紧了。越过她的肩头，他看了看这个空荡荡的房间。这就是他在世上拥有的一切，一间欠着房租的屋子、老婆和孩子们。现在他要离开这儿，趁着夜色去给他的配偶和幼崽觅食——不是像一个现代社会的工人那样去操作机床，而是像野兽一样用古老、原始、隆重而又野蛮的方式去猎食。“我一定得打赢他，”他又说了一遍，这一次，声音里透着一股豁出去的意味。“要是赢了，就有30磅到手——还清欠债，还能剩下不少。要是输了，我就一个子儿也得不到——连坐电车回家的钱都没有。秘书已经把输家的那份钱给我了。我走了，老婆子。要是赢了我会马上回来。“","He laughed with an attempt at heartiness, while she pressed more closely against him.Across her shoulders he looked around the bare room.It was all he had in the world, with the rent overdue, and her and the kiddies.And he was leaving it to go out into the night to get meat for his mate and cubs—not like a modern working-man going to his machine grind, but in the old, primitive, royal, animal way, by fighting for it.“I gotter do ’im,” he repeated, this time a hint of desperation in his voice.“If it’s a win, it’s thirty quid—an’ I can pay all that’s owin’, with a lump o’ money left over.If it’s a lose, I get naught—not even a penny for me to ride home on the tram.The secretary’s give all that’s comin’ from a loser’s end.Good-by, old woman.I’ll come straight home if it’s a win.”"
"“我等着你。”她站在厅堂里对他喊道。","“An’ I’ll be waitin’ up,” she called to him along the hall."
"快活俱乐部离这儿足有两英里，他走在路上，回忆起了自己辉煌的日子——他曾经是新南威尔士的重量级冠军——他会坐着马车去拳击场，还常常会有个给他下大注的人替他付车钱，和他一路同行。汤米·伯恩斯，还有那个美国黑鬼杰克·约翰逊——他们都是坐汽车出行。可他只能步行！谁都知道，比赛开始前，辛苦走上两英里不是什么好的开始。他老了，这个世道对老家伙可不怎么样。除了卖苦力，他什么也不会干，而且就算如此，他骨折了的鼻子和肿起的耳朵也总是让他不好过。他真希望自己当初能学门手艺。长远来讲，境况总会好点儿。可是没人跟他说过这个，而且他心里也清楚，就算有人告诉他，那时的自己也听不进去。一切来得太过容易。大把的票子——刺激、精彩的拳击比赛——中间大把休息闲荡的时间——一群拼命拍他马屁的追随者争相拍他的肩，握他的手，那些纨绔子弟巴不得能替他买酒，好有幸能和他说上五分钟的话——这是多么荣耀的场面，观众大声狂呼，他旋风似的收场，裁判宣布“金赢了！”，第二天他的名字就登上了体育专栏。","It was full two miles to the Gayety, and as he walked along he remembered how in his palmy days—he had once been the heavyweight champion of New South Wales—he would have ridden in a cab to the fight, and how, most likely, some heavy backer would have paid for the cab and ridden with him.There were Tommy Burns and that Yankee nigger, Jack Johnson—they rode about in motor-cars.And he walked!And, as any man knew, a hard two miles was not the best preliminary to a fight.He was an old un, and the world did not wag well with old uns.He was good for nothing now except navvy work, and his broken nose and swollen ear were against him even in that.He found himself wishing that he had learned a trade.It would have been better in the long run.But no one had told him, and he knew, deep down in his heart, that he would not have listened if they had.It had been so easy.Big money—sharp, glorious fights—periods of rest and loafing in between—a following of eager flatterers, the slaps on the back, the shakes of the hand, the toffs glad to buy him a drink for the privilege of five minutes’ talk—and the glory of it, the yelling houses, the whirlwind finish, the referee’s “King wins!” and his name in the sporting columns next day."
"那才是他的黄金时代！可仔细回想，他现在慢慢意识到，他当时打倒的正是一些老家伙。他那时年纪尚轻，正在崛起；而那些人已经老去，正在衰退中。怪不得一切得来如此容易——因为他们打过太多比赛，他们的血管已经肿胀，指节已经打伤，筋骨都已经疲乏。他想起在拉什卡特斯海湾，他在第18个回合打倒了老斯托舍·比尔那次，比赛后老比尔在更衣间哭得像个小孩子的情形。也许老比尔当时也欠着房租。也许他家里也有一个老婆和两个孩子要养。也许比尔在比赛的那天也特别想吃一块牛排。比尔比赛的时候很拼命，也被他打得很惨。如今，在自己也受到了这种折磨后他才明白，20年前的那天晚上，斯托舍·比尔是在为了一份更大的赌注而战，而年轻的汤姆·金不过是奔着荣誉和赚钱容易来的。怪不得斯托舍·比尔比赛后会在更衣室里痛哭。","Those had been times!But he realized now, in his slow, ruminating way, that it was the old uns he had been putting away.He was Youth, rising; and they were Age, sinking.No wonder it had been easy—they with their swollen veins and battered knuckles and weary in the bones of them from the long battles they had already fought.He remembered the time he put out old Stowsher Bill, at Rush-Cutters Bay, in the eighteenth round, and how old Bill had cried afterward in the dressing-room like a baby.Perhaps old Bill’s rent had been overdue.Perhaps he’d had at home a missus an’ a couple of kiddies.And perhaps Bill, that very day of the fight, had had a hungering for a piece of steak.Bill had fought game and taken incredible punishment.He could see now, after he had gone through the mill himself, that Stowsher Bill had fought for a bigger stake, that night twenty years ago, than had young Tom King, who had fought for glory and easy money.No wonder Stowsher Bill had cried afterward in the dressing-room."
"说起来，一个人一辈子能打下来的比赛本来也只有那么多场。这是拳击比赛无可更改的铁律。有的人也许能狠狠打上100场，有些人只能打上20场。每个人根据自己的体格和耐力都有个确切的数字，打完了自己的定数，他也就完了。不错，他比大多数同行打的场次都多，经历的苦战也超出了自己的极限——这些比赛让他的心脏和肺部都快爆裂了，让他的动脉血管失去弹性，让年轻、光滑而有弹性的肌肉变得僵硬打结；它们消磨掉了他的勇气与活力，让他的头脑和筋骨在过度的用力与忍耐中疲惫不堪。不错，他比其他人干得都好。他原先的老搭档一个也没留下。在那些老拳击手里，只有他撑到了最后。他看着他们一个个完蛋，甚至亲手将其中几个人送上了末路。","Well, a man had only so many fights in him, to begin with.It was the iron law of the game.One man might have a hundred hard fights in him, another man only twenty; each, according to the make of him and the quality of his fibre, had a definite number, and, when he had fought them, he was done.Yes, he had had more fights in him than most of them, and he had had far more than his share of the hard, gruelling fights—the kind that worked the heart and lungs to bursting, that took the elastic out of the arteries and made hard knots of muscle out of Youth’s sleek suppleness, that wore out nerve and stamina and made brain and bones weary from excess of effort and endurance overwrought.Yes, he had done better than all of them.There was none of his old fighting partners left.He was the last of the old guard.He had seen them all finished, and he had had a hand in finishing some of them."
"他们曾经拿老家伙来试探他的实力，结过他把这些老家伙一个一个都打倒了——当他们像老斯托舍·比尔一样在更衣室哭泣的时候，他笑得正欢。如今他老了，他们又拿他来试那些年轻人的身手。就拿桑德尔那家伙来说吧。他来自新西兰，战功赫赫。可在澳大利亚，还没人清楚他的能耐，所以他们让他和老汤姆·金打。要是桑德尔打得漂亮，他们会让他跟更好的拳击手打，赢更多的钱。所以，毫无疑问，他一定会发起一场恶战。凭着这场比赛他可以赢得一切——金钱、荣耀和大好前程。汤姆·金不过是个头发灰白的老绊脚石，挡在他名利双收的康庄大道上。而他自己呢，除了30磅什么也赢不到，还要去还清房东和店商的欠账。汤姆·金就这样沉浸在思绪中，迟钝的脑海中显出了青春的形象——在那光辉灿烂的青春时代，他眉飞色舞、不可一世，他有着柔韧的肌肉和光洁的皮肤，不知疲倦，未经伤痛的心肺还嘲笑着力量的极限。不错，青春就像复仇女神。它摧毁老家伙，却不知这样做的同时也摧毁了自己。它让自己的血脉扩张，挥拳猛击，随后又被后来者的青春毁掉。因为青春是不老的。老的只是人的年华。","They had tried him out against the old uns, and one after another he had put them away—laughing when, like old Stowsher Bill, they cried in the dressing-room.And now he was an old un, and they tried out the youngsters on him.There was that bloke, Sandel.He had come over from New Zealand with a record behind him.But nobody in Australia knew anything about him, so they put him up against old Tom King.If Sandel made a showing, he would be given better men to fight, with bigger purses to win; so it was to be depended upon that he would put up a fierce battle.He had everything to win by it—money and glory and career; and Tom King was the grizzled old chopping-block that guarded the highway to fame and fortune.And he had nothing to win except thirty quid, to pay to the landlord and the tradesmen.And, as Tom King thus ruminated, there came to his stolid vision the form of Youth, glorious Youth, rising exultant and invincible, supple of muscle and silken of skin, with heart and lungs that had never been tired and torn and that laughed at limitation of effort.Yes, Youth was the Nemesis.It destroyed the old uns and recked not that, in so doing, it destroyed itself.It enlarged its arteries and smashed its knuckles, and was in turn destroyed by Youth.For Youth was ever youthful.It was only Age that grew old."
"到卡斯尔雷街的时候他向左转弯，然后又走过三个街区才到了快活俱乐部。一群在门外逗留的小混混恭敬地给他让路，他听见其中一个对另一个说：“那就是他！那就是汤姆·金！”","At Castlereagh Street he turned to the left, and three blocks along came to the Gayety.A crowd of young larrikins hanging outside the door made respectful way for him, and he heard one say to another: “That’s ’im! That’s Tom King!”"
"进去后，在去更衣室的路上，他碰到了俱乐部的秘书，一个眼光锐利、满脸精明的年轻人，他们握了握手。","Inside, on the way to his dressing-room, he encountered the secretary, a keen-eyed, shrewd-faced young man, who shook his hand."
"“感觉怎么样，汤姆？”他问。","“How are you feelin’, Tom?” he asked."
"“好得很，”金回答道，虽然他知道这是谎话，要是他有一英镑，他会马上用来换一块上好的牛排。","“Fit as a fiddle,” King answered, though he knew that he lied, and that if he had a quid, he would give it right there for a good piece of steak."
"他从更衣室出来，身后跟着助手。这时，沿着过道走进大厅中央的拳击台时，等待着的人群中立刻爆发出一阵欢呼和掌声。他向左右的人群致意，但没几张脸是他认识的。他在拳击台上赢得第一顶桂冠时，这些人中的大多数都还没出生呢。他轻快地跳到台上，低头钻过围绳，来到场上属于他的场角，然后坐在一张折叠凳子上。裁判杰克·鲍尔过来与他握手。鲍尔是个废掉的职业拳击手，已经十多年没在拳击台上打拳了。金见他来当裁判很高兴。他们都是老家伙了。要是他对桑德尔稍稍犯规，他知道鲍尔准会给他通融一下的。","When he emerged from the dressing-room, his seconds behind him, and came down the aisle to the squared ring in the centre of the hall, a burst of greeting and applause went up from the waiting crowd.He acknowledged salutations right and left, though few of the faces did he know.Most of them were the faces of kiddies unborn when he was winning his first laurels in the squared ring.He leaped lightly to the raised platform and ducked through the ropes to his corner, where he sat down on a folding stool.Jack Ball, the referee, came over and shook his hand.Ball was a broken-down pugilist who for over ten years had not entered the ring as a principal.King was glad that he had him for referee.They were both old uns.If he should rough it with Sandel a bit beyond the rules, he knew Ball could be depended upon to pass it by."
"雄心勃勃的年轻重量级拳手，一个接着一个钻进了拳击护栏，由裁判一一介绍给观众。同时，他也会宣布他们提出的挑战。","Aspiring young heavyweights, one after another, were climbing into the ring and being presented to the audience by the referee.Also, he issued their challenges for them."
"“年轻的普隆托，”鲍尔大声宣布，“来自悉尼北部，愿意另加50磅赌注挑战胜利者。”","“Young Pronto,” Ball announced, “from North Sydney, challenges the winner for fifty pounds side bet.”"
"观众一阵喝彩，等桑德尔钻进围绳，坐到自己的场角时，喝彩声再次响起。汤姆·金好奇地看着对面的桑德尔，因为再过几分钟，他们就要在这场残酷的比赛中扭作一团，两人都会使出全身力气把对方打昏。但他看不到什么，因为桑德尔像他一样，在拳击服外面还套了裤子和套衫。他的相貌十分英俊，顶着一头黄色卷发，从那结实的、肌肉发达的脖子来看，他的身材一定十分强健。","The audience applauded, and applauded again as Sandel himself sprang through the ropes and sat down in his corner.Tom King looked across the ring at him curiously, for in a few minutes they would be locked together in merciless combat, each trying with all the force of him to knock the other into unconsciousness.But little could he see, for Sandel, like himself, had trousers and sweater on over his ring costume.His face was strongly handsome, crowned with a curly mop of yellow hair, while his thick, muscular neck hinted at bodily magnificence."
"扬·普隆托从一个场角走到另一个场角，和台上的拳击手们一一握完手就又下去了。挑战继续进行。总有年轻人钻过围绳——没有名气却野心勃勃——向所有人叫嚣着，要凭借自己的力量和技巧，和胜利者一决高下。几年前，在他战无不胜的全盛时期，这番情景只会让汤姆·金觉得好笑和无聊。但现在，他全神贯注地坐着，没办法甩开眼前那些青春的幻影。拳击赛中总是这些年轻人站出来，跳进围绳，大声宣战，而在他们面前倒下的总是老一辈的人。他们踩在老一辈的身上，爬向成功的巅峰。但总是有人过来，一拨又一拨的年轻人——青春难以抑制，势不可挡——他们总是将前辈打倒，直到自己也老去，走上同样的下坡路，在他们身后推搡着他们的也永远是年轻人——新生的婴孩，变得健壮，把他们的老前辈们打倒，更多的孩子随之而来，无穷无尽——青年一定有着自己的信念，而信念永远不会消亡。","Young Pronto went to one corner and then the other, shaking hands with the principals and dropping down out of the ring.The challenges went on.Ever Youth climbed through the ropes—Youth unknown, but insatiable—crying out to mankind that with strength and skill it would match issues with the winner.A few years before, in his own heyday of invincibleness, Tom King would have been amused and bored by these preliminaries.But now he sat fascinated, unable to shake the vision of Youth from his eyes.Always were these youngsters rising up in the boxing game, springing through the ropes and shouting their defiance; and always were the old uns going down before them.They climbed to success over the bodies of the old uns.And ever they came, more and more youngsters—Youth unquenchable and irresistible—and ever they put the old uns away, themselves becoming old uns and travelling the same downward path, while behind them, ever pressing on them, was Youth eternal—the new babies, grown lusty and dragging their elders down, with behind them more babies to the end of time—Youth that must have its will and that will never die."
"金向记者席看过去，向运动员莫根和裁判科比特点了点头。然后，他伸出手，让桑德尔的一个助手先仔细检查他指节上的绷带，再监视着他的助手锡德·沙利文和查利·贝茨给他套上手套并将其系紧。他自己的一个助手也在桑德尔的场角进行着同样的工作。桑德尔的外裤已经被脱了下来，而且在他站起来的时候，他的套衫也让人从头上摘了下来。汤姆·金望过去，看见的是青春的化身，厚实的胸脯、强壮的筋骨，在他白皙光滑的皮肤下肌肉滑动如同活物。整个身体都充满了活力，汤姆·金知道那是一个从来没有失去过朝气的生命，但在经历了长年的比赛之后，这些朝气会从那酸痛的毛孔中溜走，青春会为此付出代价，等它离开时就远不如登场时那么年轻了。","King glanced over to the press box and nodded to Morgan, of the Sportsman, and Corbett, of the Referee.Then he held out his hands, while Sid Sullivan and Charley Bates, his seconds, slipped on his gloves and laced them tight, closely watched by one of Sandel’s seconds, who first examined critically the tapes on King’s knuckles.A second of his own was in Sandel’s corner, performing a like office.Sandel’s trousers were pulled off, and, as he stood up, his sweater was skinned off over his head.And Tom King, looking, saw Youth incarnate, deep-chested, heavy-thewed, with muscles that slipped and slid like live things under the white satin skin.The whole body was acrawl with life, and Tom King knew that it was a life that had never oozed its freshness out through the aching pores during the long fights wherein Youth paid its toll and departed not quite so young as when it entered."
"这两个人向对方走去，随着一声锣响，助手们也噼噼啪啪折起板凳陆续下场，他们握了握手，马上拿出了比赛的姿态。桑德尔立刻像一个由钢筋和弹簧制成的机械装置，一触即发，一会儿进攻，一会儿退守，又再次进攻，一记左拳击中了汤姆的眼睛，又一记右拳打中了他的肋骨，然后低头闪过汤姆的回击，他轻巧地跳开，再气势汹汹地逼近。他的动作敏捷而狡黠。这是一场让人眼花缭乱的表演。全场观众大声喝彩。不过，金可没有被唬住。他打过太多场比赛，迎战过太多年轻人了。他清楚这些拳头真正的分量——拳出得太快太灵巧反而没什么危险。显然，桑德尔一开始就想速战速决。这是意料之中的。年轻人总是这样，在胡乱冒进和猛烈攻击中，肆意消耗着自身的光辉和优势，想凭着无限辉煌的力量和好胜心来压垮对手。","The two men advanced to meet each other, and, as the gong sounded and the seconds clattered out of the ring with the folding stools, they shook hands and instantly took their fighting attitudes.And instantly, like a mechanism of steel and springs balanced on a hair trigger, Sandel was in and out and in again, landing a left to the eyes, a right to the ribs, ducking a counter, dancing lightly away and dancing menacingly back again.He was swift and clever.It was a dazzling exhibition.The house yelled its approbation.But King was not dazzled.He had fought too many fights and too many youngsters.He knew the blows for what they were—too quick and too deft to be dangerous.Evidently Sandel was going to rush things from the start.It was to be expected.It was the way of Youth, expending its splendor and excellence in wild insurgence and furious onslaught, overwhelming opposition with its own unlimited glory of strength and desire."
