"海浪","The Waves"
"“瞧那阳台角落里的蜘蛛网。”伯纳德说。“上面挂着水珠，一滴滴闪着白光。”","‘Look at the spider’s web on the corner of the balcony,’ said Bernard.‘It has beads of water on it, drops of white light.’"
"“树叶堆满窗前，像带芒的麦穗。”苏珊说。","‘The leaves are gathered round the window like pointed ears,’ said Susan."
"“一个影子投在小路上，”路易斯说，“像一只弯曲的臂肘。”","‘A shadow falls on the path,’ said Louis, ‘like an elbow bent.’"
"“光斑在草地上游弋。”罗达说。“它们是从树木之间漏下来的。”","‘Islands of light are swimming on the grass,’ said Rhoda.‘They have fallen through the trees.’"
"“在树叶之间的通道中，鸟儿的眼睛是明亮的。”内维尔说。","‘The birds’ eyes are bright in the tunnels between the leaves,’ said Neville."
"“叶梗表面布满粗短的绒毛，”吉尼说，“所以挂住了水滴。”","‘The stalks are covered with harsh, short hairs,’ said Jinny, ‘and drops of water have stuck to them.’"
"“毛毛虫蜷成一个绿圈圈，”苏珊说，“上面嵌着笨拙的脚。”","‘A caterpillar is curled in a green ring,’ said Susan, ‘notched with blunt feet.’"
"“灰壳的蜗牛穿过小路，身后留下压平了的草叶。”罗达说。","‘The grey-shelled snail draws across the path and flattens the blades behind him,’ said Rhoda."
"“窗格子里透出燃着的灯火，在青草上面闪闪烁烁，忽明忽灭。”路易斯说。","‘And burning lights from the window-panes flash in and out on the grasses,’ said Louis."
"“我的脚感觉到石头的凉意。”内维尔说。“每一块石头，或是圆的，或是尖的，都让我有不同的感觉。”","‘Stones are cold to my feet,’ said Neville.‘I feel each one, round or pointed, separately.’"
"“我的手背火烧火燎，”吉尼说，“但是手心却沾满露水，又冷又湿。”","‘The back of my hand burns,’ said Jinny, ‘but the palm is clammy and damp with dew.’"
"“此时，雄鸡啼鸣，好像白色的浪潮中喷出一股红色的激流。”伯纳德说。","‘Now the cock crows like a spurt of hard, red water in the white tide,’ said Bernard."
"“鸟儿围着我们婉转啁啾，忽高忽低，时隐时现。”苏珊说。","‘Birds are singing up and down and in and out all round us,’ said Susan."
"“野兽在跺脚；大象的脚上拴了锁链；海滩上那个巨大的牲畜在跺脚。”路易斯说。","‘The beast stamps; the elephant with its foot chained; the great brute on the beach stamps,’ said Louis."
"“瞧那幢房子，”吉尼说，“所有的窗子都挂着白色的窗帘。”","‘Look at the house,’ said Jinny, ‘with all its windows white with blinds.’"
"“凉凉的水从洗碗室的水龙头里流出，”罗达说，“漫过碗中的鲭鱼。”","‘Cold water begins to run from the scullery tap,’ said Rhoda, ‘over the mackerel in the bowl.’"
"“墙上裂开金色的缝隙，”伯纳德说，“树叶在窗前投下形如纤指的蓝色阴影。”","‘The walls are cracked with gold cracks,’ said Bernard, ‘and there are blue, finger-shaped shadows of leaves beneath the windows.’"
"“瞧，康斯特布尔太太穿上她厚厚的黑色长袜。”苏珊说。","‘Now Mrs Constable pulls up her thick black stockings,’ said Susan."
"“炊烟升起，睡意也像一阵薄雾从屋顶袅袅散去。”路易斯说。","‘When the smoke rises, sleep curls off the roof like a mist,’ said Louis."
"“鸟儿原先在合唱。”罗达说。“这时，洗碗室的门打开了。它们飞走了。它们飞走了，像一把撒出去的种子。但是有一只鸟仍在卧室窗前独自歌唱。”","‘The birds sang in chorus first,’ said Rhoda.‘Now the scullery door is unbarred.Off they fly.Off they fly like a fling of seed.But one sings by the bedroom window alone.’"
"“气泡在锅底翻腾，”吉尼说。“接着它们就冒上来，越冒越快，像一条银色的珠链，直冒向锅顶。”","‘Bubbles form on the floor of the saucepan,’ said Jinny.‘Then they rise, quicker and quicker, in a silver chain to the top.’"
"“瞧，比利用一把带锯齿的刀将鱼鳞刮到一块木质案板上。”内维尔说。","‘Now Billy scrapes the fish-scales with a jagged knife on to a wooden board,’ said Neville."
"“此时，餐室的窗子变成深蓝色，”伯纳德说，“微风在烟囱上方荡漾。”","‘The dining-room window is dark blue now,’ said Bernard, ‘and the air ripples above the chimneys.’"
"“一只燕子停在避雷针上。”苏珊说。“比迪啪的一声把水桶撂在厨房的石板地上。”","‘A swallow is perched on the lightning-conductor,’ said Susan.‘And Biddy has smacked down the bucket on the kitchen flags.’"
"“教堂的钟敲了第一响，”路易斯说。“接着就响个不停；一声，两声；一声，两声；一声，两声。”","‘That is the first stroke of the church bell,’ said Louis.‘Then the others follow; one, two; one, two; one, two.’"
"“瞧那块桌布，洁白地掠过桌面。”罗达说。“这时摆上了一圈一圈洁白的瓷器，每个餐盘边都银光闪闪。”","‘Look at the table-cloth, flying white along the table,’ said Rhoda.‘Now there are rounds of white china, and silver streaks beside each plate.’"
"“突然，一只蜜蜂在我耳边嗡嗡叫。”内维尔说。“它在这儿；它飞走了。”","‘Suddenly a bee booms in my ear,’ said Neville.‘It is here; it is past.’"
"“我火烧火燎，我瑟瑟发抖，”吉尼说，“因为从阳光下来到阴影里。”","‘I burn, I shiver,’ said Jinny, ‘out of this sun, into this shadow.’"
"“这会儿他们都走了。”路易斯说。“我孤单一人。他们进屋吃早餐去了，剩我一人在花丛中倚墙而立。天色很早，未到上课时间。绿意悠悠，繁花点缀。花瓣色彩斑斓。花茎从下面的黑色孔隙中伸了出来。花朵好像是光化作的鱼儿，在幽深、碧绿的水面上畅游。我把一支花茎握在手中。我就是这支花茎。我的根向世界的纵深扎下去，穿透干燥的砖石和潮湿的泥土，穿透铅与银的矿脉。我全身都是力量。任何轻微的震动都会令我发抖，我的身躯承载着大地之重。瞧这儿，我的眼睛好似绿叶，一无所见。我是一个小男孩，穿着一身灰色法兰绒，系着一条黄铜蛇扣的腰带。瞧那儿，我的眼睛好似尼罗河畔沙漠中一尊石像的眼睛，永远睁着。我看见女人们头顶红色水罐前往河边；我看见那些摇摇晃晃的骆驼和缠着头巾的男人。我听见踩踏声、战栗声和骚乱声在我四周响起。","‘Now they have all gone,’ said Louis.‘I am alone.They have gone into the house for breakfast, and I am left standing by the wall among the flowers.It is very early, before lessons.Flower after flower is specked on the depths of green.The petals are harlequins.Stalks rise from the black hollows beneath.The flowers swim like fish made of light upon the dark, green waters.I hold a stalk in my hand.I am the stalk.My roots go down to the depths of the world, through earth dry with brick, and damp earth, through veins of lead and silver.I am all fibre.All tremors shake me, and the weight of the earth is pressed to my ribs.Up here my eyes are green leaves, unseeing.I am a boy in grey flannels with a belt fastened by a brass snake up here.Down there my eyes are the lidless eyes of a stone figure in a desert by the Nile.I see women passing with red pitchers to the river; I see camels swaying and men in turbans.I hear tramplings, tremblings, stirrings round me."
"“在这儿，伯纳德、内维尔、吉尼和苏珊（但不包括罗达）用他们的捕网在花坛上面掠来掠去。他们在低垂的花冠上面掠捕蝴蝶。他们轻轻掠过世界的表层。他们的捕网里满是扑动的翅翼。‘路易斯！路易斯！路易斯！’他们大喊大叫。但是他们看不见我。我在树篱的另一边。树叶之间只有一些小小的洞眼。噢，上帝啊，让他们走开吧。上帝啊，让他们把他们的蝴蝶放在一小块地方——沙石堆上的一方手帕上面吧。让他们数清楚他们的乌龟壳、红花蝶和菜粉蝶吧。但别让他们看见我。我在树篱的影子里，像一株绿色的紫杉树。我的头发是片片树叶。我扎根在大地的中心。我的身体是一支花茎。我捏了捏这支花茎。一滴汁液从断口的孔隙渗出，缓缓地，黏黏地，越积越多。这时，一个粉红色的身影闪过洞眼。这时，一道目光悄悄穿透缝隙，溜了过来。这道目光落在我身上。我是一个小男孩，穿着一身灰色法兰绒套装。她发现了我。我的后脖颈被碰了一下。她吻了我。一切都乱了。”","‘Up here Bernard, Neville, Jinny and Susan (but not Rhoda) skim the flower-beds with their nets.They skim the butterflies from the nodding tops of the flowers.They brush the surface of the world.Their nets are full of fluttering wings.“Louis!Louis!Louis!”they shout.But they cannot see me.I am on the other side of the hedge.There are only little eye-holes among the leaves.Oh Lord, let them pass.Lord, let them lay their butterflies on a pocket—handkerchief on the gravel.Let them count out their tortoise—shells, their red admirals and cabbage whites.But let me be unseen.I am green as a yew tree in the shade of the hedge.My hair is made of leaves.I am rooted to the middle of the earth.My body is a stalk.I press the stalk.A drop oozes from the hole at the mouth and slowly, thickly, grows larger and larger.Now something pink passes the eyehole.Now an eye-beam is slid through the chink.Its beam strikes me.I am a boy in a grey flannel suit.She has found me.I am struck on the nape of the neck.She has kissed me.All is shattered.’"
"“我吃过早饭，”吉尼说，“正在跑步。我看见树篱的洞眼里有叶子在动。我想：‘那是一只呆在窝里的鸟吧。’我拨开它们，瞧了瞧；没有鸟，也没有窝。树叶不停地晃动。我害怕了。我从苏珊身边跑过，从罗达身边跑过，又从正在工具房里说话的内维尔和伯纳德身边跑过。我一边跑一边哭，越跑越快。是什么让树叶晃动？是什么让我心跳加快，撒腿奔跑？我冲到这里，看见你一身碧绿，像一丛灌木，像一根树枝，一动不动，路易斯，你的眼睛一眨也不眨。‘他死了吗？’心里想着，我就吻了你，我的粉红衣裙下面，我的心在砰砰跳，就像那些树叶，不停地晃动，却毫无来由。这时，我闻到天竺葵的芬芳；我闻到泥土堆的气息。我手舞足蹈。我轻扭身躯。我像一张光的网，撒向你。我躺下来，颤抖着，投入你的怀抱。”","‘I was running,’ said Jinny, ‘after breakfast.I saw leaves moving in a hole in the hedge.I thought “That is a bird on its nest.”I parted them and looked; but there was no bird on a nest.The leaves went on moving.I was frightened.I ran past Susan, past Rhoda, and Neville and Bernard in the tool-house talking.I cried as I ran, faster and faster.What moved the leaves?What moves my heart, my legs?And I dashed in here, seeing you green as a bush, like a branch, very still, Louis, with your eyes fixed.“Is he dead?”I thought, and kissed you, with my heart jumping under my pink frock like the leaves, which go on moving, though there is nothing to move them.Now I smell geraniums; I smell earth mould.I dance.I ripple.I am thrown over you like a net of light.I lie quivering flung over you.’"
"“透过树篱的缝隙，”苏珊说，“我看见她吻了他。我从花盆上抬起头来，透过树篱的一道缝隙望过去。我看见她吻了他。我看见他们俩，吉尼和路易斯，正在亲吻。现在，我要把我的苦恼裹进我的手帕。把它拧成紧紧的一团。上课之前，我要一个人到柏树林中去。我不要坐在桌边做算术。我不要挨着吉尼和路易斯坐。我要带走我的痛苦，把它放在柏树下面的树根上。我要小心察看它，并用手指夹住它。他们不会找到我。我要吃各种坚果，要在刺藤丛中寻觅鸟蛋，我的头发会乱成一团，我要睡在树篱下面，喝沟渠里的水，然后死在那里。”","‘Through the chink in the hedge,’ said Susan, ‘I saw her kiss him.I raised my head from my flower-pot and looked through a chink in the hedge.I saw her kiss him.I saw them, Jinny and Louis, kissing.Now I will wrap my agony inside my pocket-handkerchief.It shall be screwed tight into a ball.I will go to the beech wood alone, before lessons.I will not sit at a table, doing sums.I will not sit next Jinny and next Louis.I will take my anguish and lay it upon the roots under the beech trees.I will examine it and take it between my fingers.They will not find me.I shall eat nuts and peer for eggs through the brambles and my hair will be matted and I shall sleep under hedges and drink water from ditches and die there.’"
"“苏珊刚从我们身边经过。”伯纳德说。“她从工具房门口经过，她的手帕拧成了一个团。她没哭，但是一双美丽的眼睛眯着，就像猫儿受到惊吓即将起跳时的样子。我要跟着她，内维尔。我要带上好奇心，悄悄跟在她后面，随时给她帮助，在她大发脾气，心想‘我多么孤单’的时候，我要给她安慰。”","‘Susan has passed us,’ said Bernard.‘She has passed the tool-house door with her handkerchief screwed into a ball.She was not crying, but her eyes, which are so beautiful, were narrow as cats’ eyes before they spring.I shall follow her, Neville.I shall go gently behind her, to be at hand, with my curiosity, to comfort her when she bursts out in a rage and thinks, “I am alone.”"
"“瞧，她晃晃悠悠，漫不经心地穿过田地，想瞒过我们。随后她来到那片凹地；她以为谁也没看见她；她突然把双拳攥在胸前，飞跑起来。她的指甲扣进团起来的手帕中。她正朝着阳光照不到的那片柏树林奔去。她展开双臂奔过去，像一个游泳的人，投进树荫。但是突然离开阳光，她的眼睛也盲了，她绊了一下，扑倒在树根上，光线从树丛中隐隐透射进来，好像人在喘气，一呼一吸，一呼一吸。树枝上下晃动。这儿有烦乱与苦恼。有忧悒。光线时断时续。这儿有痛苦。地上的树根好像一具骷髅，关节处积满枯叶。苏珊摊开了她的痛苦。她把手帕放在柏树的根上，然后瘫软地坐在她跌倒的地方，抽噎了起来。”","‘Now she walks across the field with a swing, nonchalantly, to deceive us.Then she comes to the dip; she thinks she is unseen; she begins to run with her fists clenched in front of her.Her nails meet in the ball of her pocket-handkerchief.She is making for the beech woods out of the light.She spreads her arms as she comes to them and takes to the shade like a swimmer.But she is blind after the light and trips and flings herself down on the roots under the trees, where the light seems to pant in and out, in and out.The branches heave up and down.There is agitation and trouble here.There is gloom.The light is fitful.There is anguish here.The roots make a skeleton on the ground, with dead leaves heaped in the angles.Susan has spread her anguish out.Her pocket-handkerchief is laid on the roots of the beech trees and she sobs, sitting crumpled where she has fallen.’"
"“我看见她吻了他。”苏珊说。“我从树叶之间望过去，就看见了她。她像微尘，在钻石点缀的光芒中翩翩起舞。可我又矮又胖，伯纳德，我多么矮小。我的眼睛总是紧紧地盯着地面，看着草丛中的昆虫。当我看见吉尼吻了路易斯，我身边温暖的阳光一下子变成了石头。我要啃着青草，死在一条沟渠里，死在枯叶腐烂的污水中。”","‘I saw her kiss him,’ said Susan.‘I looked between the leaves and saw her.She danced in flecked with diamonds light as dust.And I am squat, Bernard, I am short.I have eyes that look close to the ground and see insects in the grass.The yellow warmth in my side turned to stone when I saw Jinny kiss Louis.I shall eat grass and die in a ditch in the brown water where dead leaves have rotted.’"
"“我看见你跑开了。”伯纳德说。“当你经过工具房门口时，我听见你哭着说：‘我真不幸。’我放下刀子。当时我正在和内维尔用烧火的木柴造船。我头发蓬乱，因为康斯特布尔太太叫我梳头的时候，正巧有一只苍蝇落在蛛网中，我就寻思着：‘我是该把苍蝇放了？还是该让蜘蛛吃掉它？’我总是这样把事情耽搁了。我的头发没梳，所以粘着这些木屑。当我听见你的哭声，我就跟了过来，看见你把拧成一团、里面包着怒气和恼恨的手帕放了下来。但这一切很快就会了结。现在我俩的身体依偎在一起。你听见了我的呼吸。你还看见了甲壳虫，正在搬动背上的一片树叶。它一会儿爬向这边，一会儿又爬向那边，所以你看，即使你观察甲壳虫的过程，也一定会让你占有一样东西（眼下就是路易斯）的欲望发生动摇，就像柏树叶中的光线那样时有时无；随后，一些话语，你心灵深处隐约涌动的话语，将会冲破拧在手帕中的这个硬结。”","‘I saw you go,’ said Bernard.‘As you passed the door of the tool-house I heard you cry “I am unhappy.”I put down my knife.I was making boats out of firewood with Neville.And my hair is untidy, because when Mrs Constable told me to brush it there was a fly in a web, and I asked, “Shall I free the fly?Shall I let the fly be eaten?”So I am late always.My hair is unbrushed and these chips of wood stick in it.When I heard you cry I followed you, and saw you put down your handkerchief, screwed up, with its rage, with its hate, knotted in it.But soon that will cease.Our bodies are close now.You hear me breathe.You see the beetle too carrying off a leaf on its back.It runs this way, then that way, so that even your desire while you watch the beetle, to possess one single thing (it is Louis now) must waver, like the light in and out of the beech leaves; and then words, moving darkly, in the depths of your mind will break up this knot of hardness, screwed in your pocket-handkerchief.’"
"“我爱，”苏珊说，“我也恨。我只想追求一样东西。我的眼睛是冷酷锐利的。吉尼的眼睛会突然点亮千盏灯火。罗达的眼睛好像那些苍白的花朵，总会引来黄昏的飞蛾。你的眼睛圆满充盈，从不失去神采。但是对于我的追求，我已经打定主意。我看见草丛中的昆虫。而我的母亲还在为我织着白色短袜，为我缝制带褶边的围裙，我是个孩子，我会爱会恨。”","‘I love,’ said Susan, ‘and I hate.I desire one thing only.My eyes are hard.Jinny’s eyes break into a thousand lights.Rhoda’s are like those pale flowers to which moths come in the evening.Yours grow full and brim and never break.But I am already set on my pursuit.I see insects in the grass.Though my mother still knits white socks for me and hems pinafores and I am a child, I love and I hate.’"
"“但是当我们依偎着坐在一起的时候，”伯纳德说，“话语让我们彼此交融。薄雾弥漫在我们身边。为我们营造出一片空幻的领地。”","‘But when we sit together, close,’ said Bernard, ‘we melt into each other with phrases.We are edged with mist.We make an unsubstantial territory.’"
"“我看见甲壳虫。”苏珊说。“它是黑色的，我看见了；它是绿色的，我看见了；我被这些单个的词语束缚住了。而你无拘无束；你神游物外；你用连珠妙语让自己神采飞扬。”","‘I see the beetle,’ said Susan.‘It is black, I see; it is green, I see; I am tied down with single words.But you wander off; you slip away; you rise up higher, with words and words in phrases.’"
"“来吧，”伯纳德说，“让我们一起探索。有幢白色的房子坐落在树林中。它位于离我们很远的地方。我们要沉下去，像游泳的人用脚趾尖碰触水底。苏珊，我们要沉到树叶的绿色气息下。我们一边跑，一边下沉。海浪包围了我们，柏树叶在我们头顶汇拢。瞧那口坚固的大钟，镀金的指针闪闪发光。瞧那幢大房子，那些平平凹凹、高高低低的屋顶。瞧那个小马倌，穿着胶鞋在院子里踩出咔哒咔哒的声响。那里是埃尔夫顿。","‘Now,’ said Bernard, ‘let us explore.There is the white house lying among the trees.It lies down there ever so far beneath us.We shall sink like swimmers just touching the ground with the tips of their toes.We shall sink through the green air of the leaves, Susan.We sink as we run.The waves close over us, the beech leaves meet above our heads.There is the stable clock with its gilt hands shining.Those are the flats and heights of the roofs of the great house.There is the stable-boy clattering in the yard in rubber boots.That is Elvedon."
"“现在我们从树梢落到了地上。我们头上的天空不再翻涌，不再有绵延的、悲伤的紫色海浪。我们接触到泥土；我们踩着大地。那是女士花园旁一道修剪细致的树篱。中午的时候，她们在那儿一边散步，一边拿着剪刀修剪玫瑰。现在我们来到围墙环绕的小树林里。这里是埃尔夫顿。我在十字路口见过一处标志牌，上面有只手臂指示‘去往埃尔夫顿’。没有人去过那儿。羊齿草发出浓烈的气味，下面生长着红色的霉菌。瞧，我们惊醒了睡梦中的寒鸦，它们还从未见过人的样子呢；瞧，我们踩在腐烂的栎树瘿上面，它们被岁月染成了红色，滑溜溜的。有一道围墙环绕着这片小树林；没有人会来这里。听！一只巨大的癞蛤蟆噗嗵蹦进灌木丛里；一枚远古的冷杉球果啪嗒落了下来，将在羊齿草丛中慢慢腐烂。","‘Now we have fallen through the tree-tops to the earth.The air no longer rolls its long, unhappy, purple waves over us.We touch earth; we tread ground.That is the close-clipped hedge of the ladies’ garden.There they walk at noon, with scissors, clipping roses.Now we are in the ringed wood with the wall round it.This is Elvedon.I have seen signposts at the cross-roads with one arm pointing “To Elvedon”.No one has been there.The ferns smell very strong, and there are red funguses growing beneath them.Now we wake the sleeping daws who have never seen a human form; now we tread on rotten oak apples, red with age and slippery.There is a ring of wall round this wood; nobody comes here.Listen!That is the flop of a giant toad in the undergrowth; that is the patter of some primeval fir-cone falling to rot among the ferns."
"“你把脚踏上这块砖。看看墙的那边。那里就是埃尔夫顿。有位女士坐在两排长长的窗子间，正在写字。几个园丁用巨大的扫帚清理着草坪。我们是最先来到这里的人。我们发现了一片无人知晓的土地。别声张；要是园丁看见我俩，他们会朝我们射击。我们会像那些白鼬一样被钉在两截门上。当心！别动。抓牢墙头的羊齿草。”","‘Put your foot on this brick.Look over the wall.That is Elvedon.The lady sits between the two long windows, writing.The gardeners sweep the lawn with giant brooms.We are the first to come here.We are the discoverers of an unknown land.Do not stir; if the gardeners saw us they would shoot us.We should be nailed like stoats to the stable door.Look!Do not move.Grasp the ferns tight on the top of the wall.’"
"“我看见那位女士在写字。我看见几个园丁在打扫。”苏珊说。“要是死在这里，没有人会来埋葬我们。”","‘I see the lady writing.I see the gardeners sweeping,’ said Susan.‘If we died here, nobody would bury us.’"
"“快跑！”伯纳德说。“快跑！那个黑胡子园丁看见我们了！我们会被射死的！我们会像松鸦一样被射死，然后钉在墙上！我们身处敌国。我们必须逃到柏树林中去。我们必须藏到树下。来的时候我折弯过一根小树枝。有一条秘密的小路。尽量压低身子。跟紧，别回头。他们会以为我们是狐狸。快跑！","‘Run!’ said Bernard.‘Run!The gardener with the black beard has seen us!We shall be shot!We shall be shot like jays and pinned to the wall!We are in a hostile country.We must escape to the beech wood.We must hide under the trees.I turned a twig as we came.There is a secret path.Bend as low as you can.Follow without looking back.They will think we are foxes.Run!"
"“现在我们安全了。现在我们可以重新站直了。现在我们可以舒展手臂了，在这高高的华盖之下，在这辽阔的树林之中。我什么也听不见。空气中只有呢喃似的波动。一只旅鸽在柏树的梢头探出身形。鸽子拍打着空气；鸽子用笨拙的翅膀拍打着空气。”","‘Now we are safe.Now we can stand upright again.Now we can stretch our arms in this high canopy, in this vast wood.I hear nothing.That is only the murmur of the waves in the air.That is a wood-pigeon breaking cover in the tops of the beech trees.The pigeon beats the air; the pigeon beats the air with wooden wings.’"
"“这会儿你渐聊渐远了，”苏珊说，“编着大话。这会儿你像一根牵着气球的线绳，越飞越高，穿过层层树叶，让人捉摸不到。这会儿你拖后了。这会儿你扯着我的裙子，一边回头望去，一边说着缥缈的话语。你逃离了我。花园到了。树篱到了。罗达正在小路上，不停地摇晃着在褐色盆子里的花瓣。","‘Now you trail away,’ said Susan, ‘making phrases.Now you mount like an air-ball’s string, higher and higher through the layers of the leaves, out of reach.Now you lag.Now you tug at my skirts, looking back, making phrases.You have escaped me.Here is the garden.Here is the hedge.Here is Rhoda on the path rocking petals to and fro in her brown basin.’"
"“我所有的船都是白色的。”罗达说。“我不想要蜀葵或天竺葵的红色花瓣。当我将盆倾覆时，我想要这些漂浮着的白色花瓣。现在我有一只舰队，从此岸驶向彼岸。我要抛下一根小树枝，给溺水船员当木筏。我要投进一块石子，看着那些泡泡从大海深处冒上来。内维尔走开了，苏珊也走开了；吉尼在家庭菜园里，可能正和路易斯一起采醋栗吧。我可以独自呆一小会儿，因为这时赫德森小姐正把我们的习字簿摊放在教室讲桌上。我拥有短暂的自由。我把所有凋落的花瓣都捡了起来，让它们在水上漂游。我给一些花瓣洒上了雨滴。我要在这儿竖起一座灯塔，一座斯威特·艾丽斯的头像。现在我要左右摇晃这褐色的水盆，好让我的船乘风破浪。有些船会沉没。有些船会冲向崖岸。有一艘船孤独地航行。那是我的船它驶入冰冷的洞窟，那里海熊在咆哮，钟乳石摆动着绿色的锁链。波浪腾空而起；浪头翻卷；睥睨着桅顶的灯。它们散架了，它们沉没了，只有我的船骑上浪头，驾着飓风，抵达小岛，岛上鹦鹉叽叽喳喳，还有啄木鸟......”","‘All my ships are white,’ said Rhoda.‘I do not want red petals of hollyhocks or geranium.I want white petals that float when I tip the basin up.I have a fleet now swimming from shore to shore.I will drop a twig in as a raft for a drowning sailor.I will drop a stone in and see bubbles rise from the depths of the sea.Neville has gone and Susan has gone; Jinny is in the kitchen garden picking currants with Louis perhaps.I have a short time alone, while Miss Hudson spreads our copy-books on the schoolroom table.I have a short space of freedom.I have picked all the fallen petals and made them swim.I have put raindrops in some.I will plant a lighthouse here, a head of Sweet Alice.And I will now rock the brown basin from side to side so that my ships may ride the waves.Some will founder.Some will dash themselves against the cliffs.One sails alone.That is my ship.It sails into icy caverns where the sea-bear barks and stalactites swing green chains.The waves rise; their crests curl; look at the lights on the mastheads.They have scattered, they have foundered, all except my ship, which mounts the wave and sweeps before the gale and reaches the islands where the parrots chatter and the creepers...’"
