"复活日那天","The Day Resurgent"
"辛勤劳作的工人的悲伤很适合他现在的心情。他们如此疲倦，以至于最好的量身定做的衣服的别致线条也掩饰不住。这就是为什么那些富足的的铅笔和钢画家总把普通人们作为他们作品中引人注目的忧伤原型。但当这个腓力斯人自娱自乐时，悲剧女神墨尔波墨的冷酷神情，总出现在他的画布上。所以，丹尼表情僵硬地对着伊斯特尔，并苦恼地寻找着快乐。","The sorrows of the hand-toiler fit him easily.They are worn so often that they hang with the picturesque lines of the best tailor-made garments.That is why well-fed artists of pencil and pen find in the griefs of the common people their most striking models.But when the Philistine would disport himself, the grimness of Melpomene, herself, attends upon his capers.Therefore, Danny set his jaw hard at Easter, and took his pleasure sadly."
"很多家庭都可以到杜根小餐馆就餐；一杯黑啤酒下肚后，丹尼也沉浸在这春天的气氛中。坐在黑暗、铺有漆布、潮湿的里屋，他的思绪还在探寻这个春季狂欢节的神秘意义。","The family entrance of Dugan’s café was feasible; so Danny yielded to the vernal season as far as a glass of bock.Seated in a dark, linoleumed, humid back room, his heart and mind still groped after the mysterious meaning of the springtime jubilee."
"“嘿，蒂姆，”他对服务员说，“他们为什么要过复活节啊？”","“Say, Tim,” he said to the waiter, “why do they have Easter?”"
"“得了吧！”蒂姆老于世故地闭上了一只眼睛说道，“复活节有什么新鲜的？好了。我猜托尼牧师昨晚给你答案了。我放弃了。答案是什么——是两个苹果，还是一码半？”","“Skiddoo!” said Tim, closing a sophisticated eye.“Is that a new one?All right.Tony Pastor’s for you last night, I guess.I give it up.What’s the answer—two apples or a yard and a half?”"
"从杜根餐馆出来，丹尼朝东往回走。四月的太阳使他有一种朦胧的、连自己都解释不清的感觉。他作了一个错误的判断，觉得凯蒂·康伦知道答案。","From Dugan’s Danny turned back eastward.The April sun seemed to stir in him a vague feeling that he could not construe.He made a wrong diagnosis and decided that it was Katy Conlon."
"他在大街上离凯蒂家仅隔一个街区的地方碰见了她，她正要去教堂。他们在拐角处握手问好。","A block from her house on Avenue A he met her going to church.They pumped hands on the corner."
"“哎呀！你看起来闷闷不乐的，打扮倒挺正式，”凯蒂说，“怎么了？跟我一块儿去教堂吧，开心点儿。”","“Gee! But you look dumpish and dressed up,” said Katy.“What’s wrong?Come away with me to church and be cheerful.”"
"“去教堂干什么啊？”丹尼问。","“What’s doing at church?” asked Danny."
"“干什么？今天是复活节啊。傻瓜！我一直等到十一点，还以为你会从这儿路过和我一块儿去呢。”","“Why, it’s Easter Sunday.Silly!I waited till after eleven expectin’ you might come around to go.”"
"“这个复活节代表什么，凯蒂？”丹尼一筹莫展地问，“好像没人知道。”","“What does this Easter stand for, Katy,” asked Danny gloomily.“Nobody seems to know.”"
"“没有人和你一样不长眼睛，”凯蒂兴致高昂地说，“你都不看看我的新帽子，还有裙子。复活节是什么节日，是所有女孩都穿上崭新春装的日子。傻瓜！你要跟我一块儿去教堂吗？”","“Nobody as blind as you,” said Katy with spirit.“You haven’t even looked at my new hat.And skirt.Why, it’s when all the girls put on new spring clothes.Silly!Are you coming to church with me?”"
"“我去。”丹尼说，“如果复活节是从那儿开始的话，他们应该给点儿理由。帽子的确很漂亮。绿玫瑰也美极了。”","“I will,” said Danny.“If this Easter is pulled off there, they ought to be able to give some excuse for it.Not that the hat ain’t a beauty.The green roses are great.”"
"在教堂里，牧师非常流利地对复活节进行着详细说明。他讲话的速度很快，因为他急着回家享受安息日的大餐；但他知道得先完成自己的工作。他的主题围绕一个词——复活。不是新造出来的生命，而是一个新生命从旧的生命中诞生。教堂会众以前就经常听到这个故事。在距离布道台第六排的座位上有一顶极美的帽子，是用香豌豆花和薰衣草编制而成的。它引起了许多人的注意。","At church the preacher did some expounding with no pounding.He spoke rapidly, for he was in a hurry to get home to his early Sabbath dinner; but he knew his business.There was one word that controlled his theme—resurrection.Not a new creation; but a new life arising out of the old.The congregation had heard it often before.But there was a wonderful hat, a combination of sweet peas and lavender, in the sixth pew from the pulpit.It attracted much attention."
"做完礼拜后，丹尼在拐角处徘徊，这时凯蒂在一旁等他，天蓝色的眼睛里透着不悦。","After church Danny lingered on a corner while Katy waited, with pique in her sky-blue eyes."
"“你跟我一起回家么？”她问，“倒不用担心我，我自己也会安全到家的。你看起来好像特别担心什么。好吧。我还能在那个特殊的时间见到你吗，麦克里先生？”","“Are you coming along to the house?” she asked.“But don’t mind me.I’ll get there all right.You seem to be loriae’ a lot about something.All right.Will I see you at any time specially, Mr. McCree?”"
"“我会跟往常一样在周三晚上过去的。”丹尼说着转身穿过马路。","“I’ll be around Wednesday night as usual,” said Danny, turning and crossing the street."
"凯蒂扭头就走，帽子上的绿玫瑰愤怒地颤动着。丹尼走了两个街区后停了下来。他一动不动地站在人行道旁的拐角处，两手揣在兜里。他面无表情，跟石头雕像一样。在他的灵魂深处似乎有什么东西在搅动，如此微小、如此精细、如此纤巧，在发酵，而他那僵硬的神经都感觉不到。那比四月的阳光更柔和，比感官的呼叫更微妙，比那个女人的爱更纯洁、更根深蒂固——因为他不是已经避开了绿玫瑰和那双牢牢迷了他一年的眼睛了吗？丹尼不知道那是什么。其实那个急于回家享受大餐的牧师已经告诉他了。可是牧师讲的像催眠曲一样，让人昏昏欲睡，丹尼也没有类似剧本歌词的东西让他一直跟着认真听。但牧师说出了真相。","Katy walked away with the green roses dangling indignantly.Danny stopped two blocks away.He stood still with his hands in his pockets, at the curb on the corner.His face was that of a graven image.Deep in his soul something stirred so small, so fine, so keen and leavening that his hard fibres did not recognize it.It was something more tender than the April day, more subtle than the call of the senses, purer and deeper-rooted than the love of woman—for had he not turned away from green roses and eyes that had kept him chained for a year?And Danny did not know what it was.The preacher, who was in a hurry to go to his dinner, had told him, but Danny had had no libretto with which to follow the drowsy intonation.But the preacher spoke the truth."
"突然，丹尼拍了一下自己的大腿，用沙哑的嗓子高兴地叫了一声。","Suddenly Danny slapped his leg and gave forth a hoarse yell of delight."
"“希伯伯托马斯！”他冲着高架路的支柱喊，“哎呀，无用地猜想有什么意义呢？真该死！我现在知道他的意思了。","“Hippopotamus!” he shouted to an elevated road pillar.“Well, how is that for a bum guess?Why, blast my skylights!I know what he was driving at now."
"“希伯伯托马斯！那不是很可笑嘛！他一年前听说的；不过好长时间没读了，他竟然还有印象。我们读到公元前469年就停下来了，再没往下读过。哎呀，一个木头人是猜不到他想说什么的。”","“Hippopotamus!Wouldn’t that send you to the Bronx!It’s been a year since he heard it; and he didn’t miss it so very far.We quit at 469 B. C., and this comes next.Well, a wooden man wouldn’t have guessed what he was trying to get out of him.”"
"丹尼坐上跨城汽车，回到了自己挣钱付房租的公寓。","Danny caught a crosstown car and went up to the rear flat that his labor supported."
"老麦克里还在窗户旁边坐着。他那熄灭的烟斗放在窗台上。","Old man McCree was still sitting by the window.His extinct pipe lay on the sill."
"“是你吗，孩子？”他问。","“Will that be you, lad?” he asked."
"丹尼刚想做件好事，但像是被人发现了，他突然很生气。","Danny flared into the rage of a strong man who is surprised at the outset of committing a good deed."
"“这个家谁付房租，谁买吃的？”他恶狠狠地说，“难道我没有权利进来吗？”","“Who pays the rent and buys the food that is eaten in this house?” he snapped, viciously.“Have I no right to come in?”"
"“你是一个忠诚的孩子，”老麦克里叹息说，“已经是晚上了吗？”","“Ye’re a faithful lad,” said old man McCree, with a sigh.“Is it evening yet?”"
"丹尼伸手从书架上拿下一本烫金字体标记的厚书——《希腊历史》。上面的灰尘有半英寸厚。他把书放在桌上，找到那个书签标记的地方。然后他以最大的声音急促地叫道：","Danny reached up on a shelf and took down a thick book labeled in gilt letters, “The History of Greece.”Dust was on it half an inch thick.He laid it on the table and found a place in it marked by a strip of paper.And then he gave a short roar at the top of his voice, and said: "
"“你是想让别人给你读有关希伯伯托马斯的故事，对吗？”","“Was it the hippopotamus you wanted to be read to about then?”"
"“我没听到你打开书本啊？”老麦克里说，“孩子啊，你给我读了这本书上的故事之后，好几个月过去了，我一直感到厌烦。不知道为什么，我倒是特别喜欢希腊人了。但上次你没读完就停下来了。外面天气不错，孩子。出去走走，工作累了休息休息。我已经习惯坐在窗口抽烟斗了。”","“Did I hear ye open the book?” said old man McCree.“Many and weary be the months since my lad has read it to me.I dinno; but I took a great likings to them Greeks.Ye left off at a place.’Tis a fine day outside, lad.Be out and take rest from your work.I have gotten used to me chair by the windy and me pipe.”"
"“伯——伯罗奔尼撒半岛是我们停下来的地方，不是希伯伯托马斯，”丹尼说，“战争在那里开始。大概持续了三十年。标题说一个来自马其顿王国，名为菲利普的人，在公元前338年时的谢——谢隆纳战争中成为希腊的首领。我读给你听。”","“Pel-Peloponnesus was the place where we left off, and not hippopotamus,” said Danny.“The war began there.It kept something doing for thirty years.The headlines says that a guy named Philip of Macedon, in 338 B. C., got to be boss of Greece by getting the decision at the battle of Cher-Cheronoea.I’ll read it.”"
"老麦克里用手拢着耳朵支着头，坐在那里，聚精会神地听了一个小时的伯罗奔尼撒战争。","With his hand to his ear, rapt in the Peloponnesian War, old man McCree sat for an hour, listening."
"然后他站起来，摸索着走到厨房门前。麦克里太太正在切冻肉。她抬起头，看到眼泪正从老麦克里的眼睛里淌出。","Then he got up and felt his way to the door of the kitchen.Mrs. McCree was slicing cold meat.She looked up.Tears were running from old man McCree’s eyes."
"“你听到我们的儿子给我读书了吗？”他说，“在这世上没有比他更好的人了。我的两只眼睛又回来了。”","“Do you hear our lad loria’ to me?” he said.“There is none finer in the land.My two eyes have come back to me again.”"
"晚饭后，他对丹尼说：“今年的复活节过得真开心。晚上你出去见凯蒂吧。今天过得够好了。”","After supper he said to Danny: “’Tis a happy day, this Easter.And now ye will be off to see Katy in the evening.Well enough.”"
"“这个家谁付房租，谁买吃的？”丹尼生气地说，“难道我没有权利呆在家里吗？晚饭后还要读公元前146年的科林斯战争，就是书上所说的，希腊王国完——完全成为罗马帝国一部分的时候。难道我在家里什么都不是吗？”","“Who pays the rent and buys the food that is eaten in this house?” said Danny, angrily.“Have I no right to stay in it?After supper there is yet to come the reading of the battle of Corinth, 146 B. C., when the kingdom, as they say, became an in-integral portion of the Roman Empire.Am I nothing in this house?”"
