"诺丁汉矿乡杂记","Nottingham and the Mining Countryside"
"英格兰的真正悲剧，在我看来，是丑陋的悲剧。乡村是如此可爱，而人造的英格兰却是如此丑恶。我小时候就知道，那些普通的矿工有着一种特殊的美感，这种美感来自于他们直觉和本能的意识，这一意识在矿井下被唤醒。但当他们回到地面上的日光中，遇见的都是冰冷的丑陋和粗鄙的物质主义。特别是当他们回到“广场”或布里奇，坐在自家餐桌前，他们身上就有什么东西被扼杀了，从某种意义上说，这毁了他们，使他们不再具有男人的特质。女人们几乎总在唠叨物质方面的事情。她们被教导去这样做，也被鼓励去这样做。母亲的责任是盯着自己的儿子，让他们“出人头地”，而男人的责任则是挣钱。在我父亲那一辈，男人们身后是狂野的旧英格兰，他们没怎么受教育，但不会被击垮。可是到了我这一辈，那些如今已经是矿工的男孩们，他们曾经和我一起上学，却全都被击垮了。他们是让寄宿学校的铃声、书本、电影和牧师们给击垮的，是让整个民族和全体人类不断强调物质繁荣凌驾于一切之上的想法给击垮的。","The real tragedy of England, as I see it, is the tragedy of ugliness.The country is so lovely: the man-made England is so vile.I know that the ordinary collier, when I was a boy, had a peculiar sense of beauty, coming from his intuitive and instinctive consciousness, which was awakened down pit.And the fact that he met with just cold ugliness and raw materialism when he came up into daylight, and particularly when he came to the Square or the Breach, and to his own table, killed something in him and in a sense, spoiled him as a man.The woman almost invariably nagged about material things.She was taught to do it; she was encouraged to do it.It was a mother’s business to see that her sons “got on”, and it was the man’s business to provide the money.In my father’s generation, with the old wild England behind them, and the lack of education, the man was not beaten down.But in my generation, the boys I went to school with, colliers now, have all been beaten down, what with the din-din-ding of Board Schools, books, cinemas, clergymen, the whole national and human consciousness hammering on the fact of material prosperity above all things."
"男人们被击垮了，一段时间内出现了繁荣，那是以他们的失败作为代价而取得的繁荣。接着，灾难悄然逼近。所有灾难的根源都是气馁。男人们气馁了。英格兰的男人们，尤其是矿工们，气馁了。他们被背叛了，被击垮了。","The men are beaten down, there is prosperity for a time, in their defeat—and then disaster looms ahead.The root of all disaster is disheartenment.And men are disheartened.The men of England, the colliers in particular, are disheartened.They have been betrayed and beaten."
"虽然如今或许没人知道，19世纪真正背叛男性精神的是丑陋。在繁荣的维多利亚时代，资产阶级和工业化的推行者们所犯下的重大罪行，就是让工人们深陷于丑陋，丑陋，丑陋：低劣杂乱又丑陋的环境、丑陋的理想、丑陋的宗教、丑陋的希望、丑陋的爱情、丑陋的衣服、丑陋的家具、丑陋的房子，丑陋的劳资关系。人的灵魂需要真实的美丽，更甚于需要面包。中产阶级嘲笑矿工买钢琴，但钢琴是什么，往往不只是钢琴，而是一种对美的盲目追求。对女人来说，钢琴是一份财产，一件家具，是能让她产生优越感的东西。但是看看老矿工们努力学琴的样子，看看他们听女儿弹奏《少女的祈祷》时那奇妙而专注的神情，你会发现一种对美盲目而永不满足的渴求。男人的这种渴求要比女人的深得多。女人想要炫耀。而男人想要的则是美，现在仍然是这样。","Now though perhaps nobody knew it, it was ugliness which really betrayed the spirit of man, in the nineteenth century.The great crime which the moneyed classes and promoters of industry committed in the palmy Victorian days was the condemning of the workers to ugliness, ugliness, ugliness: meanness and formless and ugly surroundings, ugly ideals, ugly religion, ugly hope, ugly love, ugly clothes, ugly furniture, ugly houses, ugly relationship between workers and employers.The human soul needs actual beauty even more than bread.The middle classes jeer at the colliers for buying pianos—but what is the piano, often as not, but a blind reaching out for beauty.To the woman it is a possession and a piece of furniture and something to feel superior about.But see the elderly colliers trying to learn to play, see them listening with queer alert faces to their daughter’s execution of The Maiden’s Prayer, and you will see a blind, unsatisfied craving for beauty.It is far more deep in the men than the women.The women want show.The men want beauty, and still want it."
"如果公司不是在山顶上建起了肮脏丑陋的“广场”，人们就可以有个可爱的地方游玩，那该多好啊。如果他们在小市集的中间竖根高柱子，在那令人愉快的地方修一圈有三面的拱廊，供人们在漂亮的房子前散步或是闲坐，那该多好啊！如果他们建起大而坚固的房子，五六间一户的公寓，有着漂亮的入口，那该多好啊。尤其是，如果他们鼓励唱歌跳舞，因为矿工们仍然喜爱歌舞，并为此提供漂亮的场地，那该多好啊。如果他们倡导漂亮的服饰、美丽的家居生活——好看的家具和装饰，那该多好啊。如果他们奖励人们做出最漂亮的椅子或桌子，织出最可爱的围巾，装饰出最美的房间，那该多好啊！要是他们曾做过这些，根本就不会出现什么工业化的问题。工业化的问题来自于其根基，强迫人们把所有的精力都仅仅用于为了获取而竞争。","If the Company, instead of building those sordid and hideous Squares, then, when they had that lovely site to play with, there on the hill top: if they had put a tall column in the middle of the small market-place, and run three parts of a circle of arcade round the pleasant space: where people could stroll or sit, and with handsome houses behind!If they had made big, substantial houses, in apartments of five or six rooms, and with handsome entrances.If above all, they had encouraged song and dancing—for the miners still sang and danced—and provided handsome space for these.If only they had encouraged some form of beauty in dress, some form of beauty in interior life—furniture, decoration.If they had given prizes for the handsomest chair or table, the loveliest scarf, the most charming room that the men or women could make!If only they had done this, there would never have been an industrial problem.The industrial problem arises from the base forcing of all human energy into a competition of mere acquisition."
"你也许会说，工人们不会接受这样的生活方式，英格兰人把家当成自己的城堡——“我自己的小家”——等等。但如果能听见隔壁邻居的所有对话，那可就算不得城堡了。如果能看见广场上所有的人，甚至能看到他们去厕所，那也就算不得城堡了！如果你的愿望是逃离你的“城堡”和你“自己的小家”呢！好吧，就没有太多可说的了。无论如何，只有女人才会把“她自己的小家”给偶像化，而女人总是最糟糕、最贪婪、占有欲最强，也最吝啬。对“小家”再也没什么可说的了，那是胡乱涂抹在地面上的丑陋而琐碎的玩意儿。","You may say the working man would not have accepted such a form of life: the Englishman’s home is his castle etc. etc—“My own little home”.But if you can hear every word the nextdoor people say, there’s not much castle.And if you can see everybody in the square, if they go to the W. C.!And if your one desire is to get out of your “castle” and your “own little home”! —well, there’s not much to be said for it.Anyhow it’s only the woman who idolises “her own little home”—and it’s always the woman at her worst, her most greedy, most possessive, most mean.There’s nothing to be said for the “little home” any more: a great scrabble of ugly pettiness over the face of the land."
"事实上，直到1800年，英格兰人还完全是乡下人，乡土味十足。几个世纪以来，英格兰一直都有城镇，但那从来都不是真正的城镇，只是一排排由街道连起的村庄，那从来也算不得是真正的城市。英格兰人的性格并未真正发展出人城市性的一面，即市民性的一面。意大利的锡耶纳是个小地方，但那是个真正的城市，市民们与城市紧密相连。诺丁汉是个大地方，人口正向百万发展，但它只是杂乱的一团。诺丁汉和锡耶纳根本不可同日而语。英格兰人愚蠢地没有成为市民。部分原因是他们“小家”的阻碍，部分则是他们接受了周围环境无可救药的微不足道。按照罗马人的标准，美国的新兴城市比伦敦或曼彻斯特更称得上是真正的城市。过去，就连爱丁堡都比任何英格兰的城镇要更像真正的城市。","As a matter of fact, till 1800 the English people were strictly a rural people—very rural.England has had towns for centuries, but they have never been real towns, only clusters of village streets.Never the real urbs.The English character has failed to develop the real urban side of a man, the civic side.Siena is a bit of a place, but it is a real city, with citizens intimately connected with the city.Nottingham is a vast place sprawling towards a million, and it is nothing more than an amorphous agglomeration.There is no Nottingham, in the sense that there is Siena.The Englishman is stupidly undeveloped as a citizen.And it is partly due to his “little home” stunt, and partly to his acceptance of hopeless paltriness in his surrounding.The new cities of America are much more genuine cities, in the Roman sense, than is London or Manchester.Even Edinburgh used to be more of a true city than any town England ever produced."
"“英格兰人的家就是他的城堡”和“我自己的小家”这种可笑而渺小的个人主义已经过时了。差不多1800年之前它可能还管用，那时候英格兰人都还是乡下人、农村汉。但工业制度带来了巨大的变化。不过英格兰人仍然喜欢把自己当成“农村汉”，想着“我的家，我的花园”。但现在这很幼稚。如今，就连农场工人也满心觉着自己是只城市鸟儿。如今，英格兰已经完全工业化了，所以不可避免，英格兰人也已经是彻头彻尾的城市鸟儿了。但他们并不知道如何建造一座城市，如何看待一座城市，如何在一座城市里生活。他们都是些市郊人、伪农村人，都不知道如何成为真正的市民：像罗马市民那样，或像雅典市民那样，甚至像巴黎市民那样，成为真正的市民，直到战争来临。","That silly little individualism of “the Englishman’s home is his castle”—and “my own little home” is out of date.It would work almost up to 1800, when every Englishman was still a villager and a cottager.But the industrial system has brought a great change.The Englishman still likes to think of himself as a “cottager”—“my home, my garden”.But it is puerile.Even the farm-laborer today is psychologically a town-bird.The English are town-birds through and through, today, as the inevitable result of their complete industrialisation.Yet they don’t know how to build a city, how to think of one, or how to live in one.They are all suburban, pseudo-cottagey, and not one of them knows how to be truly urban—the citizen as the Romans were citizens—or the Athenians—or even the Parisians, till the war came."
"这是因为我们一直压抑着自己的群体本能，这一本能能让我们以市民，而非村民的高姿态，骄傲而有尊严地团结在一起。伟大的城市意味着美、尊严与某种辉煌。英格兰人的这一面一直被压抑着，并且令人震惊地被背弃了：英格兰是一片小里小气、乱七八糟、微不足道的房子，而这竟然被称之为“家”。我相信，所有的英格兰人都从内心最深处厌恶自己的小家——女人除外。我们想要的，是一种更高的姿态、更宽广的视野，是某种辉煌、某种庄严，是美、恢弘的美。在这方面，美国人比我们做得好多了。","And this is because we have frustrated that instinct of community which would make us unite in pride and dignity in the bigger gesture of the citizen, not the cottager.The great city means beauty, dignity, and a certain splendour.This is the side of the Englishman that has been thwarted and shockingly betrayed: England is a mean and petty scrabble of paltry dwellings called “homes”.I believe in their heart of hearts all Englishmen loathe their little homes—but not the women.What we want is a bigger gesture, a greater scope, a certain splendour, a certain grandeur, and beauty, big beauty.The American does far better than we, in this."
"100年前，工业化的推进者们竟敢给我的家乡带去那样的丑陋。如今，更骇人听闻的是，工业化的推进者们在英格兰的大地上，胡乱建起绵延数英里、数平方英里的红砖“住宅”，就像可怕的疥癣。","And the promoter of industry, a hundred years ago, dared to perpetrate the ugliness of my native village.And still more monstrous, promoters of industry today are scrabbling over the face of England with miles and square miles of red-brick “homes”, like horrible scabs."
"住在这些红色小型捕鼠笼子里的男人们，就像被夹住的老鼠一样，越来越无助、越来越屈辱，也越来越不满。只有那些卑贱的女人，才会继续喜爱在丈夫眼中不过是鼠笼的小家。","And the men inside these little red rat-traps get more and more helpless, being more and more humiliated, more and more dissatisfied, like trapped rats.Only the meaner sort of women go on loving the little home which is no more than a rat-trap to her man."
"那么，抛弃这一切吧。无论付出什么代价，开始改变吧。别再管工资和行业纷争了。把注意力转向别的地方。把我的家乡拆个精光吧。规划一个核心。确定中心。让美好姿态从这一中心扩散。然后建起高楼大厦，漂亮的高楼大厦，扩展成一个城市中心。再用美来加以装饰。先确保有一个全新的开始。再一个地方一个地方地干下去。造就一个新的英格兰。让小家见鬼去吧！让那些乱七八糟、卑微琐碎和微不足道见鬼去吧。看看大地的轮廓，用足够的高尚，从这里开始建起。英格兰人的心理和精神或许足够健全。但作为辉煌城市的市民，他们比兔子还要卑贱。他们整天为了政治、工资之类的事唠唠叨叨，就像刻薄狭隘的家庭主妇。","Do away with it all, then.At no matter what cost, start in to alter it.Never mind about wages and industrial squabbling.Turn the attention elsewhere.Pull down my native village to the last brick.Plan a nucleus.Fix the focus.Make a handsome gesture of radiation from the focus.And then put up big buildings, handsome, that sweep to a civic centre.And furnish them with beauty.And make an absolute clean start.Do it place by place.Make a new England.Away with little homes!Away with scrabbling pettiness and, paltriness.Look at the contours of the land, and build up from these, with a sufficient nobility.The English may be mentally or spiritually developed.But as citizens of splendid cities they are more ignominous than rabbits.And they nag, nag all the time about politics and wages and all that, like mean narrow housewives."
