"两个骗子","Two Gold Bricks"
"九点的时候，奥利给大家介绍了阿姆斯特朗教授——他继续了伦琴射线的研究，并将其应用在了很多新奇而又富有启发性的实验当中。然后，活动电影放映机的发明者用生活中的惊险场景吸引了他们所有人的注意。随后爱迪生的助手上场，他用图片展示了爱迪生这位“魔术师”的几件绝妙发明。","By nine, Ollie introduces Professor Armstrong, who took up Roentgen’s discovery and applied it in many curious and instructive experiments.The kinetoscope man then engrossed their attention with thrilling scenes of life, and was followed by Edison’s assistant, who presented illustrated demonstrations of several of the “wizard’s” marvelous inventions."
"此时，戴蒙把奥利拉到一边，问道：“阿奇那帮人都到了吗？”","In the meanwhile Damon drew Ollie aside and asked: “Is Archie’s crowd all here?”"
"“是的，只有斯汤顿还没来。不过他收到了电报，此刻应该正穿越康涅狄格州，火速往这里赶呢。”","“Yes, all except Staunton.He has received the telegram and by this time is speeding across Connecticut.”"
"“好！不过，很遗憾咱们不能再等他了。他知道了不会不高兴吧？”","“Good!But I’m sorry we had to get rid of him.Won’t he be angry when he finds it out?”"
"“不会的。”","“Won’t he though.”"
"这个愉快的实验科学之夜，以留声机专家的出场为压轴节目。几句开场白之后——顺便提一下，开场白中提到了逝者声音重现的可能性——他开始布置设备。他从一堆唱片中拿出了一张并将其插入留声机里；通上电后，这个精巧的机器就运转了起来。","To conclude the very enjoyable evening in experimental science, the phonograph specialist was introduced.After a few introductory remarks,in which, incidentally, the possibility of the voice of the dead coming back, was mentioned, he proceeded to arrange his apparatus.Taking one from a number of cylinders and inserting it in the phonograph, he applied the electric current and the delicate machinery was in motion."
"人们听见了一个声音——斯汤顿的声音——正以庄严肃穆的语调，念着一套葬礼致辞。“来自远方的声音”协会的成员们诧异地看着彼此，先是困惑，然后是气愤，可随即又被逗笑了。斯汤顿浑厚而低沉的嗓音从留声机里传了出来，严肃地说教多多少少听起来让听众有些泄气。他对自己的缺点和平凡琐碎的往事批评得多么严厉啊！他已被自己放在天平上称量过，结果发现自己不合格。然后，他将话题转向了自己的朋友们，毫不留情地训斥了他们的愚蠢行为。说得还真多！起初的窃笑和压抑着的笑声变成了持续不断的阵阵狂笑。在周围人给予慈父般的忠告和庄严的祝福，并说完愿灵安息之后，留声机停了下来，群情开始激昂。","A voice—Staunton’s voice—in solemn tones, was heard, preaching a funeral sermon.The members of the “Voice from the Beyond” society looked inquiringly at each other, then in turn, perplexed, indignant, and amused.Staunton’s rich, deep voice ground out of the machine, sternly moralizing in a manner demoralizing to the audience.How he criticized his own vices and trivialities!He had been weighed by himself in the balance and found wanting.Then he turned on his friends and upbraided them unsparingly for their follies.It was rich!Titters and suppressed giggles turned into continued roars of laughter, and when the phonograph ceased, after a bestowal of fatherly advice and solemn benedictions all round and a requiescat in pace, the audience went fairly wild."
"这位专家正要将另外一张盘插入留声机时，“来自远方的声音”协会的成员们陷入了沉思。他们曾草草地检查过最近录入留声机接收器的葬礼演说，里面透露的很多秘密——那些只有在生者死后方可公开的秘密——他们还记得。他们开始胆战心惊。他们不知道下一个会轮到谁，所有人都觉得这是一个卑鄙的诡计。","The specialist was inserting another cylinder and the members of the “Voice from the Beyond” society were doing some hard thinking.There were hasty reviews of sermons preached recently into phonographic receivers, and many imparted secrets—secrets to be made known only after death—were remembered.They became alarmed.They knew not whose turn was next and they were all convinced that it was a scurvy trick."
"留声机再次响起，阿奇的声音传了出来，他在自己的葬礼上慷慨致辞，声音激昂高亢；这时“来自远方的声音”协会的成员们突然涌上小讲台，拿走了所有的唱片。奥利劝诫，戴蒙则假装生气。最后，在一片困惑和诸多质疑之中，戴蒙宣布晚会结束，观众很快便纷纷离场。只有“来自远方的声音”协会的成员们留了下来，准备彻底地讨论一下这件事，并给予即时的回击。","Again the phonograph was started; but when Archie’s voice was heard, soaring in the eloquent lights of his funeral oration, the members of the “Voice from the Beyond” society sprang to the little platform, stopped the machinery, and took possession of the cylinders.Ollie expostulated; Damon feigned indignation.Finally, amid much confusion and many questions, Damon dismissed the audience, which soon departed, with the exception of the “Voice from the Beyond” society, which remained to talk it over and to take summary vengeance."
"奥利既镇静又坚定，令人印象深刻——他俨然一个典型的反派角色。他要求他们为每张唱片付二百五十美金，他就会将唱片奉还。他们拒绝了。他们为什么要付钱？这些唱片本来不就是他们的吗？随后，奥利含糊地谈到复制的唱片说不定可以放在自动售货机里贩卖；谈到要令葬礼演说从纽约的大街小巷以及公共场所走向世界；谈到要把同样的复制唱片赠给已故人士的朋友们；甚至还暗示可以用此做出更多更卑劣的事。","Ollie was cool, determined, dramatic—he would have made a model villain.He demanded two hundred and fifty dollars for the return of each of the cylinders.They refused.Why should they pay?Were they not in possession of the cylinders?Then Ollie talked vaguely of duplicate cylinders, which might find their way into the nickle-in-the-slot [sic] machines; of funeral orations going abroad from every street and public place in New York; of the possibility of disposing of these same duplicates among friends of the late deceased; and ominously hinted of many things decidedly worse."
"“我说，戴蒙，咱们已经还清了萧条时期的社交花费，连本带利，是不是？”","“I say, Damon, we’ve squared up the Doldrums’ racket, with interest, haven’t we?”"
"“怎么可能还没还清。另外，奥利，十乘以二百五十，再减去五百，除以二是多少？”","“Didn’t we though.By the way, Ollie, how much is ten times two hundred and fifty, minus five hundred, divided by two?”"
"“一千！天啊！戴蒙，你真是个策划天才。”","“Ten hundred!By Jove!You’re a brick, Damon, in planning.”"
"“你不也一样，奥利，执行得也不赖。”","“So are you, Ollie, in execution.”"
"“那么咱俩都是天才了，出色的骗子，每人身价都是一千美元。”","“Then we’re both bricks, good gold bricks, worth ten hundred apiece.”"
