"影子溪——《点金术》的引子","Shadow Brook.—Introductory to The Golden Touch"
"“我一个都没答应呢，黄花九轮草，你这个小傻瓜！”尤斯塔斯有点恼火地说，“但是我想你一定已经答应了。这就是赢得美誉的后果！真希望我比真实的我迟钝得多，或者我从来不曾施展过天赋才智的一半；那样的话，我就可以安静舒服地小憩一下了！”","“I did not promise you even one, you foolish little Cowslip!” said Eustace, half pettishly.“However, I suppose you must have it.This is the consequence of having earned a reputation!I wish I were a great deal duller than I am, or that I had never shown half the bright qualities with which nature has endowed me; and then I might have my nap out, in peace and comfort!”"
"然而正如我之前提到的，尤斯塔斯表哥喜欢讲故事，就和孩子们喜欢听故事一样。那时他的思维正处于自由而愉快的状态，并以它自己的活动为乐趣，而且几乎不需要任何外来的刺激促使它运转。","But Cousin Eustace, as I think I have hinted before, was as fond of telling his stories as the children of hearing them.His mind was in a free and happy state, and took delight in its own activity, and scarcely required any external impulse to set it at work."
"这种自发的思维活动和经过多年勤奋训练而日渐成熟的思维是多么不同。这期间由于长期的习惯，辛劳也许不再让人觉得痛苦，一天的工作也许会让人觉得舒坦，尽管其他的事情都被忽视了！然而，这话并不是说给孩子们听的。","How different is this spontaneous play of the intellect from the trained diligence of maturer years, when toil has perhaps grown easy by long habit, and the day’s work may have become essential to the day’s comfort, although the rest of the matter has bubbled away!This remark, however, is not meant for the children to hear."
"不用再次恳求，尤斯塔斯·布赖特就继续讲述了下面这个十分精彩的故事。这个故事可能是他躺着，向上看着一棵参天大树，观察秋天是怎样将每一片绿叶染成纯金般颜色的时候想出来的。而我们看到的变化和尤斯塔斯所讲述的迈达斯的故事一样神奇。","Without further solicitation, Eustace Bright proceeded to tell the following really splendid story.It had come into his mind as he lay looking upward into the depths of a tree, and observing how the touch of Autumn had transmuted every one of its green leaves into what resembled the purest gold.And this change, which we have all of us witnessed, is as wonderful as anything that Eustace told about in the story of Midas."
"点金术","The Golden Touch"
"从前，有一个非常富有的国王，名叫迈达斯。这个国王有一个小女儿，除了我，没有人听说过她，而她的名字，我要么从来不知道，要么是彻底忘记了。因为我比较喜欢给小女孩们起些古怪的名字，所以我决定叫她玛丽戈尔德。","Once upon a time, there lived a very rich man, and a king besides, whose name was Midas; and he had a little daughter, whom nobody but myself ever heard of, and whose name I either never knew, or have entirely forgotten.So, because I love odd names for little girls, I choose to call her Marygold."
"在这个世界上，迈达斯国王最喜欢金子。他之所以对他的皇冠爱不释手，主要是因为皇冠是由珍贵的金子做成的。如果说他有更喜欢的事物，或喜爱程度有金子一半的话，那就是围着爸爸的脚蹬玩得兴高采烈的小女孩了。但是，迈达斯越喜爱他的女儿，他追求和寻找财富的欲望就越强烈。这个愚蠢的人啊！他认为他能为这个心爱的孩子做的最好事情就是给她留下巨额的金光闪闪的硬币，而且是自从有世以来就开始积累的硬币。因此，为了实现这个目的，他花费了所有的心思和时间。假如他碰巧看见落日时分镶满金边的彩霞，他就希望它们是真的金子，而且还可以把它们安全地塞进他坚固的储钱箱里。当小玛丽戈尔德拿着一束毛茛和蒲公英奔跑着去见他时，他经常说：“哦，哦，孩子！如果这些花如它们看上去的那样，是真的金子，它们就值得摘了！”","This King Midas was fonder of gold than of anything else in the world.He valued his royal crown chiefly because it was composed of that precious metal.If he loved anything better, or half so well, it was the one little maiden who played so merrily around her father’s footstool.But the more Midas loved his daughter, the more did he desire and seek for wealth.He thought, foolish man! that the best thing he could possibly do for this dear child would be to bequeath her the immensest pile of yellow, glistening coin, that had ever been heaped together since the world was made.Thus, he gave all his thoughts and all his time to this one purpose.If ever he happened to gaze for an instant at the gold-tinted clouds of sunset, he wished that they were real gold, and that they could be squeezed safely into his strong box.When little Marygold ran to meet him, with a bunch of buttercups and dandelions, he used to say, “Poh, poh, child!If these flowers were as golden as they look, they would be worth the plucking!”"
"然而，当他还年轻、还没有被占有财富的疯狂欲望完全支配之前，迈达斯国王对花特别有鉴赏力。他曾经种植了一个花园，花园里种着花朵最大、最漂亮、最芳香的玫瑰花，任何普通人都不曾见过或闻过。迈达斯过去常常要花上一整天，全神贯注地欣赏它们，深深地呼吸它们的芬芳。这些玫瑰花依然种在花园里，依旧那么大，那么娇艳，那么芳香馥郁，和过去一样。但现在，如果他去看它们的话，那也只是为了计算假设这些数不胜数的玫瑰花瓣是一个个薄薄的金盘子，花园该有多值钱。而且，尽管他曾经喜欢音乐（即使关于他的耳朵有一个荒唐的故事，那就是据说它们长得像驴耳朵），如今，对可怜的迈达斯来说，唯一的音乐只有金币相互碰撞时发出的叮当声了。","And yet, in his earlier days, before he was so entirely possessed of this insane desire for riches, King Midas had shown a great taste for flowers.He had planted a garden, in which grew the biggest and beautifullest and sweetest roses that any mortal ever saw or smelt.These roses were still growing in the garden, as large, as lovely, and as fragrant, as when Midas used to pass whole hours in gazing at them, and inhaling their perfume.But now, if he looked at them at all, it was only to calculate how much the garden would be worth if each of the innumerable rose-petals were a thin plate of gold.And though he once was fond of music (in spite of an idle story about his ears, which were said to resemble those of an ass), the only music for poor Midas, now, was the chink of one coin against another."
"（人们要小心谨慎，才能变得越来越聪明，否则他们总是变得越来越愚蠢）终于，迈达斯变得极其荒唐，他几乎不能忍受看见或碰到任何不是金子的东西。因此，他养成了一个习惯，那就是每天花费很大一部分时间呆在他宫殿地下室一间昏暗沉闷的房间里。这就是他收藏财富的地方。这个阴暗的地洞——比地牢好不到哪去——每当迈达斯想变得特别愉快的时候，他就来这里。他小心翼翼地锁上这里的门之后，会拿起一袋金币，或者一个跟洗脸盆差不多大小的金水杯，要么是一根沉甸甸的金条，或一配克的金子粉末，然后把它们从房间阴暗偏僻的角落移到明亮而纤细的阳光透过地牢般的窗户照射的地方。他珍视这些阳光不是因为别的，仅仅是因为没有阳光，他的财宝就不会闪闪发光。然后，他就会把袋子里的硬币一枚一枚地数；他还向上抛金条，在它落下来时再抓住；他让金子粉末在手指间滤过；他看着金杯抛光的周缘反射出来的自己脸部有趣的映象，自言自语地说：“哦，迈达斯，富有的迈达斯国王，你是个多么幸福的人啊！”然而,可笑的是,他的脸在金杯抛光表面上的映像也在咧着嘴朝他笑。映像似乎意识到他行为的愚蠢，而且有点恶作剧地嘲弄他的意思。","At length (as people always grow more and more foolish, unless they take care to grow wiser and wiser), Midas had got to be so exceedingly unreasonable, that he could scarcely bear to see or touch any object that was not gold.He made it his custom, therefore, to pass a large portion of every day in a dark and dreary apartment, under ground, at the basement of his palace.It was here that he kept his wealth.To this dismal hole—for it was little better than a dungeon—Midas betook himself, whenever he wanted to be particularly happy.Here, after carefully locking the door, he would take a bag of gold coin, or a gold cup as big as a washbowl, or a heavy golden bar, or a peck-measure of gold-dust, and bring them from the obscure corners of the room into the one bright and narrow sunbeam that fell from the dungeon-like window.He valued the sunbeam for no other reason but that his treasure would not shine without its help.And then would he reckon over the coins in the bag; toss up the bar, and catch it as it came down; sift the gold-dust through his fingers; look at the funny image of his own face, as reflected in the burnished circumference of the cup; and whisper to himself, “O Midas, rich King Midas, what a happy man art thou!”But it was laughable to see how the image of his face kept grinning at him, out of the polished surface of the cup.It seemed to be aware of his foolish behavior, and to have a naughty inclination to make fun of him."
"迈达斯称自己是个幸福的人，但他觉得自己还可以更幸福。他永远不会到达幸福的巅峰，除非整个世界都变成他的藏宝室，里面装满属于他自己的闪闪发光的金子。","Midas called himself a happy man, but felt that he was not yet quite so happy as he might be.The very tiptop of enjoyment would never be reached, unless the whole world were to become his treasure-room, and be filled with yellow metal which should be all his own."
"现在，我几乎不需要提醒像你们这样聪明的人，在非常古老的年代，当迈达斯国王还活着的时候，发生了许多事情，如果那些事情发生在我们的时代、我们的国家里，我们一定会认为那是无比神奇的。反过来，现在发生的很多事情，不仅我们觉得奇怪，古代的人也会目瞪口呆。总的来说，我认为我们的时代比古代更异乎寻常；但是，无论怎样，我都必须继续我的故事。","Now, I need hardly remind such wise little people as you are, that in the old, old times, when King Midas was alive, a great many things came to pass, which we should consider wonderful if they were to happen in our own day and country.And, on the other hand, a great many things take place nowadays, which seem not only wonderful to us, but at which the people of old times would have stared their eyes out.On the whole, I regard our own times as the strangest of the two; but, however that may be, I must go on with my story."
"一天，迈达斯国王正像往常一样，在他的藏宝室里自我陶醉。忽然他觉察到一个黑影落在金子堆上，猛地抬头一看，他竟看到明亮而纤细的光束里站着一个陌生人！这是个青年人，有着愉悦的面容，红润的脸颊。不管是迈达斯国王的幻想使这里的一切都蒙上一层金黄色，还是其他什么原因，他都禁不住想象这个陌生人在注视他时，笑容里带着一种金色的光辉。当然，尽管那个身影挡住了阳光，但这些成堆的财宝却比以前更加光彩夺目。那个陌生人在微笑时，即使最偏远的角落都被照得明亮，仿佛在跳跃的火苗或火花的映照下一般。","Midas was enjoying himself in his treasure-room, one day, as usual, when he perceived a shadow fall over the heaps of gold; and, looking suddenly up, what should he behold but the figure of a stranger, standing in the bright and narrow sunbeam!It was a young man, with a cheerful and ruddy face.Whether it was that the imagination of King Midas threw a yellow tinge over everything, or whatever the cause might be, he could not help fancying that the smile with which the stranger regarded him had a kind of golden radiance in it.Certainly, although his figure intercepted the sunshine, there was now a brighter gleam upon all the piled-up treasures than before.Even the remotest corners had their share of it, and were lighted up, when the stranger smiled, as with tips of flame and sparkles of fire."
"因为迈达斯明白，他已经小心地锁上了门，任何凡人的力量都不可能闯入他的藏宝室，于是，他得出结论，他的拜访者一定不是一个普通人。告诉你们他是谁并不重要。那时候，地球还比较年轻，经常有被赋予了超能力的人物出现，他们抱着半是取乐半是严肃的态度沉迷于人类的喜怒哀乐。之前，迈达斯曾经遇见过这种人物，再见到他们中的一个也不会感到意外。那个陌生人相貌确实和蔼可亲，很友好，如果算不上仁慈，也称得上善良，根本没有理由怀疑他有任何一丁点使坏的念头。他很有可能是来帮助迈达斯的。当然除了让他的财宝成倍增长之外，还能帮什么忙呢？","As Midas knew that he had carefully turned the key in the lock, and that no mortal strength could possibly break into his treasure-room, he, of course, concluded that his visitor must be something more than mortal.It is no matter about telling you who he was.In those days, when the earth was comparatively a new affair, it was supposed to be often the resort of beings endowed with supernatural power, and who used to interest themselves in the joys and sorrows of men, women, and children, half playfully and half seriously.Midas had met such beings before now, and was not sorry to meet one of them again.The stranger’s aspect, indeed, was so good-humored and kindly, if not beneficent, that it would have been unreasonable to suspect him of intending any mischief.It was far more probable that he came to do Midas a favor.And what could that favor be, unless to multiply his heaps of treasure?"
"那个陌生人环视着整个房间，当他灿烂的笑容照亮屋里所有的金质物品时，他又转向迈达斯。","The stranger gazed about the room; and when his lustrous smile had glistened upon all the golden objects that were there, he turned again to Midas."
"“你真是个有钱人，迈达斯朋友！”他说，“我怀疑世界上是否还有另一间房子，装着和你煞费苦心在这间房里堆出的一样多的金子。”","“You are a wealthy man, friend Midas!” he observed.“I doubt whether any other four walls, on earth, contain so much gold as you have contrived to pile up in this room.”"
"“我做得很不错——相当不错，”迈达斯不满足地回答，“但是，毕竟，这太微不足道了，要知道积攒这些财宝花费了我一生的时间。如果一个人可以活一千年，也许他就有时间积累财富了！”","“I have done pretty well,—pretty well,” answered Midas, in a discontented tone.“But, after all, it is but a trifle, when you consider that it has taken me my whole life to get it together.If one could live a thousand years, he might have time to grow rich!”"
"“什么！”陌生人惊叫道，“你还不满足？”","“What!” exclaimed the stranger.“Then you are not satisfied?”"
"迈达斯摇摇头。","Midas shook his head."
"“那么请问什么才会使你满足呢？”陌生人问道，“我很愿意了解，仅仅出于好奇而已。”","“And pray what would satisfy you?” asked the stranger.“Merely for the curiosity of the thing, I should be glad to know.”"
"迈达斯停下来，陷入了思考。他有一种预感，这个友善笑容里流露着金子般光彩的陌生人不仅拥有某种可以满足他最大愿望的力量，而且这正是这个陌生人来这里的目的。所以，现在就是发财的时刻，只要他开口，他就能获得脑子里想到的东西，无论是任何可能的还是似乎不可能的东西。所以，他想啊想，想啊想，脑海里堆积了一座又一座金山，但怎么想，都觉得它们不够大。终于，迈达斯国王想到了一个好主意。这个主意似乎真的就像他极其喜爱的金光闪闪的金子一样，绝妙极了。","Midas paused and meditated.He felt a presentiment that this stranger, with such a golden lustre in his good-humored smile, had come hither with both the power and the purpose of gratifying his utmost wishes.Now, therefore, was the fortunate moment, when he had but to speak, and obtain whatever possible, or seemingly impossible thing, it might come into his head to ask.So he thought, and thought, and thought, and heaped up one golden mountain upon another, in his imagination, without being able to imagine them big enough.At last, a bright idea occurred to King Midas.It seemed really as bright as the glistening metal which he loved so much."
"他抬起头，看着陌生人神采奕奕的面孔。","Raising his head, he looked the lustrous stranger in the face."
"“好了，迈达斯，”他的拜访者说，“我知道你终于想到能满足你的东西了。告诉我你的愿望吧。”","“Well, Midas,” observed his visitor, “I see that you have at length hit upon something that will satisfy you.Tell me your wish.”"
"“就是这样的，”迈达斯回答，“我费尽了周折，使出浑身解数才收集了这么一小堆财宝，我厌倦了收集财宝。我希望我触摸到的一切都能变成金子！”","“It is only this,” replied Midas.“I am weary of collecting my treasures with so much trouble, and beholding the heap so diminutive, after I have done my best.I wish everything that I touch to be changed to gold!”"
"陌生人大笑起来，笑声响彻了整个房间，就像迸发的太阳，照亮了整个阴暗的小山谷,那里金黄的秋叶——就像大块小块的金子闪闪发光——在阳光的照射下撒了一地。","The stranger’s smile grew so very broad, that it seemed to fill the room like an outburst of the sun, gleaming into a shadowy dell, where the yellow autumnal leaves—for so looked the lumps and particles of gold—lie strewn in the glow of light."
"“点金术！”他惊叫起来，“你真值得称赞，迈达斯朋友，能想出来这么一个绝妙的主意。但是你肯定这会满足你吗？”","“The Golden Touch!” exclaimed he.“You certainly deserve credit, friend Midas, for striking out so brilliant a conception.But are you quite sure that this will satisfy you?”"
"“怎么不会呢？”迈达斯问。","“How could it fail?” said Midas."
"“会了这种法术，你永远不会后悔？”","“And will you never regret the possession of it?”"
"“你到底想让我说什么？”迈达斯问，“只要让我感到绝对的幸福，我就别无他求了。”","“What could induce me?” asked Midas.“I ask nothing else, to render me perfectly happy.”"
"“那么，就如你所愿吧，”陌生人说着，挥手告别，“明天，太阳升起的时候，你就会发现你自己会点金术了。”","“Be it as you wish, then,” replied the stranger, waving his hand in token of farewell.“To-morrow, at sunrise, you will find yourself gifted with the Golden Touch.”"
"接着，陌生人的身体变得格外耀眼，迈达斯不由自主地闭上眼睛。等到再睁开眼睛的时候，只见到屋内的一束金黄色阳光，还有周围他花费了毕生心血才囤积起来的闪闪发光的珍贵的金子。","The figure of the stranger then became exceedingly bright, and Midas involuntarily closed his eyes.On opening them again, he beheld only one yellow sunbeam in the room, and, all around him, the glistening of the precious metal which he had spent his life in hoarding up."
"那晚，迈达斯是否像往常一样安然入睡，故事里并没有说。无论是睡着还是醒着，他的思想都可能处于兴奋状态，就像孩子得到许诺早上会拥有一件崭新的漂亮玩具一样。总而言之，在山边还没露一点曙光的时候，迈达斯国王就完全睡醒了。他把胳膊伸到床外，开始去摸能够到的东西。他急切地想要证明那个陌生人说过的他已经拥有点金术的诺言是真是假。因此，他把手指放在床边的椅子和其他各种不同的东西上，然而他非常失望地意识到它们没有丝毫变化，和被触摸之前完全一样。的确，他非常担心自己只不过是在梦中遇到了那个金光耀眼的陌生人，或者陌生人只是给他开了个玩笑。如果迈达斯寄予了所有希望，却不得不满足于用通常的方法积攒金子，不能如愿地只要碰一碰就能拥有巨额的财富，那是多么悲惨啊！","Whether Midas slept as usual that night, the story does not say.Asleep or awake, however, his mind was probably in the state of a child’s, to whom a beautiful new plaything has been promised in the morning.At any rate, day had hardly peeped over the hills, when King Midas was broad awake, and, stretching his arms out of bed, began to touch the objects that were within reach.He was anxious to prove whether the Golden Touch had really come, according to the stranger’s promise.So he laid his finger on a chair by the bedside, and on various other things, but was grievously disappointed to perceive that they remained of exactly the same substance as before.Indeed, he felt very much afraid that he had only dreamed about the lustrous stranger, or else that the latter had been making game of him.And what a miserable affair would it be, if, after all his hopes, Midas must content himself with what little gold he could scrape together by ordinary means, instead of creating it by a touch!"
"其实，迈达斯没有看见刚才那会儿天才微亮，天边只有一道鱼肚白。他躺在床上，郁郁寡欢，为自己愿望的落空而遗憾，变得越来越悲伤。直到最早的一束阳光透过窗户射进来，为他头顶上的天花板镶上一层金边。对于迈达斯来说，这束明亮的金黄色阳光似乎是以一种异常的方式折射到白色床罩上的。贴近一看，他又惊又喜，因为发现这个亚麻料床罩似乎已经变成了最耀眼最纯正的金纺织品！点金术果然随着第一束阳光的降临变成了现实！","All this while, it was only the gray of the morning, with but a streak of brightness along the edge of the sky, where Midas could not see it.He lay in a very disconsolate mood, regretting the downfall of his hopes, and kept growing sadder and sadder, until the earliest sunbeam shone through the window, and gilded the ceiling over his head.It seemed to Midas that this bright yellow sunbeam was reflected in rather a singular way on the white covering of the bed.Looking more closely, what was his astonishment and delight, when he found that this linen fabric had been transmuted to what seemed a woven texture of the purest and brightest gold!The Golden Touch had come to him with the first sunbeam!"
"迈达斯欣喜若狂地跳起来，开始在房间里乱跑，路上看到什么就抓起什么。他抓住一根床柱，那根柱子马上就变成一个饰有凹槽的金柱子。他拉开窗帘，以便更好地看清他创造奇迹的壮观场面，他手里的流苏竟变成沉甸甸的——一堆金子。他从桌子上拿起一本书。他刚碰到书，书就变成我们今天经常见到的装订精美而且镶有金边的书籍，但，当他翻弄了一下书页，看啊！书就变成了一捆薄薄的金片，书中的一切承载着智慧的字迹都变得难以辨认。他迅速穿上衣服，却惊喜的发现自己穿着一套富丽堂皇的黄金盛装。尽管这衣服让他感觉有些沉重，但是还保留着它本有的灵活和柔软。他掏出小玛丽戈尔德为他缝了边的手帕。它同样变成了金子，四周虽留着心爱的孩子缝制的整齐漂亮的针脚，却是用金线缝起来的！","Midas started up, in a kind of joyful frenzy, and ran about the room, grasping at everything that happened to be in his way.He seized one of the bed-posts, and it became immediately a fluted golden pillar.He pulled aside a window-curtain, in order to admit a clear spectacle of the wonders which he was performing; and the tassel grew heavy in his hand,—a mass of gold.He took up a book from the table.At his first touch, it assumed the appearance of such a splendidly bound and gilt-edged volume as one often meets with, nowadays; but, on running his fingers through the leaves, behold! it was a bundle of thin golden plates, in which all the wisdom of the book had grown illegible.He hurriedly put on his clothes, and was enraptured to see himself in a magnificent suit of gold cloth, which retained its flexibility and softness, although it burdened him a little with its weight.He drew out his handkerchief, which little Marygold had hemmed for him.That was likewise gold, with the dear child’s neat and pretty stitches running all along the border, in gold thread!"
"不知道为什么，手帕的这一变化并没有让迈达斯国王感到高兴。他宁愿小女儿的针线活和当初她爬上他的膝盖放到他手里的一样。","Somehow or other, this last transformation did not quite please King Midas.He would rather that his little daughter’s handiwork should have remained just the same as when she climbed his knee and put it into his hand."
"但是，他不值得为这点小事恼火。这会儿，迈达斯从口袋里掏出眼镜，戴在鼻子上，以便将周围的事物看得更清楚。那个年代，还没有发明老百姓戴的眼镜，但国王早就戴上了，不然，迈达斯怎么会有一副呢?然而，令他困惑的是，即使是这么好的眼镜，他发现自己透过眼镜什么都看不见。但是，这是世界上最正常不过的事情了，因为，他把眼镜摘下来一看，透明的水晶眼镜变成了黄色的金属片。当然了，虽然和金子一样珍贵，但作为眼镜，它已经毫无价值。这给迈达斯带来很大不便，因为无论多么有钱，他永远都不能再买一副可以用的眼镜了。","But it was not worthwhile to vex himself about a trifle.Midas now took his spectacles from his pocket, and put them on his nose, in order that he might see more distinctly what he was about.In those days, spectacles for common people had not been invented, but were already worn by kings; else, how could Midas have had any?To his great perplexity, however, excellent as the glasses were, he discovered that he could not possibly see through them.But this was the most natural thing in the world; for, on taking them off, the transparent crystal turned out to be plates of yellow metal, and, of course, were worthless as spectacles, though valuable as gold.It struck Midas as rather inconvenient that, with all his wealth, he could never again be rich enough to own a pair of serviceable spectacles."
"“但是，没什么大不了的，”他富有哲理地自言自语道，“我们不能期待完美无缺，连这么点小小的瑕疵都没有吧。","“It is no great matter, nevertheless,” said he to himself, very philosophically.“We cannot expect any great good, without its being accompanied with some small inconvenience."
"我的眼睛还是能满足日常需要的，小玛丽戈尔德很快就会长大读书给我听。”","My own eyes will serve for ordinary purposes, and little Marygold will soon be old enough to read to me.”"
"聪明的迈达斯国王为他的巨额财富欣喜若狂，似乎整个宫殿都容不下他了。于是，他微笑着走下楼梯，看着往下走时手扶过的楼梯栏杆变成了一条闪闪发光的金子。他拉起门闩（刚才门闩还是黄铜的，但拿开手指时，就变成了金子），然后进入花园。正如所料到的，他在这里看见了许多盛开的漂亮玫瑰花，还有其他许多处在各种花期惹人喜爱的花蕾和花朵。它们的芳香在清晨的微风中更加沁人心脾。娇嫩的红灿灿的花朵是世界上最漂亮的风景之一，它们看起来那么柔美、朴素、恬静。","Wise King Midas was so exalted by his good fortune, that the palace seemed not sufficiently spacious to contain him.He therefore went downstairs, and smiled, on observing that the balustrade of the staircase became a bar of burnished gold, as his hand passed over it, in his descent.He lifted the door-latch (it was brass only a moment ago, but golden when his fingers quitted it), and emerged into the garden.Here, as it happened, he found a great number of beautiful roses in full bloom, and others in all the stages of lovely bud and blossom.Very delicious was their fragrance in the morning breeze.Their delicate blush was one of the fairest sights in the world; so gentle, so modest, and so full of sweet tranquillity, did these roses seem to be."
"但在迈达斯脑海里，他知道一种让它们变得更加珍贵的方法。因此，他不厌其烦地从一簇花到另一簇花，直到每一朵花、每个花蕾都被他不辞辛苦地施展过神奇的点金术，甚至有些花心里的虫子都变成了金子。当这项伟大的工程完成时，下人通知迈达斯国王该吃早餐了。早晨的空气让他胃口大开，所以他迅速地赶回宫殿了。","But Midas knew a way to make them far more precious, according to his way of thinking, than roses had ever been before.So he took great pains in going from bush to bush, and exercised his magic touch most indefatigably; until every individual flower and bud, and even the worms at the heart of some of them, were changed to gold.By the time this good work was completed, King Midas was summoned to breakfast; and as the morning air had given him an excellent appetite, he made haste back to the palace."
"我真的不知道，在迈达斯的年代，国王的早餐都有些什么，但现在也不能停下来调查。然而，我相信，在这个特殊的早晨，为迈达斯准备的早餐包括热腾腾的糕点、一些可爱的小溪鲑、烤土豆、刚煮熟的鸡蛋还有咖啡，为他女儿玛丽戈尔德准备的是一碗牛奶和面包。不管怎样，这是一份适合摆在国王面前的早餐；而且，不管他吃过没有，迈达斯都不可能有比这更美味的早餐了。","What was usually a king’s breakfast in the days of Midas, I really do not know, and cannot stop now to investigate.To the best of my belief, however, on this particular morning, the breakfast consisted of hot cakes, some nice little brook trout, roasted potatoes, fresh boiled eggs, and coffee, for King Midas himself, and a bowl of bread and milk for his daughter Marygold.At all events, this is a breakfast fit to set before a king; and, whether he had it or not, King Midas could not have had a better."
