"警讯","The Warning"
"“可是，不附上解码的方法，密信能有什么用处呢？”","“But what is the use of a cipher message without the cipher?”"
"“就这个例子来说，一点儿用处也没有。”","“In this instance, none at all.”"
"“你为什么要强调‘就这个例子来说’呢？”","“Why do you say ‘in this instance’?”"
"“原因在于，我可以轻而易举地解读很多密码，就跟解读报纸私人启事栏里的那些天方夜谭一样简单：解读那些粗糙的密码只是一种有趣的消遣，算不上一种智力上的负担。眼前的这个例子就不同了，这些符号显然是代表着某本书某一页当中的词语，不知道具体是哪本书哪一页的话，我是完全奈它们不何的。”","“Because there are many ciphers which I would read as easily as I do the apocrypha of the agony column: such crude devices amuse the intelligence without fatiguing it. But this is different. It is clearly a reference to the words in a page of some book. Until I am told which page and which book I am powerless.”"
"“可是，信里面为什么又有 ‘Douglas’（道格拉斯）和‘Birlstone’（伯尔斯通）这样的词语呢？”","“But why ‘Douglas’ and ‘Birlstone’?”"
"“当然是因为那一页当中找不出这两个词来。”","“Clearly because those are words which were not contained in the page in question.”"
"“那么，他为什么不指明是哪一本书呢？”","“Then why has he not indicated the book?”"
"“单凭你生来就有的精明，亲爱的华生，单凭你那种让朋友们喜闻乐见的固有智术，你也绝不会把解码的方法和密信装进同一个信封。那样的话，信一旦有了闪失，你这个人也就完蛋了。眼下呢，除非是两封信都有了闪失，否则就不会造成任何危险。我说，咱们的第二班邮差应该已经到了才对啊，不出意外的话，邮差送来的要么是一封补充说明的信件，要么就是与这些数字相关的那本书，书的可能性还要大一些。”","“Your native shrewdness, my dear Watson, that innate cunning which is the delight of your friends, would surely prevent you from inclosing cipher and message in the same envelope. Should it miscarry, you are undone. As it is, both have to go wrong before any harm comes from it. Our second post is now overdue, and I shall be surprised if it does not bring us either a further letter of explanation, or, as is more probable, the very volume to which these figures refer.”"
"一两分钟之内，福尔摩斯的预测就得到了验证。我们的小听差比利[^5]走进房间，送来了我们正在等待的那封信。","Holmes’s calculation was fulfilled within a very few minutes by the appearance of Billy, the page, with the very letter which we were expecting."
"“同样的笔迹，”他一边说，一边把信拆开，“而且实实在在地署上了名字，”他展开信纸，兴高采烈地补了一句。“过来看看，华生，看看咱们的进展。”不过，读完信之后，他的脸上罩上了一层乌云。","“The same writing,” remarked Holmes, as he opened the envelope, “and actually signed,” he added in an exultant voice as he unfolded the epistle. “Come, we are getting on, Watson.” His brow clouded, however, as he glanced over the contents."
"“天哪，这可真是太叫人失望了！要我说，华生，咱们恐怕是白等了一场。波洛克这家伙可别出什么事儿啊。他的信是这么写的：","“Dear me, this is very disappointing! I fear, Watson, that all our expectations come to nothing. I trust that the man Porlock will come to no harm."
"> “亲爱的福尔摩斯先生：","> “Dear Mr. Holmes [he says]:"
"> 这事情我不打算接着干了。太危险了——他对我起了疑心。我看得出来，他对我起了疑心。我刚刚写好这封信的信封，打算把解码的线索寄给你，他已经出其不意地出现在了我的面前。好在我把信给盖住了，要是被他瞧见的话，我可就吃不了兜着走啦。可是，我已经看到了他怀疑的眼神。把那封密信烧了吧，眼下你拿着它也没用了。","> I will go no further in this matter. It is too dangerous—he suspects me. I can see that he suspects me. He came to me quite unexpectedly after I had actually addressed this envelope with the intention of sending you the key to the cipher. I was able to cover it up. If he had seen it, it would have gone hard with me. But I read suspicion in his eyes. Please burn the cipher message, which can now be of no use to you."
"> 弗雷德 ·波洛克”","> FreD Porlock.”"
"福尔摩斯皱着眉头坐了一小会儿，把信拿在手里揉来揉去，眼睛直勾勾地盯着炉火。","Holmes sat for some little time twisting this letter between his fingers, and frowning, as he stared into the fire."
"“说来说去，”他终于开了口，“兴许他并没有受到怀疑，不过是自己心虚而已。他清楚自己的叛徒身份，自然会在对方的眼睛里看到谴责的神色。 ”","“After all,” he said at last, “there may be nothing in it. It may be only his guilty conscience. Knowing himself to be a traitor, he may have read the accusation in the other’s eyes.”"
"“你说的‘对方’，应该就是莫里亚蒂教授吧。”","“The other being, I presume, Professor Moriarty.”"
"“如假包换！他们那帮人嘴里的‘他’，不用问你也知道是谁。凌驾于他们所有人之上的，只有这么一个‘他’。”","“No less! When any of that party talk about ‘He’ you know whom they mean. There is one predominant ‘He’ for all of them.”"
"“可是，他究竟能把波洛克怎么样呢？”","“But what can he do?”"
"“哼！你这个问题问得真好。他拥有全欧洲数一数二的头脑，所有的黑暗势力都听凭他的差遣，有这样的一个人跟你作对，什么样的事情都有可能发生。不管怎么样，咱们的波洛克老兄反正已经被他吓得灵魂出窍——麻烦你拿信封上的笔迹跟信纸上的笔迹作个对比，按波洛克的说法，信封是在那个丧门星到来之前写的。前一种笔迹又清晰又肯定，后一种呢，差不多都要没法认了。”","“Hum! That’s a large question. When you have one of the first brains of Europe up against you, and all the powers of darkness at his back, there are infinite possibilities. Anyhow, Friend Porlock is evidently scared out of his senses—kindly compare the writing in the note to that upon its envelope; which was done, he tells us, before this ill-omened visit. The one is clear and firm. The other hardly legible.”"
"“那他干吗还写第二封信呢？索性就此罢手不是更好吗？”","“Why did he write at all? Why did he not simply drop it?”"
"“他担心要是不作解释的话，我就会跑去追查这件事情，没准儿会让他惹上麻烦。”","“Because he feared I would make some inquiry after him in that case, and possibly bring trouble on him.”"
"“那倒也是，”我说道。“确实如此。”我已经拿起了最初的那封密信，这会儿便皱着眉头看了起来。“想到这张纸片承载着一个重大的秘密，又想到纸上的密码超出了凡人所能破解的范围，简直会让人急出疯病来呢。”","“No doubt,” said I. “Of course.” I had picked up the original cipher message and was bending my brows over it. “It’s pretty maddening to think that an important secret may lie here on this slip of paper, and that it is beyond human power to penetrate it.”"
"歇洛克·福尔摩斯已经推开一口没尝的早餐，点上了不甚可口的烟斗，那是他专注思考之时的必有良伴。“我看不见得！”他一边说，一边往椅子上一靠，目光定在了天花板上。“说不定，尽管你拥有马基雅维利[^6]一般的头脑，信里的一些东西还是逃过了你的注意。好了，咱们不妨通过纯粹的演绎来解决这个问题。这个人的密码钥匙是一本书，这就是咱们的演绎起点。”","Sherlock Holmes had pushed away his untasted breakfast and lit the unsavoury pipe which was the companion of his deepest meditations. “I wonder!” said he, leaning back and staring at the ceiling. “Perhaps there are points which have escaped your Machiavellian intellect. Let us consider the problem in the light of pure reason. This man’s reference is to a book. That is our point of departure.”"
"“这个起点多少有点儿宽泛啊。 ”","“A somewhat vague one.”"
"“那咱们就想想办法，看看能不能把它收窄一点儿。仔细想来，我觉得它也不是那么难于破解。关于这本书，咱们有一些什么样的提示呢？”","“Let us see then if we can narrow it down. As I focus my mind upon it, it seems rather less impenetrable. What indications have we as to this book?”"
"“什么也没有。 ”","“None.”"
"“好啦，好啦，情况绝对没有糟糕到这种地步。密信的开头是一个大大的‘534’，对吧？咱们不妨假定，534就是与密信相关的那一页的页码。由此可知，这本书必然是一部大部头，这么着，咱们就算是有了一点儿进展。关于这本大部头，咱们还有些什么提示呢？接下来的标记是‘C2’。这你怎么看呢，华生？”","“Well, well, it is surely not quite so bad as that. The cipher message begins with a large 534, does it not? We may take it as a working hypothesis that 534 is the particular page to which the cipher refers. So our book has already become a *large* book, which is surely something gained. What other indications have we as to the nature of this large book? The next sign is C2. What do you make of that, Watson?”"
"“意思是第二章，错不了。 ”","“Chapter the second, no doubt.”"
"“多半不是，华生。依我看，你肯定会同意我的看法，既然已经有了页码，再指明章节未免有点儿多余。再说了，如果第534页才到第二章的话，第一章的长度一定达到了让人忍无可忍的地步。”","“Hardly that, Watson. You will, I am sure, agree with me that if the page be given, the number of the chapter is immaterial. Also that if page 534 finds us only in the second chapter, the length of the first one must have been really intolerable.”"
"“第二栏！[^7]我大叫一声。","“Column!” I cried."
"“聪明啊，华生，今天早上你可真是灵光四射。如果这不是指第二栏的话，那我就算是栽了一个大跟头。好了，你瞧，咱们眼前已经出现了一本双栏排印的大部头，每一栏都相当长，因为密信当中指明了一个序号是二百九十三的词语。到这个地方，咱们的演绎算不算是到了头呢？”","“Brilliant, Watson. You are scintillating this morning. If it is not column, then I am very much deceived. So now, you see, we begin to visualize a large book, printed in double columns, which are each of a considerable length, since one of the words is numbered in the document as the two hundred and ninety-third. Have we reached the limits of what reason can supply?”"
"“要我看，恐怕是到了头。 ”","“I fear that we have.”"
"“你显然是低估了自己的能力。再闪点儿灵光出来吧，亲爱的华生——再让你的灵机动一动！如果这本书不太常见的话，他一定会把它寄给我。可他没有这么做，在计划受挫之前，他的打算只是把关于书的线索装在这个信封里寄给我。他的信里就是这么说的。由此看来，他认为我自个儿也可以轻而易举地找到这本书。这本书他自己有，并且相信我也有。一句话，华生，这是一本十分常见的书。”","“Surely you do yourself an injustice. One more coruscation, my dear Watson—yet another brain-wave! Had the volume been an unusual one, he would have sent it to me. Instead of that, he had intended, before his plans were nipped, to send me the clue in this envelope. He says so in his note. This would seem to indicate that the book is one which he thought I would have no difficulty in finding for myself. He had it—and he imagined that I would have it, too. In short, Watson, it is a very common book.”"
"“你这个推测确实很有道理。”","“What you say certainly sounds plausible.”"
"“这一来，咱们就把搜索目标缩小成了一本双栏排印、十分常见的大部头。”","“So we have contracted our field of search to a large book, printed in double columns and in common use.”"
"“《圣经》！”我发出一声胜利的叫喊。","“The Bible!” I cried triumphantly."
"“很好，华生，很好！只可惜还没有，容我补充一句，好到十分！即便我本人当得起你这句美言，可我实在想象不出，还有哪本书比《圣经》更不可能出现在莫里亚蒂党羽的手边。[^8]再者说，《圣经》的版本千千万万，他不可能假定他那本《圣经》的页码编排跟我这本一样。显而易见，咱们要找的是一本格式统一的书，只有这样，他才可以断定，他那本的 534页就是我这本的534页。","“Good, Watson, good! But not, if I may say so, quite good enough! Even if I accepted the compliment for myself, I could hardly name any volume which would be less likely to lie at the elbow of one of Moriarty’s associates. Besides, the editions of Holy Writ are so numerous that he could hardly suppose that two copies would have the same pagination. This is clearly a book which is standardized. He knows for certain that his page 534 will exactly agree with my page 534.”"
"“这样的书很少啊。”","“But very few books would correspond with that.”"
"“一点儿不错。咱们的希望就在这里。好了，咱们的目标已经进一步缩小，变成了一本人人都会有的标准化书籍。”","“Exactly. Therein lies our salvation. Our search is narrowed down to standardized books which anyone may be supposed to possess.”"
"“《列车时刻表》！[^9]”","“Bradshaw!”"
"“这也是讲不通的，华生。《列车时刻表》使用的词汇固然简洁有力，数量却十分有限。它提供的那些词汇很难用来传递其他类型的讯息。咱们得把《列车时刻表》排除在外，词典嘛，恐怕也不能接受，原因跟《列车时刻表》一样。还剩什么呢？”","“There are difficulties, Watson. The vocabulary of Bradshaw is nervous and terse, but limited. The selection of words would hardly lend itself to the sending of general messages. We will eliminate Bradshaw. The dictionary is, I fear, inadmissible for the same reason. What then is left?”"
"“年鉴！”","“An almanac!”"
"“好极了，华生！这次你要还没猜中的话，那我就真是大错特错了。年鉴！咱们来考虑一下《惠特克年鉴》[^10]的入选资格吧。它十分常见，页码足够多，双栏排印，前面部分的词汇量虽然有限，靠近结尾的部分呢，如果我没记错的话，词汇还是相当丰富的。”他从自己的写字台上拿起了那本年鉴。“喏，这就是534页，第二栏，我看到了，是一篇字数很多的文章，讲的是英属印度的贸易和资源。把这些词写下来，华生！第十三个词是‘Mahratta’（马拉塔）[^11]。要我说，这个头开得不怎么吉利啊。第一百二十七个词是‘Government’（政府），这个词总算有点儿意义，话说回来，它似乎跟咱们和莫里亚蒂教授都扯不上什么关系。咱们接着往下看吧。马拉塔政府干了些什么呢？哎唷！下一个词是‘pig’s-bristles’（猪鬃）。咱们完了，我的好华生啊！没戏唱了！”","“Excellent, Watson! I am very much mistaken if you have not touched the spot. An almanac! Let us consider the claims of Whitaker’s Almanac. It is in common use. It has the requisite number of pages. It is in double column. Though reserved in its earlier vocabulary, it becomes, if I remember right, quite garrulous towards the end.” He picked the volume from his desk. “Here is page 534, column two, a substantial block of print dealing, I perceive, with the trade and resources of British India. Jot down the words, Watson! Number thirteen is ‘Mahratta.’ Not, I fear, a very auspicious beginning. Number one hundred and twenty-seven is ‘Government’; which at least makes sense, though somewhat irrelevant to ourselves and Professor Moriarty. Now let us try again. What does the Mahratta government do? Alas! the next word is ‘pig’s-bristles.’ We are undone, my good Watson! It is finished!”"
"他说话的口气虽然轻松俏皮，抽动的浓眉却让他心里的失望和懊恼暴露无遗。我无可奈何地坐在那里，闷闷不乐地盯着炉火。一段漫长的沉默之后，福尔摩斯突然大叫一声，冲到一个橱柜跟前，从里面拿出了另一本黄色封皮的《惠特克年鉴》。","He had spoken in jesting vein, but the twitching of his bushy eyebrows bespoke his disappointment and irritation. I sat helpless and unhappy, staring into the fire. A long silence was broken by a sudden exclamation from Holmes, who dashed at a cupboard, from which he emerged with a second yellow-covered volume in his hand."
"“咱们赶潮流赶得太快，华生，这回可算是有教训了！”他高声说道。“咱们走在了时间的前面，活该受这样的惩罚。眼下才一月七号，咱们就应时应节地弄来了一本新年鉴。十有八九，波洛克写信的时候用的还是旧年鉴。毫无疑问，如果能把那封提示信件写出来的话，他肯定会把这一点讲清楚的。好了，咱们来看一看，这一本的534页给咱们准备了一些什么货色。第十三个词是‘There’（今），看着可比上一次的希望大多了。第一百二十七个词是‘is’（有）——‘There is’（今有）”——福尔摩斯的眼睛闪出了兴奋的火花，纤长有力的手指抖抖索索地数着文章里的词汇——“‘danger’（祸患）。哈！哈！妙极了！赶紧写下来，华生。‘There is danger——may——come——very——soon——one’（今有祸患，旦夕将临），然后是‘ Douglas’这个名字，再往后是‘rich——country——now——at——Birlstone——House——Birlstone——confidence——is——pressing’。[^12]瞧啊，华生！你说说看，纯粹演绎的效果怎么样？如果蔬菜铺子里有桂冠这种东西卖的话，我这就打发比利去给我买一顶。”","“We pay the price, Watson, for being too up-to-date!” he cried. “We are before our time, and suffer the usual penalties. Being the seventh of January, we have very properly laid in the new almanac. It is more than likely that Porlock took his message from the old one. No doubt he would have told us so had his letter of explanation been written. Now let us see what page 534 has in store for us. Number thirteen is ‘There,’ which is much more promising. Number one hundred and twenty-seven is ‘is’—‘There is’ ”—Holmes’s eyes were gleaming with excitement, and his thin, nervous fingers twitched as he counted the words—“ ‘danger.’ Ha! Ha! Capital! Put that down, Watson. ‘There is danger—may—come—very—soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at—Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson! What do you think of pure reason and its fruit? If the green-grocer had such a thing as a laurel wreath, I should send Billy round for it.”"
"在福尔摩斯解读密信的过程当中，我把一张富士纸摊在自己的膝盖上，草草地记下了他的解读成果。到这会儿，我直愣愣地看着这条古怪的讯息。","I was staring at the strange message which I had scrawled, as he deciphered it, upon a sheet of foolscap on my knee."
"“他表达意思的方式可真是稀奇古怪、乱七八糟！”我说道。","“What a queer, scrambling way of expressing his meaning!” said I."
"“恰恰相反，他把自己的意思表达得非常好，”福尔摩斯说道。“如果你表达意思的词汇只能从孤零零的一栏文字里面选择，当然不可能要什么有什么，总有一部分的意思得靠收信的人自己去揣摩。这封信的主旨已经是清楚得不能再清楚了。有人阴谋算计某个名为道格拉斯的人，不管这个道格拉斯究竟是何方神圣，总之是一个富有的乡绅，就住在信里所说的那个地方。他确信事情万分紧急，只不过没有用‘confident’（确信）这个词，用的是‘confidence’（信任），因为这一栏当中只有这个词跟‘confident’最为接近。这就是咱们的成果——这段小小的演绎确实是有点儿技巧哩！”","“On the contrary, he has done quite remarkably well,” said Holmes. “When you search a single column for words with which to express your meaning, you can hardly expect to get everything you want. You are bound to leave something to the intelligence of your correspondent. The purport is perfectly clear. Some deviltry is intended against one Douglas, whoever he may be, residing as stated, a rich country gentleman. He is sure—‘confidence’ was as near as he could get to ‘confident’— that it is pressing. There is our result—and a very workmanlike little bit of analysis it was!”"
"跟真正的艺术家一样，如果作品没有达到自己的高远期许，福尔摩斯会表现得痛不欲生，同样道理，他也会为自己的得意之作表现出一种不带个人色彩的喜悦。这不，当比利一把推开房门、将苏格兰场的麦克唐纳督察领进房间的时候[^13]，福尔摩斯还在为这一次的成就吃吃地笑个不停呢。","Holmes had the impersonal joy of the true artist in his better work, even as he mourned darkly when it fell below the high level to which he aspired. He was still chuckling over his success when Billy swung open the door and Inspector MacDonald of Scotland Yard was ushered into the room."
"这个故事发生在遥远的十九世纪八十年代末期，那个时候，亚历克·麦克唐纳远不像如今这样举国闻名。当时的他还是警队里的一名年轻成员，不过也很受重用，因为他在奉命侦办的几件案子当中有过突出的表现。他身材高大、骨骼突出，一看就知道膂力过人，而他硕大的脑瓜和炯炯有神的深陷眼睛也以同样一目了然的方式表明，他那两道浓眉背后闪烁着耀眼的智慧火花。他沉默寡言、一板一眼、脾气倔犟，说话带有浓重的阿伯丁[^14]口音。","Those were the early days at the end of the ’80’s, when Alec MacDonald was far from having attained the national fame which he has now achieved. He was a young but trusted member of the detective force, who had distinguished himself in several cases which had been intrusted to him. His tall, bony figure gave promise of exceptional physical strength, while his great cranium and deep-set, lustrous eyes spoke no less clearly of the keen intelligence which twinkled out from behind his bushy eyebrows. He was a silent, precise man with a dour nature and a hard Aberdonian accent."
"在此之前，福尔摩斯已经两次帮助他成功破案，破案的功劳都给了他，福尔摩斯自己的收获仅仅是解决难题的智力享受。有了这样的铺垫，这个苏格兰人自然对这位业余同僚产生了极大的好感和敬重，表现则是他一遇上难题就老实不客气地跑来向福尔摩斯讨教。庸碌凡夫自以为登峰造极，禀赋超卓的人物却可以一眼看出他人的盖世天才，麦克唐纳拥有相当的职业禀赋，足以让他明白，向一个天赋和经验都已经冠绝全欧的人求教，并不是一件有伤颜面的事情。福尔摩斯并不喜欢结交朋友，但却对这个苏格兰大块头格外优待，看到他的时候还笑了起来。","Twice already in his career had Holmes helped him to attain success, his own sole reward being the intellectual joy of the problem. For this reason the affection and respect of the Scotchman for his amateur colleague were profound, and he showed them by the frankness with which he consulted Holmes in every difficulty. Mediocrity knows nothing higher than itself; but talent instantly recognizes genius, and MacDonald had talent enough for his profession to enable him to perceive that there was no humiliation in seeking the assistance of one who already stood alone in Europe, both in his gifts and in his experience. Holmes was not prone to friendship, but he was tolerant of the big Scotchman, and smiled at the sight of him."
"“你可真是只早起的鸟儿，麦克先生，”福尔摩斯说道。“希望老天爷多赏你几只虫子。要我说，你这么早来，恐怕是出了什么乱子吧。”","“You are an early bird, Mr. Mac,” said he. “I wish you luck with your worm. I fear this means that there is some mischief afoot.”"
"“福尔摩斯先生，我是这么想的，如果您把‘恐怕’换成‘但愿’的话，应该会更加符合事实，”督察回答道，脸上带着心照不宣的笑容。“呃，稍微来一口也好，可以挡一挡今天早上的刺骨寒气。不用，我不抽烟，谢谢您。一会儿我就得赶紧上路，因为案发之初的几个钟头再宝贵不过了，这一点您比谁都清楚。不过——不过——”","“If you said ‘hope’ instead of ‘fear,’ it would be nearer the truth, I’m thinking, Mr. Holmes,” the inspector answered, with a knowing grin. “Well, maybe a wee nip would keep out the raw morning chill. No, I won’t smoke, I thank you. I’ll have to be pushing on my way; for the early hours of a case are the precious ones, as no man knows better than your own self. But—but—”"
"督察突然打住话头，直勾勾地盯着桌上的一张纸片，脸上的表情惊愕至极。他看的正是我刚才用过的那张纸，纸上是我草草记下的那一条谜一般的讯息。","The inspector had stopped suddenly, and was staring with a look of absolute amazement at a paper upon the table. It was the sheet upon which I had scrawled the enigmatic message."
"“道格拉斯！”他结结巴巴地说道。“伯尔斯通！这是怎么回事，福尔摩斯先生？嘿，这简直是巫术啊！我的天，这些名字您究竟是从哪儿搞来的呢？”","“Douglas!” he stammered. “Birlstone! What’s this, Mr. Holmes? Man, it’s witchcraft! Where in the name of all that is wonderful did you get those names?”"
"“这是一封密信的内容，基于某种理由，我和华生医生破译了这封密信。可你为什么——这些名字有什么问题吗？”","“It is a cipher that Dr. Watson and I have had occasion to solve. But why—what’s amiss with the names?”"
"督察晕头转向地来回打量着我俩。“问题恰恰是，”他说道，“昨天夜里，伯尔斯通宅邸的道格拉斯先生遭到了惨无人道的谋杀！”","The inspector looked from one to the other of us in dazed astonishment. “Just this,” said he, “that Mr. Douglas of Birlstone Manor House was horribly murdered last night!”"
"歇洛克·福尔摩斯的妙论","Sherlock Holmes Discourses"
"这一刻可谓惊心动魄，而我朋友正是为这样的时刻而生。听到这个惊人消息之后，他的反应不光不能说是震撼，就说是激动都嫌过分。他的特异性情之中并不包含哪怕是一丝残忍的成分，毋庸置疑的是，长期以来的过度刺激已经让他的神经结上了一层茧子。话说回来，即便他的情感确实已经趋于迟钝，他的理性认知却只能说是活跃得出奇。这样一来，督察的这句简短声明让我惊骇不已，而他没有任何表示，脸上只有一种饶有兴趣的沉静表情，仿佛是一位化学家，正在看自己配制的过饱和溶液析出晶体。","It was one of those dramatic moments for which my friend existed. It would be an overstatement to say that he was shocked or even excited by the amazing announcement. Without having a tinge of cruelty in his singular composition, he was undoubtedly callous from long over-stimulation. Yet, if his emotions were dulled, his intellectual perceptions were exceedingly active. There was no trace then of the horror which I had myself felt at this curt declaration; but his face showed rather the quiet and interested composure of the chemist who sees the crystals falling into position from his oversaturated solution."
