"第一章 引言","CHAPTER ONE INTRODUCTION"
"现在必须注意的是，自然之爱提出这些亵渎神灵的主张时，并非是扯于最差的自然状态，而是处在最崇高的自然状态，她于我们的父辈将其形容为""纯洁'或者""高贵""之时。这在情爱方面尤其明显，真诚的、真正具有自我牺牲精神的激情，会以一种似乎是上帝的声音向我们诉说，而纯粹的兽欲或轻锐的性欲却不会如此。这种性欲会用各种方式来腐蚀那些沉溺其中的人，但不会以借用上帝的方式，人们会对这斟青感作出反应，但不会敬重这些情感，即日同挠痒的人不会敬重痒这种感觉一样。愚蠢的女人对娇惯的孩子的一时放纵实际上是一种自我放纵。当这种放纵一直持续时，孩子就变成了一个活生生的玩偶，这与(很大程度上) ""为子而活""的妇女那种深厚而狭隘的奉献相比，这种放纵更不可能""神化""。我也倾向于认为，那种由啤酒和军乐队所激发出来的爱国之情是不会让人们为了祖国做出太大的坏事(也不会做出太大的好事)的。多喝一杯酒，与乐队齐鸣，这种爱国之情很可能就会消失得无影无踪了。","Now it must be noticed that the natural loves make this blasphemous claim not when they are in their worst，but when they are in their best，natural condition; when they are what our grandfathers called ""pure"" or ""noble."" This is especially obvious in the erotic sphere. A faithful and genuinely self-sacriflcing passion will speak to us with what seems the voice of God. Merely animal or frivolous lust will not. It will corrupt its addict in a dozen ways，but not in that way; a man may act upon such feelings but he can not revere them any more than a man who scratches reveres the itch. A silly woman's temporary indulgence，which is really self-indulgence，to a spoiled child-her living doll while the fit lasts — is much less likely to ""become a god"" than the deep，narrow devotion of a woman who (quite really)""lives for her son."" And I am inclined to think that the sort of love for a man's country which is worked up by beer and brass bands will not lead him to do much harm (or much good) for her sake. It will probably be fully discharged by ordering another drink and joining in the chorus."
"当然，这应该在我们预料之中。我们所有的爱都不会宣称自己是神圣的，直到其宣称变得貌似有理。而在这些爱本身与上帝、与上帝之爱具有一种真正的相似性这种宣称是不会貌似有理的之前。大家这里可别误会了。我们所说的赠予之爱的确是与上帝相似的，并且在所有赠予之爱中，那些最无限的和不知瘟倦的赠予是与上帝最相似的。诗人对赠予之爱的一切咏叹是千真万确的。赠予之爱所表现出的欢乐、活力、耐心、乐于宽恕、为其所爱谋求利益的渴望，所有这一切都是一种真正的和几乎迷人的上帝生命的形象。在这个形象面前，我们应当感谢""赐予人类这些力量""的上帝。实际上，说明白点，我们可以说那些爱得伟大的人是""接近""上帝的，但这当然是""相似之接近""，它本身不会产生""趋向之接近飞这种相似是早已赋予我们的，它与那种缓慢而痛苦的趋近之路是没有必然联系的，因为趋向是需要我们自己去完成的任务(虽然不会毫无援助)。然而，同时，相似性又那么光芒四射，我们才会把相似误认为相同。我们可能把只献给上帝的无条件的忠贞也赋予人类之爱中。这样一来，这些爱就变成了神，也沦为魔鬼。然后这些爱将会把我们毁灭，同时也毁灭自己，因为那些自然之爱在成为神之后便不再是爱了。它们仍然会被称为爱，但事实上却变成了恨的各种复杂形式。","And this of course is what we ought to expect. Our loves do not make their claim to divinity until the claim becomes plausible. It does not become plausible until there is in them a real resemblance to God ，to Love Himself. Let us here make no mistake. Our Gift-loves are really God-like; and among our Gift-loves those are most God-like which are most boundless and unwearied in giving. All the things the poets say about them are true. Their joy，their patience， their patience，their readiness to forgive，their desire for the good of the beloved all this is a real and all but adorable image of the Divine life. In its presence we are right to thank God ""who has given such power to men."" We may say，quite truly and in an intelligible sense，that those who love greatly are ""near"" to God. But of course it is ""nearness by likeness."" It will not of itself produce ""nearness of approach."" The likeness has been given us. It has no necessary connection with that slow and painful approach which must be our own (though by no means our unaided) task. Meanwhile，however，the likeness is a splendour. That is why we may mistake Like for Same. We may give our human loves the unconditional allegiance which we owe only to God.Then they become gods:then they become demons. Then they will destroy us，and also destroy themselves. For natural loves that are allowed to become gods do not remain loves. They are still called so，but can become in fact complicated forms of hatred."
"我们所说的需求之爱或许是贪婪而苛刻的，但这些爱不会以神灵自居。这些爱(从相似性上讲)不够接近上帝，也就不会有此奢求。","Our Need-loves may be greedy and exacting but they do not set up to be gods. They are not near enough (by likeness) to God to attempt that."
"由上可见，对于人类之爱，我们要避免成为盲目崇拜者，也要避免成为""批判者'。对情欲之爱以及""夫妇之爱""的盲目崇拜是十九世纪文学的一个通病。罗伯特·勃朗宁、查尔斯·金斯利以及考文垂·帕特莫尔的作品有时把坠入爱何等同于神圣化。这些作家习惯性地用家庭而非天国作为""尘世""的对照面。而我们的看法恰恰相反。那些批判者把父辈对爱的赞美之词都指责为无病呻吟和多愁善感。他们总是拔起自然之爱沾满泥巴的根茎，将其曝光于众。但我认为，我们不应该听信""聪明绝顶的人，也不应听信愚蠢至极的人。没有最低者也就无所谓最高者。植物不仅需要上面的阳光，还需要下面的根茎，而根茎必定是沾满泥土的。只要把它留在花园中而不是撒在书桌上，那些泥土大都是干净的。人类之爱能够成为上帝之爱的光辉形象，不会达不到这一点，但也决不会有所超越。相似之接近有时会促进趋向之接近，有时也会阻碍趋向之接近。有时或许既不促进它也 不阻碍它。","It follows from what has been said that we must join neither the idolaters nor the ""debunkers"" of human love. Idolatry both of erotic love and of ""the domestic affections"" was the great error of nineteenth-century literature. Browning Kingsley，and Patmore sometimes talk as if they thought that falling in love was the same thing as sanctification; the novelists habitually oppose to ""the World"" not the Kingdom of Heaven but the home. We live in the reaction against this. The debunkers stigmatise as slush and sentimentality a very great deal of what their fathers said in praise of love. They are always pulling up and exposing the grubby roots of our natural loves. But I take it we must listen neither ""to the over-wise nor to the over-follish giant."" The highest does not stand without the lowest. A plant must have roots below as well as sunlight above and roots must be grubby. Much of the grubbiness is clean dirt if only you will leave it in the garden and not keep on sprinkling it over the library table. The human loves can be glorious images of Divine love. No less than that: but also no more — proximities of likeness which in one instance may help，and in another may hinder，proximity of approach. Sometimes perhaps they have not very much to do with it either way."
"第六章 仁爱","CHAPTER SIX CHARITY"
"威廉·莫里斯曾写过一首诗，叫作《爱已足够》。据说有人曾简要地对它作出评论""还不够""。这就是这本书的任务。自然之景不是自给自足的。有一种东西，一开始被粗略地描述为""礼貌和常识""，随后表现为善良，最后在特定的关系中表现为基督徒的全部生活，这种东西，最终要对纯粹的感觉有所帮助，如果那种感觉想要保持甜蜜的话。","William Morris wrote a poem called ""Love Is Enough"" and someone is said to have reviewed it briefly in the words ""It isn't."" Such has been the burden of this book. The natural loves are not self-sufficient. Something else，at first vaguely described as ""decency and common sense，""but later revealed as goodness，and finally as the whole Christian life in one particular relation，must come to the help of the mere feeling if the feeling is to be kept sweet."
"这样说并非要贬低自然之爱，而是要表明其真正的光芒所在。说一个花园不会自己围篱笆和锄萃，不会修剪自己的果树，不会自己修剪草坪，这绝不是对花园的轻蔑。花园是好东西但这不是它所拥有的那种美德。只有人对它做所有上面提到的那些事情，它才能保持花园的样子，与荒野有所区别。它真正的光辉是与众不同的。它需要不断除草和修剪，这个事实就见证了那种光芒。它充满了生命力。它光芒灿烂，带着天堂的气味，每个小时都会散发出夏日的美丽，这是人决不可能创造的，甚至是不能在他们自身心智的基础上，想象出来的。如果你想要看清花园和园丁的贡献之间的区别，就把花园里最普通的草放在锄头、靶子、剪刀、除草剂旁边也就相当于你已经把美丽、活力、和丰饶放到了没有生命的、呆板的东西旁边了。正是如此，我们的""礼貌和常识""在爱的温柔旁边显得灰暗和毫无生机。这个花园正值繁盛时，园丁对此的贡献与自然所做的贡献相比，从某种意义上讲仍然是微不足道的。没有从土地上长出的生命，没有从天而降的雨水、光和热，园丁无能为力。他做所有这些事情，仅仅是在这里促进了某种力量和美丽的发展，在那里却阻拦了某种力量和美丽的发展，这些力量和美丽是不同性质的。但是他的那部分努力，虽然很小，却是不可或缺的并且是艰苦的。当上帝创造出一个花园，他派人去管理，并且让那个人服从于他。当上帝在我们的天性花园中播种，并使能够开花结果的爱在那里成长，他派我们的意志力去""装扮""它们。与这些爱相比，我们的意志既枯燥又冷漠，除非上帝的美德像雨水和阳光一样降临，否则意志就达不到目的。但是它勤勉的一一很大程度上负面的一一服务是不可或缺的。如果花园仍像天堂时，还需要这些服务，那么现在当土壤已经变酸而且最坏的杂草看似要在那里茂盛生长时，又得需多少额外的努力啊?但是天堂禁止我们以道学先生和禁欲者的态度来工作。我们修修剪剪时，十分清楚我们正在修剪的东西充满光辉和活力，这是我们的理性意志本身永远不能提供的。释放那种光辉，让它充分变成它想变成的样子，让花园长满参天大树而不是盘根错节的矮藤，让它结满美味的苹果而不是渺果，是我们目的的一部分。","To say this is not to belittle the natural loves but to indicate where their real glory lies. It is no disparagement to a garden to say that it will not fence and weed itself，nor prune its own fruit trees，nor roll and cut its own lawns. A garden is a good thing but that is not the sort of goodness it has. It will remain a garden，as distinct from a wilderness，only if someone does all these things to it. Its real glory is of quite a different kind. The very fact that it needs constant weeding and pruning bears witness to that glory. It teems with life. It glows with colour and smells like heaven and puts forward at every hour of a summer day beauties which man could never have created and could not even，on his own resources，have imagined. If you want to see the difference between its contribution and the gardener's， put the commonest weed it grows side by side with his hoes，rakes，shears， and packet of weed killer; you have put beauty，energy and fecundity beside dead，sterile things. Just so，our ""decency and common sense"" show grey and deathlike beside the geniality of love. And when the garden is in its full glory the gardener's contributions to that glory will still have been in a sense paltry compared with those of nature. Without life springing from the earth, without rain，light and heat descending from the sky，he could do nothing. When he has done all，he has merely encouraged here and discouraged there，powers and beauties that have a different source. But his share，though small，is indispensable and laborious. When God planted a garden He set a man over it and set the man under Himself. When He planted the garden of our nature and caused the f1owering, fruiting loves to grow there，He set our will to ""dress"" them. Compared with them it is dry and cold. And unless His grace comes down，like the rain and the sunshine，we shall use this tool to little purpose. But its laborious-and largely negative — services are indispensable. If they were needed when the garden was still Paradisal，how much more now when the soil has gone sour and the worst weeds seem to thrive on it best? But heaven forbid we should work in the spirit of prigs and Stoics. While we hack and prune we know very well that what we are hacking and pruning is big with a splendour and vitality which our rational will could never of itself have supplied. To liberate that splendour，to let it become fully what it is trying to be，to have tall trees instead of scrubby tangles，and sweet apples instead of crabs，is part of our purpose."
"但是仅仅是一部分而已。因为现在我们必须面对一个我一直推迟讨论的话题。到目前为止，在这本书里几乎没有把我们的自然之爱当作上帝之爱的对手来谈。现在这个问题不能再避而不谈了。我把它推迟到现在有两个原因。","But only part. For now we must face a topic that I have long postponed. Hitherto hardly anything has been said in this book about our natural loves as rivals to the love of God. Now the question can no longer be avoided.There were two reasons for my delay."
"一个原因是一一我已经暗示出来了一一我们大多数人不需要从这个问题入手。一开始，它就很少""切合我们的处境""。对于我们大多数人而言，真正的对手存在于自我和他者之间，而不是存在于他者和上帝之间。当一个人真正的困难在于其尘世之爱尚且不够，把题越尘世之爱的责任强加到他身上，是很危险的。较少地爱我们的同类还幻想这是因为我们正学着去更多地爱上帝，毫无疑问这是非常容易的，但真正的原因可能完全不是这样。我们或许仅仅把""人类本性的衰退错当成了美德的增加""。许多人并不觉得憎恨他们自己的妻子或母亲真的那么难。在一幕杰出的或剧场景中，莫里亚克描绘了其他门徒对上帝这个奇怪的诫命感到惊讶和迷惑，但犹大没有。他欣然接受了。","One — already hinted — is that this question is not the place at which most of us need begin. It is seldom，at the outset，""addressed to our condition."" For most of us the true rivalry lies between the self and the human Other，not yet between the human Other and God. It is dangerous to press upon a man the duty of getting beyond earthly love when his real difficulty lies in getting so far. And it is no doubt easy enough to love the fellow-creature less and to imagine that this is happening because we are learning to love God more，when the real reason may be quite different. We may be only ""mistaking the decays of nature for the increase of Grace."" Many people do not find it really difficult to hate their wives or mothers. M. Mauriac，in a fine scene，pictures the other disciples stunned and bewildered by this strange command，but not Judas. He laps it up easily."
"但是从另一个方面讲，如果这本书较早地强调这种敌对关系也将会是草率的。轻率地宣称我们的爱具备神性，这种说法无需我们如此深刻地讨论也会被驳倒。这些爱证明它们是不配去取代上帝的，因为事实是，没有上帝的帮助，它们甚至不能保持自身，或完成它们所承诺的事情。一个没有了皇帝的支持，甚至无法保全自己较低一等的王位，连小省半年的和平都维持不了的小王子，我们有何必要去证明他不是合法的皇帝呢?即使为了它们自己的缘故，如果想要继续保持它们想要保持的特性，这些爱必须屈从于次耍的地位。它们真实的自由存在于这种束缚中，它们""鞠躬时会更高大""。因为当上帝在人的心里占统治地位时，尽管有时不得不完全去除一些他本有的权威，但是他经常继续在这些地方保持他其他的权威，而且，通过让它们的权威屈服于自己的权威，上帝第一次赋予它一个坚实的基础。爱默生说过：""半神半人消失了以后，神灵就到了。""这是一个非常令人怀疑的格言。更好的说法是""当上帝来临(而且只有那时)，半神半人才能够继续存在气让他们自己决定，他们要么消失，要么变成魔鬼。只有以上帝之名，他们才能够带着美好和安全 ""挥舞他们小小的三叉输""。反叛性的标语""一切为了蛋""事实上却是爱的死亡令(只是处死的日期暂时还未确定)。","But to have stressed the rivalry earlier in this book would have been premature in another way also. The claim to divinity which our loves so easily make can be refuted without going so far as that. The loves prove that they are unworthy to take the place of God by the fact that they cannot even remain themselves and do what they promise to do without God's help. Why prove that some petty princeling is not the lawful Emperor when without the Emperor's support he cannot even keep his subordinate throne and make peace in his little province for half a year? Even for their own sakes the loves must submit to be second things if they are to remain the things they want to be. In this yoke lies their true freedom; they""are taller when they bow."" For when God rules in a human heart，though He may sometimes have to remove certain of its native authorities altogether，He often continues others in their offices and，by subjecting their authority to His，gives it for the first time a firm basis. Emerson has said，""When half-gods go，the gods arrive."" That is a very doubtful maxim. Better say，""When God arrives (and only then) the half-gods can remain."" Left to themselves they either vanish or become demons. Only in His name can they with beauty and security ""wield their little tridents."" The rebellious slogan ""All for love"" is really love's death warrant (date of execution，for the moment，left blank)."
"竞争的问题，由于以上原因而拖延了这么久，现在必须加以探讨。在以往任何时期，除了十九世纪，关于爱的书自始至终都突出竞争这一主题。如果维多利亚时代的人需要有人提醒说爱是不够的，那么更老的神学家总是太声地说(自然的)曼可能太多了。对我们同伴的爱太少了这一危险相比于像崇拜偶像一样爱他们的危险，他们考虑更多的是后者。在每个妻子、母亲、孩子和朋友身上，他们看到了上帝的可能的对手。当然我们的上帝也看到了:（《路加福音》，10：26）","But the question of the rivalry，for these reasons long postponed，must now be treated. In any earlier period，except the nineteenth century，it would have loomed large throughout a book on this subject. If the Victorians needed the reminder that love is not enough，older theologians were always saying very loudly that (natural) love is likely to be a great deal too much. The danger of loving our fellow-creatures too little was less present to their minds than that of loving them idolatrously. In every wife，mother，child and friend they saw a possible rival to God. So of course does Our Lord (Luke XIV，26)."
"有一种方法来阻止我们对同伴过度的爱，但我发现自己不得不一开始就拒绝它。我这样做时有些不安，因为我是在一个伟大的圣人和思想家的著作中看到这种方法的，从他的著作中我受益良多。","There is one method of dissuading us from inordinate love of the fellow-creature which I find myself forced to reject at the very outset. I do so with trembling，for it met me in the pages of a great saint and a great thinker to whom my own glad debts are incalculable."
"圣奥古斯丁描述他的朋友内布利提乌斯的死带给他的那种忧伤时，所用的语言至今仍会令人泪下。(《忏悔录》，4: 10)。接着，他总结出了一个寓意。他说，这是由于把自己的心献给上帝以外的任何东西所带来的后果。所有人都会死。不要让你的幸福建立在你可能会失去的东西之上。如果爱要成为一种祝福，而不是一种痛苦，那么它必须献给唯一永远都不会死去的上帝。","In words which can still bring tears to the eyes，St. Augustine describes the desolation in which the death of his friend Nebridius plunged him (Confessions Ⅳ，10). Then he draws a moral. This is what comes，he says，of giving one's heart to anything but God. All human beings pass away. Do not let your happiness depend on something you may lose. If love is to be a blessing，not a misery，it must be for the only Beloved who will never pass away."
"当然，这非常明智。不要把你的货物放在漏水的船里。不要为你可能会被撵出去的房子花费过多。活着的人中，没有谁比我对这种谨慎的格言反应更自然了。我是信奉安全第一的人。在所有反对爱的论调中，没有比""当心!这会使你受罪""更能吸引我的本性。","Of course this is excellent sense. Don't put your goods in a leaky vessel. Don't spend too much on a house you may be turned out of. And there is no man alive who responds more naturally than 1 to such canny maxims. 1 am a safety-first creature. Of all arguments against love none makes so strong an appeal to my nature as ""Careful! This might lead you to suffering."""
"对于我的本性、脾气来说，是这样的。但对我的良知来说，不是这样的。我对那种吸引力做出反应时，似乎在自己看来离基督有万里之遥。如果我可以肯定什么事情的话，我敢肯定基督的教导决不会肯定我对安全的投入和有限的束缚天生的偏爱。我怀疑在我身上是否存在一种更让他不高兴的东西。有谁能够出于谨慎一一因为安全性(可以这样说)更高一一令人信服地开始去爱上帝呢?谁能够把它包含在爱的缘由里呢？你会以这样的态度选择妻子或朋友(乃至一条狗)吗?在这样估量之前，这个人一定要在爱的世界之外，一切爱的世界之外。情爱，无约束的情爱，比起幸福来说更加偏爱所爱的人，它要比这个更像上帝之爱本身。","To my nature，my temperament，yes. Not to my conscience. When I respond to that appeal 1 seem to myself to be a thousand miles away from Christ. If I am sure of anything 1 am sure that His teaching was never meant to confirm my congenital preference for safe investments and limited liabilities. I doubt whether there is anything in me that pleases Him less. And who could conceivably begin to love God on such a prudential ground-because the security (so to speak is better? Who could even include it among the grounds for loving? Would you choose a wife or a Friend-if it comes to that，would you choose a dog-in this spirit? One must be outside the world of love，of all loves， before one thus calculates. Eros，lawless Eros，preferring the Beloved to happiness，is more like Love himself than this. "
"我认为《忏悔录》中的这一段与其说是圣奥古斯丁的基督教世界，还不如说是他成长时周围高尚的异教哲学氛围的战留物。相对于仁爱来说，它更接近斯多葛学派的""冷漠""或者新柏拉图派的神秘论。我们追随上帝，他为耶路撒冷哭泣，在拉撒路的坟墓前哭泣，他爱众生，不过只从某种特别的意义上他""爱过'一个门徒。对我们来说，圣保罗要比圣奥古斯丁更有权威一一如果巴弗提死去的话，圣保罗没有表示出任何迹象他不应像常人一样感到痛苦，也未流露出任何他不应这样痛苦的感情(《排利门书》，2:27).","I think that this passage in the Confessions is less a part of St. Augustine's Christendom than a hangover from the high-minded Pagan philosophies in which he grew up. It is closer to Stoic ""apathy"" or neo-Platonic mysticism than to charity. We follow One who wept over Jerusalem and at the grave of Lazarus，and，loving all，yet had one disciple whom，in a special sense，he ""loved."" St. Paul has a higher authority with us than St. Augustine-St. Paul who shows no sign that he would not have suffered like a man，and no feeling that he ought not so to have suffered，if Epaphroditus had died(Philem II，27)."
"即使同意预防悲伤是我们最高的智慧，上帝是否会提供这些措施呢?很明显没有。基督最后说道:""为什么离弃我?""","Even if it were granted that insurances against heartbreak were our highest wisdom，does God Himself offer them? Apparently not. Christ comes at last to say ""Why hast thou forsaken me?"""
"圣奥古斯丁所暗示的路线不存在出路。其他路线也不存在。不存在安全的投资。去量，从根本上就是去变得易受伤害。爱一样东西，你的心肯定会受折磨，或许会心碎。如果想要确保心的完整，你不得把自己的心给任何人，甚至是动物。小心地用自己的兴趣和小奢侈把它裹起来；避免所有的纠缠；把它安全地锁在自私的骨灰盒或者棺材里。但是在那个安全的、黑暗的、静止的、也没有空气的一一盒子里它也会发生变化。它不会被破坏，它会变得牢不可破，不可穿透，无可救药。悲剧的替代物，或者至少是对悲剧这一风险的替代物，是被罚下地狱。在天堂外你能够完全脱离爱的所有危险和烦恼的唯一地方就是地狱。","There is no escape along the lines St. Augustine suggests. Nor along any other lines. There is no safe investment. To love at all is to be vulnerable. Love anything，and your heart will certainly be wrung and possibly be broken. If you want to make sure of keeping it intact ，you must give your heart to no one，not even to an animal.Wrap it carefully round with hobbies and little luxuries; avoid all entanglements; lock it up safe in the casket or coffin of your selfishness. But in that casket safe，dark，motionless，airless-it will change. It will not be broken; it will become unbreakable，impenetrable，irredeemable. The alternative to tragedy，or at least to the risk of tragedy，is damnation. The only place outside Heaven where you can be perfectly safe from all the dangers and perturbations of love is Hell. "
"我相信最没有约束的，最放纵的爱耍比自己引起的、自我保护的无爱状态更少地与上帝的意志相对抗。这就像是埋没才能，而且大体上是出于相同的原因。""我知道你是狠心的人。""基督没有教导也不允许我们变得一一即使是在自然爱中一一对自己的幸福更加重视。如果一个人无法对他见过的尘世的爱人毫无算计，那么他更不可能这样对待他没有见过的上帝.我们将拉近与上帝的距离，不是通过试图避免所有爱中固有的苦难，而是通过接受它们并把它们献给上帝;丢弃所有防御的盔甲。如果需要街我们的心，并且如果上帝选择这样作为使我们伤心的方式，那么就这样吧。","I believe that the most lawless and inordinate loves are less contrary to God's will than a self-invited and self-protective lovelessness. It is like hiding the talent in a napkin and for much the same reason. ""I knew thee that thou wert a hard man."" Christ did not teach and suffer that we might become，even in the natural loves，more careful of our own happiness.If a man is not uncalculating towards the earthly beloveds whom he has seen，he is none the more likely to be so towards God whom he has not. We shall draw nearer to God，not by trying to avoid the sufferings inherent in all loves，but by accepting them and offering them to Him; throwing away all defensive armour. If our hearts need to be broken，and if He chooses this as the way in which they should break，so be it."
"肯定正确的是，所有自然的爱都可能是*过度的*。*过度的*不是指""不够小心""，也不是指""太大。""它不是数量词。爱任何人或许都不可能""太多了。""与我们对上帝的爱*相比*我们或许爱他太多了，但正是我们对上帝的爱的渺小，而不是我们对人的爱的伟大，才构成了这种过度的特性。但是即使这样，我们还需要进一步解释。否则我们会给已经在正确的道路上而又对此有所怀疑的人带来麻烦，因为他们无法感觉到对上帝像对尘世的爱人那样的一种明显热烈的感情。人们十分期待一一至少我这样认为一一我们所有人，一直以来能够对上帝怀有热烈的情感。我们必须祈祷，祈求上帝的恩赐。但是我们是爱上帝更多还是爱尘世的爱人更多，就我们基督徒的责任而盲，这个问题不是一个比较两种情感强度的问题.真正的问题是你为哪个(当替换的选择出现时)服务，或者选择哪个，或者把谁放在第一位?你的意愿归根结底会屈服于哪个命令呢?","It remains certainly true that all natural loves can be inordinate. *Inordinate* does not mean ""insufficiently cautious."" Nor does it mean ""too big."" It is not a quantitative term. It is probably impossible to love any human being simply ""too much."" We may love him too much *in proportion* to our love for God; but it is the smallness of our love for God，not the greatness of our love for man，that constitutes the inordinacy. But even this must be refined upon. Otherwise we shall trouble some who are very much on the right road but alarmed because they cannot feel towards God so warm a sensible emotion as they feel for the earthly Beloved. It is much to be wished — at least I think so-that we all，at all times，could. We must pray that this gift should be given us. But the question whether we are loving God or the earthly Beloved ""more""is not，so far as concerns our Christian duty，a question about the comparative intensity of two feelings. The real question is，which (when the alternative comes) do you serve，or choose，or put first? To which claim does your will，in the last resort，yield?"
"正如经常发生的情形，基督自己的话语要比神学家的话更加尖锐但却更加可以忍受。他没有说任何关于提防尘世之爱的话，以免我们可能受到伤害，当世俗的爱阻止我们跟随他时，他说了一些把他们全部踩在脚底下的话，这些话掷地有声.""人到我这里来，若不爱我胜过爱自己的父母、妻子……和自己生命，就不能成为我的门徒。""(《路加福音》，14: 26)","As so often，Our Lord's own words are both far fiercer and far more tolerable than those of the theologians. He says nothing about guarding against earthly loves for fear we might be hurt; He says something that cracks like a whip about trampling them all under foot the moment they hold us back from following Him. ""If any man come to me and hate not his father and mother and wife... and his own life also，he cannot be my disciple"" (Luke XIV，26)."
"但是我们该如何理解*恨*这个词呢？上帝之爱竟然命令我们做通常用恨来表达的事一一命令我们珍爱憎恨的感情，嘲笑其他人的苦难，为伤害他而感到高兴一一这几乎是一种明确的矛盾。我认为基督说""退到我后边去吧""时，从这里所暗含的意义上讲，他""恨""圣彼特。恨一个人就是当所爱的人，不管多么甜蜜、多么可怜地说出恶魔般的建议时，要拒绝，要坚决反对，不做任何让步。耶稣说，一个人要想服务于两个主人，将会""恨""其中一个而""爱""另一个。可以肯定地说，这垦谈论的不仅是憎恨和喜欢的情感。他会忠于、赞成、效力于其中一个而不顾另一个。再考虑一下这句话，""我爱雅各布，我*恨*以扫""(《玛拉基书》，1:2-3)。被称为上帝对以扫的*恨*是如何表现在真实的故事中的呢?一点儿都不像我们可能预料的那样。当然没有任何理由假定以扫没有好的结局，并且成了一个迷失的灵魂；《圣经·旧约》关于这一点和其他地方一样，对于这些事情都没有解释。而且就我们所知，以扫的尘世生活，从每一个普通意义上讲，都远远比雅各布的生活受到更多的祝福。正是雅各布有着一切的失望、羞耻、恐惧和丧亲之痛.但他也拥有以扫所没有的一些东西。他是元老。他将希伯来人的传统延续下来，传递上帝的使命和祝福，成为基督的先辈。对雅各布的""爱""似乎意味着为了更高的使命而接受雅各布，对以扫的""恨""，是对他的拒绝。他被""拒绝""，没有""达到需要的标准""，他在达到目的上被认为是无用的。所以最终我们必须拒绝我们最亲近的人或者取消他们的资格，一旦他们夹在我们和我们对上帝的顺从之间时。天知道，这在他们看来完全就像是恨。我们不能按照我们感觉到的怜悯行事，我们必须对眼泪视而不见，对恳求充耳不闻。","But how are we to understand the word *hate*? That Love Himself should be commanding what we ordinarily mean by hatred-commanding us to cherish resentmen, to gloat over another's misery, to delight in injuring him — is almost a contradiction in terms. I think Our Lord，in the sense here intended，""hated"" St. Peter when he said，""Get thee behind me."" To hate is to reject，to set one's face against，to make no concession to, the Beloved when the Beloved utters，however sweetly and however pitiably，the suggestions of the Devil. A man，said Jesus，who tries to serve two masters，will ""hate"" the one and ""love"" the other. It is not，surely，mere feelings of aversion and liking that are here in question. He will adhere to，consent to，work for，the one and not for the other. Consider again，""I loved Jacob and I *hated* Esau""(Malachi I，2-3). How is the thing called God's ""hatred"" of Esau displayed in the actual story? Not at all as we might expect. There is of course no ground for assuming that Esau made a bad end and was a lost soul; the Old Testament，here as elsewhere，has nothing to say about such matters. And，from all we are told，Esau's earthly life was，in every ordinary sense，a good deal more blessed than Jacob's. It is Jacob who has all the disappointments，humiliations，terrors，and bereavements. But he has something which Esau has not. He is a patriarch. He hands on the Hebraic tradition，transmits the vocation and the blessing，becomes an ancestor of Our Lord. The ""loving"" of Jacob seems to mean the acceptance of Jacob for a high (and painful) vocation; the ""hating"" of Esau，his rejection. He is ""turned down""，fails to ""make the grade，""is found useless for the purpose. So，in the last resort, we must turn down or disqualify our nearest and dearest when they come between us and our obedience to God. Heaven knows，it will seem to them sufficiently like hatred. We must not act on the pity we feel;we must be blind to tears and deaf to pleadings."
"我不会说做到以上这点很难，有些人感觉太简单了，有些人却感觉难得几乎超出了他们的承受力。对所有人都难的事情是要知道什么时候是这种""恨'的时机，出现了。我们的性情会欺骗我们。谦恭和温柔的人一一宠爱妻子的丈夫、顺从的妻子、宠爱孩子的父母、孝顺父母的孩子一一将不会轻易相信恨的时刻到了。独断专行的人带着一种强势人的锐气，会过快酣脯它。这就是为什么将我们的爱置于一个恰当的位置，使恨根本不会出现，是极其重要的。","I will not say that this duty is hard; some find it too easy; some，hard almost beyond endurance. What is hard for all is to know when the occasion for such ""hating"" has arisen. Our temperaments deceive us. The meek and tender-uxorious husbands，submissive wives，doting parents，dutiful children-will not easily believe that it has ever arrived. Self-assertive people，with a dash of the bully in them，will believe it too soon. That is why it is of such extreme importance so to order our loves that it is unlikely to arrive at all. "
"在一个更低的层次上我们可以看到这是怎么发生的，保王党诗人即将参战时对他的情妇说：","How this could come about we may see on a far lower level when the Cavalier poet，going to the wars，says to his mistress: "
"亲爱的，倘若我不更爱荣誉 ","I could not love thee，dear，so much"
"我便不会如此爱你。","Loved I not honour more."
