"焦油博士和羽毛教授的疗法","The System of Dr. Tarr and Prof. Fether"
"“万分抱歉！还望原谅我刚才的怀疑。”我回答道，“但是，您当然知道该怎样原谅我。您对疯人院的出色管理在巴黎是广为称道的。我想可能，您知道——”","“I beg a thousand pardons for the suspicion,” I replied, “but of course you will know how to excuse me.The excellent administration of your affairs here is well understood in Paris, and I thought it just possible, you know—”"
"“知道，知道——别再说了——倒是我自己应该感谢您刚才表现出了值得称道的谨慎。我们很少见到年轻人有如此周到的；因为参观者的轻率，不止一次发生了意外。在我实施先前的疗法时，允许病人们随意溜达，但常常有不明智的来访者使他们过分激动，造成危险。于是，我被迫实施了严格的准入制度，凡是我认为行事不够谨慎的人，都不允许踏入院内。”","“Yes, yes—say no more—or rather it is myself who should thank you for the commendable prudence you have displayed.We seldom find so much of forethought in young men; and, more than once, some unhappy contre-temps has occurred in consequence of thoughtlessness on the part of our visitors.While my former system was in operation, and my patients were permitted the privilege of roaming to and fro at will, they were often aroused to a dangerous frenzy by injudicious persons who called to inspect the house.Hence I was obliged to enforce a rigid system of exclusion; and none obtained access to the premises upon whose discretion I could not rely.”"
"“您实施先前的疗法时！”我重复着他的话，“那么我是不是可以理解成，我之前常听说的‘抚慰疗法’已经不再使用了？”","“While your former system was in operation!” I said, repeating his words—“do I understand you, then, to say that the ‘soothing system’ of which I have heard so much is no longer in force?”"
"“到现在，”他回答道，“我们决定彻底放弃这种疗法已经有几个星期了。”","“It is now,” he replied, “several weeks since we have concluded to renounce it forever.”"
"“是么！您真让我感到惊讶！”","“Indeed! you astonish me!”"
"“我们发现，先生，”他叹了口气说，“回归传统做法是绝对有必要的。抚慰疗法的危险是它始终让人提心吊胆；人们过分高估了它的好处。我相信，先生，我们院对这种疗法进行了一次公正的试验，如果说曾在哪里试验过的话。我们尽己所能做了按人类理性来说应该做的一切。很遗憾您没能早些时候来我们这里参观。那样的话，您就可以自己做出评判。但是我相信您非常熟悉抚慰疗法——包括它的所有细节。”","“We found it, sir,” he said, with a sigh, “absolutely necessary to return to the old usages.The danger of the soothing system was, at all times, appalling; and its advantages have been much overrated.I believe, sir, that in this house it has been given a fair trial, if ever in any.We did every thing that rational humanity could suggest.I am sorry that you could not have paid us a visit at an earlier period, that you might have judged for yourself.But I presume you are conversant with the soothing practice—with its details.”"
"“并非完全如此。我听到的都是几经转述的说法。”","“Not altogether.What I have heard has been at third or fourth hand.”"
"“笼统地说，这种疗法就是极力迁就病人。我们对病人脑子里冒出的任何怪念头都不反对。相反，我们不仅迁就他们，而且还鼓励他们。我们的许多病人就是这样彻底治愈的。任何说理方式都不如归谬法那样能触动病人那脆弱的理性。例如，我们院曾经有病人幻想自己是小鸡。我们的疗法是，坚持把这种念头当作事实——责备病人笨得连这点事实都整不明白——因此，一个星期里只给他适合小鸡吃的东西，别的一概不给。就这样，一点谷物和砂砾，就创造了奇迹。”","“I may state the system, then, in general terms, as one in which the patients were menages-humored.We contradicted no fancies which entered the brains of the mad.On the contrary, we not only indulged but encouraged them; and many of our most permanent cures have been thus effected.There is no argument which so touches the feeble reason of the madman as the argumentum ad absurdum.We have had men, for example, who fancied themselves chickens.The cure was, to insist upon the thing as a fact—to accuse the patient of stupidity in not sufficiently perceiving it to be a fact—and thus to refuse him any other diet for a week than that which properly appertains to a chicken.In this manner a little corn and gravel were made to perform wonders.”"
"“但是，仅靠这种顺应的方法就够了吗？”","“But was this species of acquiescence all?”"
"“当然不够。我们还十分相信简单娱乐活动的作用，比如音乐、舞蹈、一般的体操训练、打牌、某些类别的书籍，等等。我们假装把每个病人当成患有某种普通生理疾病的人，绝口不提‘疯子’二字。重要的一点是安排每个疯子监视所有其他疯子的行动。相信一个疯子的理解力或判断力，其目的就是要把他的全部身心都争取过来。用这样的方法，我们节省了雇佣看护的大笔开支。”","“By no means.We put much faith in amusements of a simple kind, such as music, dancing, gymnastic exercises generally, cards, certain classes of books, and so forth.We affected to treat each individual as if for some ordinary physical disorder, and the word ‘lunacy’ was never employed.A great point was to set each lunatic to guard the actions of all the others.To repose confidence in the understanding or discretion of a madman, is to gain him body and soul.In this way we were enabled to dispense with an expensive body of keepers.”"
"“你们不使用任何惩罚？”","“And you had no punishments of any kind?”"
"“是的。”","“None.”"
"“也从来不关病人禁闭？”","“And you never confined your patients?”"
"“很少。偶尔，某个病人病情恶化，或突然变得狂暴，我们就把他送到一间密室，以免他的错乱感染其他病人。我们把他关在那里，直到可以放他回到他的朋友中间——因为对狂躁的疯子，我们一点法子都没有。他通常会被转到公立医院去。”","“Very rarely.Now and then, the malady of some individual growing to a crisis, or taking a sudden turn of fury, we conveyed him to a secret cell, lest his disorder should infect the rest, and there kept him until we could dismiss him to his friends—for with the raging maniac we have nothing to do.He is usually removed to the public hospitals.”"
"“你们现在改变了这一切——而且您认为是为了取得更好的效果？”","“And you have now changed all this—and you think for the better?”"
"“确实如此。抚慰疗法有它的弊端，甚至是存在危险性。令人高兴的是，现在法国的所有私立医院都摈弃了这一疗法。”","“Decidedly.The system had its disadvantages, and even its dangers.It is now, happily, exploded throughout all the Maisons de Sante of France.”"
"“听您这么说，”我说道，“我真是很吃惊。我满以为，目前全国各地没有其他治疗疯病的办法。”","“I am very much surprised,” I said, “at what you tell me; for I made sure that, at this moment, no other method of treatment for mania existed in any portion of the country.”"
"“您还年轻啊，我的朋友。”我的主人说，“总有一天，您会学会自己对世上的事务做出判断，而不是相信他人的传言。不要轻信任何您听到的，对亲眼所见的也只能相信一半。就说我们院吧，很显然某个无知之辈误导了您。不过，晚餐后，等您从鞍马劳顿中完全恢复过来，我将很乐意带您到院里四处走走，向您介绍一种疗法。这种疗法，在我和每个见识过其作用的人看来，是迄今发明的最为有效的方法，是举世无双的。”","“You are young yet, my friend,” replied my host, “but the time will arrive when you will learn to judge for yourself of what is going on in the world, without trusting to the gossip of others.Believe nothing you hear, and only one-half that you see.Now about our Maisons de Sante, it is clear that some ignoramus has misled you.After dinner, however, when you have sufficiently recovered from the fatigue of your ride, I will be happy to take you over the house, and introduce to you a system which, in my opinion, and in that of every one who has witnessed its operation, is incomparably the most effectual as yet devised.”"
"“是您自己？” 我探问道，“是您自己的发明吗？”","“Your own?” I inquired—“one of your own invention?”"
"“对此我感到非常骄傲，”他回答道，“是我的发明——至少在某种程度上是。”","“I am proud,” he replied, “to acknowledge that it is—at least in some measure.”"
"就这样，我和马亚尔先生交谈了有一两个小时，期间，他带我参观了院里的花园和温室。","In this manner I conversed with Monsieur Maillard for an hour or two, during which he showed me the gardens and conservatories of the place."
"“眼下，”他说，“我还不能让您见我的病人。对一颗敏感的心而言，看到那些病人总会或多或少有些震惊，而且我不希望破坏您晚餐的食欲。我们就要用晚餐了。我可以给您吃一些圣梅努风味小牛肉，配上白汁花椰菜——然后，喝一杯伏旧园的葡萄酒——这样您的神经就可以变得足够镇定。","“I cannot let you see my patients,” he said, “just at present.To a sensitive mind there is always more or less of the shocking in such exhibitions; and I do not wish to spoil your appetite for dinner.We will dine.I can give you some veal a la Menehoult, with cauliflowers in veloute sauce—after that a glass of Clos de Vougeot—then your nerves will be sufficiently steadied.”"
"六点钟，通知说晚餐已经就绪。主人陪我走进一个大餐厅，里面已经聚集了一大群人——总共有二十五或三十人。看上去他们都是有身份的人——无疑出身高贵——尽管在我看来，他们的服饰过于华丽，颇有几分过去宫廷奢华服装的炫耀成分。我注意到这些客人中女士占了至少有三分之二。她们中有些人的着装打扮一点也不符合当今巴黎人的审美品味。比如说，许多女士已年逾七十，但却打扮得浑身珠光宝气，戴着戒指、手镯和耳环，还不知羞耻地袒露着胸部和胳膊。我还注意到，她们的衣服没有几件做工精细的——或者至少可以说没有几件是合身的。环顾四周，我发现了马亚尔先生在小接待室向我引见过的那个有趣的姑娘。令我惊讶的是，她身穿一件带有鲸骨衬箍的裙子，脚蹬一双高跟鞋，头戴一顶肮脏的布鲁塞尔花边女帽。对她而言，帽子显然过大，把她的脸衬得太小，显得很滑稽。我第一次见到她时，她那一身重孝倒与她非常相配。总之，这群人的穿戴有种怪异的色彩。起初，这让我又想到了原来对“抚慰疗法”的理解，心想，马亚尔先生有意要等到晚餐结束后才告诉我真相，是想让我在用餐期间没什么不舒服的感觉，事后才知道自己是和一群疯子共进晚餐。但是我又想起在巴黎时有人告诉我，南方的乡下人都特别古怪，他们固守着众多陈腐的观念。随后，我和周围的人们交谈起来，我的担心立刻烟消云散了。","At six, dinner was announced; and my host conducted me into a large salle a manger, where a very numerous company were assembled—twenty-five or thirty in all.They were, apparently, people of rank—certainly of high breeding—although their habiliments, I thought, were extravagantly rich, partaking somewhat too much of the ostentatious finery of the vieille cour.I noticed that at least two-thirds of these guests were ladies; and some of the latter were by no means accoutred in what a Parisian would consider good taste at the present day.Many females, for example, whose age could not have been less than seventy were bedecked with a profusion of jewelry, such as rings, bracelets, and earrings, and wore their bosoms and arms shamefully bare.I observed, too, that very few of the dresses were well made—or, at least, that very few of them fitted the wearers.In looking about, I discovered the interesting girl to whom Monsieur Maillard had presented me in the little parlor; but my surprise was great to see her wearing a hoop and farthingale, with high-heeled shoes, and a dirty cap of Brussels lace, so much too large for her that it gave her face a ridiculously diminutive expression.When I had first seen her, she was attired, most becomingly, in deep mourning.There was an air of oddity, in short, about the dress of the whole party, which, at first, caused me to recur to my original idea of the “soothing system,” and to fancy that Monsieur Maillard had been willing to deceive me until after dinner, that I might experience no uncomfortable feelings during the repast, at finding myself dining with lunatics; but I remembered having been informed, in Paris, that the southern provincialists were a peculiarly eccentric people, with a vast number of antiquated notions; and then, too, upon conversing with several members of the company, my apprehensions were immediately and fully dispelled."
"餐厅本身尽管足够舒适，也较为宽敞，却不大雅致。譬如，地板上没铺地毯，不过在法国，地毯并不常用。窗户上也没有挂窗帘，百叶窗关着，被铁条沿对角牢牢固定住了，就像我们普通的商店百叶窗一样。我注意到， 餐厅本身是城堡的侧厅。因此，这个平行四边形的大厅三面开窗，门则开在另外一面。窗户加起来多达十扇。","The dining-room itself, although perhaps sufficiently comfortable and of good dimensions, had nothing too much of elegance about it.For example, the floor was uncarpeted; in France, however, a carpet is frequently dispensed with.The windows, too, were without curtains; the shutters, being shut, were securely fastened with iron bars, applied diagonally, after the fashion of our ordinary shop-shutters.The apartment, I observed, formed, in itself, a wing of the chateau, and thus the windows were on three sides of the parallelogram, the door being at the other.There were no less than ten windows in all."
"餐桌布置奢华。满桌的盘子里盛满了美味佳肴。其奢侈程度的确毫无节制。肉食多得足以喂饱亚衲族人（注：“亚衲族”出自《旧约》，指巨人）。有生以来，我还从未见过如此奢侈铺张、暴殄天物的。然而，整体布置似乎没有什么品味。餐桌上和房间里见缝插针地摆放着银质枝形大烛台，上面无数根蜡烛射出耀眼的光芒，让我习惯于柔和灯光的眼睛感到不舒服。几位殷勤的仆人在伺候我们。房间那头的一张大桌子上，坐着七八个人，手里拿着提琴、横笛、长号和鼓。晚餐过程中，这几个家伙不时弄出各种嘈杂之声，令我很是厌烦。这些噪音，原是作为音乐演奏的，在座的人们好像都陶醉其中，只有我自己是个例外。","The table was superbly set out.It was loaded with plate, and more than loaded with delicacies.The profusion was absolutely barbaric.There were meats enough to have feasted the Anakim.Never, in all my life, had I witnessed so lavish, so wasteful an expenditure of the good things of life.There seemed very little taste, however, in the arrangements; and my eyes, accustomed to quiet lights, were sadly offended by the prodigious glare of a multitude of wax candles, which, in silver candelabra, were deposited upon the table, and all about the room, wherever it was possible to find a place.There were several active servants in attendance; and, upon a large table, at the farther end of the apartment, were seated seven or eight people with fiddles, fifes, trombones, and a drum.These fellows annoyed me very much, at intervals, during the repast, by an infinite variety of noises, which were intended for music, and which appeared to afford much entertainment to all present, with the exception of myself."
"总而言之，我不禁认为我所见的一切都非常怪异荒诞——不过话说回来，世界是由各种各样的人组成的，他们有着不同的思想方式，不同的社会习俗。我游历过太多地方，可以说见怪不怪是我的拿手好戏。于是，我在主人的右手旁泰然而座，放开胃口，津津有味地享用摆在面前的美味佳肴。","Upon the whole, I could not help thinking that there was much of the bizarre about every thing I saw—but then the world is made up of all kinds of persons, with all modes of thought, and all sorts of conventional customs.I had travelled, too, so much, as to be quite an adept at the nil admirari; so I took my seat very coolly at the right hand of my host, and, having an excellent appetite, did justice to the good cheer set before me."
"与此同时，到处响起人们热烈的谈话声。女士们照例说个不停。我很快就发现在座的人们几乎都受过良好的教育；而我的主人本身就充满了非常幽默的轶事。他似乎很乐意谈及他私立医院院长的身份，而且，令我惊讶的是，在座的各位的确都热衷于谈论有关疯子的话题。他们讲了许多有趣的故事，都是有关病人的古怪念头的。","The conversation, in the meantime, was spirited and general.The ladies, as usual, talked a great deal.I soon found that nearly all the company were well educated; and my host was a world of good-humored anecdote in himself.He seemed quite willing to speak of his position as superintendent of a Maison de Sante; and, indeed, the topic of lunacy was, much to my surprise, a favorite one with all present.A great many amusing stories were told, having reference to the whims of the patients."
"“我们这里曾有个病人，”坐在我右手的一个矮胖的绅士说，“他认为自己是只茶壶，顺便问一句，这难道不奇特吗？疯子的脑海里怎么会经常冒出这种怪念头？法国的每一家疯人院几乎都有这么一只人壶。我们的这位先生是一只不大列颠陶瓷茶壶，每天早上会用鹿皮和白垩粉仔细擦拭自己一番。”","“We had a fellow here once,” said a fat little gentleman, who sat at my right,—“a fellow that fancied himself a tea-pot; and by the way, is it not especially singular how often this particular crotchet has entered the brain of the lunatic?There is scarcely an insane asylum in France which cannot supply a human tea-pot.Our gentleman was a Britannia-ware tea-pot, and was careful to polish himself every morning with buckskin and whiting.”"
"“还有，”正对面一个高个子男子说，“不久前，我们这里有个病人非认为自己是头驴——从讽喻的角度来说，您会觉得这话没错。这个病人很烦人，我们费了好大劲才让他规矩下来。有很长一段时间，他除了蓟草什么都不吃。不过我们很快就通过坚持不给他吃任何其他东西的方法将他治愈。然后，他就一刻不停地尥蹶子——就像这样——这样——”","“And then,” said a tall man just opposite, “we had here, not long ago, a person who had taken it into his head that he was a donkey—which allegorically speaking, you will say, was quite true.He was a troublesome patient; and we had much ado to keep him within bounds.For a long time he would eat nothing but thistles; but of this idea we soon cured him by insisting upon his eating nothing else.Then he was perpetually kicking out his heels—so—so—”"
"“德科克先生！拜托您规矩点！”坐在说话者旁边的一位老太太打断了他的话。","“Mr. De Kock! I will thank you to behave yourself!” here interrupted an old lady, who sat next to the speaker. "
"“请不要乱踢！您把我的锦缎衣服都踢脏了！请问，解释一句话需要这么又踢又蹬吗？您不这样比划，我们这位朋友也肯定能明白的。说实在的，您简直就是一头活生生的驴子， 和那位可怜的、不幸的病人想象中的自己一样。您的表演十分到位，真的。”","“Please keep your feet to yourself!You have spoiled my brocade!Is it necessary, pray, to illustrate a remark in so practical a style?Our friend here can surely comprehend you without all this.Upon my word, you are nearly as great a donkey as the poor unfortunate imagined himself.Your acting is very natural, as I live.”"
"“十分抱歉！小姐！”那位被称作德科克的先生回答道，“非常抱歉！我无意冒犯您。拉普拉斯小姐——德科克先生十分荣幸地想与您喝一杯。”","“Mille pardons! Ma’m’selle! replied Monsieur De Kock, thus addressed—“a thousand pardons!”I had no intention of offending.Ma’m’selle Laplace—Monsieur De Kock will do himself the honor of taking wine with you.”"
"这时，德科克先生深鞠一躬，又煞有介事地吻了吻自己的手，然后和拉普拉斯小姐干杯。","Here Monsieur De Kock bowed low, kissed his hand with much ceremony, and took wine with Ma’m’selle Laplace."
"“请允许我，我的朋友，”这时，马亚尔先生对我说，“请允许我给您一小份圣梅努风味小牛肉——您会觉得味道非常鲜美的。”","“Allow me, mon ami,” now said Monsieur Maillard, addressing myself, “allow me to send you a morsel of this veal a la St. Menhoult—you will find it particularly fine.”"
"说话间，三个健壮的侍者恰好把一个巨大的盘子——或者说是一个大木盘安全、顺利地摆上餐桌， 里面盛着的东西在我看来正是维吉尔在《伊尼特》中描述的那种“可怕的、变形的、巨大的瞎眼怪物”。可是，仔细端详一番后，我悬着的心放下了。那不过是一只烤全乳牛，牛呈跪状，嘴里塞着一只苹果，和英国人烤野兔的方式如出一辙。","At this instant three sturdy waiters had just succeeded in depositing safely upon the table an enormous dish, or trencher, containing what I supposed to be the “monstrum horrendum, informe, ingens, cui lumen ademptum.”A closer scrutiny assured me, however, that it was only a small calf roasted whole, and set upon its knees, with an apple in its mouth, as is the English fashion of dressing a hare."
"“谢谢您，我不要。”我回答道，“说实话，我不是特别喜欢圣——圣什么小牛肉——我觉得它不怎么合我的口味。不过，我倒是想换只盘子，来点兔肉尝尝。”","“Thank you, no,” I replied; “to say the truth, I am not particularly partial to veal a la St.—what is it?—for I do not find that it altogether agrees with me.I will change my plate, however, and try some of the rabbit.”"
"桌子上有好几道配菜，里面的东西看上去像是普通的法国兔肉——一道美味的菜肴，能合我的口味。","There were several side-dishes on the table, containing what appeared to be the ordinary French rabbit—a very delicious morceau, which I can recommend."
"“皮埃尔，”主人大声说道，“给这位先生换只盘子来，然后给他来点这种猫肉烩兔肉。”","“Pierre,” cried the host, “change this gentleman’s plate, and give him a side-piece of this rabbit au-chat.”"
"“这种什么？” 我问。","“This what?” said I."
"“这种猫肉烩兔肉。”","“This rabbit au-chat.”"
"“呃，谢谢您——改主意了，不吃它了。我还是自己来点火腿吧。”","“Why, thank you—upon second thoughts, no.I will just help myself to some of the ham.”"
"我暗自思忖，在这些乡下人的餐桌上，你真不知道自己吃的是些什么。我不吃他们的猫肉烩兔肉——同样，也一口不吃他们的兔肉烩猫肉。","There is no knowing what one eats, thought I to myself, at the tables of these people of the province.I will have none of their rabbit au-chat—and, for the matter of that, none of their cat-au-rabbit either."
"“还有，”靠近桌子下首一个面容枯槁的人拾起了刚才断了的话头，“还有，除了其他怪人，我们曾有过一个病人，他固执地认为自己是块科尔多瓦奶酪。他四下走动，手里拿着刀子，恳求他的朋友们从他腿的中部割下一片尝尝。”","“And then,” said a cadaverous looking personage, near the foot of the table, taking up the thread of the conversation where it had been broken off,—“and then, among other oddities, we had a patient, once upon a time, who very pertinaciously maintained himself to be a Cordova cheese, and went about, with a knife in his hand, soliciting his friends to try a small slice from the middle of his leg.”"
"“毫无疑问，他是个十足的傻瓜。”有人插话，“不过远不如某个人，这个人我们都知道，当然这位新来的先生除外。我是说把自己当成一瓶香槟的那位。他总是发出‘砰’的开瓶声，嘶嘶地冒泡，就像这样。”","“He was a great fool, beyond doubt,” interposed some one, “but not to be compared with a certain individual whom we all know, with the exception of this strange gentleman.I mean the man who took himself for a bottle of champagne, and always went off with a pop and a fizz, in this fashion.”"
"说到这里，说话者用我看来非常粗鲁的方式把右手大拇指杵进左面的腮帮子，往外一拔，发出瓶塞拔出时“砰”的声响，然后，舌头在牙齿上灵活地转动，发出类似香槟冒泡时的刺耳的嘶嘶声，这样一直持续了好几分钟。我清楚地看出，这样的行为令马亚尔先生感到不悦，但他什么也没说。一个戴着大号假发的干瘦的小个子男人接着这个话题说了起来。","Here the speaker, very rudely, as I thought, put his right thumb in his left cheek, withdrew it with a sound resembling the popping of a cork, and then, by a dexterous movement of the tongue upon the teeth, created a sharp hissing and fizzing, which lasted for several minutes, in imitation of the frothing of champagne.This behavior, I saw plainly, was not very pleasing to Monsieur Maillard; but that gentleman said nothing, and the conversation was resumed by a very lean little man in a big wig."
"“我们还有过一个白痴，”他说，“他认为自己是只青蛙。顺便说一句，在很大程度上他的确像一只青蛙。我真希望您见过他，先生。”说到这里，他转向我，“您要是看到他那活灵活现的样子，一定会很开心的。先生，如果那个人不是一只青蛙的话，我只能说是一种遗憾了。","“And then there was an ignoramus,” said he, “who mistook himself for a frog, which, by the way, he resembled in no little degree.I wish you could have seen him, sir,”—here the speaker addressed myself—“it would have done your heart good to see the natural airs that he put on.Sir, if that man was not a frog, I can only observe that it is a pity he was not."
"他的蛙鸣声是这样的——咕—呱——咕—呱！是世界上最好听的音调——降B调。当他把双肘像这样放在桌子上——在喝了一两杯酒后——就会鼓起腮帮子，就像这样，翻起眼睛，就像这样，飞快地眨动，就像这样。这就是为什么，先生，我敢肯定地说，您一定会为这个人的天赋惊叹不已——我绝不是在讽刺他。”","His croak thus—o-o-o-o-gh—o-o-o-o-gh! was the finest note in the world—B flat; and when he put his elbows upon the table thus—after taking a glass or two of wine—and distended his mouth, thus, and rolled up his eyes, thus, and winked them with excessive rapidity, thus, why then, sir, I take it upon myself to say, positively, that you would have been lost in admiration of the genius of the man.”"
"“对此我一点也不怀疑。”我应道。","“I have no doubt of it,” I said."
"“还有，”另一个人说，“还有珀蒂·加亚尔，他认为自己是一撮鼻烟。因为不能用食指和拇指把自己捏起来，而感到痛苦不已。”","“And then,” said somebody else, “then there was Petit Gaillard, who thought himself a pinch of snuff, and was truly distressed because he could not take himself between his own finger and thumb.”"
"“还有朱尔斯·德苏利埃斯，说真的，他可是个少见的天才，他疯狂地认为自己是个南瓜。他纠缠着厨师，非要厨师把他包在馅饼里——被厨师气愤地拒绝了。要让我说，德苏利埃斯南瓜馅饼吃起来肯定会非常可口！”","“And then there was Jules Desoulieres, who was a very singular genius, indeed, and went mad with the idea that he was a pumpkin.He persecuted the cook to make him up into pies—a thing which the cook indignantly refused to do.For my part, I am by no means sure that a pumpkin pie a la Desoulieres would not have been very capital eating indeed!”"
"“您真让我吃惊！”我说，同时，向马亚尔先生投去探询的目光。","“You astonish me!” said I; and I looked inquisitively at Monsieur Maillard."
