"第一章 枪炮俱乐部","CHAPTER I THE GUN CLUB"
"有一些水平较高、沉迷于制造大炮的理论家，仍在孜孜不倦地演算着炮弹投射的规律。他们一如既往地研究巨型炮弹和口径空前大的榴弹炮。但是缺少了实践，纯粹的理论又有什么价值呢？结果，俱乐部活动室变得冷冷清清，服务员在前厅里打盹，桌上的报纸都发了霉，黑暗的角落里不时传来鼾声。以往在大会上大声吵闹的俱乐部会员们，也变得沉默不语，因为如今的和平对他们来说简直是一场灾难，他们只能彻底沉浸在对大炮柏拉图式的憧憬当中。","Some few of the more advanced and inveterate theorists set themselves again to work upon calculations regarding the laws of projectiles.They reverted invariably to gigantic shells and howitzers of unparalleled caliber.Still in default of practical experience what was the value of mere theories?Consequently, the clubrooms became deserted, the servants dozed in the antechambers, the newspapers grew mouldy on the tables, sounds of snoring came from dark corners, and the members of the Gun Club, erstwhile so noisy in their seances, were reduced to silence by this disastrous peace and gave themselves up wholly to dreams of a Platonic kind of artillery."
"“这太可怕了！”一天傍晚汤姆·亨特在吸烟室里说，他的木头腿险些被壁炉烤焦；“无事可做！无所期待！多么令人憎恶的生活！什么时候我们早晨能再被动听的枪炮声叫醒啊？“","“This is horrible!” said Tom Hunter one evening, while rapidly carbonizing his wooden legs in the fireplace of the smoking-room; “nothing to do! nothing to look forward to! what a loathsome existence!When again shall the guns arouse us in the morning with their delightful reports?”"
"“那样的日子一去不复返喽。”快乐的倍尔斯贝一边说，一边试着抻抻他残缺的胳膊，“从前多快乐啊！如果有人发明了一种大炮，铸造出来以后马上就可以在敌人身上实验！然后这个人回到营地，就会听到舍曼的鼓励，或者能捞着和麦克莱伦进行一次友好的握手。可如今，那些将军们都已回到柜台前；他们不再发射炮弹，而是发送起棉花捆来。天啊，美国的枪炮制造没有前途了！”","“Those days are gone by,” said jolly Bilsby, trying to extend his missing arms.“It was delightful once upon a time!One invented a gun, and hardly was it cast, when one hastened to try it in the face of the enemy!Then one returned to camp with a word of encouragement from Sherman or a friendly shake of the hand from McClellan.But now the generals are gone back to their counters; and in place of projectiles, they despatch bales of cotton.By Jove, the future of gunnery in America is lost!”"
"“唉！再也盼不来战争了！”著名的詹姆斯·T.马斯顿接着说道，边说边用他的钢制钩状假手挠着杜仲胶做的假脑壳，再也盼不来战争了！”著名的詹姆斯·T. 马斯顿接着说道，边说边用他的钢制钩状假手挠着杜仲胶做的假脑壳，“毫无迹象！在大炮制造技术发展的关键时期，竟毫无迹象表明要有战争！可不是吗，先生们！跟你们说，就在今天早上，我刚刚完善了一个迫击炮模型（包括平面图、截面图、正面图等等）。它注定会扭转战争的整个局势！”","“Ay! and no war in prospect!” continued the famous James T. Maston, scratching with his steel hook his gutta-percha cranium.“Not a cloud on the horizon! and that too at such a critical period in the progress of the science of artillery!Yes, gentlemen!I who address you have myself this very morning perfected a model (plan, section, elevation, etc.) of a mortar destined to change all the conditions of warfare!”"
"“不！这可能吗？”汤姆·亨特回答道。他不由得想起了这位阁下之前的一个发明。","“No! is it possible?” replied Tom Hunter, his thoughts reverting involuntarily to a former invention of the Hon."
"J. T. 马斯顿当时发明了一种大炮，第一次实验就炸死了337个人。","J. T. Maston, by which, at its first trial, he had succeeded in killing three hundred and thirty-seven people."
"“的确如此！”他说，“但是，搞这么多试验，克服这么多困难有什么用？纯粹是在浪费时间！新世界里的人们好像铁了心要过和平的生活；不过，我们好战的《论坛报》预言由于人口恶性增长，一场灾难即将来临。”","“Fact!” replied he.“Still, what is the use of so many studies worked out, so many difficulties vanquished?It’s mere waste of time!The New World seems to have made up its mind to live in peace; and our bellicose Tribune predicts some approaching catastrophes arising out of this scandalous increase of population.”"
"“然而，”布鲁姆斯伯里上校说道，“在欧洲，人们一直在为维持民族原则而斗争。”","“Nevertheless,” replied Colonel Blomsberry, “they are always struggling in Europe to maintain the principle of nationalities.”"
"“那又怎么样？”","“Well?”"
"“唔，那里或许有生意可做；如果他们愿意接受我们的帮助——”","“Well, there might be some field for enterprise down there; and if they would accept our services——”"
"“你这是在做什么梦呀？”倍尔斯贝尖叫道；“为外国人造大炮，让他们受益？”","“What are you dreaming of?” screamed Bilsby; “work at gunnery for the benefit of foreigners?”"
"“总比在这里无事可做强吧。”上校反驳说。","“That would be better than doing nothing here,” returned the colonel."
"“理是这么个理，”J. T. 梅特森说；“但是，我们也没必要想出那样的权宜之计。”","“Quite so,” said J. T. Matson; “but still we need not dream of that expedient.”"
"“为什么不呢？”上校问道。","“And why not?” demanded the colonel."
"“因为在他们那种旧世界里，人们的发展观与我们美国人的思维习惯相反。那帮家伙认为不从少尉干起就当不了将军；就好比没造过枪的人就不会瞄准！”","“Because their ideas of progress in the Old World are contrary to our American habits of thought.Those fellows believe that one can’t become a general without having served first as an ensign; which is as much as to say that one can’t point a gun without having first cast it oneself!”"
"“荒唐！”汤姆·亨特说道，他正在用一把博伊刀削他坐着的安乐椅的扶手；“不过，如果那里的情形真是那样的话，那我们所能做的也只有种种烟草，炼炼鲸油了。“","“Ridiculous!” replied Tom Hunter, whittling with his bowie-knife the arms of his easy chair; “but if that be the case there, all that is left for us is to plant tobacco and distill whale-oil.”"
"“什么！”J. T. 马斯顿吼道，“难道我们的余生再没有机会改进枪炮了吗？我们再也没有机会去研究炮弹的射程了吗？天空再也不会被我们制造的枪炮点亮了吗？再也不会出现国际争端，给我们一个向大洋彼岸的某国宣战的理由了吗？难道法国人就不能击沉我们的火轮，英国人就不能无视国家权限，绞死我们几个同胞吗？”","“What!” roared J. T. Maston, “shall we not employ these remaining years of our life in perfecting firearms?Shall there never be a fresh opportunity of trying the ranges of projectiles?Shall the air never again be lighted with the glare of our guns?No international difficulty ever arise to enable us to declare war against some transatlantic power?Shall not the French sink one of our steamers, or the English, in defiance of the rights of nations, hang a few of our countrymen?”"
"“没这样的好运气，”布鲁姆斯伯里上校说，“不可能发生这种事；而且即使发生了，我们也不应该从这种事中获利。美国人的激情正在迅速减退，我们都在走向毁灭。”","“No such luck,” replied Colonel Blomsberry; “nothing of the kind is likely to happen; and even if it did, we should not profit by it.American susceptibility is fast declining, and we are all going to the dogs.”"
"“你说得太对了，”J. T. 马斯顿开始有些激动了，“有一千个理由打仗，可我们就是不打。我们为了国家的利益留着胳膊腿，可国家不知道用它们来做什么！不过等等——不用特地寻找战争理由——难道美国北部以前不是属于英国人的吗？”","“It is too true,” replied J. T. Maston, with fresh violence; “there are a thousand grounds for fighting, and yet we don’t fight.We save up our arms and legs for the benefit of nations who don’t know what to do with them!But stop—without going out of one’s way to find a cause for war—did not North America once belong to the English?”"
"“毫无疑问。”汤姆·亨特边说边愤怒地戳着他的拐杖。","“Undoubtedly,” replied Tom Hunter, stamping his crutch with fury."
"“那么，”J. T. 马斯顿接着说道，“为什么不该轮到英国属于我们美国人呢？”","“Well, then,” replied J. T. Maston, “why should not England in her turn belong to the Americans?”"
"“这才合理，才公平。”布鲁姆斯伯里上校答道。","“It would be but just and fair,” returned Colonel Blomsberry."
"“去向美国总统建议，”J. T. 马斯顿大声嚷道，“看看总统如何接待你。”","“Go and propose it to the President of the United States,” cried J. T. Maston, “and see how he will receive you.”"
"“呸！”倍里斯贝从战争中仅存的四颗牙中间挤出一句话，“不管用的！“","“Bah!” growled Bilsby between the four teeth which the war had left him; “that will never do!”"
"“天啊！”J. T. 马斯顿大声叫道，”下次选举他不要指望我投他的票啦！“","“By Jove!” cried J. T. Maston, “he mustn’t count on my vote at the next election!”"
"“也不要指望我们了。”所有残废的好战分子异口同声地答道。","“Nor on ours,” replied unanimously all the bellicose invalids."
"“与此同时，”J. T. 马斯顿接着说，”请允许我这样说：如果我再没有机会在真正的战场上试验我新设计的迫击炮，我将告别所有的枪炮俱乐部成员，去阿肯色州，把自己葬在那里的大草原上算了！“","“Meanwhile,” replied J. T. Maston, “allow me to say that, if I cannot get an opportunity to try my new mortars on a real field of battle, I shall say good-by to the members of the Gun Club, and go and bury myself in the prairies of Arkansas!”"
"“如果那样的话，我们都去陪你。”其他人嚷道。","“In that case we will accompany you,” cried the others."
"事态不容乐观，俱乐部面临着解散的威胁。就在这关键时刻，一件意想不到的事情发生了，阻止了这场不幸的灾难。","Matters were in this unfortunate condition, and the club was threatened with approaching dissolution, when an unexpected circumstance occurred to prevent so deplorable a catastrophe."
"就在这场谈话的次日，俱乐部每个成员都收到了一份密封的通知，内容如下：","On the morrow after this conversation every member of the association received a sealed circular couched in the following terms:"
"巴尔的摩，十月三日。枪炮俱乐部的主席荣幸地通知他的每一位同仁，在本月五日的会议上，他将给大家带来一个非常有趣的消息。因此，他要求会员们接受这次邀请，安排好自己的时间，届时方便参会。诚挚地，英庇·巴比康，P. G. C.","BALTIMORE, October 3.The president of the Gun Club has the honor to inform his colleagues that, at the meeting of the 5th instant, he will bring before them a communication of an extremely interesting nature.He requests, therefore, that they will make it convenient to attend in accordance with the present invitation.Very cordially, IMPEY BARBICANE, P.G.C."
"第二章 巴比康主席的报告","CHAPTER II PRESIDENT BARBICANE’S COMMUNICATION"
"十月五日晚八时，密密麻麻的人群涌向了枪炮俱乐部的所在地——联邦广场二十一号大厅。居住在巴尔的摩的所有会员都应主席之邀参加了这次会议。至于那些通讯会员，他们都看到了散发的通知，那些通知足有上千张，遍布了城市的大街小巷。所以，尽管会议厅很大，还是无法容纳大批涌来的专家。会员们涌到了隔壁的几个大厅，占满了狭窄的通道，一直挤到外面的院子里。在那里，他们和拥堵在门口的普通市民们一起挤来挤去，每个人都怀着渴望的心情试图挤到前排去，聆听巴比康主席这次重要的报告。他们推呀，挤呀，撞呀，表现出“自治”观念教育下的群众所特有的那种绝对行动自由。","On the 5th of October, at eight p.m., a dense crowd pressed toward the saloons of the Gun Club at No.21 Union Square.All the members of the association resident in Baltimore attended the invitation of their president.As regards the corresponding members, notices were delivered by hundreds throughout the streets of the city, and, large as was the great hall, it was quite inadequate to accommodate the crowd of savants.They overflowed into the adjoining rooms, down the narrow passages, into the outer courtyards.There they ran against the vulgar herd who pressed up to the doors, each struggling to reach the front ranks, all eager to learn the nature of the important communication of President Barbicane; all pushing, squeezing, crushing with that perfect freedom of action which is so peculiar to the masses when educated in ideas of “self-government.”"
"那天晚上，一个暂居巴尔的摩的外地人无论如何也不会被获准进入大厅。大厅是专门为本地会员和通讯会员准备的，除了他们，谁也不能在大厅内就座，就连本市的名流、议员和市政管理委员会成员，为了捕捉到一点点内部消息，都不得不和那些普通市民混在一起。","On that evening a stranger who might have chanced to be in Baltimore could not have gained admission for love or money into the great hall.That was reserved exclusively for resident or corresponding members; no one else could possibly have obtained a place; and the city magnates, municipal councilors, and “select men” were compelled to mingle with the mere townspeople in order to catch stray bits of news from the interior."
"不过，这宽敞的大厅的确是一个奇观。宽大的会场和它的用途非常相称。高大的柱子由大炮构成，这些大炮层层叠叠摞在巨大的迫击炮组成的柱基上，支撑着一座精致的、雕有铸铁花边的拱形铁架。墙上陈列着很多战利品，有老式的大口径短枪、火绳枪、老式火绳枪、卡宾枪等各种各样古代和现代的武器，这些武器交错着陈列在墙上，组成了一幅别致的图画。明亮的煤气灯照在无数只左轮手枪上，闪烁出耀眼的光芒；一簇簇手枪，还有由滑膛枪捆成的大枝形烛台，使得整座大厅更加熠熠生辉。大炮模型、青铜铸件、坑坑洼洼的瞄准具、被枪炮俱乐部炸坏的钢板、各式各样的推弹器和炮刷、一串串念珠似的弹壳、一盘盘项链似的子弹，还有一圈圈花环似的榴弹——总而言之，炮术家们的全套装备都被巧妙地摆放在大厅里，让你觉得它们是用来装饰的，而不是用来杀人的。","Nevertheless the vast hall presented a curious spectacle.Its immense area was singularly adapted to the purpose.Lofty pillars formed of cannon, superposed upon huge mortars as a base, supported the fine ironwork of the arches, a perfect piece of cast-iron lacework.Trophies of blunderbuses, matchlocks, arquebuses, carbines, all kinds of firearms, ancient and modern, were picturesquely interlaced against the walls.The gas lit up in full glare myriads of revolvers grouped in the form of lustres, while groups of pistols, and candelabra formed of muskets bound together, completed this magnificent display of brilliance.Models of cannon, bronze castings, sights covered with dents, plates battered by the shots of the Gun Club, assortments of rammers and sponges, chaplets of shells, wreaths of projectiles, garlands of howitzers—in short, all the apparatus of the artillerist, enchanted the eye by this wonderful arrangement and induced a kind of belief that their real purpose was ornamental rather than deadly."
"大厅尽头一座宽阔的平台上，坐着巴比康主席和他的四位秘书。他的椅子装在一座雕花的炮架上，整个椅身按32英寸的迫击炮仿制而成，显得十分笨重。椅身与炮架形成一个90度角，并悬吊在横杆上。这样，巴比康主席就能像坐摇椅一样前后晃动，在如此炎热的天气里，这的确是件令人愉快的事。在这张桌子（一张由六座臼炮支撑的大铁板）上，摆着一只精雕细琢的西班牙墨水台，还有一只小铃，能发出左轮手枪般的爆炸声。辩论激烈的时候，这只新奇的小铃就会响起来，勉强可以压过那些易怒的炮术家们的喧哗。","At the further end of the saloon the president, assisted by four secretaries, occupied a large platform.His chair, supported by a carved gun-carriage, was modeled upon the ponderous proportions of a 32-inch mortar.It was pointed at an angle of ninety degrees, and suspended upon truncheons, so that the president could balance himself upon it as upon a rocking-chair, a very agreeable fact in the very hot weather.Upon the table (a huge iron plate supported upon six carronades) stood an inkstand of exquisite elegance, made of a beautifully chased Spanish piece, and a sonnette, which, when required, could give forth a report equal to that of a revolver.During violent debates this novel kind of bell scarcely sufficed to drown the clamor of these excitable artillerists."
"桌子前面，一条条长凳像堡垒的围墙似的排成之字形，宛如绵延的棱堡和屏障，以便枪炮俱乐部的会员在此集会，而这个特别的夜晚，可以说“壁垒上兵将如云”。不过，大家对巴比康主席有着充分的了解，确信他如果没有什么充足的理由，是不会惊动他的会员们的。","In front of the table benches arranged in zigzag form, like the circumvallations of a retrenchment, formed a succession of bastions and curtains set apart for the use of the members of the club; and on this especial evening one might say, “All the world was on the ramparts.” The president was sufficiently well known, however, for all to be assured that he would not put his colleagues to discomfort without some very strong motive."
"英庇·巴比康已经四十岁了，他沉着、冷静、一丝不苟，举止十分严肃持重，像精密计时器一样守时，性情沉稳，意志坚定。他虽不是个骑士，却如骑士一样酷爱冒险，即使面对最棘手的事情，也会坚持实事求是的态度。他是纯正的新英格兰人，一个来自北方的殖民主义者，是斯图亚特王朝的敌对势力——园颅党——的后裔，南方绅士——母国过去的骑士们——的不共戴天之敌。总而言之，他是一个彻头彻尾的美国北方佬。","Impey Barbicane was a man of forty years of age, calm, cold, austere; of a singularly serious and self-contained demeanor, punctual as a chronometer, of imperturbable temper and immovable character; by no means chivalrous, yet adventurous withal, and always bringing practical ideas to bear upon the very rashest enterprises; an essentially New Englander, a Northern colonist, a descendant of the old anti-Stuart Roundheads, and the implacable enemy of the gentlemen of the South, those ancient cavaliers of the mother country.In a word, he was a Yankee to the backbone."
"巴比康早年做木材生意，发了大财。战争时期，作为炮兵部队的指挥官，他向人们证明了自己是一位多产的发明家。他的大胆构想，使他的发明为大炮技术的发展作出了重大贡献，同时，也大大推进了对大炮的实验研究。","Barbicane had made a large fortune as a timber merchant.Being nominated director of artillery during the war, he proved himself fertile in invention.Bold in his conceptions, he contributed powerfully to the progress of that arm and gave an immense impetus to experimental researches."
"他中等身材，四肢健全，这在枪炮俱乐部里是一个罕见的例外。他棱角分明的容貌，仿佛是用直尺和丁字尺勾勒出来的。如果说要判断一个人性格就必须观察他的外貌，那么从巴比康的面部轮廓来看，他所展现出的品质无疑是精力充沛、英勇无畏和沉着冷静的。","He was personage of the middle height, having, by a rare exception in the Gun Club, all his limbs complete.His strongly marked features seemed drawn by square and rule; and if it be true that, in order to judge a man’s character one must look at his profile, Barbicane, so examined, exhibited the most certain indications of energy, audacity, and sang-froid."
"而此时，他正默默地坐在扶椅上，躲在美国人常戴的那种圆筒形黑缎子礼帽下面，全神贯注地思索着什么。","At this moment he was sitting in his armchair, silent, absorbed, lost in reflection, sheltered under his high-crowned hat— a kind of black cylinder which always seems firmly screwed upon the head of an American."
"当大厅里的时钟指向八点，低沉的钟声响起时，巴比康像是被一根弹簧弹了起来，猛地站起身，会场随即变得鸦雀无声。他用略带强调的语气说道：","Just when the deep-toned clock in the great hall struck eight, Barbicane, as if he had been set in motion by a spring, raised himself up. A profound silence ensued, and the speaker, in a somewhat emphatic tone of voice, commenced as follows:"
"“我勇敢的同仁们，长久以来的和平状态，已经使枪炮俱乐部的会员们陷入了悲惨的无所事事的生活中。经过几个世事多变的年头，我们不得不放下我们的工作，暂停我们前进的步伐。但是，我可以大胆且毫不犹豫地说，凡是能使我们重新投入到武器研发工作的战争，都是受欢迎的！”（大厅里响起了热烈的掌声！）“但是，先生们，照目前的情形来看，是不会有战争的；无论我们多么盼望战争的发生，都必须要经历漫长的岁月，才能让我们的大炮再次在战场上轰鸣。因此，我们必须坚定决心，去新的领域寻找我们渴望已久的精神食粮。”","“My brave colleagues, too long already a paralyzing peace has plunged the members of the Gun Club in deplorable inactivity.After a period of years full of incidents we have been compelled to abandon our labors, and to stop short on the road of progress.I do not hesitate to state, baldly, that any war which would recall us to arms would be welcome!” (Tremendous applause!)“But war, gentlemen, is impossible under existing circumstances; and, however we may desire it, many years may elapse before our cannon shall again thunder in the field of battle.We must make up our minds, then, to seek in another train of ideas some field for the activity which we all pine for.”"
"听众们觉得主席马上就要讲到关键部分了，于是听得更加聚精会神。","The meeting felt that the president was now approaching the critical point, and redoubled their attention accordingly."
"“我勇敢的会员们，”巴比康接着说道，“近几个月来，我一直在问自己，是否能在我们的专业范围内，进行一项无愧于十九世纪的伟大实验，炮弹技术的发展是否能够帮助我们实验成功。我一直在思考、工作、计算，研究的结果使我确信，我们定能在一项其他国家看来绝对无法实现的伟大事业中取得成功。这个研究了很长时间的计划，就是我今天报告的内容。它无愧于你们，无愧于枪炮俱乐部的先驱们，可以肯定，它将轰动全世界。”","“For some months past, my brave colleagues,” continued Barbicane, “I have been asking myself whether, while confining ourselves to our own particular objects, we could not enter upon some grand experiment worthy of the nineteenth century; and whether the progress of artillery science would not enable us to carry it out to a successful issue.I have been considering, working, calculating; and the result of my studies is the conviction that we are safe to succeed in an enterprise which to any other country would appear wholly impracticable.This project, the result of long elaboration, is the object of my present communication.It is worthy of yourselves, worthy of the antecedents of the Gun Club; and it cannot fail to make some noise in the world.”"
"会场上一片欢呼声。","A thrill of excitement ran through the meeting."
"巴比康迅速地扶了一下头上的帽子，用平静的声音继续着这次热烈的演说：","Barbicane, having by a rapid movement firmly fixed his hat upon his head, calmly continued his harangue:"
"“我勇敢的会员们，你们每个人都见过月球，至少也听别人谈起过它。假如我在这儿谈到一些关于月球的话题，你们也不要感到奇怪。说不定我们会成为这个未知世界的哥伦布呢。你们能做的就是加入我的计划，并竭尽全力来帮助我，我会带领你们征服它，把它的名字加进这个伟大合众国已有的三十六个州名之中。","“There is no one among you, my brave colleagues, who has not seen the Moon, or, at least, heard speak of it. Don’t be surprised if I am about to discourse to you regarding the Queen of the Night.It is perhaps reserved for us to become the Columbuses of this unknown world.Only enter into my plans, and second me with all your power, and I will lead you to its conquest, and its name shall be added to those of the thirty-six states which compose this Great Union.”"
"“月球，月球，月球！”枪炮俱乐部的全体会员齐声高喊。","“Three cheers for the Moon!” roared the Gun Club, with one voice."
"“各位，我已经对月球进行了详细的研究，”巴比康继续说，“它的质量、密度、重量，它的构成、运动、距离，以及它在太阳系的位置，我已经全部掌握了。我们绘制的月面图已经达到了十分完美的程度，即使不能说比地图绘制得好，至少也是不相上下。此外，照相机还为我们的卫星拍摄了许多美丽无比的照片；总而言之，凡是数学、天文学、地质学、光学能告诉我们的，我们都已经掌握了。但是，直到现在，我们还没有与月球建立任何直接的联系。”","“The moon, gentlemen, has been carefully studied,” continued Barbicane; “her mass, density, and weight; her constitution, motions, distance, as well as her place in the solar system, have all been exactly determined.Selenographic charts have been constructed with a perfection which equals, if it does not even surpass, that of our terrestrial maps.Photography has given us proofs of the incomparable beauty of our satellite; all is known regarding the moon which mathematical science, astronomy, geology, and optics can learn about her.But up to the present moment no direct communication has been established with her.”"
"巴比康的一席话激起了听众们极大的兴趣和惊喜。","A violent movement of interest and surprise here greeted this remark of the speaker."
