"彩虹的尽头","At the Rainbow's End"
"三","III"
"环形城在望，加上最后一层冰块要在他的滑板之下碎裂，蒙塔纳·基德就利用这些白昼渐渐变长的日子，一直驱狗前行。另外，他几乎确定，存有疑问的狗的主人已经上路。他希望能够在河冰破裂之前到达美国的领土。但到第三天下午，很明显他已经输掉了与春天的赛跑。育空河对着它的桎梏怒吼，想要摆脱它。必须绕道远行了，因为向来不平静的冰吼叫着裂开了大缝隙，冰下湍急的水流开始漫上路面。通过这些裂缝和数不清的冰窟窿，水开始蔓延到冰面。蒙塔纳·基德向岛的岬角一个伐木者的小木屋驶去，这使他的狗也变得过分紧张，不时地游几下。他受到那两位居民刻薄的迎接，不过他还是解下了狗的套具，开始谋划。","With Circle City in prospect and the last ice crumbling under his runners, Montana Kid took advantage of the lengthening days and travelled his dogs late and early.Further, he had but little doubt that the owner of the dogs in question had taken his trail, and he wished to make American territory before the river broke.But by the afternoon of the third day it became evident that he had lost in his race with spring.The Yukon was growling and straining at its fetters.Long detours became necessary, for the trail had begun to fall through into the swift current beneath, while the ice, in constant unrest, was thundering apart in great gaping fissures.Through these and through countless airholes, the water began to sweep across the surface of the ice, and by the time he pulled into a woodchopper’s cabin on the point of an island, the dogs were being rushed off their feet and were swimming more often than not.He was greeted sourly by the two residents, but he unharnessed and proceeded to cook up."
"唐纳德和戴维都是边境地区无能者的典型。他们是生于加拿大、长于城市的苏格兰人，一时犯傻从账房辞了职，动用积蓄去了克朗代克。现在他们感受着在这个乡村生活的艰辛。他们饥肠辘辘，无精打采，非常想回家。他们受到P.C.公司的资助，为它的汽船伐木，公司承诺最后会给他们回家的路费。他们选择呆在这座岛上伐木，没考虑过可能有冰汛——这也恰恰体现了他们的无能。虽然对大河解冻这种事了解不多，蒙塔纳·基德还是怀疑地四下观看，并不时向往地看一眼远处的河岸。那里高耸的峭壁可能会逃过所有北方地区冰块的侵袭。","Donald and Davy were fair specimens of frontier inefficients.Canadian-born, city-bred Scots, in a foolish moment they had resigned their counting-house desks, drawn upon their savings, and gone Klondiking.And now they were feeling the rough edge of the country.Grubless, spiritless, with a lust for home in their hearts, they had been staked by the P. C. Company to cut wood for its steamers, with the promise at the end of a passage home.Disregarding the possibilities of the ice-run, they had fittingly demonstrated their inefficiency by their choice of the island on which they located.Montana Kid, though possessing little knowledge of the break-up of a great river, looked about him dubiously, and cast yearning glances at the distant bank where the towering bluffs promised immunity from all the ice of the Northland."
"喂饱自己和狗之后，蒙塔纳·基德点燃烟斗，出去溜达，以对形势有更深入的了解。这座岛和周围的河流都处在高地。就是在这座岛上，唐纳德和戴维建造了他们的小木屋，堆积了许多成捆的木头。远处的河岸在足足一英里开外。岛和近处河岸之间有一个约一百码宽的秘密通道。第一眼看到这些时，蒙塔纳·基德很想带着他的狗逃到大陆。但经过更为仔细的检视后，他发现高处有一股急流涌出。在下面，河流突然转向了西方。在这个转弯处，河流伸出的部分散布着一些迂曲的小岛。","After feeding himself and dogs, he lighted his pipe and strolled out to get a better idea of the situation.The island, like all its river brethren, stood higher at the upper end, and it was here that Donald and Davy had built their cabin and piled many cords of wood.The far shore was a full mile away, while between the island and the near shore lay a back-channel perhaps a hundred yards across.At first sight of this, Montana Kid was tempted to take his dogs and escape to the mainland, but on closer inspection he discovered a rapid current flooding on top.Below, the river twisted sharply to the west, and in this turn its breast was studded by a maze of tiny islands."
"“它会在那儿堵住的。”他自言自语。","“That’s where she’ll jam,” he remarked to himself."
"六个明显会逆流驶向道森的雪橇，被寒冷的河水拍打着冲到小岛的末端去了。在河上行驶先是很危险，到最后就变成不可能的任务。河流和他们在角逐中一直不相上下，直至他们到了这个岛并踏上伐木者去往小木屋的小道。其中有个人患了雪盲症，在一个雪橇的尾部被拖着无助地前行。这些年轻的小伙子都曾体力健壮，现在却穿着粗衣，筋疲力尽。而蒙塔纳·基德以前曾见过这种人，立马知道他们和他不是一类人。","Half a dozen sleds, evidently bound up-stream to Dawson, were splashing through the chill water to the tail of the island.Travel on the river was passing from the precarious to the impossible, and it was nip and tuck with them till they gained the island and came up the path of the wood-choppers toward the cabin.One of them, snow-blind, towed helplessly at the rear of a sled.Husky young fellows they were, rough-garmented and trail-worn, yet Montana Kid had met the breed before and knew at once that it was not his kind."
"“你好！道森的情况怎么样呀？”走在最前面的人询问道。他瞥了一眼唐纳德和戴维，最后把目光定在基德身上。","“Hello!How’s things up Dawson-way?” queried the foremost, passing his eye over Donald and Davy and settling it upon the Kid."
"他们在荒野的第一次见面十分自然。他们很快就聊开了，相互分享、谈论着南北方乡村的种种消息。但是，新来的人知道的那点儿事很快就说完了，因为他们是在下面一千英里处的米诺克过的冬，那地方没发生过什么事。然而，蒙塔纳·基德刚从咸水湖来。在搭帐篷的时候，他们争相问他无数关于外界的事情，因为他们已经有一年没与外界联系了。","A first meeting in the wilderness is not characterized by formality.The talk quickly became general, and the news of the Upper and Lower Countries was swapped equitably back and forth.But the little the newcomers had was soon over with, for they had wintered at Minook, a thousand miles below, where nothing was doing.Montana Kid, however, was fresh from Salt Water, and they annexed him while they pitched camp, swamping him with questions concerning the outside, from which they had been cut off for a twelvemonth."
"突然，一声尖锐的破裂声盖过了河上所有的嘈杂声。每个人都退到了岸上。表层的水越来越深，遭受上下双向攻击的冰块挣扎着摆脱河岸的束缚。他们眼睁睁地看着冰面的裂缝越来越大。空中充斥着各种各样的爆裂声，就像是晴日里射击线那儿发出的枪响一样，干脆而尖利。","A shrieking split, suddenly lifting itself above the general uproar on the river, drew everybody to the bank.The surface water had increased in depth, and the ice, assailed from above and below, was struggling to tear itself from the grip of the shores.Fissures reverberated into life before their eyes, and the air was filled with multitudinous crackling, crisp and sharp, like the sound that goes up on a clear day from the firing line."
"在河的上游，两个人正赶着狗队，在一块无遮掩的冰面上向他们全速驶来。但是正当他们在看时，这两个人遇到了冰面融化的水，划着水开始艰难地前行。在后面，他们刚刚迅速驶过的地方，冰块破裂并翻了过去。河水从这个裂口涌出，漫过了他们的腰间，淹没了雪橇。狗和雪橇间扭成了九十度角，和一团快沉没的缠绕物纠结在一起。但是，他们停了下来不再逃，好给狗逃脱的机会。他们在一片冰凉的混乱中慌忙摸索，用鞘刀砍那些耽搁他们的缰绳。然后，他们穿过漩涡和碎冰，努力向河岸前进。他们处在不断碰撞的碎物中，而最先作出迅速反应、营救他们的正是基德。","From up the river two men were racing a dog team toward them on an uncovered stretch of ice.But even as they looked, the pair struck the water and began to flounder through.Behind, where their feet had sped the moment before, the ice broke up and turned turtle.Through this opening the river rushed out upon them to their waists, burying the sled and swinging the dogs off at right angles in a drowning tangle.But the men stopped their flight to give the animals a fighting chance, and they groped hurriedly in the cold confusion, slashing at the detaining traces with their sheath-knives.Then they fought their way to the bank through swirling water and grinding ice, where, foremost in leaping to the rescue among the jarring fragments, was the Kid."
"“唉呀，老天爷！真是多亏了蒙塔纳·基德！”其中一人叫喊着，基德刚刚把他安置到河岸的最高处。他穿着骑警的鲜红色紧身短上衣，打趣地举起右手敬礼。","“Why, blime me, if it ain’t Montana Kid!” exclaimed one of the men whom the Kid was just placing upon his feet at the top of the bank.He wore the scarlet tunic of the Mounted Police and jocularly raised his right hand in salute."
"“基德，给你一张逮捕令，”他从胸前的口袋里取出一张破旧不堪的纸，继续说道，“并且希望你一切顺利。”","“Got a warrant for you, Kid,” he continued, drawing a bedraggled paper from his breast pocket, “an’ I ’ope as you’ll come along peaceable.”"
"蒙塔纳·基德看着那条混乱的河，耸了耸肩。警察顺着他的目光看去，微笑着。","Montana Kid looked at the chaotic river and shrugged his shoulders, and the policeman, following his glance, smiled."
"“狗在哪儿？”他的同伴问道。","“Where are the dogs?” his companion asked."
"警察打断道：“先生们，这是我朋友，杰克·萨瑟兰，他有二十二座黄金城——”","“Gentlemen,” interrupted the policeman, “this ’ere mate o’ mine is Jack Sutherland, owner of Twenty-Two Eldorado—”"
"“不是92届的那个萨瑟兰吗？”那个患雪盲症的米诺克人无力地摸索着向他走来，打断道。","“Not Sutherland of ’92?” broke in the snow-blinded Minook man, groping feebly toward him."
"“是同一个人。”萨瑟兰握紧他的手。","“The same.”Sutherland gripped his hand."
"“那你呢？”","“And you?”"
"“哦，我在你后面几届。但在大一时我就记得你——那时你正在攻读研究生的课程。伙计们，”他半转身喊道，“这是萨瑟兰，杰克·萨瑟兰，以前在大学时是后卫。过来，你们这些淘金者，过来见见他！萨瑟兰，这是格林尼治——两个赛季前打四分卫。”","“Oh, I’m after your time, but I remember you in my freshman year,—you were doing P. G. work then.Boys,” he called, turning half about, “this is Sutherland, Jack Sutherland, erstwhile full-back on the ’Varsity.Come up, you gold-chasers, and fall upon him!Sutherland, this is Greenwich,—played quarter two seasons back.”"
"“哦，我知道那场比赛。”萨瑟兰一边说着，一边和他握了握手。“我还记得你第一次持球触地得分所成功运用的持球跑动打法。”","“Yes, I read of the game,” Sutherland said, shaking hands.“And I remember that big run of yours for the first touchdown.”"
"格林尼治棕褐色的脸涨成了猪肝色，笨拙地给别人让了让地方。","Greenwich flushed darkly under his tanned skin and awkwardly made room for another."
"“这是马修斯——伯克利人。我们中还有一些来自东部地区漂泊的运动好手。过来，普林斯顿人！过来！这是萨瑟兰，杰克·萨瑟兰！”","“And here’s Matthews,—Berkeley man.And we’ve got some Eastern cracks knocking about, too.Come up, you Princeton men!Come up!This is Sutherland, Jack Sutherland!”"
"然后他们一哄而上，把他带回帐篷，给他拿了些干衣服，端上好几大杯红茶。","Then they fell upon him heavily, carried him into camp, and supplied him with dry clothes and numerous mugs of black tea."
"被忽视的唐纳德和戴维回屋玩起了他们每晚都玩的克里比奇牌戏。蒙塔纳·基德和警察尾随在他们之后。","Donald and Davy, overlooked, had retired to their nightly game of crib.Montana Kid followed them with the policeman."
"他从自己为数不多的衣服中抽出几件，说道：“给，换上这些干衣服。我想你也不得不和我将就着睡了。”","“Here, get into some dry togs,” he said, pulling them from out his scanty kit.“Guess you’ll have to bunk with me, too.”"
"“哎呀，我说，你这人真不错。”警察一边穿着基德的袜子，一边说道，“很抱歉我得把你带回道森，但是我希望他们不会对你过分严厉。”","“Well, I say, you’re a good ’un,” the policeman remarked as he pulled on the other man’s socks.“Sorry I’ve got to take you back to Dawson, but I only ’ope they won’t be ’ard on you.”"
"“别这么快啊。”基德古怪地微笑。“我们还没开始呢。我走的时候会往下游走，我想你可能也要一起走。”","“Not so fast.”The Kid smiled curiously.“We ain’t under way yet.When I go I’m going down river, and I guess the chances are you’ll go along.”"
"“我自己也不太清楚——”","“Not if I know myself—”"
"“跟我到外面来吧，我指给你看。”他将拇指伸过肩，指着那两个苏格兰人，说道：“这些该死的蠢人，定居在这儿的时候破了产。首先，填满你的烟斗——这烟草相当好——只管尽情享受吧。你不怎么抽嘛。”","“Come on outside, and I’ll show you, then.These damn fools,” thrusting a thumb over his shoulder at the two Scots, “played smash when they located here.Fill your pipe, first—this is pretty good plug—and enjoy yourself while you can.You haven’t many smokes before you.”"
"警察好奇地和他一起抽。唐纳德和戴维也丢下牌，和他们一起抽了起来。从米诺克来的人们注意到蒙塔纳·基德时而指指河上游，时而又指指下游，便走了过来。","The policeman went with him wonderingly, while Donald and Davy dropped their cards and followed.The Minook men noticed Montana Kid pointing now up the river, now down, and came over."
"“怎么了？”萨瑟兰问道。","“What’s up?” Sutherland demanded."
"“没什么。”基德显得漠不关心。“只不过是大麻烦要来了。看到那儿的弯曲处了吗？那里会堆积上百万吨冰块。然后会有上百万吨在上面的那些弯曲处堆积。上面的冰块最先断裂，下面的能撑上一会儿，噗！”他用手夸张地比划了一下整个岛。“上百万吨啊。”他沉思着，又添上这么一句。","“Nothing much.”Nonchalance sat well upon the Kid.“Just a case of raising hell and putting a chunk under.See that bend down there?That’s where she’ll jam millions of tons of ice.Then she’ll jam in the bends up above, millions of tons.Upper jam breaks first, lower jam holds, pouf!”He dramatically swept the island with his hand.“Millions of tons,” he added reflectively."
"戴维问道：“那些木料堆会怎样呢？”","“And what of the woodpiles?” Davy questioned."
"基德重复了比划的手势。戴维哀诉道：“这可是几个月的劳动成果啊！不能发生这种事！不，不，老弟，绝对不能。我不知道刚才是你讲了个笑话。哎，快说它是个笑话啊。”他恳求道。","The Kid repeated his sweeping gestures and Davy wailed, “The labor of months!It canna be!Na, na, lad, it canna be.I doot not it’s a jowk.Ay, say that it is,” he appealed."
"但是，基德发出刺耳的笑声，转过了身。戴维一下子瘫坐在木堆上，开始疯狂地把岸上的木材扔回去。","But when the Kid laughed harshly and turned on his heel, Davy flung himself upon the piles and began frantically to toss the cordwood back from the bank."
"“帮我一把啊，唐纳德！”他喊道，“你难道会坐视不管吗？这可是几个月来的劳动成果啊，还有回家的路费！”","“Lend a hand, Donald!” he cried.“Can ye no lend a hand?’T is the labor of months and the passage home!”"
"唐纳德拽住了他的胳膊，摇晃着他，但是戴维挣脱了。“伙计，难道你没听见吗？上百万吨，还有整个岛都会被淹没。”","Donald caught him by the arm and shook him, but he tore free.“Did ye no hear, man?Millions of tons, and the island shall be sweepit clean.”"
"“伙计，振作一点儿，”唐纳德说道，“你有点儿太过烦恼了。”","“Straighten yersel’ up, man,” said Donald.“It’s a bit fashed ye are.”"
"但是，戴维还是瘫坐在木材堆上。唐纳德高视阔步走回小木屋，扣上他还有戴维的藏着钱的腰带，走出来，来到岛的岬角。那儿地势最高，还有一棵非常高大的松树，周围的松树都不及它。","But Davy fell upon the cordwood.Donald stalked back to the cabin, buckled on his money belt and Davy’s, and went out to the point of the island where the ground was highest and where a huge pine towered above its fellows."
"小木屋前的人们听着他斧子的声响，微笑着。格林尼治从岛的另一端回来，说他们都被困住了。要穿过秘密通道是不可能的。那个患雪盲症的米诺克人开始唱歌，其他人也跟着和——","The men before the cabin heard the ringing of his axe and smiled.Greenwich returned from across the island with the word that they were penned in.It was impossible to cross the back-channel.The blind Minook man began to sing, and the rest joined in with—"
"“这是不是真的？在你们看来是真的吗？在我看来，是他在撒谎——啊，我想知道，这是不是真的呢？”","“Wonder if it’s true?Does it seem so to you?Seems to me he’s lying—Oh, I wonder if it’s true?”"
"戴维抬起头，看着他们在斜阳的光辉下跳舞，悲叹道：“这真是罪恶。我的木材都要白费了。”","“It’s ay sinfu’,” Davy moaned, lifting his head and watching them dance in the slanting rays of the sun.“And my guid wood a’ going to waste.”"
"“啊，我想知道这是不是真的。”歌声炫耀似的回应他。","“Oh, I wonder if it’s true,” was flaunted back."
"河上的喧闹声骤然停止了。一种异常的平静包围着他们。冰挣脱了河岸，在渐渐涨高的河面上越漂越高。它来了，快速而无声地漂了二十英尺。然后，如蛋糕一样的巨大冰块轻轻地触碰到河岸的顶端。岛的末端，由于地势较低，被淹没了。接着，白茫茫的洪水开始毫不费力地侵袭下游。但是，随着势头不断增强，声响也越来越大。很快，嘎吱作响的冰块使整座岛都开始摇晃、颤抖。在压力之下，几百吨重的、如蛋糕一般的巨大冰块，像豌豆一样崩裂到空中。这种冰冷的混乱状态越来越严重，人们要想让对方听见自己说的话，得朝着他的耳朵大喊才行。偶尔能在混乱之中听见从秘密通道传来的嘈杂声。一块巨大的“蛋糕”正好打到岛的岬角上，整个岛都因此震动。二十棵松树被连根拔起，在河面上旋转漂荡，浑浊的河底也被洪水掀翻上来。洪水一步步向小木屋逼近，像一把巨大的刀在削着河岸和树木。看起来洪水几乎没有碰到小木屋的角落，但是屋中的原木却像火柴似的上倾，小木屋就像个玩具房子一样向后倒塌，成了废墟。","The noise of the river ceased suddenly.A strange calm wrapped about them.The ice had ripped from the shores and was floating higher on the surface of the river, which was rising.Up it came, swift and silent, for twenty feet, till the huge cakes rubbed softly against the crest of the bank.The tail of the island, being lower, was overrun.Then, without effort, the white flood started down-stream.But the sound increased with the momentum, and soon the whole island was shaking and quivering with the shock of the grinding bergs.Under pressure, the mighty cakes, weighing hundreds of tons, were shot into the air like peas.The frigid anarchy increased its riot, and the men had to shout into one another’s ears to be heard.Occasionally the racket from the back channel could be heard above the tumult.The island shuddered with the impact of an enormous cake which drove in squarely upon its point.It ripped a score of pines out by the roots, then swinging around and over, lifted its muddy base from the bottom of the river and bore down upon the cabin, slicing the bank and trees away like a gigantic knife.It seemed barely to graze the corner of the cabin, but the cribbed logs tilted up like matches, and the structure, like a toy house, fell backward in ruin."
"“几个月的劳动成果啊！几个月的劳动成果，还有回家的路费！”戴维哀诉着，蒙塔纳·基德和警察把他从木料堆那儿拽了回来。","“The labor of months!The labor of months, and the passage home!”Davy wailed, while Montana Kid and the policeman dragged him backward from the woodpiles."
"“你还会有很多好机会能很快挣到回家的路费。”警察怒吼着，猛地扇了戴维一耳光，很快把他送到了安全的地方。","“You’ll ’ave plenty o’ hoppertunity all in good time for yer passage ’ome,” the policeman growled, clouting him alongside the head and sending him flying into safety."
