"第一章 一双手","Chapter 1 Hands"
"他为乔治·维拉德描绘了这个梦。在梦境中，人们重又生活在一种田园牧歌式的黄金时代。越过一片苍翠开阔的乡村，一群手足匀称的年轻小伙子走了过来，有的步行，有的骑马。他们走过去，聚集在一位老人的周围。这位老人坐在小花园的一棵树下，正对着他们侃侃而谈。","Out of the dream Wing Biddlebaum made a picture for George Willard.In the picture men lived again in a kind of pastoral golden age.Across a green open country came clean-limbed young men, some afoot, some mounted upon horses.In crowds the young men came to gather about the feet of an old man who sat beneath a tree in a tiny garden and who talked to them."
"彼得波姆整个人变得亢奋起来。就这一次，他忘记了自己的那双手。慢慢地，这双手滑了出来，停在了乔治·威拉德的肩膀上。彼得波姆说话的声音听起来有些不同，透着勇敢。“你必须尽力忘掉所有你学过的东西，”他说道，“你必须开始做梦。从此刻起，你万不可再听信旁人的高谈阔论。”","Wing Biddlebaum became wholly inspired.For once he forgot the hands.Slowly they stole forth and lay upon George Willard’s shoulders.Something new and bold came into the voice that talked.“You must try to forget all you have learned,” said the old man.“You must begin to dream.From this time on you must shut your ears to the roaring of the voices.”"
"他停顿下来，热切而长久地注视着乔治。他的眼睛里闪闪发光。接下来，他抬起手轻抚着年轻人。而一瞥惊惧之色随即划过了他的脸庞。","Pausing in his speech, Wing Biddlebaum looked long and earnestly at George Willard.His eyes glowed.Again he raised the hands to caress the boy and then a look of horror swept over his face."
"彼得波姆浑身一震，跳了起来，然后将手深深地插进了自己的裤袋里。泪水随即涌入了他的眼眶。“我得回家了。我不能再和你多谈了。”他神色慌张地说。","With a convulsive movement of his body, Wing Biddlebaum sprang to his feet and thrust his hands deep into his trousers pockets.Tears came to his eyes.“I must be getting along home.I can talk no more with you,” he said nervously."
"老头儿头也不回地急急忙忙冲下山坡，穿过一片草地，留下乔治困惑又惶恐地坐在绿草如茵的山坡上。年轻人吓得哆嗦了一下，随后站了起来，沿着通向镇上的公路走去。“我不想再问他有关那双手的事了。”乔治想着，记起他在老人眼中看到的恐惧，不禁动容。“肯定有什么隐情，可我也不想弄明白。他对我和其他人的惧怕一定和他的那双手有关。”","Without looking back, the old man had hurried down the hillside and across a meadow, leaving George Willard perplexed and frightened upon the grassy slope.With a shiver of dread the boy arose and went along the road toward town.“I’ll not ask him about his hands,” he thought, touched by the memory of the terror he had seen in the man’s eyes.“There’s something wrong, but I don’t want to know what it is.His hands have something to do with his fear of me and of everyone.”"
"乔治·威拉德是对的。我们不妨简单地说说这双手的故事吧。也许我们的故事会引起某些诗人的注意。那些诗人愿意谈及感化的隐匿奇迹，对他们而言，这双手也不过是两面感化成功的旌旗罢了。","And George Willard was right.Let us look briefly into the story of the hands.Perhaps our talking of them will arouse the poet who will tell the hidden wonder story of the influence for which the hands were but fluttering pennants of promise."
"温·彼得波姆年轻时曾经在宾夕法尼亚的一个小镇上当过学校老师。那时他并不叫这个名字，而以音调欠佳的阿道夫·迈尔斯为名。作为教师的阿道夫·迈尔斯深受学校男孩子们的喜爱。","In his youth Wing Biddlebaum had been a school teacher in a town in Pennsylvania.He was not then known as Wing Biddlebaum, but went by the less euphonic name of Adolph Myers.As Adolph Myers he was much loved by the boys of his school."
"阿道夫·迈尔斯生来就是给年轻人当老师的。有些人世上少有，世人难解，性格过分温柔，以至于被当成一种可爱的缺点。他便是其中之一。这类人对于被管教的男孩子们的感情类似于性情温和的女子对于男子的爱情。","Adolph Myers was meant by nature to be a teacher of youth.He was one of those rare, little-understood men who rule by a power so gentle that it passes as a lovable weakness.In their feeling for the boys under their charge such men are not unlike the finer sort of women in their love of men."
"可这还不过是粗略的表述。这里需要诗人来解释。阿道夫·迈尔斯曾经同他学校的男孩子们在傍晚散步，或者坐在校舍的台阶上谈天说地直到黄昏，全然迷失在一种梦境中。　　他的手四处游走，抚摩男孩子们的肩膀，把玩他们蓬蓬乱发的脑袋。当他说话的时候，声音变得轻柔又富于音律。声音也在爱抚着。在某种意义上，这声音和这双手，轻抚肩膀以及抚摸头发，都是这个老师在以某种方式努力将一个梦灌入那些年轻的头脑中。通过手指的爱抚，他也表达了自己的内心。有些人创造生活的力量是发散而不集中的，他亦是其中之一。在他双手的爱抚下，孩子们内心的疑虑被驱散了，于是也开始做梦。","And yet that is but crudely stated.It needs the poet there.With the boys of his school, Adolph Myers had walked in the evening or had sat talking until dusk upon the schoolhouse steps lost in a kind of dream.Here and there went his hands, caressing the shoulders of the boys, playing about the tousled heads.As he talked his voice became soft and musical.There was a caress in that also.In a way the voice and the hands, the stroking of the shoulders and the touching of the hair were a part of the schoolmaster’s effort to carry a dream into the young minds.By the caress that was in his fingers he expressed himself.He was one of those men in whom the force that creates life is diffused, not centralized.Under the caress of his hands doubt and disbelief went out of the minds of the boys and they began also to dream."
"可这便是悲剧的开始。学校里一个懵懂的男孩子迷恋上了这位年轻的老师。他夜里躺在床上时幻想些不可名状的东西，清晨又将梦境当作事实讲了出来。　　从他那没有遮拦的嘴里说出了奇怪而可怕的控诉。整个宾夕法尼亚小镇为之不寒而栗。那些曾经隐藏在人们心里的对阿道夫·迈尔斯朦朦胧胧的怀疑，如今一下子激变成了让人坚信不移的事实。　　","And then the tragedy.A half-witted boy of the school became enamored of the young master.In his bed at night he imagined unspeakable things and in the morning went forth to tell his dreams as facts.Strange, hideous accusations fell from his loose-hung lips.Through the Pennsylvania town went a shiver.Hidden, shadowy doubts that had been in men’s minds concerning Adolph Myers were galvanized into beliefs."
"悲剧的势头急转直下。颤栗着的少年们从床上被拽起来问话。“他用胳膊搂过我。”一个孩子说。“他总是用手指抚摸我的头发。”另一个说。","The tragedy did not linger.Trembling lads were jerked out of bed and questioned.“He put his arms about me,” said one.“His fingers were always playing in my hair,” said another."
"一个下午，镇上的酒吧店主亨利·布莱德福德来到了学校的大门口。他将阿道夫·迈尔斯叫到学校后院，开始用拳头揍他。他坚硬的拳头落在了老师惊恐的脸上，可他的怒火却愈发不可遏止。惶恐不安的孩子们惊声尖叫，四处乱跑，像被惊扰的小虫子。“你竟敢把你的脏手伸到我孩子身上，你这个畜生，我得好好教训教训你。”酒吧店主咆哮着，打得不解气，就开始蛮院子地又踢又踹。","One afternoon a man of the town, Henry Bradford, who kept a saloon, came to the schoolhouse door.Calling Adolph Myers into the school yard he began to beat him with his fists.As his hard knuckles beat down into the frightened face of the school-master, his wrath became more and more terrible.Screaming with dismay, the children ran here and there like disturbed insects.“I’ll teach you to put your hands on my boy, you beast,” roared the saloon keeper, who, tired of beating the master, had begun to kick him about the yard."
"夜里，阿道夫·迈尔斯被从宾西尼亚的小镇赶了出去。一群男人，手里拿着灯笼，聚集到他独居的房子门前，命令他穿好衣服出来。天正下着雨，其中一个人手里还拿着一根绳子。他们本打算将他吊死，但是，这个老师看起来瘦小、苍白、可怜兮兮的，他们动了恻隐之心，于是，就让他逃走了。当他逃进黑暗中的时候，他们又懊悔自己心软，便在后面追赶他，一边咒骂着，一边用木棍和大块的软泥砸向他。老师尖声叫着，越跑越快，终于消失在了夜色里。阿道夫·迈尔斯在温斯堡住了二十年，孑然一身。不过四十来岁的人看上去倒有六十五岁。彼得波姆这个名字也是他在慌忙中经过俄亥俄东部的一个小镇时，在货站的一个货物箱上看到而得来的。他有个姑妈住在温斯堡，是个养鸡的老太太，长了一口黑牙，他一直和她住在一起，直到她去世。在经历了宾夕法尼亚的事情之后，他病了一年。身体康复后，他白天便在田里干活，四处走动时也畏畏缩缩地，总是尽力把手藏起来。尽管他不明白那究竟是怎么一回事，可他感到这双手是罪魁祸首。因为那些男孩的父亲们一次次地提到过这双手。“管好你的脏手。”那个酒吧店主就曾在校园的院子里暴跳如雷地这样咆哮过。","Adolph Myers was driven from the Pennsylvania town in the night.With lanterns in their hands a dozen men came to the door of the house where he lived alone and commanded that he dress and come forth.It was raining and one of the men had a rope in his hands.They had intended to hang the school-master, but something in his figure, so small, white, and pitiful, touched their hearts and they let him escape.As he ran away into the darkness they repented of their weakness and ran after him, swearing and throwing sticks and great balls of soft mud at the figure that screamed and ran faster and faster into the darkness.For twenty years Adolph Myers had lived alone in Winesburg.He was but forty but looked sixty-five.The name of Biddlebaum he got from a box of goods seen at a freight station as he hurried through an eastern Ohio town.He had an aunt in Winesburg, a black-toothed old woman who raised chickens, and with her he lived until she died.He had been ill for a year after the experience in Pennsylvania, and after his recovery worked as a day laborer in the fields, going timidly about and striving to conceal his hands.Although he did not understand what had happened he felt that the hands must be to blame.Again and again the fathers of the boys had talked of the hands.“Keep your hands to yourself,” the saloon keeper had roared, dancing, with fury in the schoolhouse yard."
"在山谷边，小木屋的回廊上，温·彼得波姆又开始来来回回地踱步。他一直徘徊到夕阳西下，直到田野那头的公路也消失在灰色的阴影里。他进了屋，切了几片面包，涂上蜂蜜。当晚间快车载着一天收获的浆果隆隆驶去，夏夜重新恢复寂静时，他又走到前门廊上。在黑夜中，他看不见那双手，手也一动不动。他仍然热切地盼望乔治能够出现。通过这位年轻人，他向人类表达了自己的亲近之情。但是，这种盼望最终也变成了他孤独的一部分，使得他总在等待。他点亮一盏灯，洗了洗那顿简单的晚餐弄脏的几个盘子，在通向门廊的纱门边支起一张折叠床，准备脱衣服睡觉。一些零星的白面包屑掉在桌旁洗涮干净的地板上；他把灯放在一张矮凳上，开始捡面包屑。然后，把它们一个接一个地放进嘴里，速度惊人。在桌子下浓密的阴影里，他跪着的身影看上去像是一个忙于教堂事务的牧师。他那些紧张而充满表现力的手指，在光影里闪现，人们很可能将它们误认为是信徒的手，在快速地、十个十个地数着念珠。","Upon the veranda of his house by the ravine, Wing Biddlebaum continued to walk up and down until the sun had disappeared and the road beyond the field was lost in the grey shadows.Going into his house he cut slices of bread and spread honey upon them.When the rumble of the evening train that took away the express cars loaded with the day’s harvest of berries had passed and restored the silence of the summer night, he went again to walk upon the veranda.In the darkness he could not see the hands and they became quiet.Although he still hungered for the presence of the boy, who was the medium through which he expressed his love of man, the hunger became again a part of his loneliness and his waiting.Lighting a lamp, Wing Biddlebaum washed the few dishes soiled by his simple meal and, setting up a folding cot by the screen door that led to the porch, prepared to undress for the night.A few stray white bread crumbs lay on the cleanly washed floor by the table; putting the lamp upon a low stool he began to pick up the crumbs, carrying them to his mouth one  by one with unbelievable rapidity.In the dense blotch of light beneath the table, the kneeling figure looked like a priest engaged in some service of his church.The nervous expressive fingers, flashing in and out of the light, might well have been mistaken for the fingers of the devotee going swiftly through decade after decade of his rosary."
"第二章 纸球","Chapter 2 Paper Pills"
"他是一个大鼻子、大手的白胡子老头。很久以前，早在我们认识他以前，他曾是一个医生，赶着匹疲倦的白马穿过温斯堡的街道，从这个房子到下个房子。后来，他娶了个有钱的姑娘。他的岳父在死后给女儿留下了一大片肥沃的农场。这个姑娘文静、高挑，肤色偏黑。在很多人看来，她十分漂亮。温斯堡的人都很好奇，为什么她最后嫁给了这个医生。婚后不到一年，她就死了。","He was an old man with a white beard and huge nose and hands.Long before the time during which we will know him, he was a doctor and drove a jaded white horse from house to house through the streets of Winesburg.Later he married a girl who had money.She had been left a large fertile farm when her father died.The girl was quiet, tall, and dark, and to many people she seemed very beautiful.Everyone in Winesburg wondered why she married the doctor.Within a year after the marriage she died."
"这个医生的手指关节特别粗大。当他双手紧握的时候，看上去就像两个未经涂漆的木制大球，还是用钢针串在一起的、胡桃般大的那种。他用科波烟斗抽烟。在妻子死后，他成天坐在空荡荡的办公室里，挨着一扇结满了蜘蛛网的窗户。他从不打开这扇窗户。他也曾在八月的一个热天试着开窗，却发现窗子已经卡死了。此后，他也完全忘记了这件事。","The knuckles of the doctor’s hands were extraordinarily large.When the hands were closed they looked like clusters of unpainted wooden balls as large as walnuts fastened together by steel rods.He smoked a cob pipe and after his wife’s death sat all day in his empty office close by a window that was covered with cobwebs.He never opened the window.Once on a hot day in August he tried but found it stuck fast and after that he forgot all about it."
"温斯堡已经忘记了这个老人，但是，瑞非医生这个人身上有些非常优秀的品质。他的办公室在海夫纳街区的巴黎干货公司大楼上。他独自一人在发霉的办公室里无休止地工作，试图把他亲手毁掉的东西重新建立起来。他建起一座座小型真理金字塔，然后再将它们敲碎，这样，他或许就有理由去建立其他的金字塔。","Winesburg had forgotten the old man, but in Doctor Reefy there were the seeds of something very fine.Alone in his musty office in the Heffner Block above the Paris Dry Goods Company’s store, he worked ceaselessly, building up something that he himself destroyed.Little pyramids of truth he erected and after erecting knocked them down again that he might have the truths to erect other pyramids."
"瑞非医生是个高个子，一套衣服穿了十年。衣服的袖子磨损了，膝盖和手肘的地方都有小的破洞。他在办公室里也穿着一件亚麻的防尘服，衣服上有大大的口袋，里面总是被他塞满了纸片。数周后，这些纸片就会变成坚硬的、圆圆的小纸球。当口袋被装满的时候，他就把它们倒在地板上。十年来，他只有一个朋友。那是另一个老头，名叫约翰·斯帕尼亚德；他有一间苗圃。有时，老瑞非医生会开玩笑似的从口袋里掏出一把纸球，朝着苗圃的主人扔过去。“那是用来砸晕你的，你这个唠唠叨叨的老感伤派。”他大声地叫道，然后笑得全身直抖。","Doctor Reefy was a tall man who had worn one suit of clothes for ten years.It was frayed at the sleeves and little holes had appeared at the knees and elbows.In the office he wore also a linen duster with huge pockets into which he continually stuffed scraps of paper.After some weeks the scraps of paper became little hard round balls, and when the pockets were filled he dumped them out upon the floor.For ten years he had but one friend, anothe old man named John Spaniard who owned a tree nursery.Sometimes, in a playful mood, old Doctor Reefy took from his pockets a handful of the paper balls and threw them at the nursery man.“That is to confound you, you blathering old sentimentalist,” he cried, shaking with laughter."
"瑞非医生的故事，还有他向他的妻子——那个高挑的、黑皮肤的姑娘——求爱、结婚，然后获得一大笔遗产的故事非常具有传奇色彩。这个故事很有趣，就像温斯堡果园里长的那种不够圆溜的小苹果一样很美味。秋天里，人们在果园里散步，脚下的土地因结了霜，变得十分坚硬。苹果被工人从树上摘下来。苹果被放进桶里并装船运往各个城市，然后被人们吃掉。被吃掉的地点是在挤满了人，放满了书籍、杂志和家具的公寓里。树上只剩下一些结疤的苹果，工人们一般不会把它们摘下来。它们看起来就像瑞非医生的指关节。咬上一口，真是美味无比。苹果的甜味都集中在边上一个小小的、圆圆的地方。有人会从这棵树跑到那棵树，踩在结了霜的地面上，采摘那些结疤的歪苹果，把口袋装得满满的。只有少数几个人知道这种苹果是甜的。","The story of Doctor Reefy and his courtship of the tall dark girl who became his wife and left her money to him is a very curious story.It is delicious, like the twisted little apples that grow in the orchards of Winesburg.In the fall one walks in the orchards and the ground is hard with frost under-foot.The apples have been taken from the trees by the pickers.They have been put in barrels and shipped to the cities where they will be eaten in apartments that are filled with books, magazines, furniture, and people.On the trees are only a few gnarled apples that the pickers have rejected.They look like the knuckles of Doctor Reefy’s hands.One nibbles at them and they are delicious.Into a little round place at the side of the apple has been gathered all of its sweetness.One runs from tree to tree over the frosted ground picking the gnarled, twisted apples and filling his pockets with them.Only the few know the sweetness of the twisted apples."
"瑞非医生和那个姑娘的爱情故事开始于一个夏日的下午。那时他已四十五岁，已经开始养成把口袋装满纸片，把纸片变成硬硬的纸球，然后扔掉的习惯。当他坐着马车，由一匹疲倦的白马拉着在乡村公路上慢慢行进的时候，这种习惯就养成了。他把所思所想都写在纸上，有的是结尾，有的是开头。","The girl and Doctor Reefy began their courtship on a summer afternoon.He was forty-five then and already he had begun the practice of filling his pockets with the scraps of paper that became hard balls and were thrown away.The habit had been formed as he sat in his buggy behind the jaded white horse and went slowly along country roads.On the papers were written thoughts, ends of thoughts, beginnings of thoughts."
"瑞非医生的念头一个个渐渐变成了思想。众多的思想汇集在一起变成了真理，在他脑海里变成了庞然大物。这个真理遮蔽了整个世界。它先是变得可怕，然后渐渐淡去，但随即那些琐碎的思绪又重新冒了出来。","One by one the mind of Doctor Reefy had made the thoughts.Out of many of them he formed a truth that arose gigantic in his mind.The truth clouded the world.It became terrible and then faded away and the little thoughts began again."
"那个高个子的黑皮肤姑娘来找瑞非医生，是因为她怀了孕，心中惊惶不安。她之所以会沦落到这步田地也是因为一系列奇妙的际遇。","The tall dark girl came to see Doctor Reefy because she was in the family way and had become frightened.She was in that condition because of a series of circumstances also curious."
"她的父母双亡，一大片富饶的土地落到了她手里，这就招致了一大群求婚者尾追不舍。两年内，她几乎每晚都有求婚者。除了两个人以外，其他求婚者都大同小异。他们同她谈论激情，望着她的时候，声音和眼睛里有种压抑的渴望。而这与众不同的两个人，彼此也是截然不同的。其中一位身材颀长的年轻人有着白净的手，是温斯堡一个珠宝商的儿子。他总是不停地同她谈及贞洁。每当他同她相处时，总是提到这个话题。而另一个黑发的男子，长着大耳朵，什么也不说，可总是想方设法地将她拉到暗处，然后开始亲吻她。","The death of her father and mother and the rich acres of land that had come down to her had set a train of suitors on her heels.For two years she saw suitors almost every evening.Except two they were all alike.They talked to her of passion and there was a strained eager quality in their voices and in their eyes when they looked at her.The two who were different were much unlike each other.One of them, a slender young man with white hands, the son of a jeweler in Winesburg, talked continually of virginity.When he was with her he was never off the subject.The other, a black-haired boy with large ears, said nothing at all but always managed to get her into the darkness, where he began to kiss her."
"这个高个的黑姑娘一度曾考虑着应该嫁给珠宝商的儿子。她一言不发地坐上几个小时听他说话，接着她开始感到有些害怕。她觉得，在他关于贞洁的言论表象之下，隐藏着比其他人更加强烈的欲望。有时，在她看来，他说话时是将她的身体抱在手里的。她想象着他用那白净的双手慢慢转动自己的身体，定睛凝视着。夜晚，她梦到他咬了她身上，他的嘴里还滴着血。这样的梦她重复做了三次，然后，她就怀上了那位沉默的求婚者的孩子。他在激情迸发的时刻切切实实地咬在她的肩上，以至于那些牙印多日后还清晰可见。这位姑娘结识了瑞非医生后，似乎不想再离开他。一个清晨，她走进他的办公室，什么都没说，医生却似乎知道她发生了什么事。","For a time the tall dark girl thought she would marry the jeweler’s son.For hours she sat in silence listening as he talked to her and then she began to be afraid of something.Beneath his talk of virginity she began to think there was a lust greater than in all the others.At times it seemed to her that as he talked he was holding her body in his hands.She imagined him turning it slowly about in the white hands and staring at it.At night she dreamed that he had bitten into her body and that his jaws were dripping.She had the dream three times, then she became in the family way to the one who said nothing at all but who in the moment of his passion actually did bite her shoulder so that for days the marks of his teeth showed.After the tall dark girl came to know Doctor Reefy it seemed to her that she never wanted to leave him again.She went into his office one morning and without her saying anything he seemed to know what had happened to her."
"他的办公室里有个女人，是温斯堡书店的老板娘。像所有老式的乡村医师一样，瑞非医生也拔牙。候诊的这个女人用块手帕捂住牙齿在呻吟着。书店老板陪着妻子。当那颗牙被拔出来的时候，他们都尖叫起来，血流到了女人的白色裙子上。可那个高挑的黑姑娘丝毫没有注意。书店老板夫妇离开后，医生笑了起来。“我开车带你去乡下吧。”他说。","In the office of the doctor there was a woman, the wife of the man who kept the bookstore in Winesburg.Like all old-fashioned country practitioners, Doctor Reefy pulled teeth, and the woman who waited held a handkerchief to her teeth and groaned.Her husband was with her and when the tooth was taken out they both screamed and blood ran down on the woman’s white dress.The tall dark girl did not pay any attention.When the woman and the man had gone the doctor smiled.“I will take you driving into the country with me,” he said."
